"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Rully Hiking Stories","362","2025-12-19","5","Setelah menginap selama 7D6N sejak tanggal 7 s.d 13 Des 2025 di kamar 1820, saya ingin menyampaikan cacatan untuk improvement sbb: - Akses untuk tamu yang gemar jalan kaki di sebelah selatan/kanan perlu dibuka, saya lihat ada gerbang kecil namun sayangnya malah digembok. Karena tidak ada jalur pejalan kaki sejak masuk dari pintu gerbang menuju ke lobby. Kami harus melipir di antara jalur mobil dan satpam yg harus menaikan portal setiap kali kami melintas. Alangkah baiknya gerbang kecilnya dibuka utk tamu yang gemar berjalan kaki - Akses gerbang di area parkir belakang hotel untuk tamu yang akan jajan ke kafe-kafe di jl. Purnawarman juga perlu dipertimbangkan untuk dibuka. Sehingga memudahkan tamu yang akan jajan di kafe-kafe tersebut, mengingat untuk arah depan hotel pilihannya harus ke BIP yang lebih jauh jaraknya - Atap bangunan yang berlokasi di atas gedung yg dipakai sarapan agak kuran menarik untuk dipandang dari arah jendela kamar 1820. Agar dipertimbangkan untuk menata lebih banyak tanaman di atas atap bangunan tersebut. Demikian saran saya sampaikan Saya sertakan foto gerbang kecil yang digembok dan atap bangunan yang perlu ditambah estetikanya."
"2.","aulya ayu","53","2025-12-09","5","Love it, lokasi yg strategis di jalan Dago. Pelayanan dan service yang ramah dan memuaskan, dari mulai pak security sampai petugas dalam hotel. Check in jam 7 malam disambut resepsionis mas Lutfi yg ramah. Thanks for the welcoming cake 😊 Kamar dengan balkon view jalan Dago, bisa liat puncak gedung sate dan gunung. Breakfast banyak variasi dan enak2 dari mulai tradisional sampai western. Poolnya oke, ngegym jg asik, peralatannya cukup lengkap. Ada sauna juga. I'll be back 🤩"
"3.","Kiran Imanuel","2","2026-01-04","5","Hotel yang recomended sih di bandung menurut gw, krn staf nya pada ramah banget, makanan nya gak pelit, kamarnya luas dan bersih, dan yang paling terkesan kita tuh pas breakfast ditanyakan mau minum apa biar dibikinin, dan yg saya inhat tuh staf nya nama pak Heri orang nya himble dan ramah banget,dan bener dilayani dengan baik, kebetulan pas balik ke jkt, hp gw ketinggalan dan mereka gercep banget langsung kirim ke jkt tanpa kekurangan suatu apapun di HP saya. Sukses selalu courtyard marriot. Sampai ketemu dilain kesempatan."
"4.","Saiful Halim","34","2025-12-09","5","Hari ini saya berkesempatan mendokumentasikan sebuah acara besar di Edelweis Ballroom – Courtyard Bandung. Ruangannya sangat luas, nyaman, dan pencahayaannya mendukung sekali untuk kegiatan formal seperti rapat, workshop, hingga event skala provinsi. Tata ruangnya tertata rapi, AC dingin, dan fasilitasnya lengkap—mulai dari proyektor, sound system, hingga meja kerja yang membuat peserta bisa fokus selama kegiatan. Tim hotel juga responsif dan sigap membantu kebutuhan teknis di lapangan, sehingga proses dokumentasi berjalan lancar dari awal sampai akhir. Ballroom ini cocok untuk instansi maupun organisasi yang membutuhkan venue representatif dengan suasana profesional. Sebagai penyedia jasa dokumentasi, saya sangat terbantu dengan kondisi ruangan yang terang dan stabil, sehingga hasil foto dan video bisa maksimal. Overall, Edelweis Ballroom Courtyard Bandung termasuk salah satu venue terbaik untuk acara formal dan pertemuan besar."
"5.","Hikma Adriani","20","2025-12-19","5","Masih termasuk Hotel tua tapi setelah check in interior kamar sangat modern. Tidak terkesan seperti hotel tua. Kasur sangat empuk dan nyaman. Amenities lengkap. Hospitality juara! Dengan jendela yang menghadap ke jalan Dago. Enak buat melamun 🤭🤭 Mungkin minus nya parkiran kendaraannya agak creepy kalau malam karena sepi. Untuk sarapan. Banyak variasi dan enak I’ll be back for sure!!👍"
"6.","Angga Angga","369","2025-12-09","5","Saya cukup happy menginap disini, dikasih kamar 1303 sesuai request saat reservasi. Staffnya ramah2 semua, securitynya juga helpful semua. Breakfast juga enak2, kalaupun kena tambahan pax buat anak kecil, cuma dikenakan IDR 60k saja. It was pleasant stay after all"
"7.","angga Bae","1","2026-01-02","5","kamarny aman nyaman,staff nya ramah,breakfastnya makanannya beragam dan enak² nah apalagi omelette spesial buatan mbak lala🤣🤣🤣"
"8.","Vina Aprilia","3","2025-11-09","5","Saya sangat puas dengan pengalaman menginap di Courtyard Bandung Dago. Saat tiba saya disambut oleh Teh Nessa di resepsionis, beliau sangat ramah, dengan cepat mengurus proses check-in. Kamar bersih dan nyaman. Terima kasih banyak Teh Nessa atas pelayanannya yang profesional dan hangat."
"9.","Fanni Elfiana","2","2025-12-09","5","Nyaman aman, staf nya baik murah senyum, dan help full,, ada staf kolam renang namanya Pak Yayat, ramah baik, jg perhatian ke anak anak buat pinjamin pelampung.. terima kasih courtyard dan semua staff nya.."
"10.","Fariz Azwar Azmi","65","2025-09-09","5","Saya mendapatkan pengalaman yang sangat memuaskan, dimulai dari kamar yang nyaman dan bersih. Kasur dan bantalnya empuk sekali, membuat saya bisa beristirahat dengan nyenyak. Selain itu, makanannya juga luar biasa. Pilihan menu sarapannya banyak, rasanya enak, dan pelayanannya sangat cepat. Yang paling membuat saya terkesan adalah pelayanannya yang luar biasa. Meskipun sempat ada kendala di awal—kamar yang saya pesan (non-smoking) ternyata ada bau rokok—namun cara tim hotel menanganinya sungguh patut diacungi jempol. Saya ingin memberikan apresiasi khusus untuk: Mas Yanyan yang proaktif. Saat saya bercerita tentang keluhan kamar, beliau langsung tanggap dan meneruskannya ke tim terkait. Mbak Febrina yang sigap. Beliau langsung menghubungi saya dan membantu proses pindah kamar dengan cepat dan mulus. Mas Pandu yang sangat profesional. Beliau menghubungi saya di malam hari untuk menyampaikan permintaan maaf dari pihak hotel. Sebagai bentuk kompensasi, saya bahkan diberikan buah dan baju batik. Layanan istimewa tidak berhenti di situ. Di hari berikutnya, saya juga mendapatkan sapaan hangat dari tim housekeeping, Mbak Yuni dan Mbak Disti. Hal ini membuat saya merasa sangat dihargai sebagai tamu. Secara keseluruhan, hotel ini berhasil mengubah kekecewaan kecil di awal menjadi pengalaman yang sangat positif. Mereka menunjukkan bahwa pelayanan tamu adalah prioritas utama."
"11.","arif rachman","74","2025-11-09","4","Hotel yang cocok untuk traveler. Kamar hotel nyaman dan ramah untuk keluarga. Memiliki kolam renang dan tempat fitness yang cukup untuk menjaga kebugaran tubuh. In room entertainment tersedia sebuah smart TV. Tersedia sarapan dengan berbagai menu lokal dan internasional. Pelayanan maksimal dan ramah dari Para staff menambah kenyamanan. Untuk pengunjung dengan kendaraan listrik terdapat sebuah terdapat sebuah electric charger untuk mobil tepat di depan lobby hotel."
"12.","Didi Kutubuku","7","2025-12-09","5","Aroma hotel harum, variasi breakfast lebih banyak dibanding hotel lain yg setipe. bagian kreasinya menyenangkan & friendly. Terutama pak yayat & friends"
"13.","Al Fatih Darussalam Yasfi","99","2025-12-09","5","Selalu jadi pilihan utama ketika berkunjung di bandung, pelayanan ramah, semua front desk nya sangat super duper ramah dan memfasilitasi dengan baik, makan sianh dan sarapan sangat enak, mungkin sarannya adalah sepuruh kamar di upgrade menjadi smart tv"
"14.","Hety Hety","3","2025-10-09","5","Book 2N deluxe room, 1st day komplain krn ada bed triplek yg mengelupas mengenai anak hampir saja, minta utk di lem saja atau lakban sementara, tetapi langsung di respon cepat dg staff yg dtg ke room di upgrade ke suite room. Wow sangat memuaskan service gercep👍👍👍 . Recommended hotel 💯. Mengutamakan kepuasan customer 👍."
"15.","Arief Praseno","48","2025-09-09","5","Menginap disini pada tgl 11 s.d. 14 Agustus 2025 Lokasi hotel sangat strategis, di tengah Kota Bandung. Dekat dengan stasiun juga mall. Mencari makan juga mudah. Kamar tdk terlalu luas, tetapi bersih. Hotel juga dirawat dgn baik. Staffnya ramah2. Umt makanan di resto lumayan dan banyak pilihan."
"16.","Aita Tutuarima","1","2025-10-09","5","Saya sangat puas saat sarapan disini minggu lalu, Saya disambut hangat dengan Afifah dan ditawarkan teh atau kopi, saat tau saya tidak meminum kafein, Afifah langsung menawarkan fresh juice. Afifah sangat Ramah dan membantu saya. Pelayanan yang di berikan tim restoran juga profesional dan cepat. Fasilitas yang lengkap dan semua staff hotel ini sangat baik."
