"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","PEMlLlK KOST","124","2026-01-06","5","FOX HARRIS Hotel City Center(𝒑𝒆𝒎𝒊𝒍𝒊𝒌) Info kontak (𝘞𝘢) 𝐎ꐪ𝟐𝐥ỽ𝟐ỽℨ𝟕ꁅЧꁅ"
"2.","suryo haryono","8","2025-01-12","5","Menginap 2 malam dihotel ini, pengalaman yg cukup bagus. Ada beberapa reviu dari saya Plus Lokasi srategis dan lingkungannya tenang Semua pegawai saya liat ramah Air minum refill, ini paling oke Kamar cukup bersih Parkiran cukup Tv nya cukup oke, channel lengkap gambar jernih Minus Karpet dikamar sudah kusam, perlu dicuci. ketika ac mati aroma karpetnya terasa kurang enak Lantai dan karpet dilorong sudah kusam ada noda hitam, perlu peremajaan Toilet di restoran terlihat jadul, perlu peremajaan Lift nya bunyi Variasi makanan untuk sarapan kurang banyak Jam buka kolam renang jam 8, terlalu siang, kalau bisa dimajukan seperti hotel lain biasanya jam 6 pagi sudah boleh berenang"
"3.","Sylvia Yong","73","2025-01-12","3","Lokasi memang super dekat kemanapun, di tengah kota, 5 menit ke braga, 10 menit ke cibadak, 6 menit ke riau, pokoknya super strategis, jadi ga stress kena macet di Bandung. Hotelnnya sudah agak tidak terawat, kamar hotel AC nya bocor parah sampai netes2, dan agak shock jg sekelas bintang 4, kamar tidak redam suara, jadi siapapun yg berisik di lorong kamar, auto kedenger ke dalam kamar. Double bed nya ukurannya kecil banget. Somehow binggung juga kenapa pintu kamar bunyi-bunyi terus kalo di buka, entah sensor apaan, jd berisik banget kalo lagi ada orang buka pintu lama tanpa cabut kartu sensornya. Kali ini cukup kecewa karena dapat yang banyak nodanya, sampe aku konfirmasi ke resepsionis ini hotel bintang berapa? Lalu dijawab bintang 4, hahahahaa Tampaknya kualitasnnya tidak dijaga yah… Parkiran juga selalu penuh di basement jam pagi-siang-apalagi malam, alhasil parkir pasrah di sepanjang jalan dibawah resiko kerindangan pohon-pohon besar…. Valet akhrnya ga tau juga mobil ditaro dimana, dan cukup lama nunggu kalo mau ambil mobil, fiuh 🫣🫣🫣 Price wise ini harga bintang 4, tapi standar kualitas dibawahnya 😖😖😖"
"4.","yosua parikesit","99","2025-01-12","4","jalannya cukup sepi jadi cocok untuk ber istirahat, tempatnya sederhana, ruang pertemuannya luas, makananannya tidak ada masalah, ac dingin, dan yang paling bikin menyenangkan itu colokan dikamar nya banyak, bagian kamar mandinya sudah banyak yang perlu diperbaiki, dan kamarnya ga begitu kedap, sandalnya oke"
"5.","Indah Fauziah","34","2025-01-12","3","Gara-gara kemakan review-review tik*** yang katanya bagus ternyata diluar ekspektasi. Hotelnya jauh dari keramaian, maintenance-nya aja yg kurang sehingga karpet, handuk dan hordeng agak kusam. Untuk CS oke, ramah bgt... Satpamnya ramah cuma sebaiknya bantu costumer buka pintu yaa... Itu pintu berat banget... Untuk resto tolong menunya dibuat lebih variasi lagi, rotinya kurang lembut, puddingnya kurang oke.."
"6.","Cimot Cimit","26","2025-01-12","1","Banyak surprise yang saya dapatkan dari hotel ini. Kamar kotor, karpet kotor, pintu tidak bisa terkunci, shower yang hampir copot dan kalau menimpa tamu siapa yang mau tanggung? Bed linen banyak stain kotor dan bau. Benar2 gak layak disebut sebagai hotel bagian dari Ascott. Makanan bfast flat tidak ada taste. Spp buntut ordered lunch so so. Never come back again to this hotel!"
"7.","kinda rizki","9","2025-01-12","3","Kamarnya kurang bersih aja gak tau karena udah lama atau mungkin maintenancenya yang kurang. Karena tipe hotel yang menggunakan karpet jadi karpet terlihat sangat kotor, bagian ubinya juga banyak noda hitam yang kayaknya udah lama. Lampu kamarnya juga sedikit remang-remang. Kalau pelayanan dan resepsionis oke oke aja. Intinya kalau cuman buat tidur masih oke, tapi kalau buat staycation atau tipekal yang mau lama di dalam kamar kayaknya ngga dulu. Mksh"
"8.","Ulfa Khoira","126","2024-01-12","5","Kesini dua kali dalam sebulan, yang pertama pesen kamar standart. Kamarnya kecil, gelap dan semuanya smoking room. Tv nya tidak terlalu bagus, tidak ada kulkas mini. Ruangannya kurang kedap suara. Yang kedua pesan kamar besar dengan balcon. Kamar lebih luas tersedia sofa, dapet free minibar (tapi minibar kosong) hanya kulkas mini saja tidak ada snacknya. Soalnya kalau dihotel lain dapet free minibar dapet snack. Sabun nya sedikit banget, dipakai 1 orang udah habis karena tidak berbusa. Untuk AC aman, dingin. Tidak tersedia hairdryer jadi harus telfon dulu minta diantar. FO dan Staff lainya ramah-ramah. Gak banyak foto kamarnya karena B aja"
"9.","Rio Prabowo","3","2025-01-12","1","Ini hotel parah sih. Lokasi juga susah loh kemana mana. Kamar kotor kumuh, gak kedap sama sekali, TV belang, interior seadanya, sarapan seadanya, parkir kendaraan tidak memadai, depan hotel penuh dengan daun berguguran. Tapi harganya wow. Masa hotel harga 1 juta keatas ky gini? Kalo hotel bintang 3 saya masih maklum, ini hotel bintang 4 loh konon katanya. Parah sih ini. Not recomended at all."
"10.","drg Kresna A","14","2024-01-12","4","Pelayanan baik, lokasi strategis, makanan bervariasi dan enak. Namun disayangkan semua tipe kasurnya twin digabung (walau request utk 1 large bed) dan pertama datang dikasihnya bedcover ukuran single(yg kecil)🥹 Untuk minuman disediakan dispenser di beberapa titik, jadi aman untuk minum air mineralnya Utk satpamnya helpfull banget utk bantuin markirin mobil, tapi di lobby baiknya ada yg standby utk tawarin bantu bawa koper"
