"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Alvina Florensia","15","2026-01-02","5","Liburan ke Bali dan memutuskan menginap di hotel ini selama 2 hari pada tanggal 27-29 di kamar 906. Sunggu pengalaman yg puas, service luar biasa dari satpam, cleaning service, pada saat breakfast dan resepsionis. Satpam : pada saat saya dan suami datang sedang hujan lebat, dan pada saat suami saya mau memarkirkan mobil oleh satpam diberikan payung agar suami saya tidak kehujanan. Clening service: pada saat itu kami meminta untuk tidak dibersihkn dan hanya minta handuk baru, amenities dan air mineral. Sungguh ramah 2 cleaning service pada saat itu terutama cleaning service yg agak berisi badannya, dia memberikan lebihan handuk serta amenities yg lebih serta air mineral yg lebih. Terima kasih banyak pak Breakfast: makanan cukup beragam dan semua staf sunggu perhatian kepada kami. Terutama sama bu yuni dan pak dandy, hari pertama kami diberikan smoothies bowl dan hari kedua ayam betutu sebagai special breakfast yg tidak disediakan di buffet. Semua staf benar2 ramah dan helpful Resepsionis: semua resepsionis sangat ramah. Pada saat saya mengambil go food di resepsionis mereka menawarkan alat makan untuk memudahkan saya menyantap makan malam saya diantar ke kamar, selain itu ada salah satu resepsionis laki2 menawarkan untuk menaruh coklat saya di freezer agar lebih enak ketika disantap, serta resepsionis atas nama lestari yang memberikan saya diskon untuk kamar saya ketika extend. Dan atas nama frida yg memberikan saya kupon welcome drink di restaurant serta membantu mendaftarkan saya akun agar saya mendapatkan poin dan diskon. Benar2 pengalaman berharga, dan bisa dipastikan saya akan kembali lagi ke Four Points by Sheraton. Kamarnya sungguh nyaman, luas, ada air purifier sehingga kamar terasa bersih, fasilitas lengkap. Pokoknya perfect deh. Terima kasih untuk pelayanan yang luar biasa dan tidak membeda2kan kami tamu lokal dengan tamu mancanegara 🫶🏻"
"2.","nastar sejagat","1","2025-12-09","3","Saya sdh bbrp x menginap dihotel ini dan minggu ini sy menginap dr tgl 23 Nov - 28 Nov unt kebituhan bisnis, bukan liburan. Hr ini sy break fast lalu sy minta dibuatkan fresh juice, td nya sy malah ngg tau kl bs pesan fresh juice, di hr kmrin sy justru di tawari jd tau, makanya hr ini sy minta lg unt dibuatkan fresh juice, saat sy minta ke petugasnya (emba nya) sy ngg nyangka ya jawabannya spt itu, sy cek dulu ya bu, ibu bisa ambil sndiri, karena skr msh group china. wow sy kaget bgt ada org hotel bicara bgtu membedakan antara tamu luar dgn tamu lokal pdhl kita juga byr lho bukan numpang. Mungkin stlah itu mba nya sadar dgn omonganya lalu dia dekati sy berusaha minta maaf dan mengajak ngobrol dia bilang gini Maaf ya bu, memang lagi rame tempatnya, mungkin ibu bisa dtg lbh siang unt sarapan Kaget lg sy dgn jwbannya, mau pagi mau subuh itu urusan sy, knpa hrs ngatur2, ngg semua org dtg ke bali unt wisata, soal sarapan sy rasa suka2 tamu lah mau jam brp, service itu di nilai justru pd saat ramai, apakah sop msh di jalankan dgn baik atau ngg. Dan tolong ya di brief semua staffnya jgn membedakan org asing dgn org lokal, warga asing di layani dgn baik org lokal di mohon pengertiannya, krn staff lg sibuk ngurusin warga asing. Sy bkn org yg cerewet minta pelayanan, AC di kamar sy 120 bocor, teknisi sdh benerin, tp msh bocor tiap hr sy diemin aja lho.. males kan komplain tiap hr, air furifying di kamar, sy pinggirin tiap hr krn takut keborocan air AC takut konsleting, tp bag. Room Service sll meletakkan lg di tempat yg sm, sy balik ke kamar sll sy pindahkan lg krn keboocran air AC, mau pindah kamar malas, makanya ac bocor sy diemin, masa mau setiap mlm sy panggil teknisi kan males bgt plg kerja udh mlm pengen istirahat. Semoga bs lbh baik lah ya, terima kasih semoga di notice"
"3.","Chintya Ari Putri","2","2025-10-09","5","Saya menginap 1 malam, dengan mengabil kamar tipe balcony bayview. Kamarnya begitu bersih dan semua perangkat didalamnya berfungsi dengan baik, pemandangan dari balcon yang indah membuat kamar semakin terasa nyama Semua staff sangan ramah, helpfull dan informatif. Tidak membedakan pelayanan antara tamu domestik dengan tamu luar. Semua dilayani dengan senyum dan sapaan hangat. Menu makanan yang beragam, penataan dan penyajian yang rapi dan menarik, dan yang terpenting rasanya semuanya enak. Dan yang lebih membuat betah adalah staff yang selalu memastikan semua tamu nyaman dengan sering bertanya apa yang dibutuhkan. Kak Yuni staff restoran yang sangat ramah dan helpfull Juga kak Dandy yang selalu menawarkan bantuan dan memastikan para tamu mendapatkan pelayanan terbaik. Saya pasti akan kembali lagi untuk menginap disana dan mungkin akan lebih lama stay disana"
"4.","Dea Eclesi","30","2025-09-09","5","Ketiga kali nya saya dan keluarga menginap di hotel ini. Kunjungan kali ini, saya mendapatkan kamar tepat dgn adanya renovasi gedung sehingga agak bising, tapi setelah berbicara dgn front office dan manajer operasional, saya mendapatkan kamar pengganti, lengkap dengan air purifier dan dehumidifier karena awal masuk agak sedikit pengap, tp cukup membantu dengan adanya kedua alat ini. Overall, thank you Four Point sangat memperhatikan kenyamanan dari tamu yang menginap."
"5.","melinda wijaya","22","2025-09-09","3","Ac ny pengap dan dingin sampai kondensasi. Lalu minta ganti kamar, ada purifier n humidifer dikamarnya. Jadi sepertinya hampir semua kamar ada masalah ini. Saya ada 1 hari stay dikamar karena anak saya tidur siang, petugas pembersih kamarnya sangat ribut sampai kedengaran dari kamar. Saat saya pindah kamar saya bilang ada tertinggal Barang A, apakah bs dicek kan kalau tertinggal barang lain? Resepsionis cuma bs bilang tdk ad laporan barang tertinggal. Habis 15menit ditelepon katanya barang A nya ketemu 😅. Jd kalau gk ditanya gak akan ketemu. Gimana ya housekeeping ny kacau sekali. Sabun shampoo gk direfill, cape masa semua harus minta gitu ya? 😅babycot jg kasurny cm alas tipis keras gitu , saya kalau tidur situ aja encok apalagi anak bayi. Tp breakfast nya enak, petugas ny di tmpt breakfast ramah2, dibantu antar makanan. Resepsionis jg ramah n baik. Cm mmg gedung ny n housekeping ny aja kurang"
"6.","Karlina sumiari","3","2025-12-09","5","kamar oke, makanan nya enak, layanan mantap untuk budi dan dandy sangat ramah service nya , cus otw kesini lagi yaa❤️❤️❤️dan fresh juicenya enak sekalii"
"7.","Jeung Rita","325","2025-09-09","4","Hi... Hotelnya terletak ga jauh dr GWK.. tepatnya Uluwatu, daerah yang cukup ramai dan cukup macet. Hotel pd saat pertama datang terlihat agak kurang terawal apalagi lukisan mural klo tidak salah terlihat agak lama serta tanaman2nua tampak tak terawal. Ketika sampe Lobby baru terlihat bagus dan cukup rame hotelnya berarti cukup bagus.. kamarnya yg setelah direnov bagus dan nyaman serta adanya humidifier yang bikin berasa kamarnya buersih bgt.. Layanan oke... Semoga bisa mampir lagi Selamat mencoba"
"8.","indra dwi pratiwi","3","2025-11-09","5","Sy menginap selam 3malam, Hotel nyaman ,pelayanan baik, service oke dan cepat tanggap.. Saat sarapan di restoran di sapa oleh Pak Dandy , ybs ramah & membantu.. Makanan di restoran enak dan variatif… Secara keseluruhan pelayanan baik & profesional.."
"9.","Jetty Baan","91","2025-12-09","5","Sangat memuaskan sekali, di hari itu kami bertemu dengan Kak Inul yang sangat ramah menyambut kami. Terimakasih untuk pelayanannya yang baik dan sangat membantu hari kami yang saat itu lumayan lelah karena perjalanan kami yang panjang."
"10.","TAXERRACT GLOBE","5","2025-12-09","5","Seluruh staf, khususnya Resto (Fenni dan Yuni), sangat ramah. Kamar luas dan bersih, pemandangan bagus ke laut dan selangkah menuju GWK."
