"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Kiki Rizki","31","2025-12-19","5","Hotel baru di bekasi. Seperti pengalaman yang sudah-sudah dengan Bonvoy group hotel lainnya, Fourpoints by Sheraton Bekasi sangat nyaman untuk disinggahi bersama keluarga maupun untuk perjalanan bisnis. And you know what?! Bisa akses langsung ke Mal Pakuwonnya Iho. Ada fasilitas kolam renang yang luas, dijamin anak-anak puas berenang disini. Kalau malam cobain deh chitchat di loungenya, bisa liat lampu gemerlap malam dari ketinggian hotel ini. Yg paling aku suka selain dari service ketika checkin yg sangat dibantu oleh kak Audrey yg super humble dan super cepet bantu proses checkinnya, hotel ini punya menu sarapan yang daebakkk lengkap, dan semuanya enak-enak dong, wah udah kebayang lagi sih ini pengen balik lagi kesana. Oh iya, waktu nginep aku pakai kamar executive suite yang luaaaas banget, dan viewnya ah keren deh, aku add extrabed dan babycrib untuk baby aku ini ruangannya masih legaaa banget dan super luas, waktu itu dibantu pemasangan extrabed dan babycrib nya oleh kak Arum yg super ramah dan satset bgt. Semoga kamar premiere suite nya bisa cepet launching yaaa, ga sabar pengen rasain sensasi nginep from the top of the floor nya Fourpoints bekasi 65) Pokonya kita sekeluarga So happy bgt bisa staycation di Fourpoints bekasi o"
"2.","Emilia Munaf","3","2026-01-02","4","Hari ini 31 Des 2025,saya menginap di four point Pakuwon Bekasi,ini kunjungan saya yg ke 2...Krn kondisi kami tdk bisa jalan2 ke tempat ya jauh,di putuskan utk menginap yg dekat saja...tp pas dtg jam 2 an siang,sampai resepsionis di layani mas Arief kt nya tunggu ya Bu kamar sedang di siapkan Krn full mau new year saya jawab OK baik, dan saya di minta no WA serta di arahkan utk main ke mall dulu nanti klo kamar sdh siap di WA... aneh jg arahan nya,tp saya tetap tunggu di sofa dgn sabar...tp sdh lebih jam 3 saya blm di beritahu,dan mas Arif nya sibuk melayani yg lain, akhirnya saya Ikut ngantri lg dr awal dan kebetulan kami lansia...pas ngantri di resepsionis yg sebelah wanita pelayanan nya cekatan n sopan,sdh memberi kamar ke tamu nya dgn kamar yg sama seperti saya pesan yunior sweet tp sdh di layani dan langsung dpt kunci....saya yg menunggu kamar sedang di bersihkan dr td blm dapat,saya pesan 2 kamar yunior sweet, kecewa banget, setelah kelg saya komplain baru dpt kamar sdh hampir jam 1/2 4 sore...ga jelas apa sebab nya, saya di sini mau nginap dan ingin santai malah jg kesal,toh saya jg tamu dan bayar kenapa begitu pelayanan nya,cukup saya aja yaa Mas Arif jgn kamu ulang utk tamu yg lain..."
"3.","K P","9","2025-11-09","5","Keren dan bagus banget ini hotel. Reservasi gampang, bisa payment at hotel (plus banget ini bagi saya) Lokasi dekat dengan exit tol (meskipun kadang macet bgt dari exit tol menuju hotel), bersebelahan dengan mall pakuwon (ada akses langsung menuju mall). Ada free parking dan slot parkir tersendiri dekat akses hotel di basement. Kolam renang luas dan ada kolam khusus anak (kedalaman cuma 30cm). Kamar luasnya standar, bersih dan kasurnya enak king koil. Kamar mandi bersih, ada hand shower. Di kamar juga disediakan steamer (biasanya cuma nemu setrika). Sarapan cukup enak, ada kids corner dan es krim jadi anak2 pasti suka plus dikasi alat gambar pula. Untuk gym alatnya standar namun saya rasa untuk alat latihan bebannya kurang, cuma ada 1 alat latihan beban dan dumbel. Pelayanan staffnya dari yg di lobby bawah, receptionist, resto dan housekeeping supeeer sekali."
"4.","endang widyastuti","2","2025-12-26","5","Staff yg ramah dan sangat membantu dari awal kedatangan, checkin,sampai pulang Kamar bersih simple dan mewah Kolam renang nyaman gak kena panas karena tertutup gedung tapi tapi bagus pemandangan nya Sukses selalu four point hotel bekasi"
"5.","Maryani Maryam","30","2025-10-09","5","Saya baru saja menginap di Four Points by Sheraton Pakuwon Bekasi, dan pengalaman saya benar-benar luar biasa dari awal hingga akhir. Begitu tiba di hotel, saya langsung disambut dengan keramahan luar biasa dari tim Front Office pak Iwan (kalo ga salah) di lobby untuk membantu membawakan barang kita, terutama Mbak Adelia dan Mas Kevin. Mereka melayani dengan sikap yang sangat profesional, hangat, dan tulus — membuat setiap tamu merasa istimewa sejak langkah pertama di lobi. Barang2 juga sampai dengan cepat di kamar. Kamar yang saya tempati sangat nyaman, bersih, dan tertata rapi dengan desain modern yang menenangkan. Detail kecil seperti welcome cake manis yang dikirimkan langsung ke kamar menjadi sentuhan personal yang sangat berkesan. Tidak hanya lezat, tetapi juga mencerminkan dedikasi hotel dalam memberikan pelayanan terbaik. Kamar mandinya bersih, wangi, dan memiliki fasilitas lengkap — benar-benar memberikan rasa tenang setelah hari yang panjang. Area kolam renang juga menjadi salah satu favorit saya: suasananya tenang, pemandangannya indah, dan pelayanan staff di area pool juga sangat sigap serta ramah. Setiap sudut hotel ini terasa dirawat dengan penuh perhatian. Mulai dari kebersihan, keramahan seluruh tim, hingga suasana hangat yang membuat tamu betah berlama-lama. Terima kasih Four Points by Sheraton Pakuwon Bekasi, terutama kepada Mbak Adelia, Mas Kevin, dan seluruh tim hotel yang bekerja dengan hati. Pelayanan kalian bukan hanya profesional, tetapi juga penuh dedikasi dan kehangatan — membuat pengalaman menginap saya menjadi lebih dari sekadar nyaman, tapi benar-benar berkesan. Disini juga ada fasilitas Spa yang sedang disc 50% dan area gym yang sangat proper. dan jangan khawatir untuk bosan. Karena mall ini terhubung dengan mall pakuwon bekasi yang sangat lengkap. bener2 Tempat terbaik untuk beristirahat dengan pelayanan yang tulus dan pengalaman yang berkelas. Terima kasih Four point By Sheraton Pakuwon bekasi."
"6.","bondan wiratmoko b. s.","531","2025-11-09","5","Saya tidak menginap disini, saya hanya menghadiri conference yang kebetulan diadakan disini di lantai 11. Hotel ini memiliki lebih dari 1 meeting room berukuran cukup luas. Sound yang dipakai cukup baik hanya saja masih pakai mic batang meskipun sudah wireless... Menu coffee breaknyai sebelum maksi dan sesudah maksi total ada 3x snack tapi menunya untuk yang dua snack pertama sama ternyata hahahaha.... Makanannya terhitung enak .... Toilet sangat bersih dan gud view (toilet area meeting room lantai 11) Berlokasi di area yang padat lalu lintas sih.. hehe siap siap macet dan lama dapet grab atau taksinya hehehe."
"7.","Saras Wati","5","2025-11-09","5","menginap di hotel four points sangat recomended banget, karena kamar luas bersih nyaman fasilitas lengkap dan pelayanannya sangat ramah sekali. kolm renang juga lengkap ada 3 jenis tipe kolam mulai dari untuk balita sampai dewasa. yang bikin istimewa pemandangan dari kamar , resto area gym, cafe, sampai lobby pun sangat keren banget. saran bisa tambahin mini playground untuk anak agar lebih kids friendly"
"8.","Shasha Nur mecca","7","2026-01-02","5","Thank to Mr sany Saat itu saya kesulitan saat akan keluar parkir, dia 3x bolak balik karena kesalahan saya yang salah tap dengan etoll yang lain. Appreciate untuk smua staff yang baik baik. Btw hotel ini baru dan bagus. Kalian harus coba yang baca ini thanks"
"9.","yudilelana","8","2025-11-09","5","Best banget, bersih nyaman, breakfast nya luar biasa… Hospitalitynya kerennn… Mbak Erika jg melayani kami dengan sangat baik… Semoga mjd hotel terbaik di area Bekasi dan sekitarnya…🙏"
"10.","diana sutanto","26","2025-11-09","5","Brand New hotel, baru beroperasi, terletak di lokasi strategis kota bekasi. Semua staff hotel ramah dan helpful Yang paling berkesan adalah breakfast nya, Indonesian food Dan western food nya the best, semua enak tasty, tidak seperti makanan hotel yg pada umumnya yg hambar. Sukses selalu Fourpoint 🙏"
