"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Kind Otorent","1","2026-01-04","5","Pengalaman staycation yang sangat menyenangkan,semua staf friendly sekali,spesialy untuk miss ROSI di kids club sangat bagus untuk pemgawasan anak2.the best... Di tunggu kedatangan nya di bali"
"2.","Ricky Anthony","12","2025-12-09","5","Stay 1 malam yg seharusnya 2 malam. every staff should be ok restaurant staff bth pengalaman,pengalaman sedang lunche meeting di tanya 4 kali seputar bill payment oleh 3 staff resto yg berbeda seperti tidak ada kordinasi internal..lalu ketika breakfast sedang ambil sendok semua makanan saya blm selesai d santap sdh di clean pickup 😔 taste of restaurant jg ok.."
"3.","Sandi Juniart","55","2025-12-09","5","Hotelnya bagus banget sih, fasilitasnya banyak, dipinggir pantai juga. Mau bernang di pantai atau kolam renang bebas tinggal pilih. Viewnya mantaps"
"4.","Rhylsi","208","2025-09-09","5","kemarin kesini hanya antar tamu hihi, dan jujurly menurut saya pribadi pelayanannya ramah, saya tanya mushollah dan diantar ditunjuk arah dengan baik. namun sayang mushollahnya ada bekas jejak kaki berpasir di dekat jalan ke keran air, sepertinya ada yang masuk dan mengira ini tempat cuci kali ya? padahal ini mushollah."
"5.","Emanita renata","5","2025-07-09","3","Untuk sekelas internasional pelayanan masih jauh dari ekspetasi. Tidak ada welcome drink, tidak ada pengarahan untuk lift karena gedung kanan dan kiri beda lift. Pelayanan lelet dan kurang kompeten, kayanya banyak anak magang kali ya. Saran saya, tolong pekerjanya di training berkala. Karna harga hotel permalam di lagoi bintan sudah cukup mahal dan pangsa pasarnya luar negeri"
"6.","Alifia Talitha","48","2025-06-09","5","Bagus banget! Kamarnya bersih, amenities lengkap, tapi akan lebih bagus kalau sikat giginya diganti dengan yang lebih baik. Poolnya bagus, hanya playlist yang diputar di public area harus di update. Gym juga termasuk lengkap dan bersih namun tidak ada sport towel. Untuk makanan so far enak semua, servicenya juga sangat baik."
"7.","Muhammad Yusuf Zaky","12","2025-07-09","3","Tidak mendapatkan equal services pada saat memesan kopi, antara turis lokal dan mancanegara. Besar harapan kami dapat diperbaiki, room service dan front desk officer memuaskan, kamar baik, sangat disayangkan mendapatkan pengalaman yang kurang baik di saat breakfast."
"8.","SendideamstronG 13","143","2025-12-09","5","Hotel nya juara. Lebih cocok untuk honey moon yg membutuhkan ketenangan disinilah tempatnya"
"9.","Puro Sari","185","2025-01-09","5","salah satu hotel yang ada di kawasan Lagoi, dgn view yg bagus... pergi kesini krn menghadiri wisuda adek, Krn bosan menunggu di dlm ruangan yg tempat duduknya terbatas jadi berinisiatif utk berjalan2 sekitar hotel utk mengisi waktu. view-nya bagus, ada beberapa villa dgn private pool di dekat pantai. blm pernah nginap disini, tp melihat dr ulasan2nya sih seperti nya baguss 🤭 semoga aja ada kesempatan utk menginap disini. apakah akan balik lagi?? yaa pasti klo ada kesempatan dan rejekinya kesini lagi. apalagi klo bs kerja disini, enakk kalii yaa meet foreign 😍 I love hospitality 🥰"
"10.","Adi Kurniawan","31","2025-01-09","5","Seperti biasa, menginap disini karena keperluan kerjaan. Hotel tepat dipinggir pantai, pantainya lumayan bagus dengan pasir putih dan cukup bersih. Menurut saya hotel ini cocok untuk liburan, tapi bagi saya susah untuk mencari makan karena saya nda mau pesan makan di hotel (nda kuat dompet saya 😭). Karena saya ada kerjaan di singatac pas pulang saya beli makan di luar resort untuk makan malam di hotel. Untuk laundry harus saya telpon dulu baru di antar ke kamar. Kurang tau juga, mungkin prosedur hotel seperti itu"
