"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","anshari siregar","44","2026-01-03","4","Hal positif, ada petugas yang mengarahkan meja berdasarkan jumlah tamu saat sarapan. Hanya saja perlu adanya edukasi kepada para tamu untuk mengambil makan secukupnya dan antri. Agar menumbuhkan budaya yang lebih baik lagi dan mencegah makanan terbuang banyak. Kolam renang baiknya di cek kembali kebersihannya. Terimakasih"
"2.","Dhila Salwa","2","2025-12-09","1","tidak rekomennnnnn ahahahah, ac rusak stuck di 27 derajat tp alasannya krn ac mengikuti suhu ruangan. komplain tp sama frontlinernya diancam mau ngusir padahal sdh booking 3 hari. setelah marah2 di lobby hotel dan minta ketemu sm manager baru dipindahkan kamar dan dingin, sangat rugi waktu dan tenagaaa. komplain dari check in jam 2 tp kamar diganti jam 12 malam🤣🤣🤣. resepsionis jutek ga cocok jd frontliner🤣🤣 hari berikutnya pindah di kamar executive suite, tetap panasssss ac nya stuck di 26. komplain lg tp ya gitu engineer cuma periksa dan g difollow up lagi, malas debat capek habis energiii. plusnya di hotel ini cuma staff di restonyaa, sehat2 yaaa🥰 untuk harga segituu mending yang lain ajaa gais, ini tdk worth it. hotel grup marriott yg sangat gagal"
"3.","Franciska Chen","66","2025-12-26","1","AC PANAS! AC PANAS! Udah gitu aja cukup melukiskan kekecewaan. Dulu saya pernah menginap 2-3 thn lalu ga gini. Pas saya minta engineer datang, ngotot katanya uda 18 derajat. 18 DERAJAT APANYA? Bayiku sampai kepanasan. Kutempel bye2 fever. Yg punya anak2, GA USA NGINAP SINI! Anak2 ga akan tahan saking panasnya!"
"4.","mutiara maghfirah","2","2025-12-19","1","kamarnya panas, katanya pakai ac central tp suhunya mengikuti suhu ruang hari pertama saya komplain tapi petugasnya juga marah2 setelah bcra sama managernya baru akhirnya di kasih pindah dikamar yg dingin , keesokan hrinya saya psan kamar yg lbh besar tp ternyata sama acnya tidak dingin sama sekali , baru pertama kali saya dapt hotel sepanas ini"
"5.","Reski Parani","1","2025-12-12","5","Sangat reccomended makan dimsum di golden asian hotel four points, banyak pilihan menu dimsumnya bisa pilih ala carte dan paket makan sepuasnya. Dari segi rasa sangat good taste👌. Dari tempat juga sangat nyaman ada private roomnya juga. Untuk pelayanan sangat dapat hospitalitynya, terima kasih buat mas Reihan dan mba Anisah. 👏🏻"
"6.","oh my my my","10","2025-11-09","2","Lobi hotel berbau parfum murahan. Setelah check-in, saya mendapati seprai belum diganti dan ada sisa makanan di atasnya; kebersihannya sangat buruk. Ketika saya meminta petugas kebersihan untuk membersihkan lagi, mereka malah bertanya dari mana saya berasal—apa itu sopan? Sarapan hotelnya buruk; mentimunnya terasa amis, dan cangkir kopinya kotor dan penuh noda kopi."
"7.","Hendri Gunawan","86","2025-12-09","5","Walau hanya berkunjung bertemu rekanan saja ttapi saya sangat merasa nyaman dgn hotel ini. Fasilitas lengkap, kamar2 jg sangat memuaskan, pelayan yg baik dan ramah serta kebersihan yg terjaga. Masalah harga lumayan lah..... Yg jelas tempat ini recommended banget"
"8.","Mee Muni","127","2025-11-09","5","Salah satu one of the best hotel di kota makassar, stay untuk business trip 2 malam,lokasi strategis, pelayanan ramah, kamar bersih walaupun aku di smoking rooms tp tdk ada aroma rokok. Bfast stall yang variatif dan terimakasih kpd staff resto Pebi dwi yolanda yg sudah bantu dan menjelaskan makanan2 khas dari makassar. Dan harus coba saraba ,minuman khas makassar. Overall puas stay disini dan recomended"
"9.","Febs Febs","143","2025-08-09","1","Check in jam 13.00 di kamar 4057 dan kamarnya sudah ready. Saya masuk ke kamar dan kamar memang rapih dan bersih. Setelah itu saya cuci muka, cuci tangan, ganti baju dll persiapan untuk ke kantor, keluar hotel dari jam 13.30 dan kembali lagi jam 17.00. Kaget banget ketika sampai kamar, handuk yang saya pakai sudah pindah tempat, keset kamar mandi juga pindah tempat, remote TV yang tadinya di tempat tidur pindah ke meja. Seketika merinding disko. Akhirnya ke Front Office dan minta klarifikasi. Ternyata housekeeping salah masuk kamar, harusnya ke kamar sebelah bukan kamar saya. Lalu dapat compliment apa? 2 botol air saja. Yang kedua, baru kali ini tidur di hotel tapi nggak bisa tidur sama sekali, AC 15 derajat C tapi rasanya suhu ruangan. Buat saya yang tidur harus dingin, ini siksaan banget sih. Akhirnya komplain jam 01:30 minta engineering cek, dan mereka datang. Solusinya? Pindah kamar, masih satu lantai. Kebayang nggak seharian kerja ke proyek, capek, remek, nggak bisa tidur dan harus packing jam 01:30? Nah gitu deh. Dapat compliment? Oh nggak ada, cuma ucapan maaf aja dari Front Office. Kamar baru 4030 not bad, ACnya lumayan berasa. TAPI ternyata kamarnya remang2 banget, area sofa agak gelap which give me a creepy feeling… tapi ya udahlah mau gimana lagi.. mau pindah hotel udah nggak ada tenaga lagi 😭 Mana saluran TVnya suka hilang sinyal loh, wifi juga nyala mati duhh.. nggak sabar rasanya check out dari hotel ini. Ada rambut ya di baked beansnya saat saya sarapan. Makasih banget buat pengalamannya yang bikin saya mual pagi2. Dapat compliment apa? Nggak ada. Ditawarin diambilkan lagi baked beansnya, masalahnya apakah baked beans yang lain itu nggak terkontaminasi sama rambutnya? Makasih Four Points by Sheraton Makassar , untuk sakit kepala saya hari ini karena AC yang nggak dingin dan makanan yang ada rambutnya yang bikin saya mual seharian. Anyway kamar 4057 pemandangannya luar biasa loh: atap gedung sebelah 🤣 Sebagai “compliment” saya untuk Four Points yang sudah memberikan 2 botol air setelah semua kekacauan ini, saya mau kasih hadiah nih: saya nggak akan recommend hotel ini ke siapapun dan nggak akan tinggal di hotel ini nextnya."
"10.","lanny wijaya","94","2025-12-09","4","Hotelnya ramai tapi kurang bersih. Lift nya terbatas dan kecil. Parkiran jauh dan kalau hujan bisa basah. Jika ada pesta besar, atau acara besar, jalanan macet dan parkiran penuh"
"11.","putri wulandari","4","2025-11-09","4","Kamar sangat luas, kasurnya pun yg ukuran besar gak yg normal hotel pada umumnya, makanan sangat beragam dan enak walaupun ada beberapa yg gak sesuai lidah (karena selera), kemudian pelayanan baik dari eo hotel, di restoran itu sangat baik dan org orgnya ramah, sayangnya 1 aku gabisa nonton yt atau netflix 😭"
"12.","megah Purnamasari","12","2026-01-02","5","Hotel recomended, staf ramah pelayanan cepat, makanan enak², kamar bersih cuman kurang hairdryer."
"13.","Rafika Batari","2","2025-10-09","5","hotel yang sangat recommended. terima kasih atas makanan yg enak dan pelayanan yang luar biasa dari Kakak Astri di resepsion, Kakak Aulia dan team di Resto. Dapat kamar yg pemandangannya bagus sekali. jaya selalu yah"
"14.","firyal nabila devega","10","2025-12-09","4","Lotus hall nya luas dan bagus banget utk acara wedding. Hanya saja tmpat parkirnya kurang, apalagi klau ada lebih dri 1 kegiatan d hotel nya, .."
