"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","annistaft taft","6","2025-12-09","1","Saya hari ini tgl 23 nov ada reservasi hotel utk tamu saya . De tgl 23-26 Nov 2025 Tadi pagi tgl 23 Nov 2025 jam 08.00 sy dpt info dari client sy bahwa kamar dicancel krn mereka sdh booking. Sy hub Sales Hotel bernama Ompi tapi tdk diresponse, ditelp tdk diangkat2 Jam 10.11 Ompi baru resposne dan mengatakan baru response ken baru bangun tidur . Whatsss?? Masa seorg Sales Hotel Chain sekelas Sheraton jawabannya begitu ??? Dan dia juga bilang tdk bisa di refund bicara dgn attitude yg tdk profesional . sy sdh infokan bahwa gpp hangus 1 malam selebihnya sy mnta di refund. Tapi tanpa komunikasi yg menenangkan client dan tdk memberikan solusi , malah dia mengirimkan capture WA dr guest service yg sy kirimkan bahwa dia baru bangun . Sy minta refund saya diberikan ya . Krn kami tdk menggunakan kamar tsb. Sy mnta kpd GM Four Points Manado utk berikan solusi atau sy akan buat case ini menjadi panjang agar org lebih berhati2 menginap di Hotel Four Points Manado . Sy tunggu itikad baiknya . Dan satu Advise dr sy lebih baik menghire Sales yg lebih profesional krn berpengaruh thdp image Perusahaan sekelas Group Sheraton Hotel ( Four Points ) . Thank you"
"2.","FrisquellaRegina Sanjaya","31","2026-01-02","4","gedung hotel bersebelahan dgn mall ManadoTownSquare. Pelayanan nya gercep dan ramah. Fasilitas cukup lengkap dan bagus. tergolong hotel yg pricey di Manado. kalau mau cari makan diluar hotel banyak pilihannya. cukup dekat dengan masjid dan gereja."
"3.","emma the pooh","1","2025-11-09","3","Maaf sekali untuk ratingnya, tapi saya sangat menyesali sikap security saat di lobby. Sangat tidak ramah bagi kami pengunjung yg datang tanpa mobil hanya berjalan dari depan, saat saya memberi salam dan bahkan orangtua saya mengucapkan terima kasih tidak di respon hanya cuek saja. Saya berharap untuk hotel sebaik ini staffnya apalagi security yg menjadi orang pertama yg menyapa pengunjung bisa lebih care lagi tanpa memilih pengunjung yg membawa kendaraan atau hanya berjalan. Terima kasih :)"
"4.","PAPA ali","10","2025-09-09","5","Kamarnya bersih, kamar mandi bersih, namun chamnel tvnya kurang banyak utk saluran filmnya. Breakfast makannya enak dan bervariasi dan dapat memesan kopi dari mesin kopi yang fresh. Layanan kamar juga bagus. Lokasi strategis, disamping manado town square, bs masuk langsung dari sebelah pintu masuk hotel. Kamar bisa view laut. Dan bisa jogging atau walking di pinggor laut."
"5.","Yogis Music Studio","17","2025-11-09","5","Awalnya lift hanya 1 yg aktif sempat kecewa. Ternyata langsung diperbaiki. Untuk yang bersihkan kamar mas Saiful terbaik membuat kami nyaman 3 malam menginap. Saat sarapan ditawari kopi dan saya request es kopi hitam langsung disajikan. Semoga bisa kembali ke Manado dan stay di sini."
"6.","Steven candra","74","2025-09-09","2","1. Airnya keruh ! Ini red flag sekali karena even penginapan sekelas oyo saja airnya jernih !! 2. Air hangatnya mati! Dan alasannya sedang maintenance , what the hell ! Padahal cuaca lg hujan terus mau mandi air hangat tidak bisa! 3. Kok bisa di lorong kamar ada piring ketumpuk dan ga diberesin - kek ga di hotel asli lebih kayak kosan ."
"7.","Erma Irawati","325","2025-09-09","5","Location : five star Hotel berada tepat di pusat kota Manado 1 area dengan Mantos Nyaman menginap disini. Kolam renang langsung view pulau Manado tua. Jalan pqvi diswputaran hotel juga sangat menyenangkan."
"8.","Kezia Lowing","5","2025-09-09","2","Pelayanan harus di tingkatkan. Sudah konfirmasi lewat telepon bahwa kamar telah ready dari jam 1 siang. Namun pas tiba di hotel, masih harus menunggu kurang lebih 1 jam lagi untuk proses check-in padahal saya harus keburu check-in karena sudah ada yang menunggu."
"9.","lusi aryola","10","2025-08-09","4","Saya cukup senang berada disini,kamar nyaman dan luas dengan kasur twin bed @120 cm Semua fasilitas lengkap.Sarapan juga banyak pilihannya. Cuma untuk menu lokal kayanya kami sekeluarga kurang masuk seleranya.Beberapa masakan juga seperti kurang segar,sehingga kurang menggugah selera seperti masakan cumi asam manisnya,dan ayam (resep lokal). Lainnya Best👍"
"10.","Fitri Yanti","132","2025-12-09","5","kalau ingin kamar yg view nya laut ada tambahan harga.. tp kamar yg tidak menghadap laut, pemandangannya juga tidak kalau bagus"
