"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Michael Riupassa","53","2026-01-02","4","Sangat nyaman untuk menginap di hotel ini, hotelnya sangat bersih, pelayanannya ramah dan semua fasilitas terawat dengan baik. Mungkin dikarenakan ini merupakan hotel yang dapat dibilang cukup baru, jadi mungkin memerlukan beberapa masukan. Saat saya menginap, pertama kali saya masuk kamar, kasur tidak seimbang sehingga goyang, kemudian telepon yang ada di dalam kamar tidak ada kabelnya dan tidak bisa digunakan saat itu. Saya memilih untuk turun ke receptionist untuk melaporkan hal tersebut. Tak lama setelah itu, kamar saya langsung di perbaiki dan kasur menjadi seimbang, namun telepon dikamar tetap tidak bisa digunakan. Untuk breakfast menunya standart, tidak terlalu dikit tapi juga tidak terlalu banyak, namun disaat saya ingin mengambil kangkung untuk gado-gado, masih ada akar dari kangkung yang dihidangkan sehingga harus saya bersihkan sendiri. Tetapi saat itu juga saya sampaikan ke staff hotel dan langsung di take out untuk dibersihkan. Overall semuanya sangat baik dan mungkin ini merupakan hotel termewah dan terestetik yang ada di kota Pontianak. Terakhir, untuk lokasinya sangat strategis karna dekat dari Bandara Supadio, Mall GAIA, minimarket, dan jalan menuju daerah ambawang, entikong, kembaran, dan lain-lain."
"2.","Yosseli Rifurareani","8","2025-12-26","1","KESAN PERTAMA YANG SANGAT MENGECEWAKAN utk manajemen hotel sekaliber sheraton,permintaan maaf template, dan seperti biasa konsumen yang dirugikan memberikan solusi yang sama sekali bukan solusi,belum siap dgn third party,dengan segala fasilitas yg ditawarkan di aplikasi online. Belum siap dan terlalu dipaksakan,utk buka diakhir tahun. Utk semua KONSUMEN saran saya TELP LANGSUNG k hotel ini utk menginap,jgn lewat aplikasi online karena banyak sekali ketidaksesuaian, saya yg pesan 1 bulan sebelum menginap saja bisa bermasalah apalagi H-1. SARAN untuk MANAJEMEN HOTEL JIKA KALIAN SUDAH OPENING ARTINYA KALIAN SUDAH SIAP DENGAN SEGALA FASILITAS DAN LAYANAN YANG ADA, BAIK OFFLINE ATAUPUN ONLINE. Tapi apapun makanannya minumannya tetap teh botol sosro,apapun masalahnya yang salah tetap KONSUMEN. Salam Hormat utk manajemen Hotel Keren ini"
"3.","Eddy Kwok Fun Cell","73","2026-01-02","4","Kamar bagus, kolam renang bagus. Pelayanan bagus. Ranjang bunyi, mungkin pengaruh lantai yg kurang rata. WC nya sayang gk ada exhaust dan gantungan buat baju,dsb sangat kurang."
"4.","IRENE BILQISTY","6","2025-12-09","5","terimakasih pelayanannya sangat sangat bestttt! gercep! satset! lagi makan malam disana, trus mau ke wc, karna takut ehh malah ditemenin mba pelayan restonya makasih ya mba🩷 makanan nya juga ENAKKK apalagi kuah laksa dan sambel matahnya duh!🩷 cuma memang untuk cemilan coffee break harus diupgrade lagi makanan nyaaa hihi, overall best!🩷"
"5.","Prasabri Pesti","1","2025-12-09","1","Toilet bau sekali, sudah dicoba bersihkan petugas bau tetap muncul dari saluran air. Nampaknya ada kesalahan sistem saluran buangan hingga bau dari luar balik masuk ke kamar mandi/kamar."
"6.","Anditya Gilang","427","2025-12-19","4","Selain dijadikan tempat untuk menginap dan beristirahat sementara di kota kubu Raya, Disini juga tersedia layanan kolam renang dengan view bundaran gaforaya yang cantik dan sarana olah raga seperti gym Posisi juga mudah diakses baik dari bandara maupun dari arah luar kota kubu Raya, Suasana tenang dan nyaman menjadikan alasan kenapa memilih untuk tempat ini sebagai tempat persinggahan sementara Selain itu juga tersedia berbagai macam ruangan untuk meeting dan acara keluarga lainnya misal pernikahan, pertemuan terbatas atau acara dinas dan kantor Demikian informasi singkat yang bisa saya ulas, semoga bermanfaat Terimakasih"
"7.","Riry Adisty","1","2026-01-02","5","Wort it untuk keluarga sih disini. Tempat nya sgt nyaman dan friendly untuk anak anak. Dari cek in smpai cek out dibantu kak betsi sangat ramah dan helpful. Thanks kak betsi"
"8.","Mitsu Hikari","1","2026-01-02","5","Pelayanannya ramah dan nyaman, Makanannya enak-enak. Cocok untuk liburan bersama keluarga, tidur juga jadi nyenyak karna bersih."
"9.","atika saja","1","2025-12-19","5","Direkomendasiin teman untuk kesini🫶🏻 tempat nya nyaman banget apalagi bang Ipin top! Aktif banget, sampai nyamperin pas sarapan buat nyapa dan nanya kabar. Serasa dilayanin keluarga sendiri. Suka banget!"
"10.","Yolanda Yulianti","4","2025-12-12","1","Tolong pihak management hotel apa iya krna saya ojol sampai saya dicuekan nanya dan dsuruh tgu d tempat panas2 sedangkan saptam sambil telpon ditempat teduh"
"11.","Grisel Siregar","11","2025-12-12","4","Halo, Salam hangat,sy mau minta nomor Hp yg bisa di chat WA ya,khusus untuk corporit, Trimakasih."
"12.","dyar CG","3","2025-10-09","5","Lokasi strategis ,kost nyaman , dekat dengan kampus jalan poros"
"13.","Yarad Borneo","7","2025-01-09","5","Area strategies hotel four points. Saya jadi ingin tahu siapa kepala insfratruktur rancangan tempat ini dan terlihat Luxury"
"14.","Mulyadi Ardiansyah","1937","2025-12-26","3","View nya keren ni"
"15.","Ridwan Syah","1","2025-04-09","5","Info lokernya min? Pengalaman hotel grand mahkota 10th"
"16.","Rental Mobil Pontianak JMTRANS","142","2025-12-09","5","Bagus hotel nya"
"17.","Ananda Tri Ferdiansyah","2","2025-01-09","5","Hotel yg di bangun oleh kontraktor APG... bulan februari SPK saya turun,"
"18.","Parman Harsodimulyo","686","2025-12-26","4","Terbaik di Pontianak.."
"19.","Dimas Mahendra","1","2025-01-09","5","Kapan mulai operasional nya ini hotel min?"
"20.","yunus aha17","6","2025-10-09","5","👏👏👏 …"
"21.","Shalman 7","1","2025-01-09","5","Linknya mana min"
"22.","Yeni Pronika dewi","3","2025-01-09","5","Keren modelnya"
"23.","Fiqri","77","2025-01-09","4","Kapan jadinya ini ?"
"24.","nona arn","35","2025-12-19","5","N/A"
"25.","Herlina Siip","142","2026-01-08","4","Lokasi strategis ya , Deket buat ke mana rapi, bersih udah pasti ya, sbb ini jg bangunan baru."
"26.","Yen Yens","24","2026-01-05","4","Pesan non smoking room, tp kamar bau rokok menyengat, untungnya gercep dicariin room lain yg ga bau asap rokok. Fasilitas kamar oke. Utk breakfast dg 160rb/pax dan harga kamar yg mahal sgt tidak sebanding dg hidangan, variasi mkanan sangat2 sedikit ga beda sm hotel bintang 3,tlg diperhatikan lagi utk hotel dg klaim 5 bintang ini. Parkiran mobil tidak terlalu luas."
"27.","Tomi Harsono","40","2026-01-02","4","Saya menginap pada 31 des 25 hanya 1 malam pada kamar no.808. Untuk kebersihan saya rasa sudah sangat baik. Staf hotel juga sangat ramah. Cuma beberapa staf memiliki pengetahuan yang kurang mengenai hotel pada saat bertanya. Beberapa poin yang mungkin bisa management hotel perbaiki. 1. Tidak ada menu makanan di kamar yang bisa di pesan. Sangat disayangkan menurut saya karena harus ke restoran untuk memesan. 2. exhaust fan toilet sepertinya tidak bekerja dengan baik. 3. Wifi hotel sangat lelet sekali 4. Ketersediaan tisu hanya ada di toilet. Mungkin bisa ditambah 1 lagi dikamar. 5. Air pada shower lambat sekali saya tidak tau apa yang salah. Mungkin bisa di cek. Menurut saya tidak normal. 6. Drynase kamar mandi buruk sekali. Tergenang dan air tidak masuk pada lubang pembuangan. Saya ada sertakan video. 7. Paling menyebalkan menurut saya, pada saat mandi. Sabun, concitioner, shampoo semua kosong habis. Tidak di refill dan tidak di cek pada saat menyiapkan kamar. Memang pada saat complain, petugas langsung datang mengganti, cuma saya kesal karena saat mandi tidak ada sabun padahal sudah basah. Masih banyak yang harus diperbaiki melihat ini bukan hotel bintang 2-3. Kesan pertama saat menginap disini lumayan baik, cuma terganggu dengan beberapa poin di atas. Semoga kedepan bisa diperbaiki dan membuat pengalaman menginap menjadi lebih baik."
"28.","Cjey西杰","1","2025-12-19","5","Saya sangat menikmati menginap di hotel ini. Lokasinya sangat bagus, sangat nyaman dan dekat dengan bandara serta pusat perbelanjaan. Pemandangannya indah, dan lingkungannya nyaman dan menenangkan. Yang terpenting, stafnya sangat ramah, sopan, dan membantu, memberikan pelayanan yang luar biasa selama saya menginap. Secara keseluruhan, ini jelas merupakan hotel yang layak untuk ditinggali, dan saya sangat merekomendasikannya."
"29.","Devi Phang","4","2025-12-09","5","Kami menikmati masa inap yang menyenangkan di sana. Kamarnya luas dan bersih. Sarapannya enak, banyak pilihan, dan lezat. Sarapannya ada di lantai 1 dengan pemandangan kolam renang. Mereka juga punya kolam renang anak-anak. Pelayanannya sangat baik, mulai dari kedatangan hingga waktu check-out. Anak-anak sangat menikmati waktu mereka. Fasilitas kamarnya bagus dan tersedia pengering rambut di dalam kamar 😉. Lokasinya hanya 3 menit berkendara ke Gaia Mall. Sangat direkomendasikan."
"30.","Yonatan Rendy","34","2025-12-09","5","Menginap di sini sebagai Platinum Elite. Ini hotel baru. Tidak dapat upgrade kamar, tapi mereka memberi saya sarapan gratis sebagai hadiah selamat datang Elite. Rachmat dan Betsy dari resepsionis, dan semua orang di sini sangat ramah menyambut saya dan istri saya. Harganya juga terjangkau. Semoga sukses, teman-teman. Tuhan memberkati kalian semua."
"31.","Syahru Romadoni Nurullah","5","2025-12-09","5","tempat strategis, pelayanan terbaik.. overall top deh....."
"32.","Ngsau Thit","1","2025-12-09","5","N/A"
"33.","Rolf W","12","2025-12-09","5","N/A"
"34.","Fatah_Fish","13","2025-12-09","5","N/A"
"35.","Zeist","1","2025-11-09","5","N/A"
"36.","riepay march","1","2026-01-04","4","N/A"
"37.","Nurul Jannah","1","2026-01-03","5","N/A"
"38.","Ben","119","2026-01-02","4","Ini adalah hotel baru di kota, baru dibuka beberapa minggu yang lalu. Kamarnya sangat bagus. Bersih dan nyaman. Beberapa bagian di kamar perlu sentuhan akhir yang lebih baik. Menempatkan AC di luar dekat jendela bukanlah ide yang bagus. Di malam hari, terdengar suara bising dari AC di luar. Akan lebih baik jika menyediakan fasilitas yang lebih baik. Tidak ada losion tubuh di kamar, bahkan saya bertanya kepada petugas kebersihan, mereka mengatakan kehabisan stok yang agak aneh, mereka baru saja beroperasi. Mengingat hotel ini masih baru, staf masih membutuhkan lebih banyak pengalaman. Sebagian besar dari mereka adalah pendatang baru di bidang perhotelan, hanya sedikit yang memiliki pengalaman bekerja di hotel sebelumnya. Sarapan biasa saja, dibandingkan dengan hotel sekelas dari merek/grup hotel lain. Lobi hotel sangat bagus. Terutama pemandangan ke bundaran. Salah satu yang terbaik yang pernah saya lihat. Terletak di antara bandara dan pusat kota."
"39.","Titin Parwati","1","2025-12-09","5","N/A"
"40.","Eugenia Mulian","859","2025-12-09","5","N/A"
"41.","hilda RH","2","2025-06-09","5","N/A"
"42.","Efan Gunadi","1","2025-03-09","5","N/A"
"43.","Ipin Kalbar","10","2025-01-09","5","N/A"
"44.","Joe zhon","3","2025-01-09","5","N/A"
