"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Novi andra","23","2025-12-26","5","Menginap di hotel ini merupakan pengalaman yang sangat menyenangkan bagi kami sekeluarga. Hal yang paling menonjol dan patut diapresiasi adalah great customer service dan hospitality yang luar biasa. Sejak awal, proses penyambutan dan check-in berlangsung dengan lancar, ramah, dan informatif. Penjelasan mengenai fasilitas hotel disampaikan dengan sangat jelas, khususnya oleh Rebecca, yang menunjukkan profesionalisme dan perhatian terhadap tamu. Kamar tematik roket telah dipersiapkan dengan baik sesuai dengan pesanan. Anak kami sangat senang dengan perhatian kecil berupa boneka kelinci dan mainan yang tersedia di dalam kamar, yang menambah kenyamanan dan kebahagiaan selama menginap. Fasilitas hotel sangat memuaskan. Kolam renang luas dan bersih, area playground tertata rapi, serta didampingi oleh petugas yang ramah dan sigap dalam menemani anak-anak saat bermain. Pengalaman sarapan juga sangat berkesan. Pilihan menu sangat beragam dan seluruh hidangan memiliki cita rasa yang sangat baik. Kami mendapatkan pelayanan khusus dari Chef Pak Soim, yang menyajikan menu steak spesial dan dessert istimewa dengan penyampaian yang hangat dan menarik—sebuah little touch yang sangat berkesan. Selama sarapan, pelayanan dari Emir juga sangat prima, membuat kami sekeluarga merasa dilayani secara personal. Secara keseluruhan, hotel ini menjadi top of mind setiap kali berkunjung ke Surabaya. Terima kasih atas keramahan dan hospitality yang luar biasa."
"2.","Bob Mulyate","170","2025-12-26","5","Four Points yang terletak di Surabaya Barat. Untuk hotel di bawah bendera Marriot Bonvoy sepertinya sudah tidak perlu diragukan. Dari check-in sampai ke kamar semua sangat lancar, semua staff ramah dan helpful. Masuk kamar dalam keadaan bersih dan dingin, sangat menyegarkan dan menyenangkan mengingat panas nya Surabaya yang luar biasa. Four Points disini connect langsung dengan Pakuwon Mall, area parkir dedicated untuk tamu hotel juga tersedia. Tersedia fasilitas gym 24 jam yang lengkap dan swimming pool yang luas. Benar-benar menjadi one-stop solution untuk liburan ataupun bisnis. Shout out untuk semua staff Check-In di Selasa siang (16 Desember 2025), sangat ramah dan helpful. Awal nya rencana menginap hanya 2 malam, tapi memutuskan untuk menambah 2 malam lagi karena anak sangat betah. Rencana besok mau extend 1 malam lagi. Semoga lain kali berkesempatan mencoba Family Thematic Room nya. Ditunggu ya promo Thematic Room nya biar anak happy🙏🙏 Great job Four Points by Sheraton, great job Marriot Bonvoy!"
"3.","welly marg","10","2025-12-26","5","Kamar bersih , acnya dingin banget , kamar mandi jg bersih , breakfastnya 👍🏻 , overall ok , cm kmrn d kamar tempat saya menginap kulkasnya tdk bs dingin , jangan lupa minta free parkir di reception klo kesana karena parkirnya 1 hari 100.000 😁"
"4.","Fortasiano Primo","3","2026-01-02","5","Hotel terbaik di surabaya bagi golfer sepert saya karena dikelilingi oleh lapangan golf disekitarnya, hospitality sangat baik, makanan enak, sarapan disini sangat nyaman dgn music unpluged keroncong...sangat2 nyaman, setiap ke surabaya saya selalu stay disini"
"5.","Yuditha Bernadeth","8","2026-01-02","5","Breakfast nya di resto Djaman Doeloe menunya variatif dan enak2 semua.. plus staff nya ramah2.. terutama mas Eryk, mas Abe, mas Eka dan hampir semua service nya excellent.. selalu ditawarin bawa coffe atau hot chocolate ☕️👍🏼👍🏼"
"6.","CHA CHA","3","2025-12-09","5","Pengalaman sy menginap di Four Points Surabaya Pakuwon sangat menyenangkan sekali, staffnya ramah2 .. 2x sy menginap di sini utk short trip bersama keluarga, dan dua2nya tidak pernah mengecewakan 👌👌👌 Ank2 nyaman selama stay di sini, selain aksesnya yg langsung bisa ke Pakuwon Mall, kamar yg sy tempati juga sangat bersih, rapi, peralatan juga lengkap, kami juga diberikan welcome snack oleh pihak hotel 🥰. Saat breakfast juga varian makanannya sangat banyak, dan enak2, dessertnya juga banyak pilihannya 👍👍👍. Terima kasih special dessertnya utk ank sy (Pancake karakter),ank sy suka sekali. Pelayanan dari staff resto juga super duper ramah .. sangat2 baik sekali. Terima Kasih banyak utk Mba Nia , Chef Yudi & all the staffs. Next time kl ada kesempatan, sy akan menginap di Four Points Surabaya Pakuwon lagi. Sukses selalu"
"7.","Wahyudi Yohanes","199","2026-01-02","5","Pengalaman luar biasa dan menyenangkan bisa stay selama 4 hari 3 malam di sini. Semua staf luar biasa. Pengalaman breakfast juga luar biasa. Terima kasih banyak. Sehat dan sukses selalu semoga suatu hari nanti bisa menginap di four point surabaya kembali"
"8.","Weychan Sibarani","710","2025-11-09","3","Sy menginap disini sudah bulan april lalu Baru ngreview ini Waktu kesini pas liburan lebaran jadi dapat harga yang lumayan menurut sy (maaf sy kaum mendang mending) Menginap disini sebenarnya karena biar ngga repot banget untuk ibadah di hari minggu nya Ke sini disambut dengan bell boy ramah dan valet parking mobil didepan hotelnya Begitu masuk ke resepsionis mba-mba resepsionis tapi sy belum boleh check in dikamar yang sy pesan. Katanya karena masih perlu dibersihkan dan akan diinfokan begitu kamar selesai. Oke lha sy jalan-jalan dan makan dulu tuh di pakuwon mall Jam 3 lebih baru dikabari kalo kamar sudah ready dan bisa check in Begitu diresepsionis diberi kunci, udah gitu aja Ternyata besoknya sy baru tahu kalo ada welcome drink dan ada pilihan minumannya Itu pun sy tahu setelah ambil kunci diresepsionis dan barengan dengan tamu yang check in Sy tanya, kenapa sy ngga dikasih kemarin? Mas-masnya ramah dan menawarkan untuk ambil welcome drinknya Kamarnya cukup oke dan city view yang oke Yang menurut sy agak kurang dengan harga segitu tuh TV dan wifinya TVnya masih TV biasa dengan chanel yah yang itu, wifinya juga lemot 😅 Untuk sarapanya cukup oke, varian makanan yang variatif bahkan ada mie/ indomie goreng tapi untuk varian buahnya masih lebih oke dengan hotel yg sy inapi sebelumnya dan rasanya B aja dan ada yang asin (maaf menurut selera sy) Disini ada menu ice cream dan yoghrut yang free flow Malah di sarapan hari ke 2, pak suami makan menu rendang malah ada batu kecilnya (udah disampein sih ke petugasnya dan ada yang datang untuk minta maaf bahkan kasih cake sebagai permintaan maaf) Pelayanan petugasnya oke banget sih untuk restorannya Perhatian dan ramah Karena hotelnya tersambung ke mall jadi cukup ramai ya hotel ini O iya karena valet parking tadi dikenakan 50rb / hari tuh Dan ditagih begitu kami check out Sy kira dengan harga segitu sudah include parking ternyata tidak Mohon maaf ya dengan ekspektasi sy Terima kasih"
"9.","bagiyo bagiyo","4","2025-11-09","5","Lokasi hotel menyatu dengan mall Pelayanan istimewa semua staf ramah ramah. Access kemana mana mudah. Terimakasih sdh diupgrade kamar ketika pesan 2 kamar dengan connection door terwujud mudah memantau anak anak. Sangat puas kondisi kamar bersih dengan interrior yang baru. Bath tube ada bola sabun mainan dimana anak anak sangat suka. Sangat bagus idenya shg betah anak anak mainanan di bathtub. Response staff sangat cepat ketika anak tidak sengaja menutup pintu connection door shg kamar sebelah terkunci. Dengan sabar mencoba pintu dan bisa. Terimakasih !. Semoga dpt dipertahankan pelayanan ini. Rate sempurna buat semuanya."
"10.","Jeani R","22","2025-12-26","5","2 hari berturut² dapet servis super excellence dari house keeping. Their notes bikin tersentuh. Saya yang suka lupa rapihin kabel charger dan catokan. Balik² udah rapi, bahkan mukena dan sejadah dilipat semua. Hari berikutnya saya dkasih cookies dengan kotak gambar. Padahal hari terakhir mau tinggalin notes buat petugas house keeping tp buru² check out. Terima kasih banyak² buat Mas Herman dan Mas/Mba Rusy yang udah rapih bener take care kamar saya yg suka berantakan"
"11.","Syaiful Riza","5","2025-11-09","5","Hotel yang menjadi spot liburan & keperluan pekerjaan di Surabaya dimana tempatnya sangat strategis dan menyatu dengan mall Pakuwon, Selain itu jarak kebandara yang tidak terlalu jauh sehingga sangat nyaman dan enjoy saat pergi kebandara. Fasilitas : Kamar hotel yang mewah dan elegan, dengan fasilitas free WI-FI, TV dan kamar mandi yang bersih dan nyaman. Saya suka karena ada fasilitas fitness center 24 jam, selain itu ada juga fasilitas kolam renangnya. Selain itu ada fasilitas play ground untuk bermain anak anak. Sarapan di hotel four point pakuwon banyak pilihan dan terdapat makanan yang bernuansa nusantara seperti cendil, dll. Selain itu juga ada makanan western. Untuk pelayanannya sangat baik sekali terkadang bahkan chefnya sendiri meminta masukkan terkait makanan yang dimakan dan bahkan menawarkan makanan yang dibuat sendiri, baru dimasak untuk dicoba (sangat appreciate sekali). Untuk harga sangat kompetitif dengan fasilitas dan pelayanan yang diberikan masih sangat wajar. Saya sangat puas sekali dengan pengalaman menginap di hotel ini dan pasti akan merekomendasikan kepada teman-teman dikantor dan keluarga. Hotel four point pakuwon merupakan hotel berlokasi sangat strategis dan nyaman di kota Surabaya dan menjadi pilihan yang sangat tepat untuk di tinggalin. Saya kasih Rate 10/10."
"12.","Hendry Sutrisno","5","2025-12-12","5","Secara Overall hotel ini sangat memuaskan , mulai dari lokasi yang gabung dengan akses Mall Pakuwon, Proses check in , kamar yang clean dan rapi. Kolam renang yang cukup besar , Breakfast yang banyak sekali pilihan pilihan menu nya"
