"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Neill Kramer","352","2026-01-05","5","The rooms are very nice but a bit small. Still comfortable though. The hot and sauna are excellent and the breakfasts are great. There's a swimming pool but we didn't use it. Very good value forbthe price. Recommended"
"2.","hendrix m","76","2025-12-12","5","Pengalaman the First saya two night @ Morazen. Ok juga. Bagus. For the Staf lumayan dan cukup ramah, hospitality cukup baik tidak terlalu dipaksakan ya. ( kalau dipaksakan, ku rasa kembali ke SDM nya karakternya tdk tau gimana pada saat penerimaan pegawai bagus tidak. Untuk kamar nyaman,cukup bersih, menu sarapan hmmm ok. Staf melayani dengan baik tanpa pandang warna kulit dan mata belo atau sipit. Great. Untuk Swimming Pool nah ini hmm maybe bisa duduk bareng pihak terkait gimana baiknya tuh niat maximal tidak buat pool disitu ? Wong makan bisa makan disitu , swim juga disitu so kalau ada anak kecil swim dan main air jadi tidak nyaman and free karena kwatir splash air mengenai orang yang bukan berenang. Posisi dekat ke Plaza Surabaya dan wisata Kapal Selam. For Menu gimana ya formulanya biar hotel berbintang tapi harga kaki lima so kita tidak perlu makan diluar or gofood begitu pula Coffee shop dilobby , kopinya enak bagus ( kata orang medan Hautche ) but primer not friendly in potret so banyak yg kedepannya deh Tommrow Coffee. Overall me and my wifi and Kids top. Yaa Puas. Puji Syukur bisa berjodoh menginap @here not @ibis or else. Ok. Sekian dari Kami. Terimakasih atas Hospitality yang diberikan kepada keluarga Kami. Salam Sehat dan Sukses Selalu. God Bless"
"3.","Miftahul Rohmah Saputri","24","2025-12-29","5","Alhamdulillah nyaman sekali menginap sehari di sini dengan fasilitas yg lengkap (gym, jaccuzi, spa massage, sauna, renang). Ruangan bersih + harum. Menu restoran buanyak dan semuanya lezat. Karyawannya baik murah senyum semuanya Masya Allah. Terkhusus untuk resepsionis Mbak Bela terimakasih jamuannya yg ramah sekali, humble pisan 🥳 Tidak kapok menginap di Morazen, semoga lain waktu Allah ijinkan kembali menginap dalam keadaan sehat jasroh dan bahagia lahir batin aamiin"
"4.","Ivana Monica Arifin","51","2025-12-29","5","Hotelnya bersih, modern, nyaman/ cozy, lengkap fasilitasnya. Pelayanannya juga sangat bagus, karyawannya ramah dan rapi penampilannya. Hanya sedikit kritikan dari saya perlu improvement rasa (taste) masakan pada saat breakfast."
"5.","Xin Lan","12","2025-12-29","5","Kamarnya luas dan bersih, menu breakfast banyak variasi ada nusantara dan western. Kolam renangnya semi outdoor jd bisa renang kapan saja tanpa takut panas matahari. Salah 1 staff yg bernama bella sangat informatif saya bertanya tentang kuliner di surabaya dan beberapa lokasi wisata"
"6.","uchan 4444","2","2026-01-05","1","Pengalaman saya ikut new year eve dari tahun ke tahun di beberapa hotel tahun ini yang paling membosankan memilih new year eve di morazen hotel surabaya. Jujurly seperti acara Gathering karyawan hotel wkwkwk.. lebih banyak melibatkan kan karyawan dan memprioritaskan org” bagian dari hotel dari pada tamu hotel .. mulai dari posisi tempat duduk sampai permainan melibatkan orang-orang hotel yang “sok asik” sendiri.. itu petinggi nya gak skalian sambutan aja dulu haha. Saya sebagai tamu hotel sampai tidak mengikuti acara sampai akhir saking BORING nya.. masukan aja lain kali gak usah dibuka untuk umum kalo mau Gathering hotel😂😂👎🏻"
"7.","Banyu Urip","2","2026-01-05","1","sekuritinya sok , driver ojol antar makanan , gak dibolehin masuk, motor suruh taruh luar pinggir jalan,( trs kalo hilang mau tanggung jawab) tengan nada tinggi , yo nek ilang tak tempui , spurone mas aq gak sombong bayaranmu piro kok iso gaya atek ngomong ngunu ? kalo memang pelayanan dan peraturan di hotel ini seperti itu, Tolong BAGIAN RECEPSIONISNYA dikasih tulisan banner yang besar TERUNTUK CUSTOMER HOTEL YG TERHORMAT, MOHON DILARANG PESAN LAYANAN OJOL"
"8.","firman abadi","8","2026-01-05","5","Alhamdulillah mulai dari pelayanan, kamar dan restaurant semuanya oke.. Fasilitas2 lainnya juga lengkap Swimming pool, gym, jacuzzi, spa ada semuanya Ketika ada permasalahan yg terjadi, manajemen cepat tanggap dan langsung ada tindakan… Semoga selalu dijaga pelayanannya ya Topp 👍🏼👍🏼👍🏼"
"9.","yuliana krishna","19","2025-12-22","5","Pelayanan sangat baik, kamar bersih dan rapi, sarapan dgn menu bervariasi terpenting lingkungan ramah utk anak. Fasilitas lengkap..oya Thx kk Dela gercep ngasih info nya.."
"10.","Lifatul Asuroh","8","2025-12-12","5","Alhamdulillah, makasih byk hotel morazen. Hotel bagus, bagus, loby luas, kamar luas dan breakfastnya enak dan menu bervariasi. Terima kasih pak Johanes, duty manager hotel morazen fast respon dan friendly. Terimakasih dinner dan ekstra bed nya pak, pegawai friendly dan helpfull. Fasilitas kids friendly, ada kolam renang luas, playground mini dan ada kids activity jg… menyenangankan buat anak2 dan nyaman buat keluarga. Rekomendasi banget buat yg pengen healing deket2 di tengah kota surabaya. Dekat dr sidoarjo, lokasi strategis…"
