"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","fata lukman","30","2026-01-02","5","I recently stayed at this hotel and had a truly pleasant experience. From the moment we arrived, the staff provided excellent service with a warm, friendly, and professional attitude. Every request was handled efficiently, making us feel comfortable and well taken care of throughout our stay. One of the highlights of our stay was the breakfast. The selection was diverse, fresh, and well-prepared, offering both local and international options. What truly made the breakfast stand out, however, was the availability of authentic turmeric drink (kunyit)—a traditional Indonesian beverage that is rarely found in other hotels. This unique and healthy drink added a special cultural touch and quickly became one of the most memorable parts of our morning routine.I would highly recommend this hotel to anyone looking for comfort, great hospitality, and a distinctive local experience."
"2.","muhammad david lung","12","2026-01-02","5","We had a truly wonderful staycation at Vertu Hotel Harmoni, and everything about the experience felt thoughtfully done. From the very beginning, the check-in process was smooth and welcoming, thanks to Mba Ching Ching. We were also greeted with delicious welcome drinks, which set a lovely tone for the stay. The room was spacious, comfortable, and perfectly designed, not too big, not too small, just right 👍. Everything was placed exactly where it should be, making the room feel both cozy and functional. My kids absolutely loved the pool, and that alone already made the trip special for our family. On top of that, we enjoyed an amazing breakfast with a wide variety of options. Having Mba Nuko and Mas Nelson assisting us during breakfast made the experience even better, warm, attentive, and genuinely caring. Your managers should truly be proud of you, Mba Nuko & Mas Nelson, and also of the rest of the team whose names we may not remember, but whose great service we will definitely remember. You are all doing a great job. Thank you for making our stay so memorable.👏"
"3.","Rika Kartika","455","2025-12-09","5","I had a pleasant stay at Hotel Vertu Harmoni Jakarta. The room was clean, spacious, and very comfortable. I appreciated the coffee machine and the Twinings tea provided. The layout was convenient, with a separate WC and shower. The lighting in the room was bright, and the bed sheets were clean and fresh. The soap and shampoo were nicely presented and looked high-quality. The towels were thick and fluffy, adding an extra touch of comfort. I was also impressed to see that the hotel employs people with disabilities — a wonderful and inclusive practice that deserves recognition."
"4.","muhammad ashar sojiak","3","2026-01-02","5","I had a pleasant stay. The room was clean, neat, and comfortable, and the staff were friendly and attentive. During breakfast, a courteous and softly spoken staff member named Nelson asked if I’d like to try a special dish. He arranged for me a chicken Kung Pao prepared by Chef Lufti, which tasted sweet and delicious. A wonderful dining experience overall."
"5.","Via Luo","8","2026-01-02","4","Kedua x nya menginap disini tiap menyenangkan seperti yg pertama Kami dapat kamar di 1902 sudah pesan untuk yg King namun diberikan yang twin AC tidak dingin sehingga harus panggil Engineering team untuk membantu Telepon juga tidak berfungsi dan tidak ada solusi hingga checkout , saya stay 2 malam di sini. Untuk breakfast banyak pilihan dan waitress bernama Miss Nuko sangat extramile , melihat saya membawa baby dengan sigap menawarkan baby chair dan keperluan lainnya. Sedikit saya jika eskalator didalam mall untuk akses pintu hotel tidak dibuka sebaiknya petunjuk hotel di samping eskalator ditiadakan, karena kami kesulitan sudah naik eskalator membawa koper dari tempat parkir sekali tiba diatas , kami ditolak security untuk menggunakan lift saja alhasil kami turun lagi dengan membawa segala perlengkapan kami tanpa bantuan."
"6.","Nida Khairani","2","2026-01-02","5","Hotel ini melampaui semua harapan saya! Stafnya ramah dan membantu sejak kami check-in. Kamarnya bersih, dan pemandangan kota dari sana sangat indah. Sajian sarapannya juga cukup lezat. Saya pasti akan kembali pada kunjungan saya berikutnya!, Penginapan yang luar biasa bersama keluarga saya. Anak-anak sangat menyukai kolam renang sementara kami menikmati ketenangan dan kenyamanan kamar. Stafnya sangat ramah dan bahkan berusaha memastikan kami bersenang-senang. terimakasih team housekeeping dan ka Keysa atas pelayanan yang terbaik."
"7.","Jasmine Irvan","3","2026-01-02","5","Utk Breakfast Sangat bervariasi, makanan enak semua, Dan Kami berdua selalu dilayani dgn Kak Nelson, Orgnya Good Looking, utk pelayanan Oke Banget, kita sometimes ditanyain/ditawari mau keperluan apa, seperti ambil air mineral dan lain2. Oke semua pokoknya utk pelayanan Hotel Vertu."
"8.","rararawrr","1","2026-01-02","5","Penginapan luar biasa! Staf ramah, kamar nyaman. Sangat direkomendasikan!. Kami menikmati masa menginap. Kamar luas, bersih, pemandangan bagus. Staf profesional dan membantu. Sarapan luar biasa dengan banyak pilihan. Lokasi strategis. Pasti akan kembali! Kualitas tidur sangat baik, kasur nyaman. Makanan di restoran lezat dan segar. Suasana tenang dan pengalaman menginap menyenangkan. terimakasih team housekeeping dan ka Keysa atas pelayanan yang terbaik."
"9.","Fajar Rio Kusviansyah","4","2026-01-02","5","I had an exceptional stay at Hotel Vertu Harmoni Jakarta. From the moment I arrived, the service was flawless, warm, and truly world-class. The room was beautifully maintained, the facilities were excellent, and the breakfast selection was impressive. The location is also unbeatable, right in the Business and Culinary in Harmoni / Gadjah Mada Area. Great Place to Stay!"
"10.","Suneela Melkote","8","2025-11-09","5","We stayed at Vertu Harmoni, Jakarta on October 9 and 10, 2025.The hotel is very luxurious and well appointed. The rooms are large and comfortable. The breakfast area has beautiful ambience. The service staff goes above and beyond. When we told them that we wanted vegetarian food, the Manager Joshua made sure a special plate was created for us. The staff bends over backwards to listen and satisfy the customer. Very courteous service.It is one of the best hotels I have ever stayed where I had no complaints. Thank you for making our stay so pleasant.We hope to come back."
