"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Our Memories","5","2025-12-09","5","comforting and clean semua perlengkapan ada bahkan sampai setrikaan dan mejanya, sarapan bervariasi, kolam renangnya banyak permainan"
"2.","Elfrida Samosir","42","2025-07-09","5","Sudah sekitar 4 kali stay disini. Walaupun Hotel lama, tapi saya suka karena bersih dan room yang cukup luas untuk stay bersama keluarga dan ramah anak-anak. Kolam renang juga sangat besar, ada pembatasan untuk area orang dewasa dan anak-anak jadi kita pun tidak perlu khawatir. Untuk sarapan pagi juga bagus, saya dan keluarga suka banget. Banyak juga orang yang stay untuk Bisnis karena dekat dengan area industri. Saya pasti akan kembali untuk menginap disini."
"3.","Puji Cipta Sularno","140","2025-11-09","4","Anak anak seneng nginep di sini, breakfast nya banyak macamnya, variatif pokoknya.. Kamarnya luas, suasana tenang, ga berisik..."
"4.","Teleshop Z","1","2025-11-09","4","Saya sangat rekomendasi hotel ini sih bersih luas dan tentunya buat saya puas, Izin min kalau boleh adakah lowongan kerja min🙏"
"5.","Venie Ang","173","2025-05-09","5","Sudah lama mau menginap disini karena kelihatannya tempatnya bagus dan nyaman. Dan benar saja, hotel ini benar2 sesuai ekspektasi saya. Suasana yang asri, tenang, tidak terlalu ramai, ada bathub dan memiliki kamar yang luas. Hotelnya memang hotel lama, tetapi masih terjaga dan soal kebersihannya saya acungi jempol. Staff hotelnya juga ramah2, banyak spot utk berfoto yang bagus. Rasanya 2 hari disini sangat kurang.. next mungkin akan kesini lagi dgn durasi menginap yg lebih lama."
"6.","Siawase Abdi dalem","7","2025-04-09","1","Untuk perhatian pihak manajemen hotel holiday inn resort … Ini mungkin pengalaman pertama bagi kluarga kami… Setelah sekian tempat hotel & resort dibatam, baru kali ini mengalami hal yg kurang enak… Yg biasanya kami mendapat hak layanan yg memuaskan, tp di hotel holiday inn resort ini kami sangat sangat kecewa… Awalnya kami coba2 aja, trnyata setelah runding kluarga… kami putuskan untuk ambil 2 kamar… Akan tetapi di hari H nya… Betapa kecewa & terkejutnya ketika pihak resepsionis bilang, kamarnya harus berjauh2an … Saya & istri di gedung 3 , sedang anak2 kami di gedung 1… Harapan di awal, kami sudah membayangkan bakal nginap kamar bersandingan sama anak2 kami… Tp apa boleh buat… kami sudah memohon ke pihak resepsionis… agar di ubah supaya kamar kami & anak2 kami bersebelahan… tp pihak resepsionis tetep menolak dengan bilang “memang udh aturan manajemen…” Bener2 sangat kecewa sekali… Dan ini jelas membuat kami kapok, Cukup sekali & pertama aja nginap di hotel ini… Menginap tapi ga bisa tenang krn anak2 kami berjauhan dari kami, jauh kamar otomatis membuat kami tidur ga bisa tenang… Mungkin ini masukan & pertimbangan buat manajemen serta siapa yg mau menginap harap di pikir2 lagi… Dan ini benar2 membuat kami kapok … Tiap tahun pasti kami 2-3x menginap di hotel utk refreshing… tp baru kali ini nemu hotel yg bener2 ga enak dalam pelayanan… Permintaan & hak pengunjung kayak di kekang … Benar2 kapok!"
"7.","Jen Jen","240","2025-01-09","4","Lokasinya jauh dari kota. Buat yang bawa anak anak bisa santai dihotel dan berenang serta aktivitas lain. Kolam renangnya bagus. Tapi yang mau ngemall agak jauh. Bisa naik shuttel bus dari hotel tapi ada jadwalnya. Lumayan buat keluarga yang mau staycation. Kamarnya luas tapi agak tua saja. Bed linen juga ada yg sudah bolong, sebaiknya diganti karna banyak tamu dari luar negri seperti tamu yang saya bawa. Mereka bilang hotel bagus tp kok sprei bolong. Breakfast juga lumayan ok."
"8.","Sipolin z","7","2025-06-09","2","Lokasi kurang bagus Hampir setiap malam udara sekitar berasap Tidak nyaman untuk bersantai di luar kamar karena itu (asap) Walau gk tau juga sumbernya darimana"
"9.","Jimin Laundry","19","2025-01-09","5","tadinya agak ragu karena resort lama ya, tapi pas lihat sendiri duh worth it banget ngabisin weekend disana sekeluarga. suite 2 bedrooms, nice and clean semua perlengkapan ada bahkan sampai setrikaan dan mejanya, sarapan bervariasi, kolam renangnya banyak permainan, dan btw kesana ga perlu bawa mobil sendiri kok bnyk juga yg pakai grab atau gocar"
"10.","Susi angelina Nasution","4","2025-01-09","5","Hotel yg kerennn, semua fasilitas ada dan sangat lengkap Ada playground sehingga anak anak tidak bosan. kolam renang ada banana boat dan lain lain sehingga tidak bosan hanya berenang. Ada banyak permainan seperti tenis dan pingpong. Sangat cocok untuk yg perlu hiburan Selain itu tersedia juga sepeda untuk keliling2 di sekitaran hotel Top bgt pokoknya"
"11.","sekar jati","71","2025-01-09","5","Alhamdulillah.. First time menginap di weekend.. dapat kamar yang mantap.2 kamar dengan 1 kamar utama ada tv, 1 kamar lagi 2 single bed dan ada rung tamu, dapur dan balkon yang menghadap ke kolam renang. Puas dan tidak rugi lho Harga juga termasuk murah"
"12.","Septiani Anggia Daryanti","1","2025-02-09","5","Pengalaman liburan bersama keluarga yang paling menyenangkan, sarapannya banyak varian dan enak semua, staff nya sangat ramah, dan sangat membantu, semoga ada rezeki untuk balik lagi liburan disini"
"13.","Chenny Zusizany","65","2023-01-09","5","Luxury place dengan harga ramah di kantong. Kamarnya luas tipe suite satu kamar, bersih, water heater 24 jam, arena bermain anak yg banyak, kolam renang anak yg luas dan ada perosotan. Makanan yg beraneka ragam dan POIN PLUS-nya baru resort ini yang nawarin kopi latte atau cappucino free. Love so much"
"14.","Yayuk Purwasih","4","2025-01-09","4","seru banget staycation di sini, kamar 1 bedroom suite trnyta luas. puas sih dapet kamar gede dgn harga yg cukup terjangkau. sarapannya banyak pilihan dan enak enak, fasilitasnya juga banyak. anak anak happy"
