"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Pia Claire","35","2026-01-02","4","Loved the colonial style feel. Location is great. Rooms are large and very clean, though starting to showing some age and wear and tear. I was in a room on the top floor and heard very little from other guests in the hall or from their rooms. The nightly turndown service was a nice touch. Staff were friendly. Something to note - the aircon is very loud. Other reviews mentioned this too and this was also my experience. Pool area is small with limited shaded cabanas and pool lounges (which when I visited were in the sun) but does the job. The connected Cork Restaurant is not part of the hotel but they have an arrangement for room service and offer a small discount to hotel guests. I've been there several times on previous visits. The food is still good but I miss the old menu items. Would recommend to future travellers and would return, despite the noisy air con."
"2.","Michelle Barnes","108","2025-12-09","4","After the villa experiences, this boutique hotel was so comfortable. Not too big but not too small. Not super high quality hotel service but cosy and friendly and nothing was uncomfortable. I could have enough privacy and room service meal was ok. Bedding was good, storage area is big enough for long term stay, too. There is a open restaurant in down stairs and they have live performance every night so if you are too sensitive with noise, need to be careful to choose this hotel. We were happy to stay here and can recommend to people who stays in Sanur. There is no bath tub, so if there is a bath chair or something like that in the shower area, easier to wash toes and look after legs ( after walking and swim in the sea often needed to clean my heels and legs so I wished if I had a little stool or something inside of the shower which is made by plastic. This is the idea from current Japanese hotel called Remm hotel (have several branches and they focus on good quality of sleep the room is tiny but has good rain shower room ). Anyway thank you for comfortable stay."
"3.","Macey B","6","2025-11-09","5","This place has been the most amazing hotel. Firstly, the staff were incredible, always welcoming and attentive. They delivered a mini birthday cake to our room as a surprise which was incredible. The pool area is stunning, as per previous reviews it is not full sun all day, but you get most of the day has sun, and there is some lovely green foliage around the pools. The room decor is supreme, it is so clean, and every consideration is met. They also offer turn down service and leave a sweet treat on the bedside, which shows that they go the extra mile. The breakfast buffet is small but delicious and fresh. You can order food to the pool which is handy. Overall, an amazing experience and I will be back!"
"4.","stephen keane","52","2025-12-26","5","Very friendly staff who were very accommodating to our toddler. Good location and easy to access the boardwalk with the free bicycles for guests. Cork tavern is part of the hotel and has beautiful food, beer and cigar selection"
"5.","Titis Setyari","11","2025-11-09","5","Absolutely love this place.. 💕 We had a wonderful stay at this hotel. The room was spacious offering a nice comfortable room. The staff were very nice and polite. The pool area was lovely. Great place to stay with family. Highly recommend this place to everyone visiting Sanur"
"6.","yossaya kongsawadchok","39","2025-08-09","3","Overall, I had a nice experience staying at Maison Aurelia Sanur. The room was clean and the location is quite central within the Sanur area, which is very convenient. However, I was a bit disappointed with the hotel’s spa service. I had booked a treatment expecting something more refined, considering the price I paid for the room. Unfortunately, the spa fell short of standard practices: they didn’t offer any selection of massage oils, nor did they provide a form to ask about allergies or sensitive areas before starting. The therapist also didn’t clean my feet before beginning the massage, which is normally standard, especially as I had just come in from outside and didn’t feel completely clean. Additionally, toward the end of the massage, the therapist moved on to massage my head and face without first washing or wiping her hands. This felt quite unhygienic to me, as her hands still had oil from massaging my body and feet. This lack of attention to cleanliness was quite surprising and, in my opinion, unprofessional. Therefore, I wouldn’t recommend using their spa services. That said, the staff at the reception and restaurant were friendly and helpful, which I appreciated."
"7.","Nicole Pettersson","11","2025-08-09","5","What an absolutely fantastic hotel. Perfect in every way! Staff: delightful, friendly & professional. Housekeeping: meticulous. Loved the little biscuits, chocolates & treats they put on the bed as part of the downturn service. Really appreciated the bottles of water per day & coffee & tea being replaced during the day. Good to see the drinking water in supplied in glass bottles for the sake of the environment. Location: Maison Aurelia is located in the perfect spot. Lots of cafes, restaurants, day spas, pharmacies, a huge supermarket & convenience stores right outside your door. Close to the beach & Icon Bali too. No bus tour groups either. Hotel: Gorgeous swimming pool & spa. Well-maintained in lovely gardens. Plenty of sun beds & a few different pools suitable for the little ones. Meals are good-service is great! I enjoyed the live music. Such a fun bonus. Room: The Camellia room is huge & the bed is extremely comfortable. There is a choice of two shower heads. There’s a sitting area, a desk & a comfortable chair to relax on. There’s also a little balcony area too. Room keys & AC worked consistently the entire week. I enjoyed using the coffee machine & pods supplied. I highly recommend Maison Aurelia & will definitely be back next year. It is a brilliant hotel. Don’t hesitate to book!"
"8.","Malika Kasmi","87","2025-11-09","4","Nice boutique hotel we love the family room it was spacious enough for a family of 4.. the overall decor is vintage.. breakfast buffet very limited but they have a la carte menu as second option"
"9.","Bobby Sumarkho","1384","2025-07-09","5","Awesome boutique hotel in the heart of Sanur. Walking distance to the beach and to many choice of restaurants. I love the spacious 36 square meter camellia suite with sofa seating area, very comfortable bed and pillows, balcony and very good sound proof window that blocked noises despite facing the street. It was a great 3 nights stay. Will definitely stay here again. Sanur is my choice of area now for quiet stay away from big city."
"10.","Wina Devia","7","2025-05-09","5","The most valued hotel. Very clean! The floor like spotless, no sinus allergy when i stayed there. Took the magnolia suites, the best decision ever for that price and the location. 1 living rm, 1 king size bed room and 1 twin size bed room with attached toilet in each room. The staff is super nice, prompt and helpful. Very very very recomended!"
