"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","YURI WASKITO","17","2026-01-02","3","Ke -3 kalinya kami menginap di sini. Love the ambience and the location. Ada beberapa catatan yang mungkin akannsaya pertimbangkan u/ nextnya saya kembali kemari. Pertama kamar yang kami tempati pendingin udaranya tidak bekerja dengan baik (panas) o/ petugasnya disuruh menunggu 5 - 10 menit tetapi tidak ada perbedaan hingga malam hari pun sama, pukul 23.00 kami menelpon u/ dibantu tidak berapa lama engineer datang, nge -reset AC dijanjikan 15 menit kembali dingin tp AC tetap panas sehingga kami tidak bisa tidur dengan nyenyak. Bantuan dari hotel cukup oke kami bs pindah kamar walau repot karena harus packing lagi. Kedua saat breakfast di hari ke-3 ketika kami harus nambah biaya u/ sarapan sementara di 2 hari sebelumnya tidak (kami ber3 dan paham kalau seandainya harus bayar pun) tapi yang membuat saya kecewa adalah kenapa tidak dari hari pertama ditagih sehingga menimbulkan kesan saya tidak mau bayar (staff -nya beralasan kami keburu masuk) padahal di hari ke-2 pun kami masuk bertiga. Saya paham masing² brand dari grup accor punya peraturan masing² masalah sarapan, hingga hal ini menimbulkan pertanyaan ke saya tentang Mercure Bandung City Centre standarnya seperti apa. Saya menginap di Mercure Ancol dan Grand Mercure Bandung Setiabudi sarapan harus bayar pun bisa terkondisikan di awal tanpa harus menimbulkan kesalahpahaman seperti ini yang membuat penilaian saya terhadap Mercure Bandung City Centre menjadi berkurang. Satu lagi, tolong memang kalau harus membayar taruh greeter yg paham di area breakfast -nya jd saya tidak berasa dibedakan antara hari pertama s/d hari terakhir saya menginap."
"2.","Muhammad Arriq","2","2025-12-24","5","An excellent stay from start to finish. The check-in experience was seamless and professional. The room was stylish, comfortable, and well appointed. Service throughout the stay was attentive and refined. A wonderful hotel choice in the heart of Bandung. The point is PUAS N WORTH IT BANGEEET"
"3.","Julaiha Jusoh","8","2025-12-24","5","I would like to extend my heartfelt thanks to the entire team at Bandung Mercure City Centre for their excellent service. In particular, I'd like to highlight Abdul, who was incredibly attentive and made us feel truly at home. He went out of his way to personally make us drinks and even remembered us, which made our stay so comfortable and enjoyable. We had a bit of a hiccup during check-in, but the reception lady handled it professionally and proactively. Overall, thanks to everyone for the warm hospitality, with a special shoutout to Abdul - he deserves all the compliments!"
"4.","Hestiana Ariefah","21","2026-01-03","5","Lokasinya di tengah kota jadi tinggal jalan kaki ke Braga, malam juga gampang untuk cari makan di sekitar hotel. Kamar luas bersih dan wangi sangat memuaskan untuk stay dengan anak2. Makanan breakfast beragam dan enak. Hny parkiran saja yg terbatas krn saat peak season agak sulit keluar masuk terutama mobil berukuran besar. Tp staf security dan vallet sangat helpfull. Thank you Mercure"
"5.","nasywa maulida","1","2025-12-31","5","Nginep di hotel ini overall nyaman banget kamarnya cukup luas, rapi, dan bikin betah buat istirahat. Soal kebersihan, kamarnya bersih dan terawat kamar mandinya bersih dan wangi. Setiap sudut kamar juga nggak ada debu atau sampah yang ketinggalan. Untuk staff housekeeping, mereka ramah dan sigap. Kalau ketemu di koridor selalu senyum dan menyapa, area hotel juga tertata dengan baik. Lobby bersih dan rapi, koridor hotel wangi, dan area umum lainnya juga enak dipandang. The best pokoknya🤍"
"6.","Femiher","3","2025-12-31","5","From check-in to check-out, everything was excellent. The staff welcomed me warmly and made the check-in process easy. The room was comfortable and clean, and the service throughout my stay was outstanding. Great location in the heart of Bandung. Would definitely stay here again"
"7.","Sakhi Akbar","1","2025-12-24","5","We had a happy holiday stay at Mercure. The reception team was friendly and professional, and both the check-in and check-out processes were quick and smooth. They also helped recommend some trendy and popular places in Bandung. Overall, an excellent experience we will definitely come back again."
"8.","Azkhia Nurahmania","1","2025-12-24","5","Menginap di Mercure Bandung City Centre memberikan pengalaman yang menyenangkan. Lokasi hotel sangat strategis, dekat dengan pusat kota dan berbagai tempat menarik. Kamar bersih, nyaman, dan memiliki pemandangan yang indah. Staf Reception hotel juga ramah dan helpful selama proses check-in maupun selama menginap. Fasilitas hotel cukup lengkap dan suasana hotel terasa nyaman. Secara keseluruhan, hotel ini cocok untuk liburan maupun perjalanan bisnis, dan saya akan mempertimbangkan untuk menginap kembali di lain waktu."
"9.","Dea Oktarini","29","2025-12-17","5","Kamar sangat bagus, bersih, dan wangi. Makanan sangat enak dan fresh, terutama untuk salad sayur dan buah-buahan. Tersedia beberapa pilihan dressing salad yang menambah citarasa. Makanan lokal seperti seblak dan lontong cap gomeh juga terasa sangat enak."
"10.","Emmelie Lucia Merkx","26","2025-11-07","5","I had a truly wonderful stay at this hotel and want to extend my heartfelt thanks to the entire team for the warm welcome and thoughtful welcome gifts upon arrival – such a lovely touch that set the tone for the rest of my visit. The hotel’s location is absolutely perfect, just a short walk from the city centre, making it easy to explore while still offering a peaceful and relaxing retreat at the end of the day. My room was extremely comfortable, impeccably clean, and beautifully maintained throughout my stay. I’m especially grateful to the team for looking after me so well. From check-in to departure, everyone I encountered was kind, attentive, and genuinely welcoming. A special thank you to Den Den from the concierge for his outstanding service and to the wonderful staff at the pool, breakfast, housekeeping, and reception, your hospitality made my stay feel extra special. Breakfast each morning was a highlight – the selection was extensive and of excellent quality, and I truly appreciated the intuitive care shown by the breakfast team, who often anticipated my needs. Thank you again to everyone for such a memorable experience. I very much hope to return in the future!"
