"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","iskandar bustami","8","2025-12-24","5","Suasana sangat nyaman sudah terasa saat baru masuk hotel, pagi ini saya sarapan dan makanannya enak enak yang paling mantep ada jamu kelilingnya juga di layani oleh mbak rifa yang ramah sekali jos"
"2.","Hendri Chandra","239","2025-12-17","4","Terima kasih dgn mas nya yg membantu, kebetulan saya bawa bayi dan saat itu rewel bgt, walaupun blm jam 14:00, kami sdh di ijin masuk kamar dan didlm kamar di sediakan baby box, wah senang bgt, bebi bisa istirahat lgs dan anak2 jg bs maen di kids corner dan renang.... Semoga ada kesempatan lagi deh.... Blm coba breakfasts nya, krn mank booking non breakfast, tp lokasi dkt alon2 byk yg jualan cemilan kok, sblh jg ada mie ayam dan bakso.... TV dikmr jg besar, jd bs ntn dgn puas.... Ooverallobagus mgkn krn kamar upgrade yah.... Gym nya simple tpi oke lah buat bakar kalori tipis2..."
"3.","Satria Egam","1","2025-12-07","5","Saya sangat puas menginap di Mercure Madiun. Mulai dari proses check-in hingga check-out semuanya berjalan lancar dan ramah. Kamarnya bersih, nyaman, dan tertata rapi dengan fasilitas lengkap. Tempat tidur sangat empuk dan membuat tidur jadi benar-benar berkualitas. Pelayanan staf juga luar biasa—mereka cepat tanggap, sopan, dan selalu siap membantu. Sarapan paginya variatif dan enak, dengan pilihan menu lokal maupun internasional yang semuanya terjaga kualitasnya. Lokasinya strategis, dekat dengan pusat kota sehingga memudahkan untuk bepergian. Fasilitas kolam renang dan gym juga sangat terawat. Secara keseluruhan, pengalaman menginap di Mercure Madiun benar-benar memuaskan. Sangat direkomendasikan dan pasti akan kembali lagi!"
"4.","sasa","13","2025-10-07","2","baru sempet review, stay dr 18-22. tbh setiap ada acara di madiun selalu pilih stay di mercure sejak hotel ini opening. sebelum2nya cukup puas tdk ada masalah. tapi yg terakhir kmrn jujur buat kecewa, book 3kmr yg 1 privilege luxe dan bermasalah. dr awal check in masuk kamar lampu living room mati akhirnya mereka benerin. hari berlalu saya butuh living room utk makeup krn ada acara shg ada byk org di living room termasuk team MUA n hairdo GONG nya adalah saya baru sadari bahwa AC MATI. mmg living room di hari sebelumnya tdk saya gunakan jd saya ga ngeh kalo AC tdk berfungsi. saya telfon reception dibenahi pertama, lalu blm bisa juga dtg lg dibenahi kedua, blm bisa jg mereka dtg lagi dgn posisi saya sdh selesai makeup dgn posisi pintu kmr terbuka living room penuh org. intinya kecewa lah saya di hari itu, sekelas hotel baru mercure loh bisa2nya sebelum kasih kamar tdk ada pengecekan terlebih dahulu😅 dan lucunya reception baru kasih solusi utk pindah kamar setelah teknisi dtg ke 3x nya yg mana saya dan tim sdh selesai makeup gerah2an😅 ada lg kejadian malam, di hari itu saya tdk ada minta makeup room, malam itu saya telfon reception utk minta extra handuk mereka mengiyakan tapi sampai pagi tdk diantar jg ketika saya tlfn lg paginya baru mereka antar. begitupun dgn laundry janji selesai jam 5 sore, besoknya juga mereka baru antar. jujur kali ini kecewa, yg perlu di highlight ini hotel baru sekelas mercure kasih kamar ke guest tp tdk di check dl segala fasilitas yg ada di kamar apakah berfungsi dgn baik atau tdk😅"
"5.","Aulya Putri","1","2025-12-31","5","pertama kali menginap disini dan nyobain breakfast nya mantapp. makanan dan minuman banyak pilihan enak enak juga, pelayanan baik dan semua staf ramah"
"6.","Dita","15","2025-12-31","5","kamarnya nyaman sekali, pelayanan sangat luar biasa ramah, sarapan pagi nya lengkap sekali dan enak enak. Mercure Madiun terima kasih"
"7.","cacafdr","1","2025-12-24","5","Untuk pengalaman pertama menginap sangat worthit ya ,untuk breakfastnya juga enak semua makanannya ,banyak pilihan dri indonesian food ,western ,asia ,smpe tradisional,ada pecel juga ,ada jamu keliling ,dan pelayanannya juga sangat memuaskan,saya di layani dg baik oleh mba adelia yg cantik ,good luck untuk mercure madiun🫶"
"8.","Fadjar Widjanarko","2","2025-12-07","5","Kamar hotel sangat bersih dan rapih sedikit masukan agar tempat tidur dicek kembali agar tidak menimbulkan bunyi seperti furniture yang tidak persisi. Restaurant ok makanan munuman juga bersih tertata rapih dan baik serta rasa enak. Tingkatkan dan pertahankan terus pelayanan mercure hotel madiun."
"9.","Dilla Chaeria","39","2025-12-07","5","Puas sekali menginap di sini. Dari satpam, resepsionis, bell boy, staff kolam, staff restoran ramah dan murah senyum semua. Kebersihan kamar, kolam renang, tempat bermain anak dan gym bagus bersih. Makanan dan minuman di restoran gak ada yg gagal. Anak anak happy bgt, thank u mercure madiun. Pasti balik lagi sih..."
"10.","Ladyjane Parhusip","9","2025-11-07","5","ini aalah satu hotel baru di kota madiun yang bagus dan nyaman. model bangunannya modern tampak luar. saya menginap di type kamar deluxe. nyaman hotel ini, bersih. sarapannya hampir dibilang lengkap. next hotel ini bakalan kadi staycation aku di madiun🥰"
