"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Erni Sujanto","148","2025-12-31","5","Dikamar sodara saya handuknya butek. Bau rokok dilorongnya Breakfastnya banyak banget macamnya Kebetulan pas saya breakfast ada rombongan gathering, duduknya kacau dan gak ada pengaturan. Saya naruh hp di meja trus ambil makanan, tiba2 di depan saya ada orang lain duduk tanpa permisi. Saya maklum mungkin mereka jarang banget dapat kesempatan makan di hotel."
"2.","Hatami Bukhari","16","2025-10-07","5","The room is immaculate, the service is quick the moment I told them I have problem with my rooms. It would be even more perfect if the TV is smart TV one so guests can watch more and enjoy the room more. The view if you are lucky, you get the best views of neighborhood and vast nature, especially if you are on upper floor. The foods are amazing, lot of variations from Indonesian cuisine and western variant. The pool are just good enough, although it's not deep enough and the gyms are very basic. About 300 meters from the hotel, there's local shopping area, lot of snacks and drinks but you wouldn't find any alcoholic drinks, which what you expect from Muslim majority country. I would like to give 4.5/5 ratings but the system wouldn't allow or I don't know how, but it's fair to say it's 5/5 especially here in Pangkalan Bun"
"3.","Caecilia Sendjaja","19","2025-10-07","4","We had a lovely stay of 4 nights (6-10 Sept) in this hotel. The room was spacious with good amenities. Complimentary tea and coffee bags were available, and we could re-fill our bottle jug in the water dispenser outside the room. The staff were very friendly and helpful. Our cleaner, Rustandi, did a very good job cleaning up our room every day. One day, we came back to our room and saw a lovely suprise from him: he made lovely cute animal figures out of some towels, accompanied with a friendly note! We really appreciated this kind gesture. The staff at the restaurant downstairs were also very friendly and helpful. We were attended a couple of times by the very friendly and attentive Mr. Saiful who was always ready to help. The friendly and customer-oriented service of this hotel really made us feel welcome One small negative point: the service at the restaurant at the pool was quite poor. There was not always a staff there, and we had to wait for quite some time for our orders. This was quite annoying. The location was great, not far from the airport. Our room was on 7th floor (719), facing the park, so we hardly heard noises from the street. In summary, a very comfortable hotel to stay, especially after a jungle stay! ;-)"
"4.","Muhdan Syarovy","68","2025-12-17","1","Kami tiba sekitar pukul 01.00 dini hari. Terjadi kesalahan tanggal booking (ter-booking bulan depan), lalu kami diminta memesan ulang lewat Agoda dan sudah membayar penuh. Namun reservasi tidak kunjung muncul di sistem hotel. Selama hampir 2 jam kami menunggu di resepsionis, pihak hotel tidak mengizinkan check-in sementara, meskipun sudah larut malam dan pembayaran sudah dilakukan. Bahkan diminta jaminan setara 4 kamar, yang tidak masuk akal karena kami sudah membayar melalui Agoda. Minim empati dan tidak ada solusi yang berpihak pada tamu. Jika sistem dengan Agoda bermasalah, seharusnya ada kebijakan pelayanan yang lebih manusiawi. Tidak sesuai standar hotel berbintang.Saya tidak akan merekomendasikan hotel ini pada siapa pun termasuk perjalanan dinas berikutnya"
"5.","Billy Jah","443","2025-12-10","5","Hotel ini memberikan kenyamanan modern dengan suasana yang tertata rapi sejak memasuki lobi. Kamarnya bersih, luas, dan dilengkapi fasilitas yang membuat waktu istirahat terasa optimal. Stafnya ramah serta profesional, memastikan setiap kebutuhan tamu terpenuhi dengan baik. Lokasinya strategis dan mudah dijangkau, sehingga cocok untuk perjalanan bisnis maupun liburan dengan pengalaman menginap yang efisien dan menyenangkan."
"6.","Zeirah Zeirah","1","2025-12-17","5","Having such a great experience with my family at Mercure Hotel Pangkalan Bun, came from Bogor and made the best decision to stay here. The room, services, facilities, fnbs and hospitality are excellent. Thank you Mercure Pangkalan Bun, keep up the great work! 💌✨"
"7.","Shofi Ayu","44","2025-12-17","5","Katanya ini satu-satunya hotel mewah di Pangkalan Bun. Kelihatan kecil, tapi dalamnya luas. Lobby nyaman, kamar luas dan bersih. Pelayannya juga ramah. Sarapannya enak, wajib coba soto manggala."
"8.","Anang Arbain","1","2025-12-07","5","Pengalaman saya selama menginap disini pelayanannya bagus dan fasilitas nya lengkap . breakfast nya bervarian dan enak semua.kami disambut hangat dengan pelayanan mba Tessa yang luar biasa."
"9.","H Muhammad Lutfi Albanjari","481","2025-12-07","5","Senang rasanya bisa menginap disini,,, 1. sy datang di sambung oleh security dan belboy di depan untuk menurunkan bawaan kami 2. saya datang lebih awal dari jadwal masuk check in, untung bisa di bantu sama mba2 (lupa namanya kalo tidak salah asal madura pas ngobrol mau check out) di receptionist karena pengen cepat2 istirahat setelah menempuh perjalanan darat yg jauh sekitar 17jam 3. Kamar kami di lantai 1 dan sangat mudah untuk ke cafe dan kolam renang 4. Kamarnya enak serta sangat dingin 5. staff sangat cepat membantu 6. Parkir sangat banyak 7. Pesan kamar tidak include sarapan jadi tidak tau sarapannya tapi menu di cafe lantai 1 enak2 kebetulan siang ada pesan makan Selebihnya mantapppp"
"10.","ahmad suaidi99","19","2025-12-07","4","Sayangnya: kontrol buahnya kurang berkualitas (makan melon masih ada kulitnya). Juga menu sarapan pagi minim banget kayak bintang 3. Menu mau habis dibiarkan, Refill lama"
"11.","Andini Laras","80","2025-11-07","5","super love sama Mercure Pangkalan Bun ini 💕 kamar oke, ameneties toiletries lengkap, ada kaca besar buat dandan, view dari kamar oke, sarapan banyak variasinya dan enaakk 😆 fasilitas olahraga juga lengkap dan sangat oke. ada semacam jogging track walau ga bgtu besar dan playground buat anak-anak. staffnya juga super duper ramahhh. rekomended banget buat yang ada perjalanan bisnis atau liburan di pangkalan bun"
