"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","ardhansyah","24","2025-12-31","5","Menggunakan ruang VIP Hotel Mercure untuk kegiatan FGD untuk keperluan riset penelitian. Ruangan nyaman, bersih, dan tertata rapi. Suasana kondusif untuk diskusi, fasilitas penunjang rapat memadai, serta pelayanan staf cukup responsif dan membantu"
"2.","Raya Dhina","7","2025-12-07","3","Sebenernya untuk service oke, hotel udh nerapin reduce plastic waste jg. Untuk sarapan jg lengkap, rasa enak. Untuk kebersihan dari sprei, handuk, kamar mandi jg udh oke. Yg sangat disayangkan banyak bagian dipinggir meja dan kasur yg super berdebu. Berhubung saya ada alergi debu jadi bisa ngerasain banget. Semoga kedepannya kebersihan bisa lebih diperhatikan khususnya untuk area area kasat mata"
"3.","Daniel Raja Pratama Siahaan","1","2025-10-07","4","Bad Check-In Experience, Ever. Kemarin ini check-in, dari pagi sudah titip staff saya yang sudah check-in duluan, agar dipastikan kamarnya smoking dan ac nya dinyalain supaya dingin. Proses check-in normal, pas nyampe kamar 752 taunya panas banget. Telpon reception minta ganti kamar yang tidak panas seperti ini, disuruh tunggu dulu teknisi datang. Teknisi yang ditunggu tak kunjung datang ternyata, alhasil geret koper lg kebawah karena gerah. Nyampe bawah disuruh tunggu, sekitar 20menitan, disuruh begini ama receptionnya “Pak, ada kamar 741 udah ready, mungkin bapak boleh check dl ke atas ditemani bell boy nya, untuk cek apakah sudah cukup dinginnya” Pas nyampe atas, bener bener pas nyampe depan kamar, teknisi baru mau masuk bawa tangga mau cek filter kamar AC nya! trus saya disuruh nontonin teknisinya ngecek AC sambil berdiri dilorong gt? Akhirnya turun lagi sambil complain yang ntah ada gunanya atau tidak, mba nya malah jawab, saya pikir Bapak bisa sambil istirahat sambil menunggu filternya di cek? Selonjoran dilorong gt? Tetap tidak paham maksudnya gimana, disuruh nunggu lagi, sekitar 20menitan lagi dikasih tau kalo udah ready, menurut dia udh cukup dingin, yang taunya cuman sedikit lbh baik dari kamar sebelumnya tapi tetep tidak dingin, karena udah lelah yaudah tak terima aja, mana dapet bonus lantai nya bocel bocel (literally udah ngelupas kegesek dikaki hampir bikin luka) Proses ini berlangsung 1.5 jaman dan tidak ada permintaan maaf sama sekali. Update: Sudah bertemu FO Managernya dan telah menerima permintaan maaf."
"4.","Dayang Nursiah","1","2026-01-01","5","Suka sama hotelnya. Liburan seru banget bareng keluarga. Fasilitas mantul. Pada ramah-ramah pegawainya. Sayang udah mau check-out. Thanks ya"
"5.","Ahmad Muhajir (Cak Hajir)","94","2025-12-31","5","Semalam saja menginap disini untuk transit dari luar kota sambil menunggu flight pagi, nyaman tenang, sarapan melimpah, ramah untuk pecinta cigar"
"6.","Reina Rivenska","25","2025-12-17","4","The room and service is great, but the downside is the breakfast. 7.30 to 8am is the busiest time yet they didn’t refill some stations so there weren’t many options to choose. Aside from that, my stay was a pleasant experience."
"7.","Dian Putra","38","2025-12-10","3","Kamar model lama Rokok terlalu bebas Gym tidak terawat Petugas koki breakfast lelaki tidak mengetahui dimana masakan yg kami minta....aneh"
"8.","Novita Pangrib","4","2025-12-07","5","Awalnya saya tiba di Mercure sekitar pkl 09.00wib (krn pesawat saya tiba pagi sekitar pkl 08 di Supadio).. Memang saat pesan dari aplikasi accor saya minta early check in, namun saya sangat memahami nya bahwa ketersediaan kamar sesuai dgn situasi..^^ Kemudian saya dan suami titip barang2 dulu ke resepsionis dan dilayani dgn baik.. Akhirnya jam 12 kamar kami ready dan diberikan kamar 621 pas depan lift dan kami sangat senang🤩🤩🫶🫶 Terbaiikk.. Sangat puass"
"9.","Kristian Oberto","2","2025-12-24","5","Udah beberapa kali menginap di Mercure Pontianak. Pelayanannya oke, makanannya enak. Lokasi juga bagus. Sangat rekomen"
"10.","Desy Nindya","75","2025-09-07","4","Tolong ya sudah saatnya direnovasi. Kamar lantai kayunya sudah mulai berderit-derit, interior kamar (sofa + bantal, karpet) sudah perlu diganti. Tapi salut untuk handuk2 dan sprei kondisi bagus. Jadi tolong ya, direnovasi walaupun sedikit demi sedikit biar lebih oke lagi, yg stay disini kan juga bukan orang sembarangan. Saya sering stay disini karena terus terang tidak ada pilihan lainnya. Jadi sangat berharap kedepannya bisa lebih nyaman lagi 🙏🏻"
