"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Nathan A.T","10","2025-12-24","5","This new hotel in the centre on Pontianak is SUPERB and simply THE BEST!! From the super friendly staff, beatiful Bali villa like feels, AMAZING food, spacious modern rooms, this hotel has blown my expectations again and again. This is by far the best hotel in this whole city, with amazing breakfast & alacarte options in the restaurant. (check my pics for the food i tried) This hotel is also well equipped with a modern life fitness gym, kids club, and even a sauna! The pool is HUGE, even offering breakfast in the pool, and a variety of water kid’s play area for your little ones. And the staff here are ready, on-call 24/7. They were so incredibly friendly and knowledgeable while communicating to me in English, Chinese, Malay, and Indonesian. This place is simply surreal and should be a 5 star resort instead. YOU MUST COME AND VISIT at least once, even just their restaurant “Food Exchange”. Overall, I WILL 1000% stay here again!!!"
"2.","Nurulashiqin Mohd Sapawi","3","2025-12-31","5","Dear Novotel Team, I would like to express my sincere appreciation for the excellent customer service I received during my stay at Novotel. From the moment I arrived, your staff were professional, friendly, and very attentive to my needs. They were always willing to assist with a smile, making my stay comfortable and enjoyable. This level of service truly reflects the high standards of the Novotel brand. Thank you for providing such a pleasant experience. I look forward to staying at Novotel again in the future."
"3.","tiarbah pontianak","1","2025-12-31","5","Menginap di Novotel Pontianak bersama keluarga merupakan pengalaman yang sangat menyenangkan. Sejak proses check-in, staf hotel sudah menunjukkan pelayanan yang ramah, cepat, dan profesional, sehingga kami merasa langsung nyaman. Kamar yang kami tempati cukup luas, bersih, dan tertata dengan baik, sangat cocok untuk menginap bersama keluarga. Tempat tidur nyaman, fasilitas lengkap, serta kebersihan kamar dan kamar mandi terjaga dengan sangat baik. Anak-anak juga merasa betah selama menginap. Fasilitas hotel mendukung kebutuhan keluarga, terutama kolam renang yang bersih dan aman untuk anak-anak. Area publik hotel juga nyaman dan terawat. Untuk sarapan, pilihan menu cukup beragam, rasanya enak, dan cocok untuk semua usia. Lokasi hotel strategis, dekat dengan pusat kota dan berbagai tempat kuliner, sehingga memudahkan mobilitas selama berada di Pontianak. Secara keseluruhan, Novotel Pontianak sangat direkomendasikan sebagai pilihan hotel untuk menginap bersama keluarga. Pelayanan, kenyamanan, dan fasilitas yang diberikan sebanding dengan kualitas yang ditawarkan. Kami dengan senang hati akan kembali menginap di sini di kesempatan berikutnya."
"4.","Dinda Da Nela","2","2025-12-07","5","overall oke, perfect hospitality, amazing food. the room r okay, luas dan nyaman. good idea buat yang mau staycation disini. the pool is also good, and the view is chef's kiss. mas gufron assisted me well during my stay in novotel. thanks to him so i'm not clueless in here. thank u mas 🙏🏻"
"5.","Qyu Video","225","2025-12-07","2","Ruangan kamar bersih rapi karena baru, tapi kurang gantungan baju di kamar mandi serta tidak ada ketersediaan sabun/tisu di wc jadi perlu di pertanyakan kebersihannya beberapa bulan kedepan., secara service sangat tidak ikhlas, termasuk masalah parkir, dimana bisa saja parkir di depan tapi demi acara diminta parkir dibelakang, padahal kami penghuni kamar bukan acara pengantin.. Pangalaman booking di website juga sebenarnya menarik krn kamar tersedia, klo lewat telp diinfo klo sudah full book. Kan aneh..hanya untuk prioritas yang nikahan disana?? Lalu ketika request ucapan selamat ulang tahun saat kami masuk kamar, ternyata walaupun sudah di telp sehari sebelumnya tetap tidak tersedia..perlu pembenahan atas nama besar NOVOTEL. Akhirnya cake pun saya beli sendiri..service hotel ini tidak sebanding harganya"
"6.","Ruslan Ruslan","1","2025-12-24","1","Kami dari panitia FG merasakan Pengalaman paling buruk selama mengadakan even besar di hotel .. Semua yg di janjikan di ingkari... Ini menjadi pengalaman pertama dan tidak akan lagi bekerja sama dengan hotel ini dlm bentuk apapun"
"7.","muhammad khairudin","3","2025-12-07","5","Sarapan di sini luar biasa! Pilihannya banyak, rasanya enak, dan sangat cocok untuk keluarga. Anak-anak juga betah karena area kids corner-nya lengkap dan bersih sekali. Kolam renangnya terawat, bersih, dan nyaman digunakan. Seluruh stafnya sangat ramah Terima kasih kepada Pak Indra, Bu Astri, dan tim F&B yang sudah memberikan pelayanan yang sangat menyenangkan!"
"8.","Wawank Urniawan","8","2025-12-24","1","Kamar tidak kedap suara, berisik dari sisi atas maupun samping.. Sangat mengecewakan utk sekelas hotel yg berada di jantung kota 👎"
"9.","Satria Rangga Maulana","2","2025-12-31","1","Kami udah datang telat di jam 3, harapan kami bisa langsung masuk kamarnya. Rupanya disuruh tunggu hingga 1 jam lebih, pas ditanya kembali rupanya kamar kita belum di siapkan! bintang 1 pelayanan"
"10.","Lana Islamiyah","2","2025-12-07","5","Kamarnya luas, bersih dan nyaman. Ballroomnya besar, mewah, bersih, sudah ada fasilitas videotronnya. Satu kekurangannya mini gardennya bukan tamanan hidup tapi hanya tanaman/bunga plastik saja. Pelayanannya ok banget, kami dilayani dengan baik, semua pegawainya ramah2. Termasuk mas agung yang sudah membantu saya dalam kegiatan rapat kemaren. Mas agung sangat cekatan, inisiatif dan siap membantu. Sehat2 terus buat mas agung dan Kawan2 di sana. Kalau ke pontianak sudah pasti nginepnya di novotel"
