"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Meenakshi Ravindran","71","2025-12-24","5","What a fantastic place! I don’t have enough good words to describe the people and this place. I think they have nailed it perfectly. Every single staff we met (and we met a lot) is friendly, kind, efficient and very quick to deal with all and many requests without any trouble. Lived like a true home away from home, loved the crisp interior, greatly appreciated room upgrade, microwaves to warm up grab food, no fuss and hassle pickup/ drop off laundry. Fixed safe box very quickly. Fantastic veggie break fast box for our day trips. 🥳 so satisfying Will definitely be back!! Loved it 🥰"
"2.","Troy L","97","2025-12-31","5","Locates right smack in the northern end of Malioboro and 10-min walk from the train station; best location. Only 15-min walk from the legend Mbah Satinem; must visit her if you're in Yogyakarta, her breakfast is truly good!. Plaza Malioboro shopping center next door got some pretty good local foods too. The bathroom sliding door is odd but room services were great. Pool area drinks and foods are expensive, be prepared to pay-up. We received a check-out gifts (portable coffee jug and other things) which was a surprise (for a wk stay??); never received any gifts from any hotels that I've stayed at (none from Westin, Marriott, Ritz, or Hilton). Thumbs-up for the experiences. Yogyakarta is awesome!"
"3.","MimS Mohamed","33","2025-12-31","4","Location was great in the middle of Malioboro and near supermarket as well as eateries. Service by Lulu at reception was exceptional. There were downsides though like clogged sink that took sometime before it cleared, constant ants around the pantry, stains that are not cleaned out from the fridge & worse of all, the several power trips while we were in the room. 2 out of 3 rooms that were booked experienced this at night. Not pleasant for a 4 star hotel & price point. Otherwise, hotel in general was great."
"4.","Stanislas Cindy","8","2025-12-07","5","I had a great experience at Novotel! The cocktails were absolutely delicious!!! 🥰🥰perfectly balanced and refreshing. The service was excellent, especially from Andre, who was very friendly and attentive. He made sure everything was perfect and made me feel really welcome. Definitely one of the best hotel bars I’ve been to. Highly recommended!"
"5.","sarah salim","4","2025-12-24","2","Untuk bintang 4 agak mengecewakan : 1. Masuk lift banyak stain di dinding lift. 2. Lift terbuka lgsg tercium bau apek aneh saat baru menuju kamar. 3. Kamar kurang di maintain dengan baik, wallpaper banyak yg terkelupas dan tidak diperbaiki, karpet ada bercak kotor seperti dibiarkan, masuk kamar mandi di area shower banyak stain kuning dan bau apek lembab, tidak ada cottonbud, tidak ada laundry bag dan tempat soap bar. 4. Saat complain soal kulkas tdk dingin ke bagian guest service mrk bilang akan send tehnisi ke kamar untuk mengecek, tapi ditunggu 1 jam tidak ada yang datang.. saat langsung lapor ke reception mereka bilang kulkas memang hanya display saja memang tidak dingin 😂 lalu apabila saya beli makan atau minum dari luar bisa titip di staff hotel, jujur baru pertama saya dengar komen semacam itu, aneh! 5. Bfast menu kurang variatif, rasanya jg perlu di tingkatkan, butter display dlm keadaan terbuka, dan tdk ada penutup, agak aneh. Tingkatkan kebersihan dan kualitas menu makanan anda, untuk hotel bintang 4 menurut saya kurang layak, anda bisa kalah bersaing kalau tidak ada perubahan, Terimakasih"
"6.","Avivah Yamani","2","2025-12-07","5","Best experience in Yogya. Love the room and service. Breakfast is really good with many traditional food from Jogja. It’s delicious. Love jamu as well. And I really love the microwave in room. The view from the rooftop for sunrise is amazing, the cafe in the rooftop is good as well. Thanks to all the front office for your help also the restaurant staff."
"7.","Vera Veganz","17","2025-11-07","5","I am having a wonderful stay at Novotel Suites Yogyakarta. My positive experience began even before arrival, when Assistant Reservation Manager Fitriani promptly responded to my email and ensured that my non-smoking preference and breakfast arrangements were well noted. It was clear she had communicated my requirements across departments. At check-in, the front desk staff were warm and attentive, and I was pleasantly surprised by a thoughtful welcome gift from the General Manager—a selection that perfectly reflected my plant-based lifestyle. In the restaurant, Reza and the team were equally professional and well-briefed, offering plant-based milk and checking if I needed anything customised. Overall, my stay was seamless and genuinely enjoyable. Compliments to the General Manager for leading a team that clearly takes pride in delivering outstanding service."
"8.","count ocnop","29","2025-11-07","5","I was personally very satisfied with the service from all departments from the Front Office, F&B, to the Pool team you were all great! Beside, your choice of music on the pool & bar very good and jazzy🎷🎷 We received such a warm welcome, and even though we didn’t use it, the hotel kindly offered us an early check-in, which was very much appreciated🙏🏻 The food was also wonderful. As a former Quality Assurance professional from one of the biggest hotel chains, I can confidently say — you are verified! 👌🏻👌🏻 The complimentary cake and beautifully folded towels touched my heart. Such a personal gesture made our stay even more special. One of the most memorable moments was riding the hotel’s bicycles at night to Malioboro and it was complimentary! Truly an unforgettable experience. Furthermore, I also considering to apply accor membership due to affected by your corporates value and respecting the spirit of loving the mother nature. Your partnership with WWF even grows my will even more due to I am a MONA from WWF🐼 From the bottom of my heart, thank you so much. I will definitely stay here again whenever I’m in Yogyakarta, and I will surely recommend this hotel to my colleagues and family❤️"
"9.","Fitria Purbowati","24","2025-10-07","4","The location was good, walking distance to Malioboro. Check in process was quite straight forward. Laundry service was quite fast. We put our laundry around 1pm and it was done in the morning. Even though it was around 1 hour late than it was promised and we needed to call for our laundry to be delivered. The information about the closing time for the pool area was not given clearly enough though. The pool staff and the reception said different hours so, we missed the chance to swim since we only stayed for 1 night and needed to check out early the next day. The room was nice. The bed was spacious and comfortable. The hairdryer might need an upgrade to a better one so, it'll dry hair quicker."
"10.","H S","7","2025-11-07","5","This is my first time to stay at novotel jogja and had a positive experience. The location is convenient for myself as it is located very near to Malioboro street and nearby amenities. The hotes is clean, well organised and well presented. I find the staff very accomodating and helpful. A special thanks to receptionis the guy who handle me for request the room with city view before the check in time and i keep my luggage at concierge. sorry i forgot his name who always friendly and approachable. Thank you"
