"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Lingsuan Choo","29","2025-12-09","3","I would say the service was good and location is super convenient. Check in process was a breeze. The room is pretty basic. Lack of a proper cabinet to put personal belongings. Writing table was too small for work. The room sound proof could be improved to better. I can hear someone drop their belongings from next door. May not suitable for night sleeper. Basic and average quality of the amenities in the room does not match with the room price actually. No balcony in the room, so basically you feel living in a box although they have a big window view. May be for 1-2 days is ok. House keeping services was commendable but they often missed up some small details. Breakfast was good and they do attend to dietary requests which I appreciate very much. I appreciate the service crews, super polite and accommodating."
"2.","Yoo","24","2025-12-09","4","Enjoy my staycation here during holiday✨ Strategic location. Connected to mall. The rooms small but clean & minimalist. Facility was fun (virtual dance, iPad game, mini table soccer) ++++ (-) Swimming pool water was cool & dirty. Freezing. (-) Parking lot not too much. We need to searching the area. Including mall."
"3.","livia eragading","3","2026-01-02","5","Recommended hotel untuk staycation di bandung.. Lokasinya best di tengah kota dan ada diatas mall 23 paskal yg super lengkap sama makanan dan tujuan ke bandung memang untuk cobain skyward project jd bisa jalan kaki ke mall.. Kamar nya bersih terawat.. Fasilitasnya jg ok bgt ada kolam renang walau tdk begitu besar tapi untuk anak2 cukup happy Ada game corner Pokoknya pasti balik lagi deh! Thank you for the compliment cookies ❤️💕"
"4.","rinaatantii","117","2025-12-09","5","Dari lokasi, tempatnya strategis, dekat dengan mall. Kalau hanya mau santai dan istirahat dgn menginap dihotel, cukup disini aja. Makanan banyak yg jual, tgl main ke mall Kamarnya ok, sesuai standar kamar bintang 🌟, gak besar, kecil. Tp tempat tidurnya nyaman. Sarapannya so so lah ya, makanan menu buffetnya enak, yg lainnya so so (cendrung B aja) Perdana menginap disini Waku pandemi, jadi ini sudah beberapa kali menginap disini, seruu! Terima kasih!"
"5.","Insany Fitri","9","2026-01-02","5","Had a great 4 night staycations at this hotel. The location is very strategic, just a few walk to the mall. Have an all in one shopping complex too nearby, we can get everything within walking distance. Though the price could be very expensive on the weekends."
"6.","Depi Rusnandar","890","2025-12-09","5","Bagus. Lokasi strategis di pusat kota. Dekat stasiun n alun-alun bandung. Kamar nyaman, makanannya enak. Ada kolam renang dan kid area nya. Cocok buat liburan keluarga ataupun urusan kerjaan. Mau ke mall n food court. Tinggal turun"
"7.","Syalwa Febriani","74","2025-10-09","5","Buat Hotel yang lokasinya sangat strategis dan dikelilingi eateries, tepat di area mall, harganya termasuk affordable. Aroma dari weeangian di sekitar hall, aisle juga santai gak nusuk hidung. Room size Yellow Room cukup besar sih, dua orang masih oke bgt. Space untuk movement sangat diperhatikan, gak terlalu sempit dan packed jadi tetep nyaman. Bathroom also ok 👍"
"8.","Bram Y. Setiadi","669","2025-09-09","5","Hotel yang terletak strategis, berada di sisi timur Paskal 23 mal. Masuk bisa dari basement maupun dari lobi mal. Hotel mulai dari lantai 4. Ukuran kamar tidak terlalu besar dan akses ke jendela kurang, meski begitu fasilitas cukup lengkap dan kebersihan baik. Lobi dan area kamar didekor dengan baik, tetapi lobi lantai 1 kurang representatif dan agak gelap, terkesan seperti tidak terawat. Area restoran tidak terlalu besar tetapi ragam menu sarapannya terbilang banyak dengan rasa nikmat. Khususnya ada menu masakan Indonesia ala rumahan yang jarang ditemui di tempat lain."
"9.","Jason Zeinstra","51","2025-12-09","5","A clean, modern and comfortable hotel with good air conditioning, city/mountain views and friendly service. Bathrooms were very clean compared to other hotels. Central location within Pascal 23 mall - beware the traffic at peak times."
"10.","Fuji mulyana","5","2025-12-09","1","Gak ada parkiran khusus tamu hotel harus berebut dengan pengunjung mall kalo weekend penuh susah cari parkiran hampir 1 jam."
