"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Nooris Sng","5","2025-12-25","5","Most wonderful about our stay has been the welcoming, friendly and service-oriented staff. They were on hand to address our queries, our requests and even went out of their way to make sure that our family of 7 had a great breakfast experience on the last day of our stay. Of particular mention is the breakfast staff, Juang (hope the spelling of his name is correct) who made special arrangements to cater to our big family. It was a crowded morning and he still made sure that our needs were taken care of. The icing on the cake was a special dessert that was sent to our table. So pretty and delightful! The friendly staff who greeted us in the morning when we left for our shopping trips and in the evenings when we returned, were exceptionally welcoming and warm. Overall, we love the stay here and appreciate the warmth and hospitality of the staff very, very much. Thank you! ❤️"
"2.","Khairul Aminurasyid","7","2025-11-01","5","The hotel's ambience and overall atmosphere are truly a class above the rest of Batam’s 4 and 5 star hotels I’ve stayed at. The staff’s hospitality and professionalism really stand out. Literally, everyone was warm, attentive, and always ready to help. Their spoken English is excellent, which reflects the quality of the team and the level of training they receive. It makes communication smooth and pleasant throughout the stay. Special shout-out to Chef Ahmad Fauzan, and staff members Nabila and Rida for going the extra mile with every request. Their dedication and friendliness made my experience even more memorable. Highly recommended for anyone looking for comfort, quality service, and a welcoming environment in Batam!"
"3.","Arief Iswahyudi","5","2025-12-27","5","Lokasi & kamar sejauh ini ok. Service excellent security mohon direview kembali, jangan terkesan arogan & tidak solutif. Security adalah salahsatu frontliner terpenting yang bisa memberikan kesan baik di awal saat menerima dan mengarahkan kendaraan tamu. But, over all is good I'll be ready to comeback again, someday. Many thanks."
"4.","Malya","136","2025-11-01","5","Location is far to town...but the service of the hotel is excellent. Love their blue uniform 😍😍😍Came here for anniversary. Perfect room decor for us. The breakfast buffet was marvellous, From local indon food to Western. Juice drink u can DIY with fresh juices. Jamu drinks too available. I love it so much!!! Thank youuuuuu so much."
"5.","Y W (Carry Crystal Maiden)","104","2025-12-01","4","Quite good hotel near housing complex. The breakfast it tasty complete with local and western cuisine. They have more than 1 restaurant to satisfy guests crave. There is a supermarket near the housing complex to fulfill guests needs. The only downside is that it's quite far from mall and cheap food vendors."
"6.","NEESHA KHAN","10","2025-12-25","5","Hello, very satisfied with my stay. Rooms were spacious ,well maintained and clean. Every staff member always had a smile in their face. Tip top. Definitely coming back again."
"7.","M Jafar Purwanto","26","2025-12-18","5","Salah satu hotel terbaik di kota batam. Untuk kelas bintang 5 namun harganya cukup bersaing. Fasilitas dan pelayanannya baik, makanannya jg cukup bervariasi dan rasanya enak. Semoga semakin ditingkatkan dan makin banyak promonya"
"8.","Alastair Swaffer","257","2025-10-01","4","This is a pleasant hotel by a large chain. Nothing stood out about the hotel but there was nothing bad about it either. The staff were very friendly and helpful. We ate in the rooftop restaurant twice and we're the only diners on both occasions, which is somewhat depressing. Although I unfortunately didn't get a chance to make use of it, the pool looked really nice and inviting. Breakfast in the lobby restaurant was good. Prices for the stay were reasonable."
"9.","Tan Sean","6","2025-11-01","5","I’ve interacted with Fauzan as I was asking for directions and he was amazing in providing clear instructions. He was extremely hospitable and friendly and interacted with me more as a friend than a guest. Amazing service Fauzan! Thank you for making stay wonderful!"
"10.","Tess Joson-Inumerable","17","2025-12-18","5","Good to stay. Staff are all friendly and trustworthy. We will definitely recommend to our friends. Ferdy and Robert are our drivers they are both very friendly and informative"
"11.","Aileen","51","2025-10-01","5","Lovely relaxing days in Wyndham! All staff are so friendly from reception, guest relations at door, lift, anywhere in hotel and even those in restaurant (both breakfast and dinner service). Highly recommended for those who want a lake and green view in their rooms with no obstructions to see sunrise. Breakfast is so good with wide variety. Room for two is also slightly more spacious. Though not in city of Batam, hotel provides free shuttle to main malls. Shout out of special thanks to Vinol, Felicia, Sulaiman and all staff involved in morning breakfast service for very warm service! My elderly mum and I will be back for sure!"
"12.","Me Land","4","2025-12-01","5","Suka sekali hotelnya , lokasi strategis dan view nya amazing. Tinggal 1 minggu di hotelnya , pelayanan bagus. Thanks buat mb Lusi buat service nya"
"13.","Elanor Devitt","12","2025-09-01","5","A wonderful stay at Wyndham Panbil Batam! They staff are exceptional, so friendly and welcoming. The pool and restaurants are great, as is the on site spa. I liked the breakfast buffet and staff will make you fresh juice which is so lovely. The location is quite far outside Batam Centre (about 10 mins drive) but the free shuttle is helpful for getting around. The location means it’s nice to relax in a quiet location with a beautiful view, and transport around Batam is cheap. They welcomed me with a snack and drink as well as a fruit platter in the room and one restock of the minibar for free which were all welcome additions. I would absolutely stay again. Thank you Wyndham Panbil!"
"14.","sofea malik","13","2025-07-01","1","We stayed here for 3 days and 2 nights, expecting a proper 5-star service but what we got was honestly disappointing. Check-in time was clearly stated as 2 PM on the website, yet we were asked to wait nearly 30 minutes because the room wasn’t ready. After a long flight and feeling exhausted, being told to just wait with nothing more than a simple “sorry” was incredibly frustrating. This wasn’t a budget stay either. We booked a premium room, and expected a level of service to match. To make matters worse, breakfast was a letdown. The options were very limited, food presentation was messy, and nothing stood out in terms of taste. The only saving grace was the smoked salmon, which I used to make my own sandwich but even that doesn’t make up for the lack of variety and quality. For a hotel claiming to be 5-star, the overall experience felt more like a 2-star at best. We won’t be returning, and we definitely don’t recommend it."
