"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Paul Fisher","274","2025-12-01","5","The Intercontinental Jimbaran Bali is an amazing experience, from the moment our driver dropped us off we were greeted by a Balinese lady wearing traditional kebaya with the sound of Balinese Gamelan music in the background. I must say the entrance and lobby are both amazing. The gardens are an oasis of tropical vibes and the sound of birds and water features. Our room was outstanding, we stayed in a two story suite on the forth floor with a balcony overlooking the gardens, located in building one. The room was clean and the king bed very comfortable. The air con was nice and cool and the toiletries are by Byredo with nice fragrance. They have many pools, the main pool has a pool bar looking over the beach. The restaurants located in the hotel are all good, a short walk outside the resort you will find many warungs, massage spas, convenience stores, cafes etc. you can also walk along the beach to the famous seafood restaurants on the beach, we will definitely be back to Intercontinental Jimbaran."
"2.","Taeng Zen","6","2025-12-01","5","This hotel are very very beautiful hotel and also the room. All staff are very friendly and helpful. We are on our anniversary with our parents got the club mezzanine room it’s large and very comfortable. But only one minus thing is air con which I think it’s could be colder ?? As Bali it’s very very warm. Club staff are also very nice but when it’s come to very busy it’s will be slow service sometime. Overall we are got very pleasant to stay here and it’s will become our first choice if we are coming back to visit Bali again ! /thank you"
"3.","Tata Li","56","2025-12-01","5","Absolutely Seamless & Memorable Experience for Our 40-Pax Group! We recently held a retreat for 40 people at this hotel, and we are beyond impressed with the flawless experience from start to finish. The hotel's environment is stunning! The big swimming pool, nice beaches and lush gardens offered countless beautiful photo spots, allowing us to fully immerse in the perfect Balinese vibe. While the hotel has been established for some time, the rooms and facilities are very well-kept and preserved. And all rooms are very spacious. We hosted a welcome dinner at the Sunset Bar, which was an absolute triumph with its breathtaking views. The hotel also helped us arrange a sacred temple blessing ceremony, complete with traditional attire for our guests. It was a unique and deeply cultural experience that everyone loved and appreciated. A huge thank you to the Sales team, who was incredibly supportive and provided tremendous assistance throughout the planning process. The entire coordination were seamless. All staff members were exceptionally friendly and attentive, making us feel welcome at every turn. We highly recommend them for any group events and personal travellers. Look forward to returning!"
"4.","Mr Gee","32","2025-12-01","5","We had 3 nights at Intercontinental Resort Bali as a family. It is a large hotel with all the quality you expect from Intercontinental. The grounds are vast and immaculate. There are many pools to suit all ages though shade is a precious commodity and rather lacking. Access to the beach is easy and it’s lovely soft sand and clean. Plenty of food options in Sumter, breakfast by the pool was delightful way to start the day. Great staff and service. Ko, the Japanese restaurant was excellent though felt a little rushed to be hurrried out at 10pm but the sushi was divine. The sunset beach bar should have been an unforgettable place for cocktails and watching the sunset but rather loud live bands, some playing baby shark and other kids songs rather ruined the atmosphere. Our room was clean and comfortable allowing us quality sleep."
"5.","Abdulrahman Alamri","7","2025-12-01","5","Dear InterContinental Bali Resort Team, We would like to express our sincere appreciation for the warm welcome, excellent service, and exceptional attention we received throughout our stay at your wonderful resort. Our experience was truly memorable, and we are grateful for the hospitality shown to every member of our family. We would also like to extend our special thanks to Agus from Taman Gita Restaurant. His outstanding manners, genuine kindness, continuous attentiveness, and sincere dedication to his work left a remarkable impression on all of us. Please convey our heartfelt gratitude to him — every member of our family appreciates his efforts. Thank you once again for making our stay exceptional. We look forward to visiting your resort again in the future. Warm regards,"
"6.","Rendy Tjandra","20","2025-12-25","5","Lokasi cukup dekat dengan airport, karya rebo dan djimbaran. Untuk hotel cukup bagus, cuma sempat terkendala AC dan sudah dapat upgrade dari hotel. Untuk service sangat baik dan cepat bahkan managernya datang untuk minta maaf. Juga kalau menginap beberapa hari, breakfastnya itu2 mulu sih gk banyak berubah dan untuk orng indonesia lebih baik order makanan khusus jgn ambil makanan prasmanan nya. Request khusus untuk nasi goreng atau mie goreng biar rasa nya medok. Parkiran juga cukup luas."
"7.","Stephanie Harriman","3","2025-12-11","5","During our stay, we had the pleasure of meeting a young gentleman Ananta at breakfast who stood out with his kindness and warm manner. Beyond that, every staff member was outstandingly friendly, welcoming, and respectful, always greeting us with a smile and wishing us a good day. The hospitality here truly made a difference in our experience."
"8.","GRAND AL","1686","2025-11-01","5","The IC Bali resort, what a majestic complex. So green and beautiful maintained. Has some pools, entertainment, restaurants. all you can wish for. Also it has some cabins for the beach itself. The staff is auper nice. The only one thing that i could mention is that the rooms and buildings are old. you see it really well in some places, but at least it is in a good shape. But for people who love modern rooms this is maybe not your fo to location. i really enjoyed it ."
"9.","Helen Woodward","3","2025-12-11","5","Exceptional service from all staff, better than other Bali resorts I've stayed in. We loved the elegant Club dining room, afternoon tea was a highlight, the food was excellent in all venues. We enjoyed the smaller but more intimate Club pool. Special mention: Yunda, Dai Wi (Club manager) and Lisa (hair stylist in the beauty salon) and many more, all professional, friendly and seamlessly efficient. Thanks for a delightful holiday!"
"10.","Dewi Soumiadatri","34","2025-12-25","2","Pros: beautiful landscape, luxurious amenities such as shampoo and soap. Good intercontinental brand. House keeping is regular however the phone smells like smoke when you made call. They might forget to clean the phone handle. Cons: Food in random 3 star hotel in Kuta is way better than their food. I got food poisoning and vomiting badly from the breakfast. I suspected from the old rice that they stored in the fridge and served it again and again. Rice was dry and old. My daughter got food poisoning from the milk. Most of the food choice is not fresh maybe prepared day before to cater big number of guests. We tried the dinner and the same case, you will expect quality food from such lux resort however they served cold food with no salt taste. Service at the activity center near the pool was very rude. They assumed that we stayed 1 night just because I am not foreigner, we stayed 9 nights. One other guy also made rude comment in Balinese language stating that non white guests are just burden when I picked up towels. I am Balinese and understood the comment however I did not confront them but truly annoyed by the comment. They smile n being polite at the front but made cynical comments at your back in Balinese language. Spoiling my holiday feeling being treated like we are burden. On the bright side, The people at the front lobby who greet the guests are the best. Very professional and helpful. Thank you to them. Unfortunately no I will not give my business in the future again."
"11.","Amanda","93","2025-11-01","5","Good sized room not too cramp. Clean. Great amenities. Great service, nice locations lots of eateries nearby (walking distance via the beach if you want seafood), love the direct access to the beach. The downside is that the beach is not as beautiful as nusa dua beach (clear water, white sand), but still clean enough to swim around. Second, this maybe the first 5star hotel i visited which we have to pay if we want to join ANY kids activities (even only flying kite). Luckily my kid only loves to play in the beach ;) kids club probably more suited for up to 4yo. Other than that, this hotel is fantastic n we love it."
"12.","Belinda Piesse","8","2025-11-01","5","⭐️⭐️⭐️⭐️⭐️ We recently stayed at the InterContinental Bali Resort and had the most incredible experience. From the moment we arrived, we were welcomed with warmth and hospitality, and every detail of our stay was perfect. What truly stood out was the staff. They went above and beyond to make us feel like royalty. Traveling with a food allergy can often be stressful, but the team ensured I was always well taken care of. Their thoughtfulness made our holiday not only stress-free but unforgettable. A special thank you to: Eko – Manager at Taman Gita Suyasna – Waiter at Taman Gita Lingga – Waiter at Taman Gita Ananta – Waiter at Taman Gita Suyra – Manager at Jimbaran Gardens Kusuma – Belle Cucina Each of them showed genuine care, kindness, and attention to detail that made our stay so memorable. The resort itself is stunning — beautiful grounds, amazing facilities, and such a peaceful atmosphere — but it was the people who made it truly special. We leave with the happiest memories and can’t wait to return. Highly recommend to anyone visiting Bali!"
