"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Natalia Only","31","2025-12-25","1","parkiran sangat sedikit, mau valet disuruh ke sana ke sini. lempar2 an mulu petugasnya, trus akhirnya disuruh ke B2 eh B2 ditutup kudu balik lagi ke B1. dan berujung parkir di one satrio. SANGAT AMAT TIDAK DIREKOMENDASIKAN KE SINI BAWA MOBIL. GEDEG ASLI. ke resto sailendra, besoknya diare. fix gak bakal balik lagi ke sini. Full of trauma 😁"
"2.","Alan M","8","2025-12-25","5","Beautiful hotel connected to a huge, modern mall with fantastic stores and unbelievable prices. You couldn't really ask for more. I'd like to give a special shout out to the unbelievably nice, attentive, and friendly staff, including especially Melanie, Mattie, and the head chef (I forget her name) in the M Club."
"3.","Wijayaningrat 12","2","2025-12-25","5","Saya sangat puas atas pelayanannya menginap kesinii setelah perjalanan jauh, lalu disambut dengan karyawan yg ramah. Anak2 saya juga happy kamarnya bersih dan makanannya top semua, pokoknya thanks JW MARRIOTT"
"4.","Fatimah Zahrah","3","2025-12-01","3","Habis makan malam disini. Semuanya bagus, makanan enak, service baik. Cuma sayang lift ke parkiran sangat tidak layak. Lama untuk pintu terbuka sangat sebentar dibadingkan lift yang biasanya di tempat lain, dan sensornya sudah ga bagus. Anak saya terbentur pintu lift baru pintunya merasa mesti kebuka lagi hahaha Mungkin dari jw marriot kurang peduli area pintu samping yah, tp bagi saya untuk sekelas hotel bintang 5 seharusnya hal tsb lebih diperhatikan."
"5.","Pradahlan Sindu Mardiko","110","2025-10-01","5","25 September 2025 menjadi hari yang sangat berkesan dan penuh wawasan bagi saya dan tim di ajang Indonesia Product Conference (IPC) 2025 yang diselenggarakan di JW Marriott, Jakarta. Acara ini, yang dipowered by Mixpanel dan diselenggarakan oleh Apiary Academy, sukses besar menyajikan konten yang sangat relevan dan mendalam, khususnya bagi para Product Manager dan entrepreneur yang berfokus pada inovasi. ​Kesan Pertama dan Lokasi: JW Marriott Jakarta, seperti biasa, menyambut peserta dengan standar profesionalisme tinggi. Video yang saya rekam menunjukkan karpet merah yang elegan di area masuk, memberikan vibe acara yang eksklusif dan terorganisir. Lokasi yang strategis dan fasilitas yang nyaman, mulai dari area registrasi hingga ruang conference, membuat pengalaman belajar menjadi sangat menyenangkan. Semua berjalan lancar, minim antrean, dan staf hotel sangat membantu. ​Materi dan Konten Konferensi: Fokus utama konferensi ini jelas sekali terlihat: Artificial Intelligence (AI) dan Product Management. Salah satu sesi yang saya hadiri membahas tuntas tentang What are AI agents? hingga Examples of real world AI agents. Materi yang disajikan di big screen sangat terstruktur dan diantar oleh pembicara yang ahli di bidangnya. Diskusi mengenai Context Engineering dan MCP (Minimum Core Product) menjadi highlight yang sangat berharga. Saya mendapatkan banyak insight baru tentang bagaimana AI bisa diintegrasikan, bukan hanya sebagai fitur, tetapi sebagai agen penting dalam membentuk masa depan produk. Konten ini benar-benar menjawab kebutuhan para founder dan tim produk di Indonesia. ​Networking dan Atmosfer: Suasana di IPC 2025 sangat kondusif untuk networking. Seperti terlihat di foto, saya berkesempatan bertemu dan berinteraksi dengan rekan-rekan sesama profesional dan thought leader di industri. Berdiri di depan photowall keren IPC 2025 bersama rekan-rekan memberikan energi positif. Atmosfer keseluruhan terasa semangat dan kolaboratif, sangat ideal untuk founder atau tim yang ingin memperluas jejaring mereka sekaligus mendapatkan edukasi satu pintu terkait inovasi produk dan teknologi. ​Kesimpulan: Indonesia Product Conference 2025 adalah event wajib bagi siapa pun yang serius dalam dunia teknologi dan product development. Materi yang disajikan up-to-date, penyelenggaraannya profesional, dan lokasinya premium. Sangat direkomendasikan! Saya tunggu edisi selanjutnya"
"6.","Lailatur Rahmi","18","2025-08-01","5","Had a wonderful stay at JW Marriott Kuningan! The service was top-notch — staff were attentive, friendly, and always ready to help. The rooms were spacious, clean, and elegantly designed. Breakfast buffet had a wide variety of delicious options. Location is perfect, close to shopping centers and business areas. Definitely a 5-star experience worth coming back to!"
"7.","Bertha Akeyla","3","2025-08-01","5","I recently had the pleasure of staying at the JW Marriott Jakarta, a 5-star hotel that exceeded my expectations in every way. From the moment I stepped into the elegant lobby, I was struck by the hotel's luxurious ambiance and impeccable service. The rooms were spacious and beautifully appointed, with plush bedding, modern amenities, and stunning city views. The staff were friendly, attentive, and went above and beyond to ensure my stay was comfortable and enjoyable. The JW Marriott Jakarta's location was also convenient, with easy access to Jakarta's business and shopping districts. The hotel's fitness center and spa facilities were a great way to unwind and relax during my stay. The hotel's commitment to excellence, attention to detail, and warm hospitality made it a memorable stay. I would highly recommend it to anyone looking for a luxurious and comfortable experience in Jakarta."
"8.","Jeff Salyer","13","2025-12-18","5","I recently spent 7 nights at this property. It was great experience with wonderful service and food. The location was perfect for the business I was on and I would certainly stay here again."
"9.","Amira rizka rozi","6","2025-08-01","5","Saya sangat puas menginap di JW Marriott! Pelayanannya luar biasa ramah dan profesional sejak check-in hingga check-out. Kamar sangat bersih, nyaman, dan dilengkapi fasilitas lengkap. Lokasinya juga strategis. Sarapan yang disediakan sangat bervariasi dan enak, cocok untuk semua selera. Kebersihan kamar dan area umum seperti lobby dan restoran juga sangat terjaga. Staf hotel selalu sigap membantu dan sangat sopan. Suasana hotel tenang, cocok untuk istirahat. Saya benar-benar merasa seperti di rumah sendiri. Sangat direkomendasikan untuk wisatawan maupun perjalanan bisnis. Pasti akan kembali lagi ke sini!"
"10.","Bastian Imanuel","8","2025-12-25","1","Pelayanan di makan malamnya tidak ramah, kamar bau, pelayanan security tidak ramah, sembarang buka pintu mobil... sangat kecewa dengan pelayanannya"
"11.","Saiful Nizam Jaafar","252","2025-09-01","4","The suite i get was smaller than the executive suite i always get. The staff were friendly. The location was good. A lot of good restaurant nearby. The club lounge was good. Hot shower was great. Thank you for the birthday cake!"
"12.","nur rohmah","2","2025-08-01","5","Pengalaman menginap di hotel ini benar-benar melampaui ekspektasi ku. Sejak pertama kali tiba, aku disambut dengan hangat oleh staf yang ramah dan profesional, mencerminkan standar pelayanan kelas dunia yang mereka junjung tinggi. Desain dan Suasana Arsitektur dan interior hotel ini memukau. Kamar yang Menawan, dilengkapi kamar mandi yang luas. Makanan disini jangan diragukan lagi. Alhamdulillah puas dengan pelayanan disini"
"13.","Zein ahmad","1","2025-08-01","5","Lokasi yg strategis, dekat dengan pusat kota dan mudah dijangkau transportasi umum. Pelayanan staf ramah dan responsif terhadap kebutuhan tamu. Sarapan cukup variatif, meskipun rasanya bisa lebih ditingkatk"
"14.","Nurul Afifah","2","2025-09-01","5","Pelayanannya ramah dan profesional sejak check-in hingga check-out. Kamar bersih, rapi, dan nyaman. Fasilitas lengkap—AC dingin, WiFi, dan tempat tidur sangat empuk. Lokasinya juga strategis, sarapannya enak dan beragam. Saya pasti akan kembali menginap di sini. Sangat rekomen untuk menginap disini ngga nyesel deh pokoknya"
"15.","Farhan Hafiz","2","2025-09-01","5","Pengalaman menginap yang luar biasa di JW Marriott Hotel Jakarta. Kamar luas dan bersih, staf sangat ramah dan profesional, sarapan variatif dan lezat. Fasilitas lengkap dan lokasi strategis di pusat kota. Sangat direkomendasikan!"
