"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Ravi Chahal","79","2025-12-01","5","I recently stayed at JW Marriott Hotel Surabaya and had an amazing experience! The hotel is simply great, with a fantastic location that makes travelling around the city very convenient. Service is nothing short of phenomenal and the staff are extremely polite and professional. A special mention goes to Mr. Rohmad at the front desk—he was incredibly helpful during my check-in and ensured all my requirements were taken care of perfectly. I have given 4 stars to the rooms, only because the ageing is showing in some areas. The rooms and bathroom hardware feel a bit old, though everything is fully functional and well-maintained. Overall, this is an amazing hotel to stay at and I highly recommend it for anyone visiting Surabaya. I will definitely return!"
"2.","gishi009","167","2025-12-18","5","Profesional service. Semua staf sangat ramah. Kamar nyaman baik untuk tidur maupun kerja. Mekanisme pelayanan saat breakfast sangat bagus. Menu breakfast sangat variatif dgn rasa yang enak. Lokasi juga di tengah kota, dekat dengan keramaian."
"3.","Awim Krisdianto","112","2025-12-18","5","Sudah 2 kali menginap dengan nyaman di JW Marriott Surabaya. Staf ramah, baik dari satpam maupun resepsionis, hanya saja parkirannya tidak ada peneduhnya. Meskipun hotel sudah 10 tahun lebih, namun Kamar bersih, rapi, dan pelayanan housekeeping baik serta ramah. Terima kasih kepada tim housekeeping, khususnya mas Diky dan mas Welly, atas perhatian selama menginap."
"4.","Evelyn Wongsosaputro","3","2025-11-01","4","It is an older hotel with a bit of old hotel smell, specially the hallways. But they made it up with all the other plus points: Great location right smack in the middle of Tunjungan area. Walking distance to Tunjungan Plaza and Ayam Goreng President (important). Service is warm and attentive. Breakfast spread is amazing. Lots of choice and local favorites such as tahu tek, nasi goreng duk duk and lupis. Bonus point: they actually have a hidden bar with great cocktails (try the Strawberry Negroni) and live music on the basement called Anonimo. Ask one of the staff to show you."
"5.","Ivana","24","2025-12-25","5","saya sering menginap disini bersama kluarga hotel bagus pelayanannya slalu oke banyak fasilitas kolam renang playground gym dan lain2 ank2 saya slalu happy kl meningap disini 😁😁"
"6.","Ono Cooper","9","2025-11-01","5","It's no surprise that this hotel is a standout in Surabaya. The staff are exceptionally friendly, and the facilities, such as the swimming pool, playground, and sauna, are top-notch. The breakfast and dinner offerings are delicious and well-prepared. This made for an unforgettable birthday experience."
"7.","Happy Family","7","2025-12-11","2","Menginap disini tgl 6 & 7 Desember 2025. Utk hotel bintang 5, avur/ buangan air di wastafel sangat lambat shg wastafel kotor & di shower box, air tdk mengalir ke floor drain, shg menggenang semata kaki jika dipakai mandi🙄 Area parkir sangat sulit, sekuriti tdk membantu utk mengarahkan/ mencarikan tempat parkir, hanya menyarankan utk valet parkir yg berbayar 100rb😄 Layanan sarapan dikamar, mengecewakan, hanya diberi roti dimasukan dalan kantong kertas😄"
"8.","rdio primasatya","16","2025-12-01","3","Beberapa kali makan di restonya dan menu nya cukup variatif dan enak enak, cuma setiap mau menginap dengan corporate selalu diarahkan ke pak sofyan dan tidak ada respon. Cukup kecewa dan akhirnya belum pernah jadi menginap disitu"
"9.","hangga noe89","10","2025-12-01","3","Reseption nya nyolot waktu kita mau cek in, mungkin karena kita sampai hotel sekitar jam 10 yg artinya belum bisa cek in, lebih baik di informasikan bila tidak bisa early cek in, dr pada bicara ke customer kalo kamar sedang di bersihkan, karena keluarga kami sudah di hotel 1 hari sebelumnya, atau di informasikan saja bila ada penambahan biaya, saya rasa jg tidak masalah krn kami jauh datang dr luar kota,"
"10.","Pradita Arisgi","46","2025-12-01","5","Fasilitas lengkap, semua desain detail. Petugasnya ramah, makanan resto lumayan yg penting menunya lengkap banget dari mulai makanan Jawa, Oriental, Asia, dsb ada. Ada kegiatan untuk anak2"
