"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Tona Shahbazi","76","2025-12-01","5","JW Marriott Medan is truly one of the best luxury hotels in the city. From the moment you walk in, the atmosphere feels elegant, clean, and very well-maintained. The staff are extremely professional, warm, and welcoming — they treat every guest with great respect and always offer help with a smile. The rooms are spacious, modern, and very comfortable, with big windows that give beautiful views of the city. The beds are soft, the linens are high-quality, and everything is spotless. The bathroom is also large and well-designed, making the stay feel even more relaxing. The hotel facilities are outstanding. The swimming pool and gym are clean and well-equipped, perfect for unwinding after a long day. The breakfast buffet is amazing, with a huge variety of fresh and delicious food from local and international cuisines. Everything is prepared with care and tastes wonderful. Overall, JW Marriott Medan offers luxury, comfort, and excellent service. It is a perfect choice for both business and leisure travelers who want a peaceful, high-quality stay in Medan. Highly recommended."
"2.","Robert Tatum","7","2025-11-01","5","I recently stayed at this outstanding hotel for an international business trip, and I was thoroughly impressed by the exceptional service and attention to detail. Every staff member went above and beyond to ensure my stay was comfortable and smooth. A special thank you to Lusiana in Housekeeping for keeping my room immaculate and accommodating my requests with a smile. Thanks to members of the management team, especially Bhari, Augustinus, and Johannes who provided outstanding service—whether it was quick turnarounds or special amenities, they delivered with professionalism and warmth. The dining experience was superb, thanks to the head chef, Angelica, Juli, Nia, Farid, Evelyn, Jess Lynn, Octavia, Pashir, and Andi in the Restaurant, who expertly handled my special dietary requests with care and efficiency. The food was delicious, and their personalized service made every meal enjoyable. Additionally, the door staff and front desk team were consistently kind, professional, and attentive, making check-in/out effortless and always greeting me with genuine hospitality. This hotel truly understands the needs of business travelers, offering luxury, efficiency, and a welcoming atmosphere. I highly recommend it and look forward to staying here again on my next trip! Outstanding service, impeccable stay—worth every star!"
"3.","Jermia Zhang","121","2025-12-01","5","The room is large and the air conditioner is very good. The bed is not the best, but okay. Just have to make sure with the hotel to get a clean-smell linen. The service is excellent. My appreciation goes to Mr. Julian who sent me a coconut water when he knew that there’s a problem with my stomach at a time. Also to Ms. Susi who asked me if I was okay when we met afterwards. They really took care of me. It’s easy to order food delivery, if you don’t opt for the room service. The cocktail time in the executive lounge is nice, there’s enough food for a light dinner. All the staffs there are nice people."
"4.","lancar jayadi sutanto","17","2025-12-01","5","I was genuinely pleased to be warmly welcomed back by Ms. Yuni at the reception and Mr. Julian, the Room Director, upon my arrival at JW Marriott Medan. They both greeted me kindly and even remembered that I had previously stayed at the property, with my last visit being in 2022 — which made me feel truly valued as a returning guest. They informed me that my Ambassador Suite was not yet ready since the previous guest (with a similar status) had just checked out. They even offered me a temporary room to wait in, but I told them I didn’t mind waiting at the lounge. Surprisingly, after just about five minutes of waiting, Mr. Julian personally came over to inform me that my suite was ready and handed me the room keys himself. Although I had been informed earlier via email that I wouldn’t receive an upgrade due to full suite occupancy, I could clearly see that both Ms. Yuni and Mr. Julian went the extra mile to make my stay pleasant and memorable. Truly top-notch service — thank you, Ms. Yuni and Mr. Julian! Minor suggestion: perhaps the lounge could use a few more chairs or some décor in the center area to make it feel more welcoming. The air-conditioning could also be improved, as it was slightly warm and made it difficult to stay too long. Overall rating: 8.5/10 Thank you so much, JW Marriott Medan, for the warm hospitality — I truly appreciate the attention and effort from the team! Warm regards, Lancar Jayadi Sutanto"
"5.","Daniel Saputra","5","2025-12-18","2","Wonderful staff, well maintained hotel, but I was surprised by how unsustainable the hotel is! Ironic as there were posters everywhere about sustainability but they served plastic bottles in the rooms, the gym, also during events- very surprised that a hotel at this scale is still so wasteful in 2025. Hope you all can make positive changes! ♻️"
"6.","Ros Dewi","16","2025-12-01","1","Baru pertama x kecewa dibuat hotel bintang 5???! Perihal breakfast yg hanya disediakan utk 1org saja krn sy tidak mengubah jumlah tamu di aplikasi tiket.com pada saat booking kmar? Wowww tidak sekalian saja sy hanya diijinkan masuk 1 tamu 1 kmar sesuai pesanan sy diaplikasi? Ini pengalaman pertama hanya diberikan 1 BF utk kmar yg sy booking, padahal sy sering melakukan pemesanan di hotel bintang 5 lainnya dan dgn booking yg sama yakni 1 tamu dan tidak pernah dimasalahkan oleh pihak hotel dan selalu diberikan Breakfast utk 2 tamu, mau di Medan, luar kota, bahkan luar negri. Karna setau sy umumnya Hotel menyediakan Breakfast utk 2 tamu per kamar standart. Dan kmar yg sy pesan adalah type Deluks King, bukan kamar paling murah atau kmar single, yg jelas2 utk 2 tamu per kamar. Worth it kah BF hanya utk 1 tamu? Begitu kakunya kah hotel bintang 5 yg mengikuti jumlah angka di aplikasi yg bahkan mau diinput 1 atau 2 tamu harga per kamar dgn 1 atau 2 sarapan tetap sama harganya, tidak ada bedanya 1 sen pun. Dan krn ini sy hrus byar extra 1 BF lg utk 1 org seharga ratusan ribu, wawww pdhl bru bulan lalu sy inap di hotel bintang 5 lainnya di Medan dgn case yg sama sy hanya input 1 tamu krn sy tdk pernah ubah2 lg, dan tidak ada mslh sy tetap makan dgn suami dan anak sy. Akan sy maklumi apabila terdapat perbedaan harga untuk 1 atau 2 tamu, dan masalahnya disini adalah TIDAK ADA PERBEDAAN HARGA. Sy ingin merayakan anniversary sy hari ini dan baru juga check in sy sudah diberikan bad experience, Thank you JW Medan, never coming back again. 1.9jt for 1 Breakfast👍👍"
"7.","Litta Susilawaty","13","2025-12-25","5","Kesekian kali menginap di JW Marriot Medan. Dan kesekian kali juga dapat pelayanan yg sesuai dgn bintangnya. Selalu memuaskan. Dari mulai security, bellboy, concierge, receptions, smpe restaurant stafs semua nya ramah dan helpful. Kamar? Jgn ditanya. Pasti nyaman dan lengkap smua aminities dan complimentaries nya. Restaurant? Menunya lengkap dan enak2, saya suka lontong medannya. Sukses slalu JW Medan 🎖️🏆"
"8.","roland brown","19","2025-12-01","5","This has been my 3rd visit to Marriott in Medan. The rooms are well-maintained with a good view. All the hotel staff are so friendly and professional. I need to mention one waiter Theo. He has the art to remember his guests and can anticipate their wishes. Always serving with a smile, he is a good asset and has so much potential in the hospitality industry."
"9.","Yessa Rizkya","1","2025-12-18","5","Hotel yg mempunyai layanan yg menarik . Staff nya pada ramah dan sopan semua 🙏😊 terutama untuk staff penjaga kolam dan gym kalau ga salah namanya pak wahyu terimakasih sudah mengucapkan selamat atas wedding saya dan suami 🙏😊"
"10.","Andri R","22","2025-12-01","5","Visited Medan for the first time for my sister’s wedding and stayed at JW Marriott Medan. To summarise I am beyond impressed with the level of service I received. It’s not often these days that you find genuine hospitality and care, but JW Marriott reminded me that this art is not lost. Upon arrival, we were assigned a room that unfortunately felt exceedingly humid, the carpet, bedsheets, and sofa were damp, which was concerning since I was travelling with two young children. I raised the issue with Dini, the Room Manager, and to my surprise, the team immediately upgraded us to a much larger, spotless room at no additional cost. They even sent us complimentary cakes along with a sincere apology. At breakfast the next morning, Julian, the Director of Rooms, personally waited for us to finish before checking in to ensure we were comfortable and happy with the new room. Throughout our five-day stay, he continuously followed up with me not in a scripted way, but with genuine care. Even our cleaner (my apologies for forgetting the name) left a handwritten thank-you note, which was such a warm and thoughtful touch. The attention we received felt truly personal, I never felt like just another guest. While no hotel is perfect, what truly matters is how they respond when things aren’t right. In that regard, JW Marriott Medan went above and beyond. If I ever return to Medan, there’s no doubt I’ll be staying here again. Highly recommended for anyone who values sincere hospitality and exceptional service."
