"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Donna Seermon","3","2025-12-25","5","We had a wonderful 3 night stay at Pullman Bali Legian Beach. We were greeted with a welcome drink upon arrival. We were also given a certificate for a complimentary beverage. The property is located right across from the beach, with easy access to restaurants, shops, and attractions. Rooms are spacious, clean, and well-maintained. The hotel has many available amenities, including two pools (one a rooftop infinity pool), a gym, spa, kids program and more. All of the staff were friendly and attentive. I would definitely stay here again and recommend the hotel to anyone traveling to the area. We stayed in a premium deluxe king room with oceanview. We enjoyed our room very much. However, people considering staying here should be aware that there is a busy road that runs in front of the hotel between the hotel and beach. The room's soundproofing isn't the best and the traffic could easily be heard from the room. This could be problematic for some who may be light sleepers."
"2.","Jaines Feliciano","7","2025-12-25","5","Breakfast in Bali was an amazing experience! The food was fresh, flavorful, and beautifully presented, with a great mix of local and international options. The atmosphere was relaxed and perfect for starting the day. Special thanks to Seni and Cahya for their warm, friendly service they were attentive, welcoming, and made us feel genuinely cared for. Their positive energy really made the breakfast even more enjoyable. Highly recommended! 🌴☀️"
"3.","Chia Jeslyn","74","2025-12-25","4","Good location to all the foods and shopping. The staffs are all friendly and eager to serve. The rooms are slightly old but understandable as hotel is near the beach. Breakfast spread is great! The hotel Spa packages are on the high side, did not able to book as the day and time we wanted are fully booked. Good stay and will stay again!"
"4.","Rudi Wihana","5","2025-12-25","5","Thank you very much Pullman Bali Legian Hotel for the comfort of our vacation. Today's unforgettable experience from the excellent room thank you to the room attendant. And from dinner to breakfast today there are so many choices that we are confused about which one to choose. All the food is very delicious thank you Chef Budi, Chef Adi, Ipon, Nova, Lukas, Mariasa, Manuaba and many more. For the waiter team Mrs. Seni, Cahya and Citra also thank you for the extraordinary breakfast service today. Thank you to the Pullman team today's vacation experience is truly extraordinary. For Mr. RAVI, thank you very much, big big thank you,s"
"5.","sumaiya wasih","1","2025-12-01","5","Wonderful Family Stay at Pullman Bali! We had an amazing stay at Pullman Bali with our kids! From the moment we arrived, the staff made us feel so welcome and well cared for. Everyone was friendly, attentive, and always ready to help with a smile. The breakfast team deserves a special mention — the food was delicious, with so many options, and they went above and beyond every morning to make sure our family was happy. Our room was comfortable and clean, and the resort had such a relaxing atmosphere. The kids absolutely loved the pool and all the little touches that made our stay extra special. Thank you, Pullman Bali team, for making our holiday so memorable — we can’t wait to come back! 🌴💛"
"6.","kuldeep bandal","12","2025-12-25","5","Had a lovely experience at Pullman Bali Legian Beach. The staff were warm, welcoming, and very attentive, making our stay comfortable and enjoyable. A special thanks to Nadya from Accor Vacation Club for clearly and patiently explaining the Accor Vacation Membership. She was friendly, professional, and shared all the information without any pressure, which we truly appreciated. Thank you to the entire team for the great hospitality. Looking forward to visiting again! 🌴✨"
"7.","Sampradha Thapa","9","2025-12-25","5","Overall, I would like to acknowledge the high standards of cleanliness, comfort, and professionalism maintained throughout the property. The facilities were well-organized, and the general atmosphere reflected the quality expected of the Pullman brand. Thank you Ms yanik for wonderful hospitality it was amazing interacting with you hope to see you again in the place making us comfortable"
"8.","Mrinalini Ningthoujam","4","2025-12-25","5","I had such a wonderful experience at the Pullman Bali Hotel. Yanik, one of the staff members, was incredibly kind and always ready to help. She guided us to great places to visit and even assisted us with arranging a cab. Pullman should be very proud to have such a dedicated and helpful staff member like her. Hospitality of the other staff members were also good."
"9.","Ai Siti","6","2025-12-11","5","My husband and I really enjoyed our stay at Pullman Bali Legian Beach. We took a room overlooking the ocean. Upon arrival, we were greeted by one of the hotel staffs with two welcome drinks. Then, we were assisted with check-in by a front office staff named Jesica. She was very helpful and friendly. In fact, all the hotel staffs were friendly and helpful. We had what we needed responded very well. The hotel itself is well located, right in front of Legian Beach, just a few steps away from the beach. There are also many shops and restaurants nearby. Furthermore, the hotel offers a photo session service with very good results by SkySeaSand Holiday Photography."
"10.","Brett McMurchy","3","2025-12-18","5","We stayed here for 6 nights and honesty I can't fault it....Service was amazing. The rooms are large, well serviced and air conditioned. Good selection of food, no Bali belly, complementary water bottles everyday. Booked excursions via discova who have a office in the lobby."
"11.","Leilani Gani","8","2025-12-25","5","Great service from all the staff. My daughter is having fever during our stay and the staff are showing their kindness by sending the meds package directly to our room. Special thanks to Montego restaurant staff (Ratna and Dina and others whom I cant remember the name), going above and beyond, sending fruits to our rooms, heat our meals, and many more. Thank you!"
"12.","Lyn Scantlebury","14","2025-10-01","5","A welcoming experience from entering the reception to walking past staff in the hotel grounds. Nice pool area, especially the adult only infinity pool, which does allow young adults from 12 years of age. Good breakfast, and great location. The best attribute is the staff. Friendly, professional and eager to please. Rooms comfortable and clean. Had read some criticism of beds and pillows, not the case for us. Very comfortable. I highly recommend this hotel."
"13.","Jodie Findlay","10","2025-11-01","5","Mertawan was our amazing waiter- he was friendly, polite and professional. The food was incredible and the service was fantastic! We loved the traditional music and dances. That was a highlight. Another highlight was our ever-smiling and wonderful housekeeping team- Yasmika, Ardiana, Anom and Arnawa. Nothing was too much trouble for the team and they always left our room in pristine condition! Perfect! They’re an asset to the Pullman."
"14.","Tily K","18","2025-11-01","5","Fantastic hotel. Fantastic staff. Beautiful gardens Every single staff member acknowledges you with such happiness! The rooms are lovely and the restaurant food is awesome. One staff member that stood out was a food and beverage attendant called Angie Sujaya! The friendliest and most helpful lady with a beautiful heart. She made our dining experience very joyful! Highly recommend staying at the Pullman Hotel."
"15.","Tariq Alhammadi","265","2025-11-01","5","We really enjoyed our stay at Pullman Legian Beach Bali! The location is perfect — right across from the beach and close to so many great cafés, shops, and restaurants. The atmosphere feels both relaxing and upscale, with a nice mix of modern comfort and Balinese charm. Our room was clean, spacious, and comfortable, with a beautiful view. The staff were always friendly and helpful, making us feel very welcome from check-in to check-out. The breakfast buffet had a great variety of options, and both pools (especially the rooftop infinity pool) were amazing spots to unwind and watch the sunset. Overall, it was such a nice place to stay — perfect for couples or families looking to enjoy Bali in comfort and style. Would definitely stay here again"
"16.","Javid ahmadi","3","2025-12-18","5","The staff are super kind. The treated my family like we were royal and we ment something in life. Thank you pullman staff. The gardens are amazing and the best pools we could encounter. The pullman staff are kind and helpful. The nice foods at the buffet are amazing. The help and try to fix problems thank you pullman for my amazing stay."
"17.","Lance Hollitt","18","2025-11-01","4","We stayed for a week and enjoyed the hotel for the most part. My only issues were that the buffet breakfast is extremely expensive compared to other hotels at double, and in some cases triple, the price and I just can’t see the value. Compared to other hotels the selection was poor and the quality was less than I would expect for the price although still good. The cost for the buffet is 300k each. I had buffet lunch as well which was priced less than the breakfast at 200k plus tax which takes it to just under 250k. The selections were even less than breakfast and the only drink offered was water. When I was dining there was a conference on and they cleaned everything out as well. I was given a discount due to this but only after discussing it several times. I would have thought that the staff know there is a conference so they should prepare more food, this was also during a quiet period for travellers so the number of guests wasn’t high. This is a first world problem but the TV can’t get Netflix or other streaming services. You can access YouTube and local channels but you would expect a 5 Star hotel that is at the higher end of the price bracket to have access to streaming services. The positives are that the staff are great, the facilities are good, the rooftop pool is great in the evening to watch the sunset with a drink and listen to the music being played. They had a saxophone player one night who was fantastic. I would stay there again to see if I have a 5 star experience instead of a 4 star experience but it might be a while because I have a few other hotels I want to try first."
"18.","Victoria Nicole","7","2025-11-01","5","We stayed at Pullman from 6 to 15 October and had a lovely experience overall. We really enjoyed the breakfast buffet there was a wide variety of food choices, and the kitchen staff constantly refilled the dishes so nothing ever ran out. The location is fantastic, being right in front of the beach. The security team was always attentive, even stopping traffic so guests could cross safely. The only downside is that traffic along the Kuta–Legian stretch can get quite busy, especially during peak hours, but it’s a small trade-off for such a prime beachfront spot. In terms of security, we felt very safe throughout our stay. The staff were trustworthy, we even left valuables in the room, and everything was exactly as we left it. There were always security personnel and staff visible around the hotel grounds, and assistance was readily available when needed. The hotel grounds are spacious and beautifully maintained, with plenty of areas to lounge in the garden and several activities to keep younger guests entertained. As for the room, housekeeping was done once daily. Because of our schedule, the timing sometimes didn’t align and we had to call for cleaning, but this wasn’t an issue for us. The team was friendly and responsive each time. The only minor inconvenience was that directions to the infinity pool weren’t clearly provided at check-in, so we only found out about it later in our stay. Aside from that, we truly enjoyed our time here, the hospitality, comfort, and location made it a wonderful experience. We would definitely stay again!"
"19.","dhruv jaggi","11","2025-11-01","2","I recently stayed at Pullman Bali and would rate my overall experience around 2.5 out of 5. The staff were genuinely wonderful — polite, attentive, and always eager to help. I’d especially like to mention Mr. Dodi, who was professional and courteous during our interactions, and Mr. Frans, who responded promptly when there was an issue with our room. At breakfast, Haity and Dep were both outstanding — always warm, cheerful, and very attentive. Their friendly service made mornings a pleasure. However, the rooms felt quite dated and in need of refurbishment. We also experienced a strong odour in our initial room, which required a change. While the team handled it efficiently, it was disappointing for a property of Pullman’s standard. While the hospitality was excellent, the service, facilities and room quality did not meet the same level expected from a Pullman-branded hotel. With some refurbishment and better service & maintenance, this hotel has the potential to offer a much better experience."
"20.","Atif Moulvi","24","2025-12-11","5","This Hotel has become one of our favourite and preferred for a Bali holiday. The location, facilities and ambience is amazing. Service from each and every staff member is outstanding with utmost respect and honesty, especially from the Rio Moka at the Montage Restaurant and Rafael. Both were very helpful and knowledgeable. I would recommend this place to families."
