"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Reza Soleman","16","2025-12-01","5","I had yet another wonderful stay at Pullman Bandung Grand Central. The service was attentive from start to finish, and as an ALL Gold Member I truly appreciate the warm welcome and room upgrade to a Deluxe City View, the view was amazing. The breakfast was excellent as always, with great variety and quality. The room was clean, comfortable, and well-prepared upon arrival. Special thanks to Ms. Naffa at the front desk for a smooth and informative check-in process, and to the Executive Lounge team for their kind follow-up during my stay. Overall, it was a very pleasant and relaxing experience. Can’t wait to return for another stay soon!"
"2.","Devina Ayu","1","2025-12-11","5","My 7th stay at Pullman Bandung, and always a memorable one. Room is spacious, clean, airy, and very well-designed. I always request the balcony room because of the view and the light. Unfortunately it came with a downside; the room is not soundproofed. This caused me some minor damage to my sleep quality, because Bandung's motorcycle community are always on the run during weekend nights -- imagine the revving sound of big bikes circling around the protocol area -- but all in all, the balcony room is still my favorite -- the noise is paid off by the comfort of other aspects of the room, especially the luxurious amenities. Breakfast spread is top notch. Any dietary options are available. And safe to say, as a pastry fan, the croissant and pan au chocolat here are to die for. Never skip them! I'll definitely come back to my home away from home.."
"3.","Cindy Adelia","6","2025-12-01","5","I had such a wonderful stay at Pullman Hotel Bandung! The view, atmosphere, and overall experience were absolutely amazing. The food was really good — every meal was delicious and beautifully served. A special shout-out to the Guest Relations team — Feby, Tami, Naffa, Audi, and Rashya — they were all so friendly, attentive, and made me feel truly welcomed throughout my stay. Their warm hospitality made the whole experience even more memorable. Good food, great service, and lovely people — can’t wait to come back!"
"4.","Rakhma Leana","187","2025-12-01","5","Celebrated my birthday month here and they served hospitality at its finest! I requested a birthday setting and we were welcomed by this cute mirror calligraphy and welcome amenities in the room. Moments later they came to our room with another birthday cake! Shoutout to Feby, Tami, Naffa, Audi, and Rashya to deliver such great guest experience. The room is quite spacy and comes with great view of the mountain and the city, which screams Bandung at its best. The location is very strategic which makes it easier for us to move from one spot to the other. The gym is well equipped and properly maintained. We also visited the kid's club which makes our son wants to stay longer than we intended to (we love it so much btw). The food in the restaurant is great too! We grab a late lunch there and the taste also the portion truly fulfill our tummy. All in all it's a great experience and will definitely come back for another pleasant stay."
"5.","Yessika Effendi","2","2025-12-01","5","I came back to this favourite hotel in Bandung, and this stay left me with sweet memory thanks to the special care from the guest relation team and other staff there. I used the upgrade facility to suite room, it was beautiful, spacious and extremely clean. All staff were very friendly and responsive. I was delighted to enter the room that has been decorated for my birthday, then followed by a surprise with a bday greetings and cake. Thankyou to the guest relation staff Feby, Tami, Raffa, Audi and Rashya for the special effort. It was indeed a memorable stay!"
"6.","Margareta Putri","10","2025-11-01","5","Saya menginap di Pullman Bandung Grand Central dengan harapan mendapatkan pengalaman yang menyenangkan sesuai standar hotel bintang lima, namun sayangnya ada beberapa hal yang cukup mengecewakan terkait pelayanan staf. Pertama, saat saya menanyakan ke concierge mengenai lokasi penjemputan Gojek (karena saya sedang menggendong anak dan menggandeng satu anak lagi), saya justru diarahkan untuk turun ke lantai G melalui eskalator sebanyak empat kali. Padahal ternyata ada akses lift yang jauh lebih praktis dan aman. Informasi yang kurang tepat seperti ini cukup merepotkan, apalagi bagi tamu yang membawa anak kecil. Kedua, ketika hendak menuju kids club, saya kembali mengalami ketidaknyamanan. Dalam kondisi menggendong anak dan membawa stroller, saya kesulitan membuka pintu, sementara ada dua staf di area tersebut yang hanya melihat tanpa menawarkan bantuan. Baru setelah saya menyindir, barulah salah satu staf datang membantu. Ketiga , mengenai Kebersihan Karpet Kamar Kondisi karpet di kamar sangat mengecewakan — terlihat kusam dan kotor, seperti sudah lama tidak dicuci atau diganti. Hal ini menimbulkan kesan kurang bersih dan tidak sejalan dengan standar kebersihan hotel bintang lima. Menurut saya, hal-hal seperti ini menunjukkan bahwa hospitality dan kepekaan terhadap kondisi tamu perlu lebih ditingkatkan. Untuk hotel sekelas Pullman, saya berharap staf bisa lebih sigap, ramah, dan proaktif membantu, terutama kepada tamu yang membawa anak atau memiliki kebutuhan khusus. Semoga ke depannya pengalaman tamu bisa lebih baik dan sejalan dengan reputasi Pullman yang terkenal akan pelayanannya. **UPDATE: Sudah ada respon dari pihak hotel yang diwakili oleh Mbak Feby. Pihak hotel telah menyampaikan permintaan maaf, memberikan kamar pengganti , serta menambahkan compliment sebagai bentuk perhatian. Saya menghargai langkah cepat dan sikap profesional yang ditunjukkan. Terima kasih atas tanggapan dan perbaikan yang dilakukan. 🙏 Semoga ke depannya pelayanan yang baik ini dapat terus dipertahankan dan semakin ditingkatkan. 🙏"
"7.","Erik Tan","10","2025-12-18","5","Our stay at Pullman Bandung Grand Central was truly satisfying, thanks to its strategic location, comfortable rooms, and comprehensive amenities. However, what truly impressed us most was the exceptional service provided by the incredibly friendly and professional staff. We would like to express our sincere gratitude to Ms. Chani, who guided us through the check-in process with such a smooth and welcoming atmosphere, Ms. Nadiya for her attentiveness throughout our stay, and Ms. Natania (Duty Manager) for her communication and care, ensuring our comfort. All three were invaluable assets that made this experience so special and make us want to return, thankyou very much 🙏"
"8.","Resty Kusumawati","6","2025-11-01","3","Regrettably, I would not be able to recommend Pullman Bandung to my colleagues for future events. I recently organized a 75 participants for a full-day meeting package and 28 participants for halfday meeting in the next day, also 26 rooms for 3 days 2 night. In comparison to other hotels, where a small breakout room is usually provided on a complimentary basis for the organizing committee’s private discussions or calls, we were instead asked to pay an additional fee here, which discouraged us from using the facility. We also considered hosting a dinner at the rooftop, but were informed by the Sales team that it was not possible. They only reccomend their steak restaurant Mad Cow. As a result, we held the dinner elsewhere, which was a missed revenue opportunity for the hotel. Overall, I found several aspects of the service below expectations. The Jakarta Sales team never visited our office to discuss the event details, leaving me to follow up repeatedly. When I conducted a site inspection in Bandung, the Sales representative was not particularly welcoming and did not take the initiative to showcase the meeting spaces. I had to specifically request to see the rooms, and the initial space allocated was in a closed-off corner. Furthermore, during the site inspection, no refreshments were offered. Only after we hinted was plain water served, whereas at other hotels I think it is standard practice to extend a more hospitable gesture, such as offering coffee? Or lunch? I hope this feedback may be helpful in improving the level of service for future clients."
"9.","Brinna Listiani","10","2025-12-01","2","Saya sangat kecewa dengan pelayanan di hotel bintang 5 pullman bandung. Bookingan saya di tiket.com di cancel sepihak oleh pihak hotel pada H- 1 dengan alasan tidak ada jaminan pembayaran. Voucher hotel saya itu pay at hotel, sudah pesan dari bulan mei 2025, kalau butuh deposit ya tinggal hubungi saja ada waktu 6 bulan. Bukan ngehubungin H-1 di JAM 17.15 WIB, LEWAT EMAIL, DAN CUT OFF KONFIRMASI JAM 18.00 WIB jika lewat dari pkl 18 dibatalkan. Ini lewat EMAIL ya sekali lg saya tekankan (memang mau cari kamar cancelan aja). Dan saya telp konfirmasi langsung jam 19.30 begitu tau emailnya, kamar sudah fully booked dan tdk ada solusi dr pihak hotel. Saya memilih hotel pullman krn ada seminar di sana, dan saya msh ada bayi menyusui dmn saya perlu bolak balik ke kamar di waktu waktu tertentu, jd tdk mgkn bs dilakukan jika saya tdk stay di pullman. Oiya solusi pihak hotel saya stay di kamar suite krn itu kamar yg msh available, dengan harga normal. Tentu saja hal ini sangat memberatkan disamping harga yg jauh lebih mahal juga saya dtg hanya utk seminar bukan utk berlibur. Kesalahan dr pihak manajemen tp saya yg hrs d rugikan dgn mengeluarkan budget jauh lbh mahal, jd itu bukan solusi dan pertanggungjawaban yg fair menurut saya. Fast forward, saya cari solusi sendiri dengan mencari cancelan kamar dr teman sejawat kami di hotel ibis lalu pindah ke pullman itupun dr pihak hotel tdk memberikan kemudahan bagi saya utk early check in. Saya harus complain berkali kali spy hotel mengusahakan saya spy bisa early check in menyesuaikan wkt cekout hotel ibis. Kmdn pada saat saya cek in di pullman tdk ada satupun staff yg menemui saya utk membahas masalah ini, ataupun meminta maaf atas ketidaknyamanan yg tlh saya alami. Mungkin krn saya rakyat jelata ya bukan pejabat jadi kalian tidak meresponse complainan saya. Sungguh tidak profesional, dan utk pelayanan sangat kurang utk level hotel bintang 5. Saya tdk merekomendasikan pullman hotel bandung ke sejawat ataupun keluarga saya Oiya disaat ramai orang antri di lift karena ada seminar disitu, petugas hotel hold satu pintu lift krn akan ada pejabat datang shg menyebabkan penumpukan tamu di depan lift. Luar biasa pelayanannya bener bener bintang limaaa (khusus pejabat :) )"
"10.","Mindo Stevi .A.","2","2025-12-25","5","Location central deket kemana - mana. Kamar nyaman and bed so comfy. breakfast menu delicious and servis sangat baik. Special mention to mas Fahmi for the serving during bfast @mad cow. Thank you for the hospitality."
