"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Tariq Alhammadi","265","2025-12-01","5","From the moment we arrived, Raffles Bali completely exceeded every expectation. The staff welcomed us with such genuine warmth — everyone we met went above and beyond to make our stay unforgettable. Our personal butler was incredibly attentive without ever feeling intrusive, always one step ahead in anticipating what we might need. Every smile felt sincere, and the level of service here truly sets Raffles apart. Our villa was absolutely stunning — spacious, peaceful, and beautifully designed with a private infinity pool overlooking the ocean. The attention to detail was extraordinary, from the fresh tropical flowers to the nightly turndown treats. Waking up to the sound of birds and waves every morning felt like a dream."
"2.","Alexandr Kim","12","2025-11-01","5","I recently had the pleasure of staying at Raffles Bali, and it was an unforgettable experience from start to finish. The property is absolutely stunning — serene, private, and surrounded by lush nature with breathtaking views of the ocean. Every corner of the resort radiates peace and luxury. The villa itself was immaculate and beautifully designed, offering complete privacy and comfort. The private pool and outdoor spaces created the perfect environment to unwind and enjoy the tranquility of Bali. Dining was another highlight — delicious food with fresh ingredients, a great variety of dishes, and outstanding presentation. The cliffside dining experience was particularly magical. Highly recommended."
"3.","Amy Shi","95","2025-11-01","5","We appreciated that this Raffles is quite new, with all the comforts and thoughtful features that come with a modern resort. The villas are beautifully landscaped, with serene front gardens and lovely backyards featuring an infinity pool overlooking the ocean. Sitting in the pavilion, surrounded by nature, was simply exquisite. We especially loved the breakfast and lunch selections — fresh, varied, and beautifully presented. Dinner, however, was a bit challenging due to mosquitoes. Another drawback was the nearby construction of a high-rise building, which somewhat disrupted the otherwise tranquil atmosphere. The service at Raffles is outstanding, as expected from the brand. They offer complimentary limo services from and to airport. The staff and management team are all super friendly and helpful. The highlights of our stay were the spa and the resort photographer. The massage at the spa was truly the best I’ve ever had, and the photo session was exceptional — the photographer was incredibly talented. We ended up purchasing a beautiful, high-quality photo album and received all the digital files as well. Highly recommend doing this experience while you’re there."
"4.","Tiffany Thornton","72","2025-12-01","5","I had the most wonderful calming spa experience at the Raffles Bali spa. It started with a Balinese massage that was so relaxing. Then I had the opportunity to go inside the cave for a chakra and reiki session. It was so soothing, and the energy in the cave was very peaceful. I could have lingered there all day. Make sure to book time at the spa you won't be disappointed."
"5.","Ahoo P","19","2025-12-01","5","Our stay at Raffles Bali was nothing short of extraordinary. From the moment we arrived, we were immersed in a world of tranquility, beauty, and impeccable service. The villa was absolutely stunning — spacious, serene, and surrounded by lush, beautifully maintained landscaping that created a true sense of paradise. Every detail was thoughtfully designed to provide both comfort and elegance. Dining at Raffles was an exceptional experience in itself. From breakfast to dinner, every meal felt like fine dining — beautifully presented and bursting with flavor. The culinary team clearly takes great pride in their craft. Our anniversary dinner at the Secret Cave in Raffles Bali was an unforgettable, once-in-a-lifetime experience. The setting was absolutely magical — the cave beautifully illuminated and decorated with such attention to detail, creating the most romantic atmosphere imaginable. Each course was not only delicious but also a true work of art — a perfect blend of creativity, flavor, and presentation. It felt like dining inside a dream. Our waitress Ann, was exceptional — warm, attentive, and genuinely caring, making the entire evening even more special. Raffles turned our celebration into a memory we will cherish forever. Truly a masterpiece of fine dining and romance in every sense. What truly made our stay unforgettable was the team. The entire staff, from the hotel manager, Bernadine to the room attendants, restaurant servers, spa staff, and especially our dedicated butler, Aditya were genuinely kind, professional, and attentive. Their warmth and personalized care made us feel incredibly welcome and special throughout our stay. Raffles Bali delivers a level of service and attention to detail that is rare and remarkable. It was a truly memorable experience that exceeded every expectation. We can’t wait to return and relive the magic again."
"6.","Luis Ch","22","2025-10-01","5","Our stay at Raffles Bali was nothing short of exceptional. The property is stunning, offering incredible views and absolute privacy, with villas that are spacious, beautifully designed, and equipped with everything you could possibly need for a relaxing getaway. The attention to detail in every aspect of the resort truly sets it apart. What made our experience even more memorable was the outstanding service. The entire team went above and beyond to make us feel welcome and cared for throughout our stay. A very special mention goes to Sila, who was simply amazing. His warmth, professionalism, and thoughtful attention made our time at Raffles truly unforgettable. We left with wonderful memories and are already looking forward to returning. If you’re looking for luxury, comfort, and impeccable service in Bali, Raffles is the perfect choice."
"7.","Mariusz","2","2025-08-01","5","Our recent stay at Raffles Bali was nothing short of extraordinary. From the moment we arrived, we were welcomed with the kind of warmth and attentiveness that truly defines world-class hospitality. The staff and management went above and beyond to make our experience unforgettable – every detail was taken care of with genuine care and professionalism. What made our stay even more remarkable was the exceptional food – every meal was beautifully presented and full of flavor, from breakfast to dinner. The culinary team clearly puts passion and precision into every dish. A special highlight for us were the dinner at Rumari and the In-Villa Barbecue. We also indulged in the spa, which was an incredible experience. The treatments were deeply relaxing, and the setting was tranquil and luxurious. Overall, Raffles Bali offers a rare blend of natural beauty, thoughtful design, and the highest level of service. We left feeling refreshed, deeply cared for, and already dreaming of our return."
"8.","Qusai H","192","2025-10-01","5","Our stay here completely ruined other hotels for us! Raffles Bali is more than a resort—it’s a sanctuary. From the stunning villas with ocean views to the incredible facilities, every detail was flawless, from our exceptional butler Endah who cared so deeply for us, the breakfast food and service was something spectacular. Everyone and literally everyone from the staff showed exemplary warmth that made us feel truly cared for. It’s not just luxury, it’s serenity and memories that will last a lifetime."
"9.","Mohammed AlAli","13","2025-09-01","5","We had the most wonderful honeymoon at Raffles Bali Resort, and every moment from arrival to departure was truly exceptional. The resort’s personalized service made our stay unforgettable, and our dedicated Butler, Bella, went above and beyond to ensure that all our requests were fulfilled seamlessly, often exceeding our expectations. The resort itself is breathtaking, with world-class facilities and activities that made our time both relaxing and enriching. We especially loved the botanical tour through the resort’s enchanting gardens, which was both peaceful and fascinating. Another highlight was the private BBQ by the beach, an intimate and beautifully arranged experience that made our honeymoon extra special. Raffles Bali delivers luxury at its finest, blending impeccable service with unique experiences. We highly recommend it to anyone seeking a romantic and memorable escape — and we would definitely stay here again."
"10.","Kavi Nirvana","4","2025-09-01","5","Raffles Bali exceeded all expectations, serene atmosphere, exceptional service, and a breathtaking villa with private pool and ocean views. The food was outstanding, with every meal beautifully presented and full of flavor; highlights were dinner at Rumari and the in-villa barbecue. Excellent location and a truly world-class retreat."
