"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Samit Ambaram","9","2025-12-01","5","Our stay at Sofitel Nusa Dua was absolutely exceptional from start to finish. The resort exudes pure luxury, with an elegant atmosphere that immediately makes you feel relaxed and pampered. Every corner of the property is immaculate — from the lush tropical gardens to the sparkling pools and beautifully designed rooms. The staff service was outstanding, and we’d love to give special thanks to Pande, our housekeeper, who kept our room spotless every single day and always greeted us with a warm smile. His attention to detail and friendliness made our stay even more comfortable. We also want to highlight Andika from the restaurant team, who went above and beyond to make sure our breakfasts and meals met all our expectations. The food was consistently delicious, and Andika’s attentive service made every dining experience a pleasure. The resort’s location right by the beach is another major plus — it’s peaceful, clean, and perfect for morning walks or sunset views. There are plenty of dining options, from international buffets to authentic local cuisine, so there’s something for everyone to enjoy without ever needing to leave the resort. Overall, Sofitel Nusa Dua delivers everything you could hope for in a five-star getaway — luxury, comfort, and world-class service. We left feeling refreshed and already planning our next visit. Highly recommended! 🌴✨"
"2.","Jasmin H","239","2025-12-25","5","We stayed at Sofitel Nusa Dua for several days in November and had a wonderful experience from start to finish. The welcome was exceptional. As Platinum members, we were received at Club Millésime, where we could check in in a calm and comfortable setting while enjoying a drink. The hotel truly offers excellent benefits for Accor members. We received a complimentary room upgrade to a room with a private pool and a beautiful terrace, which we thoroughly enjoyed. There were absolutely no issues with insects or pests. The room was spacious and extremely clean, and we were welcomed with delicious snacks upon arrival. Housekeeping was spotless every single day. Club Millésime is the perfect place to fully unwind. Snacks are available throughout the day, and what truly impressed us was that during check-in we were asked about dietary restrictions. These were genuinely taken into account: the staff immediately knew our dietary needs upon entering the club without us having to remind them, and at times they even prepared custom-made snacks when nothing else was suitable. The breakfast menu in the club itself felt a bit limited, which is why we chose to have breakfast in the main restaurant instead. Dining at Kwee Zeen Restaurant was fantastic, with a wide variety of dishes ranging from Western to Indonesian and Indian cuisine. The restaurant was also very clean. The swimming pools were well maintained and clean, with staff available to offer towels. However, we did feel that there could have been more sun loungers available, especially in the afternoon when it became quite challenging to find a spot. The hotel is located directly on the beach, where sunbeds and towels are also provided. There were plenty of complimentary daily activities, such as sports, as well as paid activities like banana leaf folding and fruit carving. The paid activities were incredibly fun, and since it was just the two of us, we received full personal attention from the staff (sorry guys, we forgot your names!). Lastly, a very special shoutout to the staff who made my birthday truly unforgettable. From morning until dinner, I was completely spoiled. In the morning, during our banana leaf folding activity, the staff suddenly appeared singing with a cake and balloons. In the evening, Yuli and Febri made the night unforgettable by arriving singing with a birthday cake during dinner. It is worth noting that there is not much to do in the immediate surroundings of the hotel. This is truly a destination to relax and unwind. Do not expect to walk outside and find many restaurants or shops nearby. That said, ordering food and other items via Grab is very easy and convenient. The next time we are in Bali, we will definitely be staying with you again."
"3.","James Barnard-Green","12","2025-12-18","5","Can't fault this resort! All the staff are super friendly and helpful, they all stop and say hello when you walk past! Plenty of good food options, great room service, tailor to any requests you have. Organised taxis when required to go anywhere. Big shout-out to Sri who served us at breakfast most mornings! We always had a complicated a-la-carte order, but she made it happen every day, and remembered our order for the next day! She was super friendly and was so professional, you can tell she loves what she does. 10/10 for Sri 👏 Also the massage on the beach is also a great addition!"
"4.","jeroen andriessen","11","2025-12-11","5","Fantastic resort. Grand set up. The whole plays breathes luxury. Multiples pools, a number of eateries. Excellent quality food. Beautiful spot on the beach. Very large light well equipped rooms. Lovely view of looking the compound and the sea. Great fitness, nicely air conditioned, lot of equipment. The breakfast is simply overwhelming., Traditional, Asian, Indian cuisine all available. One of the highlights is there fresh juice & veggie bar where your choice of drink is freshly pressed. This resort offers all that you expect from a very luxurious place, and more. Their greatest acid however, is their staff. All of them are really geared towards excellent service to the clients. Welcoming, courteous, communicative. they are all excellent representatives of this resort, they’re all very good hosts in their own right. Shining example Mira, Mia and Michelle who amongst other things, attend to all your breakfast / lunch / dinner needs with a big big smile.It is simply great to see their lovely smile every morning and enjoy their great service to make your day as good as possible. They really anticipate on your needs and wishes. As if they read your mind. Nusa Dua Is in fact whole string of hotels and resorts. This, no doubt has to be one of the absolute better ones. Highly recommended."
"5.","renee har","3","2025-12-01","5","The staff at Bali Sofitel have been consistent in high quality service. I love that all staff greet and welcome us when we walk past any staff member. I can also see the friendly service thy go above and beyond to accommodate our needs. What I found extra special as a consumer that has come back three years in a row was the hospitality. From the entrance we are greeted with a bracelet that wishes all staff prosperity. All these small details makes the difference. This time around on our third year we came to a medical conference to Sofitel. The food was to be commended. Morning tea was provided at 930am and had the most variety of food and drinks. Conference ending there was still never ending top up on food and beverages when the conference ended.I found that quite special, having been to other conferences around other hotels. Sofitel Bali hotel was by far the best catering for food. During the 6 days of stay we had moved rooms three and from the management I put my hat down to them. I commend them for exceptional service in service delivery. I had the honour of meeting the Director of rooms during the meet and greet for Accor members that happens weekly. Amy is to be mentioned as she has an amazing team under her. Her commitment and dedication is seen through her team."
"6.","Jasper Ng","2","2025-12-01","5","We had an amazing stay, and a huge part of that was thanks to our servers, Sri and Angga. They were incredibly accommodating, attentive, and always made sure we had everything we needed throughout our stay. Their warmth and professionalism truly made the experience feel special. The room itself was also impressive — spacious at 88 sqm, beautifully designed, and very comfortable. We especially loved the private pool, which was surprisingly large and perfect for relaxing anytime of the day. Overall, everything exceeded our expectations. Highly recommended!"
"7.","Phu Diep","271","2025-12-01","5","Fantastic choice for families and anyone looking for a luxurious beachfront escape. The pool-access rooms (my room is 1001) are outstanding, offering direct entry to beautiful, well-maintained pools that make every morning feel like a holiday. The resort also shines in its activities for kids, with a fun, safe, and creative program that keeps children excited and engaged. They have the kids journey to achieve and receive the gift at the end Its location right on the beach is unbeatable—just a few steps from coral sand, calm waves, and stunning sunrise views. The service is consistently warm and friendly, from check-in to housekeeping, making the entire stay feel genuinely cared for. The club lounge is another highlight, with a relaxed atmosphere, attentive staff, and great food and drinks throughout the day."
"8.","Devy Liem","15","2025-12-18","3","Firstly, if its not for accor plus stay benefit (itself has been nerfed) I will not consider paying for the room rate The breakfast: delicious, but underwhelming. International selections were very limited, for example the Japanese section only have MISO SOUP + another protein The hotel: definite wear and tear visible. Room aircon wasnt cold enough, the restaurant is very humid. Mosquitos are also a real issue that i find anywhere anytime, poolside, balcony, restaurant Kids club: 5 star, very friendly, very safe. The nanny service is top notch Staff: very welcoming, accomodating and helpful"
"9.","Chris","1","2025-12-01","4","We enjoyed our week stay at the Sofitel. Staff throughout the stay were extremely pleasant and attentive. The Butler service was of a high standard and all requests taken care of promptly. Thanks to them all. The Villa was well appointed and roomy with a lovely garden and swimming pool. Housekeeping did an excellent job, especially Alit, who did a super job. Breakfast and Club Millesme inclusions were lovely. We especially enjoyed The Cucina restaurant, beautiful food and staff, special thanks to Suci and Githa, who made our dining experience special."
"10.","Lada Muratova","3","2025-12-25","5","During our stay, we enjoyed the Summer BBQ at the beachfront restaurant. The food was excellent, with a great selection of seafood, meats, sides, and desserts. We would especially like to thank Yulyastika for making our evening truly memorable. He went above and beyond, paying attention to every detail - ensuring our glasses were always full, providing fresh plates for the buffet, bringing lemon water and towels for the seafood, and promptly clearing plates so everything felt effortless and enjoyable. His attentive, thoughtful service truly elevated our dining experience."
"11.","Kelwin Adrian Khoven","7","2025-12-01","5","A truly memorable stay from start to finish at Sofitel Bali Nusa Dua Beach Resort. As Platinum members, we felt warmly recognized and valued throughout our entire visit. Upon arrival, we were personally escorted to Club Millésime for a dedicated check-in. Our luggage was handled with the utmost care—the concierge brought everything directly to our room. We were upgraded from a Luxury Room with Resort View to a Luxury Room with Pool Access. They also kindly fulfilled my request for a complimentary birthday cake for my partner, along with welcome amenities and decorations. Breakfast was great, with a peaceful spread at Club Millésime and a more extensive buffet at Kwee Zeen. What really stood out was the staff, every interaction, from the front desk to dining, was warm, professional, and made us feel truly valued."
"12.","Hayden Chapman","5","2025-12-01","5","We stayed at the Sofitel for a week, with 4 others and the ability of the hotel and staff, to ensure that our trip together was exactly what we wanted during our time within the resort. The food was amazing, diverse and always very fresh. The morning buffet, was my favourite and the variety for different cuisines around the world, put it over the top. I tip my hat off to the amazing customer event team under Dian who helped me put together a surprise night for me wife after dinner one night. I can not go past the amazing effort and time that one of the staffers, Asih, put into cleaning and tidying the room! We always came back to the room being spotless, fresh towels, sheets and toiletries when needed. She even went above and beyond in folding any clothes that were dry and left outside on the clothes horse. Thank you to all at the Sofitel, our first week ever in bali and definitely a memorable one."
"13.","Amelie","22","2025-12-01","5","We had the best experience dining here! Our server, Yudi, was absolutely incredible. We came in as a big group of eight with three kids and plenty of special requests, but nothing was ever too much trouble for him. He was patient, attentive, and unbelievably quick, always appearing right when we needed something. The food was fantastic, but Yudi truly made the night memorable. Exceptional service like his is rare these days. He definitely deserves a raise! Highly recommend this place and will absolutely be back."
"14.","Susie F","10","2025-12-25","5","My husband and I had the most relaxing and enjoyable stay here - definitely one of our best holidays ever. The hospitality was exceptional from start to finish. Huge thanks to our amazing butlers Yuli, Edi, Darwin, Hendrik, and attendant Lanang for going above and beyond every day. Also grateful to Novi from the fitness centre, who kindly stayed back to help me set up the cardio room, and to Sinta, Adiana, Yulyastika and many more staff for their warm and attentive service. Sorry we didn’t catch all their names. We loved our pool villa, the beautiful Club Millésime, and the great restaurants throughout the resort. Everything was immaculate, relaxing, and thoughtfully done. Highly recommend - we’re already planning our return!"
"15.","Yana Skalski","8","2025-12-25","3","Property is nice, with large pools and plenty of loungers. Food is generally good, with the exception of the kids menu, so we ended up sharing with our daughter from the a la carte, not a big deal. We stayed in off-season, so it was not particularly busy, which made the failures in service all the more disappointing. To name a few: we were made to wait for a very long time in the “welcome area” before we could even approach the check-in counters, only to be told our rooms weren’t ready. Although it was already past the check in time, we agreed to wait (what choice did we have?), and asked if it was possible to get rooms on a high floor to avoid having upstairs neighbors. The hotel was not busy at all, so we thought this was a simple request. However, this required another 20 minutes of “checking”, and yielded no clear answer. Instead, we were offered lunch. This seemed nice until we got to the nearly empty restaurant, where it took at least 30 minutes for the servers to put in our food order, and another hour for it to arrive. Again, empty restaurant, plenty of staff, just extreme disorganisation. The room saga continued afterwards - won’t bore you with details, but management ended up involved for an issue that should have easily been sorted by staff. Unfortunately, our first day experience was representative of the service during our whole stay. The staff smile a lot, but seem very poorly trained and unable to answer basic questions. Every issue is chalked up to “miscommunication”, even if it is clear that the issue is on their end. Management seems aware and uninterested in addressing this. It was an ok experience overall, but not one we’re in a hurry to repeat."
