"No","User Name","Review Count","Review Time","Rating","Review Text"
"1.","Muhammad Haris Fadillah","4","2025-12-26","2","Untuk hotel sekelas st regis dan terafiliasi oleh marriott bonvoy, service sangat tidak sesuai ekspektasi. Pertama, diawali dengan bantal di couch yang bau sekali meskipun untuk respon penggantiannya cukup cepat. Lalu, untuk in room dining butler service sangat tidak responsif untuk mengangkat tray makanan meskipun saya sudah memberikan perkiraan waktu selesai makan. Ketiga, complimentary spa kurang bagus (jacuzzinya) namun service dr Defi sangat bagus dalam memberikan pelayanan. Keempat, makanan di Bel Etage kurang hangat untuk soupnya (ini konfirmasi dari beberapa tamu yang makan bersama saya atas pendapat saya). Terakhir, untuk check out parkir yang memakan waktu sangat lama dr sistem parkir meskipun saya sudah mendaftarkan tiket parkir di awal saat check-in. Atas hal ini, saya juga telah menyampaikan feedback kepada Pak Arya untuk ditindaklanjuti. Selain itu, kudos untuk housekeeping (Alisa) yang bagus dalam pelayanannya. Thank you to St. Regis even though it was not pleasant trip for me."
"2.","Jennifer Wuisan","13","2025-12-18","2","Pengalaman menginap di hotel bintang 5 sejauh ini, ini kamar terlembab sampai tidurnya tidak nyaman. First impression juga buruk karena diberi kamar yang belum ready. Waktu masuk ke kamarnya, masih ada 3 air humidifier besar dan ada bau apek. Telpon sampai 5 kali untuk menjelaskan kalau kamarnya tidak sesuai (tidak langsung ditanggapi, diberi solusi ‘Bagaimana kalau kamarnya diberi air freshener?’ 😭) Tunggu hampir 30-45 menit baru dihampiri untuk di investigasi dan diberi kamar baru. Staff meminta maaf dan dikirimi beberapa dessert. Diganti kamar baru tapi kamar yang baru pun masih lembab :( Tolong diperbaiki sirkulasi udara di kamarnya. Untuk bagian housekeeper sangat tanggap dan ramah. Staff-staff hotel lain juga ramah. Sayang sekali kamarnya saja yang tidak nyaman. Coba menginap disini juga karena kira kid friendly tapi ternyata tidak. Untuk ke playground harus daftar dahulu dan dilimit waktu 2 jam, hanya available weekend saja. Untuk weekdays, ya anak ngaplo aja di kamar yang lembab."
"3.","Ryan Kim","989","2025-10-01","5","The St. Regis Jakarta delivers a true luxury experience from the moment you arrive. The lobby is grand yet modern, with elegant design details that immediately set the tone. Rooms are spacious, tastefully decorated, and equipped with thoughtful touches—everything from the bedding to the bathroom amenities feels premium. Dining options are diverse and of consistently high quality, whether you’re going for a casual meal or fine dining. The service is what really elevates the stay: attentive, warm, and personalized without ever feeling intrusive. Facilities like the pool, spa, and fitness center are well-maintained and add to the sense of indulgence. Overall, it’s a hotel that combines refined elegance with genuine hospitality, making it one of the standout luxury stays in Jakarta."
"4.","Hayqarl","48","2025-11-01","5","St. Regis Jakarta redefines the meaning of perfection. From the moment I arrived, everything was orchestrated with such grace and attention to detail that it felt almost unreal. The personalized butler service was beyond exceptional, every request was anticipated even before I asked, making me feel like royalty in the heart of Jakarta. What truly amazed me was how reasonable the stay is for a five-star property of this calibre , every experience, from the gourmet dining to the serene ambience, felt priceless. The food, the scent of the lobby, the quiet elegance of every corner , it’s something that words can’t fully describe. You have to experience it yourself to understand what true luxury feels like. And the penthouse? Absolutely breathtaking. For around RM 50 K per night, it’s a masterpiece , spacious, sophisticated, and filled with warmth. Honestly, I wouldn’t even mind spending RM 1 million here, because the level of comfort and service is simply unmatched anywhere else. St. Regis Jakarta isn’t just a hotel , it’s an emotion, a sanctuary, and my second home every time I return to this city. St. Regis forever. ❤️✨"
"5.","Ariana Rae Dennis","21","2025-12-01","5","My husband and I did a weekend stay for his birthday. The service was so thoughtful and thorough. The room was decorated for his birthday and they even included a pregnancy pillow for me. All food establishments were notified of my pregnancy and ensured everything was cooked and served appropriately. The room was spacious and felt luxurious. We’ll definitely be back for more staycations."
"6.","Himanshu Timbadia","9","2025-12-18","5","St Regis, My home in Jakarta!! This is my second stay at the hotel and thoroughly loved it!! The hotel has a lovely ambience and vibe, but it’s the service that is truly outstanding!! Erika, the loyalty and guest services manager, once again went out of her way to ensure that i had a very comfortable and lovely stay!! The Butler team was prompt and efficient with all my requests. Thank you and can’t wait for my next visit!!"
"7.","ony","96","2025-12-01","5","Ruangannya bagus, makanannya enak. Kamarnya luxury, lengkap, khas hotel bintang 5. Worthed dengan harganya. Wedding Party juga ruangannya sangat bagus, hanya saja ada bagian lantai yang licin dan kebetulan ada sedikit air dilantai tersebut, akibatnya saya terjatuh persis di wedding party ponakan yang digelar disana. Mohon pihak hotel lebih care."
"8.","Keluarga SP","14","2025-12-01","4","Kamar bagus banget apalagi kamar mandinya, lobby mewah, playground bagus dan bersih, makanan ketika dinner dan breakfast enak dan komplit banget. Staf ramah KECUALI waitress bule cowok tinggi putih yg sangat tidak ramah, jangankan senyum, lihat kami saja dengan pandangan sinis. Bikin nilai minus di hotel ini yg sudah bagus dari sisi fasilitasnya."
"9.","Dinda Srikandi","111","2025-12-01","5","Sempurna dari semua sisi. Ruang meeting nyaman dan berkualitas, meeting jadi lancar Makanan enak dan banyak opsinya, sweet savory lengkap dan lezat Kamar mandi best, disediakan handuk tangan untuk setiap pengunjung Mushola best, well prepared and designed (suka dg pengelola hotel mewah tapi tidak melupakan musholah) Minusnya jumlah pelayanan berlebihan/banyak, lalu setiap customer didekati terlalu dekat, pada setiap titik aktivitas. Bagi yang introvert seperti saya jadi kurang nyaman hehe Misal ketika sedang mengobserve makanan, masih dalam tahap berpikir, melihat2 mau pilih yg mana dll, itu diajak ngomong terus sama petugasnya (which is maksudnya baik, tapi aku butuh ruang untuk menikmati semua view ini sebelum memilih...) hahaha Tq st regis"
"10.","Benni Tedja","598","2025-11-01","5","Best hospitality hotel, customer treated like a royalty king / queen with buttler service. Semua pekerja sangat baik, to name a few (Vanessa, Fredlyn, Prakoso dll) small little thing adds up, we were very happy. The swimming pool is very unique with connecting bar (too bad there's smoking area to access the pool which is not kids friendly) The breakfast and dinner was one of the best! We were impressed Too bad kids club didn't open on weekdays so we missed out.. got a hiccup with air-conditioning but didn't affect much of our stay. The service provided overcame the negative experience. Definitely worth the money!"
"11.","PILOTPENING","115","2025-12-01","5","Harapan & Impian Menginap di St. Regis Jakarta Bisa check-in dan langsung merasakan suasana mewah & ramah: lobi elegan, pelayanan cepat, staf yang siap bantu. Menikmati kamar dengan kenyamanan tinggi: AC, shower + bathtub, balkon/pemandangan kota, tempat tidur nyaman, plus kenyamanan tambahan seperti minibar, layanan kamar 24 jam. hotels Waktu santai: berenang di kolam outdoor, relaks di whirlpool/spa/sauna, atau sekadar duduk santai sambil menikmati suasana kolam dengan pohon rindang jauh dari hiruk-pikuk Jakarta."
"12.","Jessica D","11","2025-11-01","1","Room is fine but don’t even think about holding your wedding or any other important event/celebration of your life here. Venue Management is very unprofessional, disorganised and completely disappointing. Our VIP guests including family members did not even get their main course at all since first serving despite allocated portions with plenty leftovers at the end of the day; free parking of registered cars were still charged upon exit and asking more than five times, and the late check out given upon our check in was not aligned with the room staffs. Yet despite all of these, the management responded with 100 different excuses every time without any single apology. Biggest joke of the year."
"13.","Darwin Tan","90","2025-12-01","5","Ke hotel ini karena ada acara kantor trus makan2 di restoran bel etage. sangat menyenangkan untuk datang ke hotel ini, cuma saya datang kesini pakai motor dan pengalamannya kurang menyenangkan. tahun lalu saat datang pakai motor tidak dibolehkan masuk, kalau tahun ini boleh masuk tapi seperti diinterogasi dan diremehkan. padahal saya kesini naik motor karena emang lebih hemat waktu, soalnya ud telat acara dan macet dimana2. kalau bisa staff yang jaga di depan bisa lebih ramah dan jangan judgemental apalagi kalau tamu bawa motor."
"14.","Riska TMR","5","2025-11-01","5","terima kasih sudah membantu sy dan anak² saat sarapan (menyediakan baby chair dan peralatan makan anak yg aman), staff yg ramah dan sigap, kamar dg view kota jkt dan LRT , house keeping yg full senyum dan ramah sekali.. terima kasih sudah memberikan kenyamanan menginap disini."
"15.","Kevin Dermawan","17","2025-11-01","1","Hari berbahagia yg seharusnya untuk saudara perempuan saya malah berubah jadi hal memalukan. Makanan yang disajikan raib semua di meja vip keluarga. Yang hilang tentu saja menu yg mahal2 seperti angus steak dan peking duck, yang ditawari hanya menu bakwan malang dari awal acara sampai selesai (masak bakwan nya 1 toren air mungkin) Penanganan manager nya juga sangat tidak profesional saat ditanyai.. jawaban nya muter sana sini dan hanya membela diri supaya bukan mereka yg bertanggung jawab. Yg artinya menandakan bahwa saya lah yg berbohong. Petugas mobil nya juga saya bingung, kepengen ngomong kata kasar rasanya. Bohong dan muter2 jawaban nya itu ketara banget.. tiap nanya petugas nya jawaban nya selalu beda2. Mobil2 yg seharusanya gratis karena sudah didaftarkan malah tetap kena biaya parkir. Bagi saudara2 yg berencana nikah, tolong untuk mikir 2x lg jika ingin di hotel ini.. harga bintang 5 pelayanan nya kaki 5 (ber ac doang). Karena malu nya itu tidak bisa tergantikan oleh apapun"
"16.","Chris Buckee","5","2025-12-25","5","Brilliant service and staff. Cannot fault a single thing. Buffet was amazing. Butler service impeccable. Location is as accessible as most places in Jakarta."
"17.","Caramel Uchiato","217","2025-10-01","5","Udah tiga kali saya menginap disini dan sy pikir ini masih hotel terbaik versi saya di Jakarta ya, mewahnya dapat, ramahnya dapat, kamar lumayan luas, lokasi strategis dan menu breakfast berlimpah dan enak2 terutama pastrynya. Dan kmrn sy minta slice cake utk ultah sy eh malah dikasih cake lmyn gede dan bed dihias, cakenya enakk bgt sumpah, pokoknya st regist best banget and we definitely will come back..soon 😁"
"18.","juli susanto","229","2025-12-11","5","Design hotel sangat mewah. Memang hotel bertaraf Internasional. Banyak wisatawan asing yang nginap disini. Pas ke hotel ini, moment nya dekat dengan Natal, design hotel semua tema Christmas"
"19.","Dinni Pramadhani OKU Timur","42","2025-12-25","5","Banyak penjaga keamanan utk masuk, tapi sopan dan helpfull. Pegawai siaga nanya apa yang bisa dibantu jika liat kita agak mikir atau bengong dikit😄, seluruh tempat bersih wangi dan mewah"
"20.","Aldy Putra","81","2025-11-01","5","Pengalaman menginap yang sempurna! Layanan Butler sangat luar biasa dan proaktif. Fasilitas mewah, kamar bersih, dan makanan fantastis. Pelayanan bintang 5 sejati!"
"21.","Danu P","245","2025-12-01","5","All is very good in here. Food is excellent, room is spacious and comfortable. Staff helpful and responsive.. but maybe should be a bit more friendly and smiley towards local guest."
"22.","Kang Dikdik","157","2025-11-01","1","Setelah diperhatikan, ternyata cangkirnya ada bekas lipstik, pdhl disajikan di meja yg baru. Mana udh smpet minum. Complain handling jelek. Mendadak ilang nafsu makan. Mengecewakan 😦😦"
"23.","Anita P. Dewi","2","2025-11-01","1","Perlu dibenahi tingkat keramahannya. Security nya nganggap remeh tamu yang bermotor. Saya ada acara di St Regis, saya datang menggunakan motor. Tanpa nanya apapun, security minta saya parkirkan motor di trotoar hotel. Saya ikuti yang diminta oleh security tersebut. Saya taruh motor di trotoar. Lalu saat saya mau masuk ke hotel, langkah saya dihentikan lagi sama security itu, ditanya mau kemana. Saya bilang ada acara di dalam. Lalu dia bilang jangan parkir motor di trotoar, itu buat gojek, dia bilang kalau dia mengira saya ojek online mau anter pesanan. Saya bilang, kamu engga tanya apapun, tapi langsung menganggap remeh pengendara motor. Parahhh!"
"24.","Pudiono Pudiono","742","2025-12-01","5","The St. Regis Jakarta , tempat bagus tenang dan nyaman , kamar sangat bersih pelanyanan baik cukup memuaskan , kamar mandi juga bersih , makan pagi enak banyak pilihan , sungguh senang bermalam di hotel ini , jadi kapan kalau liburan ke Jakarta ingin bermalam di sini lagi , bagi teman 2 yang lagi liburan ke Jakarta silah kan di coba untuk bermalam di sini ."
"25.","Yonathan Alan","18","2025-09-01","5","Sangat eksklusif dan mewah. Lokasi hotel sangat mudah dicapai baik menggunakan dengan kendaraan pribadi maupun transportasi umum. Tidak begitu jauh dari Stasiun LRT Dukuh Atas dan dapat dicapai dengan jalan kaki. Semua bagian hotel terdesain dengan sangat detail dan baik. Semua makanan yang disajikan sangat enak."
"26.","Jielun Jielun","6","2025-12-18","5","Stay here for 1 night Staff service excellent, got free upgrade rooms, free drinks, indeed 5 stars hotel service. I wil stay there again."
"27.","Pejalan Kaki","4","2025-11-01","1","Kalau ada acara, persiapkan parkirannya, persiapkan personilnya. Jangan sampai bikin macet, sudah seringkali begitu. Parkir mobil tamu sembarangan, bikin macet parah mengulur panjang.. Sampai mobil kedubes banyak parkir dipinggir jalan, bikin macet saja. Mengganggu publik!!!"
"28.","Andreas Putra Wijaya","7","2025-09-01","5","Kamar bintang 5 = Bagus , luas, bersih Lokasi = Strategis, cuma kalaudaerah luarnya berisik kalau lrt lewat Layanan = Bagus pelayanan, khususnya buat Mas Arfan, RoomBoy memberikan layanan yang baik"
