User Name,Review Count,Rating,Review Text
Rafael Pastria,3,5,dua hari menginap di hotel ini saya ras cukup bagus kamar yang cukup luas kasur yang empuk bikin nyaman dan pendingin ruangan untuk menghilangkan panas menu sarapan yang variasi dengan rasa yang enak pelayanan yang ramah bagi semua tamu cekout dibantu oleh mas ezii
Fadillah Pratama,1,5,pelayanannya ramah lokasinya strategis room sama bathroomnya juga bersih dan wangi linennya fresh tidak nyesel kalau nginep disini thanks mas yusuf atas pelayanannya nextnya bakal ngajak keluarga buat nginep sih
hadi massyahid,2,5,hotel nyaman buat istirahat kamar dan kamar mandinya bersih staffnya ramah baik sopan juga the best lah petugas kamar yang bernama mas yusuf juga membantu banget top lah terima kasih buat mas yusuf atas pelayananny
fika hapsah,1,5,saya sangat puas dengan pengalaman menginap di hotel ini kamarnya bersih rapi dan terasa nyaman sejak pertama masuk kamar mandinya juga sangat bersih perlengkapannya lengkap dan air panas berfungsi dengan baik sangat direkomendasikan bagi yang mengutamakan kebersihan dan kenyamanan selama menginap thank you harper
Widya Selia Rizki,4,5,pelayanan dan fasilitas sangat nyaman makanan direstaurant nya enak enak bangett rekomend banget tq juga buat mba cs mba sherly yang sangat ramahh all off good
EL,2,5,bersih dan oke banget pelayanannya mulai dari check masuk breakfast sampai check keluar lancar thanks to mba sherly jg yang membantu kita recommend
Muhammad Raldo,3,5,menginap disini nyaman banget sih lokasinya strategis kamarnya juga rapih serta kamar mandinya bersih staffnya juga ngebantu banget terimakasih mas yusuf bakalan balik lagi kesini sii
ale ale,1,5,lokasinya strategis dan kamarnya nyaman sebelah kamar berisik terdengar sampe ke kamar saya tapi setelah saya komplain ke resepsionis langsung di tangani dengan baik dan tidak berisik lagi untuk menu sarapan juga variatif dan rasa enak terimakasih atas pelayanannya resepsionis yang responsifnya mba andin
Bobby Heryunda,3,1,ngga pernah denger nama hotel ini sebelumnya walaupun saya tinggal di jakarta karena saudara menikah di hk tower kami disarankan wo untuk book kamar di hotel ini total 30 an kamar kebayang kan gimana riwehnya persiapan hampir 100 orang keluarga untuk resepsi jadi kami minta ke pihak hotel supaya setidaknya 2 3 kamar dari 30 an kamar yang sudah kami bayar lunas diijinkan untuk early check masuk dari jam 11 dan late check keluar jam 2 terutamq untuk para lansia dan yang dari luar kota hasilnya ditolak mentah mentah oleh pihak hotel ada saudara yang katanya punya akses ke manajemen hotel pun tetap ngga ditolak alhasil anggota keluarga numpuk di lobby yang kecil udah kayak pengungsi rohingya review lainnya lokasi dikelilingi kemacetan luar biasa terutama jika datang dari arah jorr keluar tol cawang halim kamar kecil tanpa karpet saya di suite room tetap ngga ada karpet air di kamar mandi tergenang karena lantainya cekung di tengah salah konstruksi koridor kamar karpet kebanyakan kusam dan kotor banyak dispenser karena kita ngga dikasih air mineral dalam kamar tapi galonnya kosong atau ngga ada galonnya fasilitas so so pool biasa banget breakfast jenis makanan lumayan variatif rasa b saja
Siti Maulidya,1,5,hotel nya bagus kamar dan kamar mandi sangat bersih dan wangi sangat nyaman karna kebersihan cukup terjaga untuk staf nya pun ramah ramah sekali sangat rekomendasi untuk liburan maupun perjalanan bisnis
Sinta Swastikawara,211,4,sebenarnya staf resepsionis resto dll itu ramahnya pakai banget tapi yang bikin ilfil dan bikin sebal adalah security di area parkir dan pos jaga cara ngomongnya judes tidak ada ramahnya sama sekali kondisi saya dan keluarga saya baru sampai di hotel sekitar pukul 21 30 barang kami banyak dan masih proses check masuk dulu eh security nya datangin suami saya dan nanya dengan nada tinggi untung habis itu dibantu staf hotel untuk angkatin barang dari mobil next besok paginya suami saya jemput saya dan anak anak di lobby dengan posisi mobil berhenti di belakang 2 hi ace yang sedang berhenti juga menaikkan penumpang di lobby penumpangnya masih berdiri di luar dan ngobro tidak segera naik sedangkan saya dan anak anak langsung naik mobil eh security datangin mobil kami lagi dan bilang segera pergi karena halangin jalan astaghfirullah ini security macam apa mohon evaluasi lagi security nya sangat tidak nyaman sekali dengan security nya
annisa wulansari,5,5,makanan lumayan enak dan bervariasi menginap seminggu disini untuk main course dan camilan2 nya beda2 kamar bersih dan bagus hanya lampu nya agak temaram bisa di buat sedikit lebih terang overall nice place to stay masuk jakarta thank to mb nurul atas pelayanannya
Keysha Irsania,1,5,hotelnya nyaman banget kamarnya wangi ac dingin stafnya juga helpful semua swimming pool nya cakep parah worth it sih buat harga segitu bakal balik lagi kalau ke sini dan terima kasih kepada kakak yang sudah melayani dengan sangat baik yaitu kakak andini
Anastasia Dinda,8,5,overall oke tapi disayangkan ada 1 hari pompa air tidak jalan jadi tidak ada air sama sekali untuk mandi dan toilet disarankan request kamar agak jauh dari emergency exit karena suara buka tutup pintu cukup mengganggu
Yaya Mufti,13,5,kamar nya nyaman bersih walaupun dapatnya smooking room tpi tidak ada sisa bau rokok pelayanan dari mas ezii dan mbak aya bener bener top deeh ramah friendly dan bener bener ngebantu rekomended dehh buat yang lagi d jakarta
Dewi Dermawan,1,5,pertama kali nginep dihotel ini sangat menyenangkan kamarnya bersih wangi kamar mandinya juga bersih dan wangi handuk baru serpainya juga baru dan wangi next bisa bawa keluarga kesini lagi
Fadhil Fuadi,2,5,sudah baik dari segi pelayanan baik kamar resto perlu diteliti lagi masalah biaya hotel yang di konfirmasi via wa kemarin sudah disampaikan untuk 2hari extra bed ternyata msh salah hitung agar lebih teliti lagi kedepannya terima kasih
