User Name,Review Time,Rating,Review Text
dot net,2025-12-19,1,lokasi hotel cukup strategis namun fasilitas hotel seperti furnitur dan kasur sudah terlalu tua dan tidak nyaman untuk tidur terutama kasur per yang sudah rusak saat turun kasur kaki kebaret setelah dicek ternyata per nya rusak syukurnya hanya luka kecil dan tidak berkarat sudah di lapor ke pihak hotel sempat bilang bisa nya di ganti besok pagi akhirnya nada sedikit tinggi 10 menit kemudian pihak hotel datang untuk memeriksa dan mengganti kasur nya setelah di ganti kasurnya tetap tidak nyaman semoga di perbaiki semua kamar baru set nya kasur yang lebih utama takutnya ada anak2 yang loncat2 di kasur dan per nya keluar
Galuh Raikanaya,2025-12-02,4,hotelnya bagus rapi dan cukup bersih tapi saat ini baru sampai ada bau rokok di lobiya trus juga stafnya ramah sayang banget saat malemnya mau ngopi di kafe yang ada di lantai satu tpi semuanya abis posisi hotel dekat dengan delta plaza surabaya alun alun dan ada alfa di seberang hotel di dalem spbu wifi di hotel lantai 3 kadang putus nyambung dan kmren saat tidur jam 2 3 ada suara dari kamar sebelah yang nembus ke kamar tidurku dan itu lumayan menganggu jdi tidurnya kurang nyenyak untuk kesediaan minuman di kamar juga cuma ada gelas sama pemanas udara saja tanpa ada kopi teh gula
Agsella Nur,2025-12-02,3,lokasi strategis harga oke tapi lihat kamar dalemnya memprihatinkan padahal karyawan dan staf sudah oke fasilitasnya tidak mendukung wallpaper udah ada yang sobek2 lampu ada yang tidak nyala padahal itu buat cermin rias yang segede itu kayu kemarinya udah ada yang mencuar pemanas air sama sekali tidak berfungsi karat di setiap besinya wastafel lobang yang dibilang sudah sudah gabisa digunakan itu sinyal wifi lemah pol sering dapet 1 bar mentok 3 bar kursi dalem kamar pun sudah rusak kenapa tidak dibetulin malah terlihat berusaha dijahit sendiri sih itu colokan tidak ramah sama sekali sama masa iya disediakan teko listrik tapi jaraknya
Julie Imron,2025-12-26,2,Masalah utama adalah kebersihan yang sangat kurang di kamar kamar keluarga lantai karpet nya yang sangat jorok kamar mandi juga saya membersihkan diri saya dari saya jijik dan servis sangat kurang untung nya lymayan murah senang sekali saat cek keluar
TriMulyani.i,2025-12-02,1,hotel bintang 3 tapi tidak menampilkan kalau ini bintang 3 ketika masuk pertama seperti bangunan ruanganya seperti pengap bau asap rokok gk di bersihkan di berikan pengangharum kamar minimal cari colokan di mana ternyata di bawah meja di atas ac dan di km untuk acnya juga gk dingin untuk sarapan di beri sarapan p tapi tidak di beri minum seret bes pengalaman terburuk menginap di hotel pdhl sebelumnya bagus2 saja walaupun hotel bintang 2
mutiara cita,2025-12-02,1,tidak rekomend rek baik yang merokok mau pun tidak salah saya si saya memilih tempat di sini karena tujuan saya emg ke delta ku pikir ini hotel yang bisa jalan kaki lgsg ke delta tapi ternyata saya salah tempat wqwq memperbaiki memilih hotel lain saja harganya juga tidak berbeda jauh tapi nyaman sarapan nya juga tidak tepat dianter si tapi cm nasi mi goreng doang tidak ada teh kopi atau udara putih minimal juga tidak dikasi banyak hal2 yang tidak diinginkan sgt mengganggu hanya pendapat saya tidak menyinggung
Refia Karsista,2025-11-02,5,pertama kali keluarga saya ke sby untuk acara wisuda kakak ipar saat pesan hotel dapet disini kami sekeluarga pesan 3 kamar tapi sayang kami semua kamarnya berjauhan walau begitu salam karena fasilitas hotel mewah ada kamar mandi lagi yang dipilih yaitu twin bed semuanya pun dalam kondisi bersih lokasi yang strategis tinggal jalan kaki saja sampai plaza surabaya deket jg sama alun2 sby trs jalan lg walau sedikit eh ada penjual pecel kata keluarga saya sih pecelnya pedes kurang cocok dengan lidah kami tapi walau begitu terima kasih untuk layanan yang baik di hotel ini
Tutik Isna,2025-12-02,3,datang malam hari petugasnya yang cowok kurang ramah dan kurang informatif tidak bisa sandal kamar jadi dingin lantai tidak memakai karpet juga lampunya bbrp ada yang yang tidak nyala sarapan jam 8 47 belum di antar kita trun ke bawah mau makan di bawah ktnya nanti di antar mungkin kami kepagian
Sonia Mei,2025-09-02,4,pertama kali menginap 1 malam di Grand Surabaya hotel pelayanannya ramah lokasinya strategis dekat dengan plaza surabaya alun alun kota tempat makan juga dekat kondisi kamar 6 cukup luas bersih udara lancar amenitas cukup lengkap meskipun sikat gigi hanya 1 ada bak mandi dan pengering rambut jg cukup nyaman dengan kondisi bangunan yang sepertinya memang bangunan lama minus udara hangatnya tidak bisa dapat sarapannya nasgor mie goreng diantar ke kamar saran tangannya mungkin bisa diperbarui terima kasih
Mirza Keisha Naufal Herry,2025-08-02,1,pilihan hotel terburuk dan terjorok yang pernah saya tempati mulai keluar angkat bau asap rokok sudah menyengat sampai masuk kamar juga bau asap rokok padahal cekin sudah sakit di jam 5an seharusnya setelah tamu yang sebelumnya cek keluar dan di bersihkan tidak akan mungkin masih meninggalkan sisa bau asap rokok yang masih sangat menyengat selain bau asap rokok kamar juga terasa bau dan kurang sedap kondisi tempat tidur yang kotor dan jorok banyak noda di bantal sangat banyak seprei selimut dan bau pesing sofa juga banyak noda dan kotor sangat sangat untuk kamar mandi apalagi udara tergenang didepan pintu masuk tub tertutup perang
