User Name,Review Time,Rating,Review Text
Krisna MT,2025-12-24,5,Saya melakukan meja cara disni pelayanannya sangat bagus dan menjelaskan setiap departemen juga jelas dan untuk staf disni ramah dan baik
pio,2025-07-31,1,Wc nya bau banget kaya bau punya huek pintu kamar mandi keropos dimakan rayap gorden nya kotor banget lampu gabisa hidup satu furnitur debuan handuknya kotor rata rata banyak yang kurang ter urus disini dan tua sarapan nya monoton menilai banget staf sarapan jelek pokonya jika mau nginep disini inget siapin mental saja klo liat kamar nya ya
Andrianna Photo,2025-12-01,5,lokasi strategis kamar nyaman suasana enak banget ke pantai tinggal jalan kaki sedikit staf ramah
zara zara,2025-07-31,1,Staffnya kasar sekali resepsiis saya dimarah dengan nada dibentak karena saya kirim gosend untuk tamunya dan mereka tidak nemu pdahal saya sudah blg mereka untuk coba cek dulu sambil saya kontak drivernya tapi mnjwab dengan kalimat masa saya yang tidak mau cek padahal itu memang tugas staf anda aneh dan kecerdasan emosionalnya sangat jelek
ILHAM VLOG_GAMING,2025-07-31,2,Jangan putar balik atau menurunkan dilahan mereka dan tandai mukanya jika misalkan ketemu orangnya dan dia putar balik atau berhenti dihalaman anda boleh disiram udara buat stafnya tidak usah sok keras ada orang nurunin tamu saja nada lu ngegas inget lu disitu cuman kerja dan hotel juga sepi longgar parkirannya
Dx Hendruew,2025-07-31,4,hotel yang sudah lumayan tua menawarkan parkir mobil di area hotel dengan biaya Rp 20 0 sudah saatnya direnovasi karena sudah sangat tua hotelnya lokasinya dekat dengan ikon mall bali
sherl berlin,2025-07-31,1,keamanan depan dengan beberapa staf sangat tidak beretika galak banget kasar juga dan saya tidak terima mereka memperlakukan saya dengan nada tinggi dan menbentak didepan anak anak saya hotel kalian oke tapi untuk staf maaf kapok
putra suryawan,2025-07-01,4,akses menuju hotel agak sulit karena ada parkir kendaraan yang ingin berkunjung ke pantai shindu untuk membangun sedikit tua namun pelayanannya bagus banget stafnya ramah2 dan peduli banget
Ni Putu Resa Amanda Putri,2025-08-31,1,kamar dan WC bau banget toilet gabisa di flush minta tukar kamar karna tidak nyaman gabisa di judesin lampu mati aghh pengalaman buruk tapi layanan hk nya sangat amat ramah dan aku bisa pisah bintang terimakasih
lia setiaji,2025-08-31,5,Tinggal di pondok nya buka pintu langsung pantai mantep banget karna setiap pagi bisa lihat matahari terbit yang cantik
Luh Made Sudimartini,2025-10-31,5,mengikuti kegiatan seminar di hotel ini tempatnya nyaman dan makanannya jg enak
Arta,2025-08-31,5,tempatnya bagus dan sangat strategis yang dekat dengan pantai sanur pelayanannya juga sangat baik
Arya Gallant Respati Adler,2025-10-31,5,tempat yang sangat nyaman untuk tinggal di sanur dekat dengan pantai dan area wisata
Pisces 22,2025-08-31,4,hotel dengan gaya bali dengan pemandangan pantai yang sangat direkomendasikan
Yeni,2024-12-31,5,kemarin acara pernikahan saya banyak terimakasih karna pelyananya sangat baik dan acara pernikahan kami berjalan lancar semua berkat tim hotel terimakasih juga untuk pak angga dari awal sampai selesai mengurus pernikahan kami dengan baik beliau enak untuk komunikasi terimakasih pak angga tuhan anggotakati
Fera Fe,2024-12-31,2,Satpamnya kasar sekali sangat tidak ramah saya menurunkan orang tua dan anak bayi ditegur dengan tidak sopan walaupun petugas keamanan tapi bisa bisa memiliki sikap dan ramah sedikit sangat tidak mencerminkan keramahan bali
Andres Yanthi,2025-07-31,5,buat event team building cocok banget lokasi strategis
Melissa S,2024-12-31,5,kamar meski belum pernah di renovasi masih kondisinya yang diterima layanan staf meja depan rumah tangga sangat ramah dan membantu terima kasih banyak untuk layanan lokasi lokasi utama cinta itu akan senang untuk kembali lagi segera
Dian Kurniawan,2022-12-31,5,Mantab pesan standar karena penuh upgrade gratis ke tingkat berikutnya jadinya bisa kamar gede dan anak2 suka sekali pagi2 dah ke pantai dan ke kolam renang sarapan karena kami perlu awal checkout mereka masih melayani makan diantar ke kamar sebuah pengalaman yang memuaskan jika ke sanur bisa diulangi kembali menginap di sini
Kurniatul Isnaini,2024-12-31,4,hotel yang menyenangkan nyaman dengan pelayanan yang ramah dan prima sangat dekat dengan pantai hanya udara bersih nya kurang besar mungkin dari pihak hotel ada program penghematan udara untuk semuanya oke pengen kembali nginep kesana lagi dengn keluarga besar
Peek a Boo,2022-12-31,5,bangunan hotel milik pemerintah ini sebenarnya cukup bagus tepi pantai ada restoran halaman yang luas kolam renang dan ruang pertemuan karena saya menginap di hotel bangunan lama kamar bersih dan luas dengan balkon namun untuk sikat gigi dan pasta gigi siapkan pribadi ya karena tidak disediakan hanya sabun dan sampo saja udara panas di kamar saya juga kurang berfungsi jadi lama menunggu sangat dalam udara panas sudah begitu bisa panas sebentar dingin lagi sepertinya perlu dicek
Dewa Purnama Sidi Putra (DEWAP060),2021-12-31,5,pantai yang indah dan ramah dikantong sangat bagus untuk menikmati pemandangan atau digunakan untuk berenang dan beraktifitas dengan keluarga karena ombak yang kecil dan kedalaman pantai yang rendah selain itu harga makanan yang ditawarkan juga tersedia dari tingkat kaki lima hingga bintang lima saat ini sedang berlangsung renovasi terhadap trotoar dipinggiran pantai kedepan pantai ini sudah pasti akan lebih bagus lagi dan semakin banyak dikunjungi
Hera,2022-12-31,3,Ksini karena ada meja cara dari kampus parkirnya ternyata kurang luas untuk makanan yang disajikan standar pada umumnya tapi saat dihidangkan sup di dalemnya ada waktu lalat itu sempet difoto teman tapi laki-laki minta foto untuk stafnya ramah cuma ya kurang dijaga lagi ke kebersihan dari pihak dapur
Sudjiatmi -,2024-12-31,5,Saya dan kelg paling suka di sini meskipun bangunan jadul relatif terjangkau yang paling kami saya n suami saya suka adlh akses ke pantai tinggal melangkah saja sampai kapanpun kami pasti nginap di sini entah 1 malam saja
Wayan Yuliawan,2024-12-31,1,karyawan nya perlu diajarkan keramahan terutama satpam nya kasar kurang diajarkan sikap yang benar untuk bekerja di hotel kurang rekomen pokoknya
Gaby Siahaan,2022-12-31,5,bayar parkir sebelum masuk 2k motor kalau untuk mobil kurang tau berapa biaya parkir nya jujur parkirnya kecil jadi saat ini banyak kekurangan parkir dan sampai di pinggir jalan parkirnya tuh dan jauh juga jalan ke pantai cocok untuk berenang dan bisa main kano tapi kurang tau biaya nya berapa karena belum pernah mencoba sih kebersihan pantai sangat bersih disaat ramai pun masih bersih untuk jajanan banyak pilihannya sampai bingung harus beli apa
Mriya Afifah Furqania,2022-12-31,5,niatnya ingin melihat matahari terbit tapi ada awan besar saat banget nutupin matahari dari rumah 20 menit masih pagi tidak macet sampai sana lumayan banyak ada tempat konservasi penyu kecil gitu lumayan bersih pantainya ada kafe2 juga bukanya jam 7
Dwi Kurniawan,2024-12-31,5,lokasi strategis pinggir pantai variasi rasa menu sarapan perlu diperbaiki bbrp bagian dalam kamar perlu direnovasi
