User Name,Review Time,Rating,Review Text
Anugrah Maharany,2025-12-09,5,saya menginap di hotel ini 10 hari dengan pengalaman yang baik lokasi sangat dekat dengan mall ratu indah dan tsm aksesnya mudah kemana2 dengan hrg kurang dari 300rbu sangat memuaskan sarapan bervariasi dan pelayanan ramah seperti hotel bintang 5 hotelnya bersih kamar mandi bersih ada udara panas juga pokoknya kami akan kembali menginap di sini jika berkunjung di kota makassar
Andi Nurfadlina Munir,2025-06-30,5,hotel dengan konsep semi islam karena pajangan dan hiasannya ngga aneh2 sederhana menampilkan hiasan kaligrafi ayat kursi syahadat dzikir dan lainnya ada juga hiasan tempat wisata khas sulawesi kami pesan kamar tipe deluxe kamar 1 tempat tidur ngga berharap saat masuk disediain al quran dan sejadah arah kiblat juga ada ada menyambut minumnya juga untuk kamar tipe ini cukup luas khas penerangan redup karena pencahayaan alami dari jendela jika dibuka hordennya mobil terang masyaa allah bgus bangett minesnya cuma kurang wangi ajaa kamarnya umum sudah layaknya dengan harga segitu dari resepsi
Kenjison Greatest,2025-11-30,2,kunci kamar macet tidak bisa keluar kamar telepon kamar tidak berfungsi pelayanan lambat perlakuan pesan berbeda jika pesan dari aplikasi seperti di nomor 2 khan
Wandy .s,2025-07-30,3,Awalnya msk kamar kaget krna engsel pintu kamar mandi rusak jadi tidak bisa di tutup pintunya trs di sela2 tembok antara ranjang kembar itu kotor ada noda cairan apa gtau spray bantal agak apek kya belum diganti bau keringat tangan jg bau keringat org mandi nya pun gmau nyala
Delfi Aquinowati,2025-07-30,5,terbaik sih ini hotel dari dlu pelayanannya smpe sekarang tidak pernah mengecewakan terakhir buat kegiatan di hotel khas makassar maashhallah benar2 siapkan semua staf dari tim penjualan f b housekeeping sampai akuntansi nya pun layanan yang sangat baik kami dari mq i stickomah 3 makassar sangat2 nyaman berkegiatan disana selain makanannya sangat enak bersih dan hangat pelayanannya pun ramah dan cepat jazakkallah khairan khas hotel makassar sukses selalu barakkallah fiikum
Adrian Pkd,2025-07-30,3,sudah memesan tapi tidak jadi nginap karena parkir penuh nanya ke keamanan diarahkan parkir pinggir jalan poros yang ramai dan jelas keamanan mobil kurang terjamin saran siapkan keamanan yang ramah dan sigap mengarahkan tamu untuk parkir di tempat layak
Nur Atifah,2025-08-30,4,menginap 2 malam di sini dengan 2 kamar berbeda saluran pembuangan di T4 Mandinya mampet semua jadi kita mandi nga bisa lama2 makanannya kurang berpariasi terus dalam kamar ada cabang tapi rusak hanya sekedar pajangan tapi soal pelayanan benar2 bagus semua staf ramah2
Asrul Sani,2025-07-30,5,sangat tidak sesuai ekspektasi plih kamar dengan hrga yang pling murah krna dlu jga pernh nginap di t4 lain dengan hrga sgtu krna sudah bljar dengan pngalaman sblumx jdi dfkiran ruangan pengap semprotan dn hnduk kuning tidak ad selamat minum resepsi ini jutek kamar bau asap rokok krna dapat kamar area merokok masyallah stelah masuk kamar semua jdi berubah indah ruangan luas bersih baru semprotan hnduk putih tampak bersih kamar tidak bau asap rokok mskipun dpat kamar merokok ada minuman selamat datang disediakan pmnas udara ac d
Masmoz,2025-11-30,5,rekomend anggaran hotel murah tapi bersih lokasi nya strategis ditengah kota dan dekat dengan kuliner dan kafe
Irent Albar,2025-12-09,5,Pelayanan ramah suasana nyaman kolam renang nya jg keselamatan banget buat anak
Ahmad Syafii,2025-06-30,5,Pelayan oke kamar dan toiletnya bersih pemandangan kota yang bagus terlihat dari kamar dekat dengan mall ratu indah waroeng steak circle k sedikit kurang di bagian ac yang kurang joss dinginnya tapi buat kalian yang kurang suka dingin tidak jadi masalah tersedia parkir motor di basement selamat berkunjung
sitti saddania,2025-08-30,5,Harga 400 ribu tambah bf sangat2 layaknya sarapan enak lokasi oke pelayanan petugas sangat unggul
aisyah ramadhani,2025-11-30,5,Aku ke hotel ini karena ada acara yang bagus dan lokasi mudah diakses
Bela RA,2025-12-02,4,standar cukup oke cuma keran kamar mandinya tuh rusak copot terus
nisaaa nisaaa,2025-07-30,1,pengalaman buruk teman saya mau naik katanya ditahan sama satpam katanya hotel tapi begitu bintang satu udara kolam jelek air toilet nda berfungsi baik
agum goms,2025-07-30,5,lokasi yang sangat strategis kamar bersih ada juga kolam anak ditambah menu sarapan khas indonesia yang enak sangat direkomendasikan untuk liburan keluarga
Farrij Odie,2025-07-30,5,Salah satu hotel di kota makassar yang sangat direkomendasikan untuk tarif harga 300an lokasi strategis sarapan variatif dan overall enak pelayanan oke cuma minus di udara panas yang bermasalah
Kalman CP,2025-06-30,5,sangat menyenangkan selama liburan di hotel ini karena fasilitasnya lengkap kamar bersih dan lembaran baru putih bersih sarapannya enak dan banyak pilihan makanan dan minumannya area kolam sangat nyaman untuk nongkrong dan anak2 senang berenang karena udara jernih pokoknya hotel khas makassar selalu jadi pilihan keluarga kami untuk liburan
Sandy Dewanto,2025-05-30,4,hotel terjangkau dekat mall mari kamar cukup luas pelayanan ramah dan membantu tinggal di kamar deluxe double dengan sarapan sedikit masukan untuk sarapan lebih diperhatikan kesegaran makannya tapi saya juga tidak bisa mengeluh dengan tarif segitu dan ada poin tambah yaitu hotel ini menyediakan ruang ramah anak di lobi untuk anak anak bermain hotel ini cocok untuk orang orang yang hanya ingin tinggal ringan atau transit solo perjalanan dengan anggaran terjangkau dekat mall
OFFICIAL HIKARI,2025-10-30,5,terima kasih buat pelayanannya yang sangat baik selama saya menginap
Andi Adriana Amdar,2025-04-30,1,pertama kali nginap di sini tapi sudah terakhir kali kyknya beredar sangat kotorr dan penuh noda emang layak dipakai tamu minta ganti lagi tapi sama saja cuman beda warna noda trus sabunnya juga nggk di refill hanya untuk cuci tangan sudah habis masalahnya ini sabunnya cuman satu untuk semua trus lorong kamar berbau tidak sedap saran saja dengan lokasi yang bgtu strategis seharusnya manajemen hotel memperbaiki apa yang kurang klo sya lihat ulasan yang lengkap seperti ini bukan hanya satu org tapi sudah banyak apakah manajemen memang tidak ada niat memperbaiki layanannya untuk meningkatkan kepuasan pelanggan mungkin jika layanan lebih meningkatkan kualitasnya lagi mungkin ini bsa
adam smith,2025-07-30,5,Alhamdulillah kami sekeluarga bisa liburan dengan menyenangkan di hotel khas makassar dianjurkan bagi yang ingin liburan di hotel ini karena bersih rapih dan asri terima kasih khas makassar
Jesika Defry,2025-03-30,5,hotel nya bagus loby cukup luas ada tempat utama anak kamarnya jga bagus lengkap fasilitasnya kursi meja ada kamar mandi jga lengkap cuman ini tidak ada pembatas antara lantai yang bikin tidak mengharapkan dari hotel ini ternyata kolam renang nya di dalam dalam ruangan gitu kirain di luarr untuk sarapan makanan enak lengkap selalu di isi dan bersih lokasi strategis dari mari pemandangan juga baguss
lala fairuz,2025-06-30,5,Saya senang tidak menginap di hotel khas makassar karena saya senang joging di daerah pantai losari karyawannya ramah dan penuh perhatian di keluarga saya ada kolam renang dan makannya enak soal pandangan apalagi terus maju ya khas sukses selalu
Bill Rusly w,2025-06-30,5,lokasi sangat dekat dengan mall ratu indah kamar bersih aminitas lumayan lengkap hanya saja menu sarapan nya kurang variatif
Widyantono Arif,2025-06-30,5,Nilai besar untuk uang lokasi strategis kamar dan kolamnya estetik kamar ada alquran dan sajadah ill pasti kembali
Teuku Sunandarsyah,2025-07-30,3,kamar luas dan sesuai dengan harga ada kue kecil2 di kamar dan sabun tidak ada
Adi Susanto,2025-04-30,3,hotel seperti kurang terurus 1 lift mati di kamar banyak beton yang sudah lubang2 saat pertama masuk kamar beraroma lembab bantalnya lepes dan kasur sudah bunyi per nya kolam renang juga tidak bisa digunakan untungnya sarapan cukup enak di kelas hotel bintang 3
kevin chan,2025-04-30,2,pesan kamar buat 2 orang odol sikat gigi hanya di kasih 1 pasang sabun cair di kamar mandi kosong kartu kamarnya juga hanya di kasih 1 entah apa yang di pikirkan kan mereka malam itu
Susy,2025-03-30,4,di Januari 2025 bagian dpn luar hotel di renovasi shg masuk keluar 1 akses lokasi dkt wisema kalla sarapan cukup bervariatif tapi sederhana kamar k mandi bersih udara panas nyala baik jarak jauh ac tidak berfungsi tapi cukup dingin hny seprai bedcover sudah kusam kt layanan kamar sudah d cuci bersih hny kusam tidak putih staf sudah ramah segera respon d sekitar hotel ada sirkel warung prasmanan toko bubur dan penjual kue hny d pagi hari ke pantai hny 5 8 menit naik gojek 10k
Ampa SyamsuddinYunus,2025-03-02,5,hotel khas makassar menawarkan pengalaman menginap yang nyaman di lokasi strategis kamarnya bersih stafnya ramah dan fasilitasnya cukup lengkap saya suka suasana hotel yang tenang cocok untuk beristirahat setelah aktivitas di kota sarapannya cukup bervariasi meskipun masih bisa ditingkatkan secara keseluruhan hotel ini jadi pilihan yang saat ini untuk perjalanan bisnis maupun liburan di makassar
Sundari Budiani,2025-01-30,5,biasanya selalu puas dengan layanan khas tapi untuk kunjungan terakhir tahun terakhir kmrin agak kecewa biasanya slalu bisa menghubungkan kamar sesuai pesanan kali ini kami kehabisan jadi agak sulit untuk kami yang liburan dengan anak2 baru mw masuk kamar ada sisa makanan dan piring kotor di bagian luar pintu kamar pdhal kami baru mw masuk dalam kamar gada air mineral sandal hotel cm 1 setelah kami sampaikan barulah dibawa ke kamar kondisinya ga mandi pun terlepas yang bikin sulit jika mw agak mandi
Ruri Saga,2025-03-02,5,kali pertama menginap di hotel khas memberikan saya keyakinan untuk kembali lagi hotel ini luas dan bersih cocok dipesan untuk tinggal bersama keluarga sayangnya saat itu saya menginap sendiri untuk agenda bisnis pemandangan hotel ini juga bagus dari balik jendela
Syafri Side,2025-06-30,5,hotel nyaman bersih dan tenang cocok untuk liburan maupun perjalanan bisnis
andi era,2025-01-30,3,ranjang baru ada rambut tidak ada tangan disediakan tidak ada keset tapi stafnya sangat ramah cepat dan membantu smoga kedepannya lebih baik dari segi kebersihan dan mudah yang seharusnya hanya minimal standar namun tidak di sediakan
Fahrul Shidiq Handita,2025-09-30,5,Bermalam selama 2hari 2 malam karena ada proyek di pertamina setelah makasaar
faradillah faridhusain,2025-06-30,5,bagus pelayanan hotelnya cepat tanggap ramah terima kasih mas safri rumah menjaga atas pelayanannya
Andi Dhana Munarpa,2024-12-30,2,Handuk Seprei selimutnga kotor sudah tidak layak pakai pertama kali nginap di hotel dengan handuk sejorok itu kursi di kamar rusak sabunnya masih sabun batangan sikat gigi dikasih cuma 1 untungnya karyawannya ramah semua jujur aku nyesel nginap dsini awalnya cuma coba2 karena bosan di ibys gaya mau mencoba yang lain lagi ternyata bisa yang zonk padahal cuma sedikit berbeda harganya tapi fasilitasnya jauh berbeda sekali mau pulang saja tapi sudah terlanjur
Dian Adr,2025-04-30,3,Handuknya bukan putih lagi mendekati abu abu lah ada drain terbang di kamar mandinya banyak noda di sekitar wastafel selebihnya oke
Theo Yefta,2025-09-30,5,tempat parkir ruang bawah tanah nya kecil selebih nya bagus
ari sonjaya,2025-01-30,5,hotelnya rekomendasi bersih harga bersahabat promo oke sarapan tambahan cuma 60rb kenyang lokasi deket ama kuliner dan bisa joging kepantai rugi kalau kembali ke sulsel bakal oke nih disini
Mshddq,2025-03-30,2,Sudah buka puasa bersama di ruang dansa baru tapi pelayanan baru lambat sekali untuk saya mengisi makanan yang sudah habis mungkin itu saja intinya pelayanan terhadap makanan lambat
Gina Khoirunnisa,2025-01-30,5,pelayanannya bagus sarapannya enak2 udara hangatnya berfungsi dengan baik tidak sma hotel d sebelah kalau pagi mati deh udara hngatnya trimakasih hotel khas makassar
Gaby Aprilia,2025-03-30,4,Menurutku disini untuk dari segi layanan layanan oke cmn sedikit lambat menu sarapan bervariatif kamar oke harga cukup murah
Fatihu Rojai,2024-12-30,3,menginap 3 malam di hotel ini mungkin ada beberapa hal yang perlu dibuat perbaikan dari handuk2 nya perlu diganti baru variasi menu sarapan perlu ditingkatkan jika ada menu yang sudah habis bisa segera di isi terutama saat banyak yang menginap untuk karyawan2nya ramah dan cepat tanggap tapi perlu di buat salam dengan gimmick yang khas agar nama khas nya bisa benar2 menyajikan saya
blue ranger,2024-12-30,5,lokasi dekat dengan pantai dekat dengan mall lalu didekatnya sangat dekat dengan minimarket dan tempat makan ramen pagi atau sore bisa jogging ke cpi terbaik lah lokasinya layanan resepsionis ramah bisa dini cek masuk dengan membayar sebesar 200rb mungkin berbeda berdasarkan tipe kamar yang dipesan kamar fasilitas lengkap tersedia gelas dan pemanas udara juga tidak ada lemari tapi ada gantungan untuk beberapa baju saja secara garis besar kamarnya bersih hanya perlu pembaharuan pada seprei dan handuk karena masih ada bercak bercak noda yang sepertinya tidak bisa hilang poin ditambah ada sajadah dan alquran disediakan jadi bagi yang muslim ini sangat sangat
Elmeera Rumi,2025-03-30,2,Masih butuh peningkatan pelayanan staf nya kurang personil tapi ramah kamarnya mandinya agak bau dan tangannya sudah cokelat kamar masih ada debu di mejanya
Rahayu Ratnaputri,2025-08-30,4,Tarif lumayan murah Meriah di Kota Tengah
Didiek Rifki Fahmi,2024-12-30,1,saya sudah sengaja datang agak sore jam 15 15 lazimnya aturan cek masuk jam 14 00 sudah bisa masuk masuk masuk lobi terlihat sudah ada antrian saya ikut antri setelah 15 menit saya dipanggil resepsionis anggotaitahukan jika kamar belum siap masih dibersihkan dengan perkiraan 30 menit nah sepanjang waktu itu saya berdiri terus depan resepsionis tanpa kejelasan ini saya menunggu apa kuncinya kah input dalam sistemnya kah setelah saya baru protes dipersilahkan duduk setelah 40 menit menunggu sejak informasi yang diberikan resepsionis yang berarti saya sudah menunggu 1 jam belum ada alasan juga terkait kamar sih ngakunya bintang 3 lho padahal staf ada
Kokoalid,2025-04-30,1,Saat masuk lobi bau apek kayak habis kebanjiran karpet ballroom kotor layanan pembersihan nya kurang beretika
Otniel Pinardi,2023-12-30,4,hotel ini potensial dan nyaman sebenarnya sederhana bersih kamar dingin udara panas selalu siap fasilitas di kamar juga oke ada teh kopi udara dan pemanas air nya cuman perlu ditingkatkan lagi untuk sarapan kurang variasi nya dan dari seminggu menginap ada dua atau tiga hari kehabisan dan pihak dapur telat isi sarapan padahal masih pagi entah persiapan kurang atau salah ramalan hal penting sih mau berangkat dinas jadi seadanya juga keamanan semestinya lebih makan peka pada tamu entah disambut disapa dibantu tamunya masa acuh di diamkan saja
Ridho Ahmad,2024-12-30,1,hotel terburuk d makassar dari petugas tidak ramah jangan valet jg karena satpam ambil uang kecil d mobil kamar tangan badcover kotor pokoknya menyesal saya nginap d sini dan tidak lagi
Andriani Ani,2023-12-30,5,untuk pelayanan layanan pelanggan nya baik dan ramah dan ada juga selamat datang minumnya kamar hotel juga sangat bersih lengkap dengan fasilitas kamar mandinya juga wi fi lancar untuk kolam renang bersih tapi untuk anak dibawah 10 tahun tidak bisa menu sarapannya juga enak enak
Rudolf Orinbao,2024-12-30,3,hotel yang cukup mewah dengan harga terjangkau namun pengalaman menginap disini cukup kurang enak naik cuma 1 yang nyala antrinya 15 30 menit buat naik belum lagi udara di kamar mandi yang tiba2 hitam semua
Supriadi,2024-12-30,5,sudah beberapa kali menginap di sini karena lokasinya tepat di tengah kota dan bisa jalan kaki ke mall ratu indah disebeleh hotel ada restoran ramen yang enak ryuma ramen ada juga indomaret dan lingkaran k dekat hotel untuk kecepatan wifi kebetulan bisa kamar lantai 8 dan koneksinya tidak bagus mengangkatnya selama beberapa hari menginap cuma ada satu karena yang satu lagi perbaikan keseluruhan lokasinya strategis kamar juga nyaman dan harga terjangkau kamar tidak terlalu tahan suara
Jim Red,2024-12-30,5,Tarif nya boleh2 ya lokasi di petaanyukki deket waroeng steak dan mall mari cuma kekurangannya parkir terbatas apalagi kalau saat ada acara kawinan
Fembi Rekrisna Grandea Putra,2024-12-30,5,pesan kamar deluks double deluxe king tersedia pemanas air air mineral handuk dan peralatan mandi untuk dua orang tidak ada kulkas saluran tv lengkap ac dingin mandi air panas lancar kamar bersih dan rapi banget anggaran ramah kenyamanan premium
Eddie VFoe,2024-12-30,4,Minusnya hanya di masalah sprei dan handuk yang sudah seharusnya diganti karena sudah penuh noda dan kekuningan tapi masih ttp dipakai selebihnya baik saja
Just W,2023-12-30,5,kamar standar bintang 3 cukup bersih handuk seprei dan selimut wangi cuci air hangat di udara panas terus oke semua hanya saja kolamnya tidak dianjurkan buat anak kecil tinggi 1 2 m jadi anak2 hanya bisa bermain di kolam kecil yang lebarnya tidak sampai semeter lokasinya lumayan strategis dekat mall mari banyak resto sekitaran hotel dan banyak jajanan kaki lima jg
Daniel Tarigan,2022-12-30,3,apa yang saya suka lokasi strategis di sebelah ada indomaret yang sudah bisa buka 24 jam di sekitar juga ada beberapa warung makan yang murah jadi jika perlu apa2 tinggal turun dan beli aman tempat tidur juga raja koil yang agak firma jadi tidak kayak kolam klo tidur tidak jeglong ke tengah karena kasurnya terlalu lembek tidur juga nyenyak mandi nya model hujan mandi yang jatuh dari atas kepala dengan curahan udara yang sangat kencang jadi mandinya enak udara panas juga berfungsi dengan sangat baik pemandangan dari kamar juga agak oke wlaau jendela kecil tapi pencahayaan dari matahari cukuplah apa yang saya tidak suka kamar terlihat
The Rudyanto's,2024-12-30,1,Air keruh mandi muncrat kemana mana kran udara dingin tetap jadi panas tangan tidak diganti sarapan harian seadanya tidak ada stasiun telur hanya lokasi strategis
sri murjayati,2024-12-30,4,kamar ukuran standar untuk makanan ya b saja lokasi nyempil tapi lumayan strategis di pusat kota makassar pelayanan baik resepsionis ramah2 pegawai nya baik
Danissa Hanum Ardhyni,2024-12-30,3,lokasi strategis kamar banyak yang kotor dan wastafel mampet mandi tapi enak dan terdapat kolam renang kecil yang cukup enak
Daeng Londjo,2024-12-30,1,Saya baru pertama kali masuk ke hotel ini itupun kebetulan ada keluarga yang datang dari luar kota jadi saya sempatin untuk bersilaturahmi mumpung beliau lagi dimakassar cuma saya heran saat mau kembali helm yang saya taruh dimotor sudah tidak ada lagi hilang jadi saya cari keamanan yang bertugas dan menyampaikan perihal yang terjadi bahkan keamanan kembali bertanya apa bapak tidak memiliki informasi di dinding parkir saya membaca sebagai tamu di hotel itu bisa mana perhatikan hal-hal semacam itu apalagi yang saya kunjungi bukan pasar jadi saya merasa aman2 saja mana lokasi parkir sempit gelap harga helm sih tidak seberapa banyak kesannya jika kehilangan di cuma
Angga Anggana,2023-12-30,1,kami menginap dari tanggal 11 s d 14 juli 2023 pesan dan bayar melalui agen perjalanan kami ada acara di cpi yang paling mengejutkan kami sepulang dari acara pada tanggal 12 kami kembali ke hotel sekira jam 3 sore di dalam kamar kami menemukan dua orang pegawai magang di dalam kamar sedang menumpuk barang2 kami tanpa sepengetahuan kami dan anggota kamar pegawai tersebut juga bertanya apakah kami tidak salah masuk kamar karena katanya kamar tsb sudah memeriksa keluar pada hari itu kami lsg mengkonfirmasi ke agen perjalanan dan resepsionis dan kesalahan memang ada di resepsionis bagaimana mungkin bisa salah informasi terpisah itu kembali saat kami
Felix Tjolleng,2023-12-30,3,Handuk dan semprot tidak putih dan cenderung kotor ada bau apek hotel lama cuman ganti nama baru mudah2 dibaca sama manajer hotel mata-mata besok dapat handuk dan semprot yang baru putih bersih dan tidak bau apek karna masih ada 1 malam terlanjur sudah beli voucher
ilham akbar,2023-12-30,2,pelayanan resepsionisnya kurang bagus saya sudah menunggu lama untuk cekin namun resepsionisnya bilang tunggu 10 menit lagi namun waktu sudah berjalan sampai 30 menit kami menunggu ttp tidak d panggil juga tapi yang saya lihat setiap pengunjung yang dtng dan bayar tunai di resepsionis lngsung di berikan kunci kamar mungkin karena saya memesan kamar hotel lewat aplikasi yah dan itu lebih murah makanya kami tidak cepat di layani
M Taufan Putra,2024-12-30,4,kamar cukup bersih namun tidak ada kulkas tidak seperti di khas semarang layanan sangat kurang tidak ada yang membantu dan menyambut ketika kedatangan layanan sangat dan harus lebih di tingkatkan kembali
Angel Lab,2023-12-30,3,untuk kali ini saya sangat kecewa mulai dari kamar ac nya ngk dingin istri sekali sekali ngk nyambung padahal saya nginap 2 malam belum lagi waktu sarapan kan roti nya saya belum makan soal sarapan itu kan di kit perut mulles dan saya ingin membawa ke atas kan roti nya hanya 2 sellai langsung di tahan ama petugasnya katanya makanan tidak boleh dibawa ke atas di hotel lain boleh kok saya ini bukan hanya sekali nginap di hotel bintang 4 tambah pun sudah pernah bukan saja sombong jika saya nginap di khas saya beberapa kali suka hampir 10 kali karena saya sama menu sarapan nya katanya piringnya ngk boleh membawa ke atas
Musdalifah Sese,2024-12-30,5,hotel yang pelayananya cukup bagus kamarnya bersih dan untuk makanannya kemarin ya lumayan hanya kemarin kita terlambat untuk sarapan di jam 8 pagi sudah kurang pilihan makanannya untuk hotel yang terjangkau lokasinya cukup dekat dengan pusat perbelanjaan dan tempat wisata di kota makassar
Achwan Rahman,2025-06-30,5,harganya murah kualitas dan pelayanannya sangat baik
Romin Lay,2024-12-30,4,lokasi sangat strategis harga kamarnya ekonomi dengan fasilitas yang mewah tambah ada kolam renang dalam ruangan nya
Cicik,2023-12-30,5,hotel nyaman dan ekonomis di daerah perkotaan layak banget untuk menginap dengan keluarga sarapan nya juga enak enak resto nya dekat dengan kolam renang jadi bisa sambil nemenin anak main kamar juga lumayan luas cm ada beberapa sudut saja yang kurang bersih dan penerangan kurang sedikit akses mudah melepas hotel ada indom ret jadi enak jika perlu beli camilan secara keseluruhan layak banget untuk dicoba
