User Name,Review Time,Rating,Review Text
guruh panji,2025-12-23,4,Saya tidak mengerti konsep peletakan kamar non merokok 116 disampingnya area merokok resto waktu kamar mandi nyala bau asap rokok masuk selain itu oke saya beberapa kali menginap di hotel ini
Ardiansyah Syahzam,2025-12-23,5,hotel baru dengan pelayanan yang ramah dan cepat kalau masuk pagi bisa ikut sarapan kamar bagus dan bersih
Samuel Simbolon,2025-10-06,5,untuk akomodasi penginapan di palu hotel khas bisa jadi salah satu dari tiga pilihan atas untuk anggaran hanya jangkauan yang sedikit rumit krna masuk2 kedalam untuk pertama kalinya setelah membayar lewat agoda traveloka atau yll kita akan di cek validitas bukunya dengan ktp dan tanpa deposit serta ada juga minuman yang sangat membantu menyegarkan saat suasan palu di siang hari yang panas untuk akses ke kamar bisa dengan tangga dan kemudian angkat akses ke kamarnya sangat enak karena akses ke kamarnya sangat enak karena hibrid dengan melengkapi sekitar tidak penuh ac semua kamarnya dibuka menggunakan kartu dan daya kamarnya dinyalakan dengan kartu posisi pen
Raden Kimung,2025-11-06,5,September 2025 hotel yang menyenangkan surga bagi para perokok lokasi bersebelahan dengan perumahan agak masuk dari jalan besar jadi tenang untuk istirahat bangunan hotel ruang terbuka tidak panas sirkulasi udara bagus kamar lengkap dengan amnesti bantal berlimpah bersih staf paten manajemen hotel tolong ganti botol plastik di kamar cukup menyediakan udara isi ulang kurangi limbah plastik
Yenita Amelia,2025-12-06,5,hotel baru dengan harga murah tapi fasilitas seperti hotel bintang 4 interior kamarnya modern dan luass makanannya beragam hotelnya bersihh sangat dianjurkan di palu
Adrian Pkd,2025-08-06,4,Saya akan memberikan poin 4 sesuai kelasnya hotelny baru 3 kali ke palu dan khas jadi pilihan layanan resepsi sesuai standar sarapan cukup bervariasi kamar lumayan luas udara bersih siaran televisi lengkap mungkin yang perlu di perhatikan kualitas kopi yang disajikan secara rasa dibawah standar
yohanes haryadi,2025-08-06,5,pertama masuk ke area lobby tempatnya nyaman nyaman nyaman dilengkapi dengan beberapa sofa dan ada 1 rak pajangan yang estetik masuk ke kamar di lantai 2 kesan awal kamarnya bersih dan nyaman kasurnya enak dan empuk serta bantalnya besar kamar mandi oke dengan amenities yang standar disediakan sabun shampoo cair 2 sikat gigi sabun batang dan tas sanitasi hanya udara panas nya lama lama sehingga kita harus buka agak lama baru air panasnya keluar dan perlu di tambahkan gantungan baju di kamar mandi untuk pria kantolkan baju saat mandi pagi untuk kelas hotel baru seperti ini khas ini bisa saya katakan wow untuk jenis makanannya tidak kalah pro
Ogan_ Mkls09,2025-10-06,4,hotel yang relatif baru dan bersih untuk harga agak di atas nya sedikit dari hotel lama yang biasa saya menginap disebelahnya pelayanan staf hotelnya bagus sangat ramah sarapan cukup lengkap sangat bahagia sbb bisa jogging pagi2 di jalan jl zebra 1 dpn hotel aspal nya mulus dilokasi perumahan yang asri dkt dengan masjid juga saran untuk pengelola hotel untuk lebih meningkatkan fasilitas wifi nya yang dikamar lemott berikutnya akan kembali ke sini lg sangat jika jadwal tugas di palu terima kasih
Freeman TV,2025-08-06,5,hotelnya dekat bandara fasilitasnya msh oke infonya sih boleh pagi checkin tidak ada kolam renang ya untuk berhenti n pergi saja cocok nih untuk yang bisnis perjalanan ke palu
silfi yana,2025-08-06,5,hotel terbaik dikelas nya kamar nyaman bersih serta makanan room service yang enak serta terjangkau dan bfast sangat bervariasi dengan rasa saat dilidah sukses slu khas hotel palu
Gusrianto Yosep,2025-11-06,5,kamar bersih ac kamar nya berfungsi dengan baik lengkap dengan sarapan pagi yang enak pelayanan ramah
hikmah sruni,2025-12-06,1,Konfirmasi awal biaya saat dikonfirmasi melalui telepon melalui kamar dan saat pembayaran berbeda
Ansar Sina,2025-08-06,4,belum pernah nginap hanya pernah mengikuti kegiatan di hotel ini pelayanannya mantap makanannya enak tenan
wisnu dhewa,2025-06-06,5,pertama ke palu dan mencari langsung nemu hotel ini bangunan baru saat menginap baru 5 bulan dari pembukaan kamarnya cukup luas bersih banget tv uda android google tv staf ramah sarapan juga enak dan cukup lengkap tapi udara panas nya cukup lama nunggunya secara keseluruhan oke banget selanjutnya kalau ke palu akan kemari lagi
Sugianto Effendy,2025-06-06,5,hotel yang strategis lokasinya lingkungannya sangat tenang dan tidak berisik kamarnya luas untuk kelas sejenisnya untuk makanan biasa saja rekomendasi untuk hotel ini bila untuk keperluan kerja atau dinas
seta extya,2025-12-09,5,hotelnya sepertinya baru nyaman sekali ramah sekali
Angel Artaniamoeis,2025-07-06,5,semua yang baik dari sarapan yang banyak dan pelayanan bervarian yang sangat baik kamar bersih toilet umum sangat bersih ada udara panasnya di kamar danemang cocok untuk perjalanan bisnis dan juga untuk menginap
Achmad Zulkifli,2025-09-06,5,tersedia fasilitas antar jemput bandara gratis kamar nyaman dan tenang
Ayu Tiri,2025-05-06,5,Sangat cocok untuk perjalanan bisnis di kota tapi jauh dari kebisingan menu sarapan dan makan siang enak cocok untuk melakukan kegiatan kantoran seminar tempatnya sangan nyaman dan nyaman
Vania Canisa,2025-06-06,5,hotel baru super bersih dekat dengan bandara petugasnya ramah dan baik2 semua sarapannya juga enak
Huzain Disfisik,2025-06-06,4,proses pemesanan yang mudah cek masuk yang cepat dan ramah kenyamanan kamar kebersihan fasilitas yang memadai layanan kamar yang baik serta staf yang responsif dan membantu
