User Name,Review Time,Rating,Review Text
Dumai Kota,2026-01-01,1,dengan harga 1 2juta saya sarankan jangan tinggal disini deh soalnya kamarnya kotor toilet kotor seprai kotor kulkas tidak ada parkir nya parah harus antri menunggu mobil keluar baru bisa parkir sekali saja ya tinggal disini
Dedi Tiraman,2025-12-09,1,kurang nyaman di hotel ni kayak nya satpam nya kerja sama ama deptcollector jadi untuk yang membawa mobil masih nunggak saya sarankan tidak usah menginap di hotel ini
Nardialis,2025-11-06,4,menginap di hotel ini memberikan pengalaman yang nyaman di tengah kota pekanbaru lokasinya strategis dekat dengan pusat perbelanjaan kamarnya bersih pelayanan ramah dan sarapan pagi cukup bervariasi kolam renangnya bersih dan area lobi terasa modern
AVC,2025-09-06,5,hotel yang sangat strategis dan tidak terlalu jauh dari bandara harganya terjangkau dan 2 hari menginap disini hampir tidak ada kebisingan kamar bersih semua fasilitas berfungsi dengan baik makanannya pun enak terutama nasi gorengnya
Vyolla 12,2025-12-06,3,Aku tidak dingin mencuci gigi hanya satu sabun ada tapi tidak bisa keluar sudah mau habis
Bambang Sulistyadi,2025-12-16,5,nyaman dan tempatnya strategis klo bisa kebersihan di tingkatkan terutama di daerah kolam renang kamar gantinya
Muhammad Al Falah,2025-11-06,5,terima kasih khas pekanbaru atas sambutan hangat dan kerjasamanya hari ini suasana hotel yang nyaman pelayanan yang ramah dan tim yang sangat membantu membuat kunjungan kami berjalan lancar sukses terus untuk khas hotel pekanbaru semoga terus menjadi pilihan terbaik untuk menginap rapat dan berbagai kegiatan positif lainnya
Nanda Syakirah,2025-12-23,2,nginep pertama kali di sana gabisa tidur sama sekali saat masuk melihat meja agak kropok padahal lagi dalam keadaan cape tapi sama sekali gangantuk
Rayindha Priyantama,2025-08-06,4,lumayan untuk transit sebentar di Pku lokasinya sangat strategis dan mudah diakses untuk area resepsionis lift sudah rapi dan baguss tidak ada kulkas di kamar ada kolam renang yang cukup nyaman untuk olahraga berenang bukan untuk udara utama
Indra Wati Mukriah,2025-09-06,4,kamar nya luas banget mejanya banyak sekali tampilan bagus banget harganya 350an beli di tiktok di tengah kota dekat mana mana mana parkir aman di basemant
Redaktur Daerah,2025-08-06,3,kebersihan hotel dibawah standar khususnya di kamar dan kamar mandi kamar mandi bau dan jorok karena jarang dibersihkan aroma kamar juga tidak segar meja samping tempat tidur sudah hampir lepas paling aneh petugas keamanan di pintu lobi hanya berdiri tidak memiliki inisiatif untuk membantu tamu menurunkan barang2 dari mobil
Mukhlis -,2025-10-06,4,kamar oke staf ramah ac dingin pemandangannya bagus kurangnya di sarapan saja yang variasi sedikit dan rasa yang tidak spesial
Gita Nia erika,2025-12-06,1,kamar nya tidak bersih kamar mandinya bau pipis cukup sekali saja deh
bulan purnama,2025-12-06,1,kamar mndi nya agak jorok sama gorden dikamar 517 juga jorok agak geli saya dulu saya saya nginap di sini bersih agak kecewa sih
Radityo Trenggono,2025-11-06,5,Di pekanbaru mencoba menginap di hotel khas biasa di hotel lain luar biasa sekali sangat ramah pelayanannya
Filia Chang,2025-08-06,4,kamar agak kecil perlu peningkatan untuk sarapan sayuran tidak terlihat segar penataan kurang menarik rasa b saja pelayanan oke lokasi oke catatan untuk menu sarapan harus ditingkatkan
