User Name,Review Time,Rating,Review Text
dina hidayati,2025-12-16,3,Alhamdulillah awal masuk di sapa dengan resesi karena saya membawa orangtua meminta cek masuk lebih awal sambil menunggu saya pesan makan siang di resto hotel untuk orangtua sekitar beberapa menit diinfokan sudah bisa masuk salah satu kamar untuk menu varian makan di resto belum banyak menyajikan varian dan pihak resto kurang bisa menjelaskan isi menu masakan yang ditanyakan untuk masukkan minuman siap buah asli bukan sirup karena tadinya saya ingin pesan milkshake buah jeruk setelah saya bertanya apakah saya memakai buah segar ternyata jawabannya tidak menggunakan buah tetapi campuran sirup dan es jeruk jadi saya tidak jadi pesan hari ini untuk sarapan saya di
Sinatra Teguh,2025-12-31,5,Lokasinya strategis di sekitar hotel banyak makanan enak cuma sayang kamarnya tidak kedap suara apalagi kalau dapet kamar deket angkat berisik jangan mau kalau dikasih kamar depan angkat pelayanannya baik dan ramah terutama front desk conciergenya cuma room service agak sedikit lama sampai harus ditelpon 2x
Ina,2025-12-16,5,suasana hotel yang nyaman nyaman rapih dan bersih resto yang menyajikan aneka masakan pilihan dekat dengan mall dan kopi yang utama seluruh staf hotel khas sangat2 ramah dan siap membantu sangat dianjurkan untuk menginap liburan dengan keluarga ataupun perjalanan bisnis
Rose Marie,2025-12-09,5,dua x survey menemukan hotel cukup baik semuanya semoga perawatan selalu ditingkatkan dinding bawah wastafel sudah mulai menguning dan genangan udara kamar mandi tidak mudah surut yang lain semuanya sudah cukup baik terimakasii kpd kakak yang menemukan hp ku saat sarapan dan meng aman kan nya charger juga berhasil ditemukan dikirimkan tanpa tagihan ongkir ini sebuah tanggung jawab yang sangat baik segenap tim khas hotel terus semangat kebaikan bekerja dengan kesehatan baik n sll gembira serta kesejahteraan
fay fatwa,2025-12-06,5,hotel ini paling top urusan perhotelan nya wkt kami masuk area parkir menuju lobi hotel dengan berjalan kaki satpam yang awalnya santai2 di luar hotel langsung berlari untuk membukakan pintu staf bagian cek masuk jg sangat ramah basa basa basinya tidak rasa makanan di sini memang biasa saja kamar jg bersih kami di kamar 125 menit pada kran saat saya wudhu tiba2 mengalir udara mandi akhirnya basah punggungnya
Miya Cathering,2025-12-09,5,lumayan dengan harga sgtu termasuk hotel yang terjangkau dikota semarang pelayanan ramah masakan di resto juga lumayan beragam dan rasanya enak kmren barengan sama rombongan bbrpa bus yang mnurut saya lumayan sumpek juga waktu sarapan karena restonya tidak terlalu luas tapi tamunya saat sebuanyak itu tapi secara keseluruhan oke yah dikamar jg sudah disediakan sajadah selain itu pemandangan dari kamar juga bagus krna bisa melihat pemandangan kota semarang
puji Pangestu,2025-12-06,5,kalau ke semarang lg sekitar kota saya akan menginap di sini lagi tempatnya enak banget ada disediain mukena sajadah dan alquran juga trus waktu itu saya dateng dari sebelum jam cek masuk karena sudah lelah banget muterin semarang menunggu di lobi hotel nyaman sambil ngopi ada kafe di lobi hotel dapet awal cek masuk lebih awal 1 jam sangat rekomendasi buat ke semarang
WHYU,2025-09-06,5,hotel khas semarang menawarkan pengalaman menginap dengan fasilitas standar yang cukup untuk kebutuhan dasar kamarnya bersih dan nyaman serta lokasinya strategis sehingga mudah menjangkau pusat kota maupun area wisata namun salah satu kekurangan yang terasa adalah kualitas wifi yang kurang kencang sehingga agak merepotkan bagi tamu yang membutuhkan koneksi stabil untuk bekerja atau streaming secara keseluruhan hotel ini cocok untuk singgah singkat atau liburan ringan terutama bagi yang lebih mementingkan lokasi kenyamanan
Dhedhe Dirgawijaya,2025-09-06,4,kamar hotel tidak kedap suara dan tidak begitu luas tapi semua lengkap dan berfungsi dengan baik jika lorong kamar hotel berisik maka suara akan terdengar sampai di dalam kamar rasa makanan kurang enak fasilitas cukup lengkap dan hotel ini terletak strategis di tengah kota
KorbanGacha,2025-12-09,5,Hotel bagus kamar nyaman cukup luas untuk saya ber3 dengan anak-anak tetapi minibar tidak bisa dingin sekali ditambah stafnya ramah sekali ketika ada tamu datang disambut dengan resepsi hangatnya juga ramah sekali suka bangett pokoknya khas semarang rekomen akan kembali ke khas semarang lagi
deas maharani,2025-12-06,4,menginap di kamar deluxe ya lumayan lega air panas nyala tv nyala ac nyala kasur empuk lumayan bersih sudut2 tidak terlihat harap diperhatikan dilengkapi toiletries dan ada mukena sajadah alquran juga sebenernya stafnya ramah2 mau minta tolong juga dibantu tapi bagian admin wa nya harap lebih cepat respon kemudian makanannya saat menu soto dan bubur kuahnya asin buanget yang lain enak dan oke tapi ya itu itu itu itu itu itu sangat kuah soto dan buburnya itu saat makan pagi tgl 4 dan 5 yang tgl 5 tidak se asin tgl 4
Iftihal Rahman,2025-09-06,5,suka banget nginep di sini lobbynya wangii banget ada musholahnya juga di kamar pun disediain mukena dan sajadah al quran juga kamarnya bersih banget tapi untuk menu sarapan agak kurang nyambung seringnya ya waktu 4 hari nginep di sini tapi makanan saat acara di ballroomnya juara banget banget sangat disarankan jika mau bikin acara di sini ya selain menginap
Wakwaw Wakwaw,2025-12-09,3,payah makanannya kurang segar lauk ikan saus roti kue keras ada serabut apa itu evaluasi dong kayak makanan kemarin di angetin ahh sudahlah kapok
Pantar Purnawan,2025-12-06,5,kamar oke nyaman bersih kedap suara bagus sarapan banyak pilihan staf ramah tempat strategis cari taksi online juga mudah dan cepat
Theo Natalie,2025-11-06,5,hotelnya mudah dijangkau para staf sangat ramah dari pertama kami masuk sampai kami pulang sempat ada pengalaman barang tertinggal telepon hotel ternyata disimpan dibantu staf untuk proses pengembalian minta dikirimkan ke alamat tujuan dan tidak mau diganti ongkos kirimnya terima kasih banyak khas semarang hotel kami akan datang kembali
