User Name,Review Time,Rating,Review Text
dhian wulan,2025-10-30,5,hotelnya bagus pelayanan dri mulai parkir smp dengan cek masuk dilayani dengan baik dan ramah kamar siap tersedia saat kami datang kamar kurng kedap suara kamar dan kamar mandi bersih cepat respon komplain cepat sarapan pagi standar hotel lokasidekatt pusat kota
Natla Samudra,2025-09-30,1,bagus koo sebenernya semuanya baguss layak harga tapi kenapa ada salah satu staf yang kurang beradab dan beretika ya tgl 13 september 2025 saya di kamar 310 saat itu masuk kamar lgsung istirahat selang 45 menit di kamar di saat saya terlelap ada sesorang mengetok pintu pukul 15 26 dia mengetok sebanyak 2x 1x ngetok 3x ketukan karena saya gadenger dan gajelas dia siapa yang bisa sbntr saya bilang itu sambil bangkit dari kasur saya jalan mau ke pintu dan saya pikir pintu hotel itu gabisa dibuka jika gaada kartunya dan ternyata di hotel ini cmi
virgan rakhmat yusuf,2025-12-02,5,staf baru ramah kamar baru bersih dan rapi untuk harga dan fasilitas sangat bagus cocok untuk menginap lokasi sangat strategis dan dekat ke mana2 dianjurkan
wikanto harimurti,2025-10-30,5,Tidak terlalu luas tapi nyaman itulah kata kata yang tepat untuk hotel ini kamarnya lengkap nyaman ac dingin ada alquran dan sajadah fo ramah dan sangat membantu restoran agak sempit tapi makanannya enak ada booth untuk makanan tradisionalnya secara umum saya beri bintang 5 agar khas hotel tegal semakin termotivasi dan semangat dan selalu berinovasi untuk memperbaiki pelayanan pada para tamunya semoga sukses khas hotel tegal
Yanuar Lutfi,2025-09-30,4,Hotel di kota tegal ini saya pilih karena ada kolam renang namun sayangnya kolam renang agak aneh bisa lihat di video saya seperti ada sisa jika kita melangkah dalam sekejap udara kolam menjadi keruh kembali sarapan lumayan beragam juga ac cukup kamar mandi kecil kamar kecil
Muhtar Ali Irfani,2025-12-16,5,lokasi tengah kota akses mudah ruang pertemuan menu makanan enak terima kasih mbak putri atas bantuannya acara kami berjalan lancar
sutrisno,2025-10-30,5,Pernah baru sampai di taman karena buru buru lupa tidak mengambil kunci kontak motor setelah acara selesai mau pulang keamanan mendekat dan bilang kunci pak sambil tersenyum malu kujawab nggih pak ternyata diamankan pak keamanan hehehehe
Aria GG,2025-10-30,5,overall sangat oke rekomendasi dari segi harga layanan kamar sangat aman dingin bersih fasilitas lengkap cuma sayang angkatnya suka error berenti dan tidak kebuka
Intan LM,2025-11-30,5,nyaman pelayanan dan staf yang sangat ramah baik tidak nyesel nginep disini selain layak sama pelayanan juara
Marjono Jono,2025-09-30,5,suasana oke lingkungan oke strategis kamar sederhana tapi nyaman layanan ramah cepat respon parkir siip juga fasilitas beribadah lengkap keten banget
volare halley sofrendyta,2025-07-30,5,Salam hormat dengan keramahan para staf hotel saat itu saya kluarga sedang ada masalah terintimidasi preman dsana pihak hotel sangat membantu kami sampai selesai tengah mlm kluarga saya aman selamat trima ksh sekali bu suci resepsionis tim keamanan atas perlindungan dan bantuannya
Mamah Queensha,2025-10-30,5,hotelnya nyaman bersih disediakan alat sholat dan al qur di setiap kamarnya pelayanan ramah dan cepat respon makanannya enak dianjurkan
Rinno Wardana,2025-07-30,5,pertama kali kesini lumayan sejauh ini begitu baik pelayanannya ramah kamarnya bersih dan wangi menu makan pagi agak kurang bervariatif stasiun telur saja tidak ada permintaan telor datengnya cepat tapi tidak hangat panas tapi okelah
