User Name,Review Time,Rating,Review Text
nunung nurhayati,2025-12-26,5,sangat berharga sih kalau menurut saya hotelnya bersih pelayanan ramah makanan lumayan enak serunya lagi terkoneksi dengan mall yaa meskipun agak sepi mall nya tapi foodcourt nya cukup bersahabat di lidahku yang dari jakarta dan yang yang paling saya suka hotelnya dekat masjid hm kebetulan kamar saya bersebrangan dengan masjid dan setiap masuk waktu sholat pastikan dengan bacaan alquran atau sholatatan hm pergi bawaanya jam 3 sudah dibangun sama murottal dianjurkan deh
Bagas Pamenang,2025-11-02,1,Barusan saya cek masuk parkir jauh di atas tidak sesuai penanda sampai harus bertanya keamanan 3x sampai di lobi saya yang pergi ke surabaya untuk perjalanan dinas bawa koper dan barang2 tidak ada tim keamanan hotel yang bantu bawa barang saya pesan kamar deluxe dengan single buruk tapi d berikan yang kembar mngkin karena beratnya lewat online jadi d kasih kamar yang jarang laku yaa saya minta kamar yang tunggal buruk tidak dikasih sama hotel dengan alasan semua kamar penuh padahal dari tatapan mata saja terlihat jika petugas resepsinya bohong padahal jika saya memang ada dan harus menambah anggaran mengatakanapun gpp akhirnya dapat kamar kembar yang saya harus
andie rilangi,2025-10-02,1,plusnya kamar luas itu saja kamar super jorok yah jorok kamar mewah tapi jorok kecoa lalu lalang sampai masuk ke dalam gelas minum super trauma gegara kecoa disini ampun petugas datang menyemprot baunya minta ampun kaya kita yang mau mati di dalam kamar sedang kecoanya masih berkeliaran di resto pun kecoanya masih berkeliaran malah kecoanya mondar mandir di atas meja roti sadar diri wahai pemilik hotel tutup dulu hotelnya sebelum selesai masalah kecoa makan baru harus cek hotel kesehatan ini berbahaya sekali masalah hiegenis makanan dll sayur dan pada buah tidak seger ampun dah barusan
Rovallgio Lucky,2025-11-02,3,pernah mengikuti acara di lokasi hotel ini untuk parkir bergabung dengan kaza mall untuk aulanya ada dua ruangan yang cukup luas dengan suara cukup oke menu makanannya enak namun sayang kebersihan lokasi kurang terjaga dimana saat itu kecoa kecil berseliweran hal yang seharusnya tidak terjadi begitu pula kondisi lorong yang kurang terjaga kebersihannya seharusnya hotel ini memiliki potensi yang bagus jika bisa memperbaiki kebersihan agar kenyamanan pengunjung dapat ditingkatkan lebih
Yogi Ananto,2025-11-02,5,hotel termasuk baru 2019 jadi fasilitas masih bagus dan terawat terintegrasi dengan mall kaza dan bioskop dekat dengan pasar dicatat jangan lupa parkir di atas sendiri lt p3 dan jika bawa mobil jangan lupa untuk minta cap karcis parkir di resepsionis untuk parkir tamu gratis hotel
Alfiya,2025-09-02,5,parkir nya langsung bergabung sama mall nya turun dari hotel bisa atau langsung menghubung ke dalam mall nya tempatnya luas kamar mandi nya bersih aula besarr cocok untuk acara pernikahan dan lain ada musholla nya juga
Indah Hutasoit,2025-11-02,4,Lokasi baru cukup strategis kamar tidak terlalu sempit ada area dan ruang untuk santai anak-anak ramah
allan gusdorofamokti,2025-12-27,1,Banyak kue dikamar mana mana mana meskipun sudah pindah kamar g akan tetap disini lagi
Hanif Fadhil,2025-12-26,5,bersih kamar sesuai aplikasi pelayanan sangat ramah dan menyenangkan
erlyna sita,2025-12-02,5,Waktu itu mengikuti seminar Eljo hall nya luas pelayanan bagus makanannya lumayan cemilannya banyak
faradila faizah,2025-09-02,5,kamar luas semuanya berfungsi dengan baik aula luas dan nyaman untuk acara kajian dan semacamnya
dini muliani,2025-10-02,5,Pelayanan di resto dan makanan enak dan saya sangat suka atas pelayanan mba regina sangat rendah hati dan menyenangkan
adi wisnugraha,2025-10-02,4,menggunakan aulanya untuk pertemuan cukup nyaman resto nyaman toilet bersih berada di atas kaza mall
Norehan Abdul Karim,2025-08-02,5,Semua nya bagus makanan nya enak dianjurkan sgt siapa nk tinggal di hotel nie layanan baik oleh regina friendly
Fransisca Nuning,2025-06-02,5,Ke sini dalam rangka bengkel selama 3 hari 2 malam dapat kamar untuk berdua hotel letaknya strategis keluar hotel bisa ke mall dan pasar tinggal jalan kaki saja awal masuk hotel agak heran sih kok resepsionisnya kayak kecil bukan hotel ternyata harus naik dulu ruangan untuk bengkel juga nyaman kondisi ac normal ruang makan restoran besar interior juga bagus
Dewi Paramitha,2025-08-02,3,hotelnya sebenernya bagus hanya saja sayang karna dibawah pasar tradisional jadi ada kecoa didalam kamar
anasti sagita,2025-06-02,5,pertama kali kesini bukan untuk menginap tapi mengikuti Daurah ustad firanda hotelnya bagus untuk desainnya keren kalau kamarnya belum bisa review karna belum pernah masuk dan menikmati kamar ketika daurah kami berada di aula dengan jumlah peserta kurang lebih 20 orang fasilitas sangat bagus mulai dari toilet tempat wudhu dll
Siti Nawangsih,2025-08-02,5,ini jauh hotel bintang 3 daerah sby timur yang recommnu aku krna stafnya ramah sarapannya juga enak blh deh kalau kalian mau kesini
Ferry Chan,2025-05-02,1,Pelayanannya kurang baik Pinjem Piring dan Mangkok dibatasi 1 saja hotel macam apa ini hanya pilih salah 1 baru kali ini di hotel seperti ini modelnya kemarin tanggal 2 Maret 2025 saya mendapatkan kembali pelayanan yang kurang memuaskan begini kronologi saya datang di Palm Park hotel menanyakan apakah ada kamar kosong dengan tipe duluxe resepsi bilang penuh semua pak lalu saya bilang kalau semua penuh saya coba pesan di perjalanan jawab resepsi coba saja akhirnya saya coba ternyata tidak bisa ditransferoka padahal ada kamar tertulis di perjalanan depan saat itu saya masih duduk di resepsi akhirnya saya ingat ke resepsi ya
Hanunnisa Nur R,2025-06-02,5,kamar luas bersih wangi cuman sayang banyak kue kecil kecil untung saya tidak takut sama kue semoga jadi belajar buat pihak hotel ya keamanan ramah resepsionis dan staf juga ramah ada mushola di lantai 3 bersih tenang ada mini taman bermain nya jugaa dekat lobi
Vie Viee,2025-09-02,4,kamar kurang terasa dingin di kamar mandi sangat panas biasanya jika dihotel di kamar mandi pun sangat nyaman
Julian Van Kusty,2025-05-02,5,Hemat hingga 30 hotel bintang 3 nyaman di Surabaya pusat kali ini aku tinggal di hotel king room deluxe dengan fasilitas yang lumayan lengkap kamarnya bersih nyaman fyi harga kamarnya mulai dari 400k dan ada ballroom yang berkapasitas hingga 10 orang dan cocok untuk acara seperti wedding meeting workshop dan lain sebagainya karena tanpa adanya pilar aku terus makan malam di cip cip bar dengan menu yang beragam kaya buntut bakar goreng mie jawa muda chow goreng nasi tahu petis slice buah sebagian besar harganya juga masih wajar menurutku pagi harinya makan di kemiri restoran dengan menu yang beragam nusantara terakhir bisa hemat hingga 30 kalau
Rahmatika Dyah,2025-06-02,5,lorongnya terlalu panjang saat mau naik lumayan jauh tapi setiap beberapa kamar pasti ada tempat untuk duduk2 untuk bersantai biar g jenuh klo di kamar trus
Nathifa Dwi Hessaputri,2025-05-02,4,kamarnya cukup luas dan nyaman sudah di lengkapi dengan amunisi seperti air mineral mandi cap sikat gigi dan odol shampo dan sabun ada kulkas kecilnya brangkas sofa cukup panjang namun sayangnya saat pertama masuk ada kecoa hidup jalan di kamar saya bisa di lantai 2 dengan pemandangan pemukiman mungkin jika di sisi yang lain anda bisa bisa melihat jembatan suramadu kata pegawai disini untuk parkir menurut saya terhitung jauh dari hotel dan mungkin karena hotel berada di sekitar pasar jadi ada sedikit tidak enak di sekitar tempat parkir saya tinggal untuk istirahat sementara dan menurut saya sudah cukup bagusnya karena dekat dengan tujuan saya bau hanya untuk istirahat sementara
Sigid,2025-04-02,5,kami datang b4 untuk keperluan pekerjaan kebetulan saat puasa hotel isinya cm kami ber 4 tak disangka saat waktu sahur kami tetap mendapatkan menu sahur buffet dan pastinya omlete tersedia bisa diminta keren buat mas yusuf dapur yang bertanggung jawab dan melayani kami diwaktu sahur makanan enak hotel bersih staf ramah cm mungkin handuk hotel bisa diganti saja yang sudah tidak layak jangan digunakan lagi yang lain sudah oke
novita anjar,2025-05-02,2,Maaf untuk mengatakan tidak tau apesnya aku apa gmna pertama kali menginap dihotel ini lsg nemu bayi kue kakao kamarnya jarang dibersihin disapu minimal karna kecoanya tidak 1 lohh aku nemu 5 biji ya allah maaf harus menilai agak jelek karena memng itu kenyataanya sedih bngt mana bawa bayii tolong ditingkatkan lagi kebersihan kamarnya dan kamar mandinya benar2 kurang banget
Melliana Susanto,2025-02-02,4,Bagian dalam hotelnya bagus tapi perawatan masih bisa ditingkatkan staf hotel ramah dan membantu kami dibantu cek kamar sebelum pemesanan di bagian luar memang terkesan kumuh dan akses masuk parkiriran harus berputar2 di dalam gedung parkir yang gelap untuk bisa sampai di area parkir hotel
Hariadian,2025-11-02,5,senang bisa nginap disini pelayanan oke staf yang ramah tamah dan responsif terimakasih
Siti Roya,2025-08-02,4,Tempatnya sangat membingungkan tapi memang lumayan bagus acara 27 Juli 2025
