User Name,Review Time,Rating,Review Text
Syahrun Najmi Family,2025-12-17,2,agar jadi catatan dan pembenahan bagi manajer hotel park hotel cawang saya transit karena mengantar anak ke lanud halim perdanakusuma masuk tgl 9 keluar 10 des 2025 1 sangat disayangkan tidak ada kamar tidak merokok menurutku fatal saya tidak perokok dan tidak kuat bau asap rokok 2 lampu kamar tidur dan kamar mandi kurang terang 3 sabun mandi mandi tidak terlalu mandi serasa tidak mandi pakai sabun 4 mandi kurang dari mereka 5 lobi bernyamuk 6 parkirnya terlalu sadis yang mengambil pickup saya di depan lobi saja kena cahrge walau gk sampai 10 menit hadeehh dan itu dikenakan ke
Nurpine L. Tobing,2025-12-24,5,Saya bertemu di ruangan mahoni dari hanofer indonesia untuk ruangan yang kami pakai sangat baik dan pelayanan nya baik juga terutama untuk mba elisabet dan mas reza dan iksan sangat cekatan dan sangat membantu semua perlengkapan yang kami butuhkan kan berikutnya saya akan kembali lagi trimakasih
Cirylla Amanta Pramesti,2025-12-07,5,Tgl 9 nov kami melaksanakan acara ke-17 anak kami alhamdulillah pelayanan dari kami survey sampai persiapan hari h kak vania amat membantu kapan saja i wa nya makanan atas semua tidak mengecewakan smua makanan enak dan layak konsumi terimakasih pak hotel dan kak vania insyaallah lain waktu ada kesempatan bisa membuat acara lg disini terimakasih banyak
Ferry Aprialdi,2025-12-07,5,untuk makanan baru banyak menu enak bersih buah baru terras cafe baik ramah sopan senyum pelayanan nya baik untuk fasilitas kamar bagus dan nyaman cukup berkesan untuk nginap di sini lagi
Egy Andarwati,2025-12-24,5,Park hotel pelayanannya ramah ramah dan lokasinya strategis tempatnya nyaman makanan nya juga enak banget pokonya rekomended bangett untuk menginap juga acara disini terima kasih juga untuk mas reza dan ka elizabeth untuk penyajian makanannya dan keramahannya
Mekdi Brgrcheese,2025-11-07,5,hai aku disini bukan untuk menginap tapi karena suka sama pelayanannya walau pun aku tidak sempat menginap aku berkunjung acara pernikahan sama anak dan suamiku datang di lobi anakku lgsg gabisa diem karena suka mengeksplorasi apalg kalau sudah melihat tangga lgsg dong dinaiki ada kali td 3x aku bolak balik naik dan turun kemudian aku di arahin dan dikasih tahu oleh acara tim dia diarahin oleh rcp hotel untuk ke tempat anak-anak sudut auto kesettel semua berkat bantuan hangat resepsionis aku lupa tidak tanya nama dan tidak terus bilang terima kasih lgsg terima kasih atas sambutannya dan
Tika,2025-12-07,5,hotel bintang 3 tapi rasa bintang 4 kamar bersih terawat sarapan mewah ada anak-anak korner view bagus kamar nyaman minus suara berisik dari luar kamar lorong kalau ada yang berisik lumayan masuk ke dalam kamar tidak ada kolam renang yaa tapi secara keseluruhan hotel ini dianjurkan banget terimakasih park hotel
manda putri,2025-11-07,5,Pelayanannya bagus dan tempatnya sangat strategis dekat dengan Kcic sarapan disini sangat memuaskan dan banyak pilihannya fasilitas kamar lengkap dan bersih namun fasilitas di kamar seperti meja dan lemari agak lama tapi masih berfungsi dengan baik
Dani Rojas,2025-12-24,5,Secara keseluruhan semuanya sangat baik pegawai ramah dan salam untuk hotel ini mempekerjakan kawan cacat sedikit masukan dalam persiapan ruang untuk pertemuan harus lebih detail lagi dalam persiapannya karena kemarin flapchart yang ada di ruang pertemuan saya belum diganti dan tidak bisa dipakai secara keseluruhan layanan dan kamar di hotel ini sangat baik terima kasih
Ardi Manggala,2025-12-07,5,sangat luar biasa bikin acara ulang tahun di sini bener2 memuaskan petugas yang ramah makanan yang enak suasana yang meriah pokoknya semuanya sempurna semoga bisa dipertahankan terus kedepannya terima kasih park hotel cawang tunggu kedatangan kami kembali ya
