User Name,Review Time,Rating,Review Text
-D-,2025-12-26,5,pemandangan sekitar kamar sangat indah buka pintu kamar langsung laut akan tetapi jika ac kamar dimatikan langsung merasa lembab jadi disarankan ac nyala trs saat datang ombak sedang tinggi karena cuaca hujan dan angin akan tetapi masih bisa main pasir sekitar depan kamar sarapannya pun ada beragam pilihan dari yang bubur roti sereal sampai menu berat seperti nasi goreng dll
Sri Rahayu Habibie,2025-12-26,5,Alhamdulillah sudah ke 3 x nya nginap disini kamarnya oke view nya baguss banget depan kamar lgsg pantai pelayanan ramah dan jika ada kendala gercep diatasi semiga kedepannya fasilitasnya lebih dibagusin lagi
Yazid Mudzakir,2025-11-02,3,patra anyer memiliki keunggulan lokasi yang strategis dengan akses pantai pribadi meskipun beberapa pedagang bebas masuk ke resort untuk pantai cukup bersih di sisi selatan namun di sisi utara atau sebelah kanan resort lumayan banyak sampah lautnya untuk kamar selama menginap di sini saya kurang puas hal yang menjadi catatan untuk patra anyer 1 ac kamar tidak bisa di atur suhu dan tidak dingin kami sudah memanggil layanan kamar namun sampai checkout pun tidak datang acnya bocor dan menetes dikamar 2 masih ada serangga semut didalam dan ulat di luar menandakan perawatan dan kebersihan perlu ditingkatkan 3 pada kamar mandi keluhannya adalah penerangan yang mengurangi wastafel bo
Abdul Hafid Rasjid,2025-12-26,4,Saya buku kamar villa kayu sangat bagus lengkap dan bersih saran pedagang asongan jangan dibebasin masuk lsg ke depan kamar lebih bagus hotel bekerja sama dengan koperasi dan dibuatkan toko souvenir oleh2 di samping hotel loby
Eldo nainggolan,2025-12-02,5,view lgsg pantai kamar besar ada teras lgsg ke pantai kamar mandi perlu dibersihkan lebih detail kolam renang hanya untuk kamar tipe villa suite kamar tipe premier luas ada sofa besar kursi meja kulkas kecil tv kotak aman kamar nya oke mantap sore2 view sunset nya bagus dan area pantainnya luas bisa jadi pelari kalcer di seputan hotel
Cecillia Y,2025-09-02,5,waktu ke sini pesen yang tipe eksekutif single kamar nya masih baru dan bagus desain peralatan modern lengkap ya sabun sikat gigi tv dah smart tv cuma jendela berdebu dikit hehe suasana kamar nyaman sih ac dingin nyenyak juga tidur mana bantal banyak jalan dikit langsung pantai ada kolam renang villa juga depan setiap villa dah ada tempat bilasan kalau abis main ke pantai suasana malam enak juga pantai nya banyak kepiting kecil2 lucu hehe staf2 kalau papasan nyapa ramah terus enak di ajak ngobrol juga staf nya makanan sarapan standar bintang 3 si ya model prasmanan cuma agak jauh kalau dari kamar eksekutif tunggal tapi gapapa jalan sambil liatin view
WIJAYA tekhnik,2025-12-02,5,bukan lebay bukan promo ya kagak di bayar beneran ini perjalanan dari bekasi ke mambruk dulu cek cek ternyata di mambruk tidak sreg harga kamar terbilang muahal akhirnya cek ricek ke patra nah ini dia mereka punya gedung baru nama eksekutif gedung baru fasilitas kamar oke banget super bersih tv guede 43 inc inflixe youtube water heater sampai hairdryer lengkap paking mengesankan view depan kolam renang laut pasir putih gaes top abis lampu malamnya nyaman dan syahdu banget ane sama istri dari depan jam 1 malam sampai jam 4 pagi di kamar pinggir laut kayak dipelm korea
Rifky Dharmawan,2025-09-02,4,menginap di sini 1 malam pada awal Juli 2025 buku kamar perdana kembar lewat website langsung pemesanan mereka pada saat itu memang di website cuma tinggal tersedia kamar perdana kembar saya dapet harga rp 1 0 0 termasuk sarapan untuk dua 2 harga diterbitkan mereka untuk perdana 2 750 0 dan karena kita tinggal bertiga jadi menambah tempat tidur ekstra dengan harga rp 300 0 dan sudah bisa sarapan setau saya menurut informasi yang bisa saya dapatkan patra ini adalah hotel 3 milik pertamina tapi dari pengalaman saya tinggal di sini sepertinya banyak syarat hotel 3 yang tidak terpenuhi mulai dari tidak ada telepon dikamar dan juga restoran yang hanya beroperasi untuk sarapan di mana
Muhammad Nurdin,2025-12-02,5,mungkin renov pada bagian pembuangan air kamar mandi diperlukan sepertinya kurang besar sehingga membuat tersumbat terlebih kondisi kadang kita yang dari pantai membawa sedikit pasir
Shelli Safitri,2025-12-02,5,Tidak tinggal di sana cuma melihat villa yang baru itu ada tipe eksekutif dia di deket kolam renang dan taman bermain kalau pergi bersama beberapa keluarga cocok di sini deket2an antar kamar ada banyak tipe kamar juga di patra cuma bangunan lama
Oky Murpiandi,2025-10-02,5,untuk pemandangan sangat bagus dengan pantai yang alami dari segi pelayanan sangat garcep dan ramah dan lokasi sangat dekat dengan jalan utama tidak ribet nyarinya hanya kamar sangat memprihatinkan pintu masuk kamar sudah kropos pintu balkon tidak bisa di kunci pakai kunci dan kamar mandi tidak bisa tertutup rapat jika tidak di gunakan acnya dingin tapi bising kaya suara mesin diesel
frandy saputra,2025-12-19,4,datang saat hari kerja enak sepi kayak privat pantai cuman kamarnya agak menyeramkan makan pagi juga hanya nasi goreng
swestika putri,2025-10-02,3,Restonya sudah mahal lama banget pula pelanggannya cuma saya sudah lapar bawa anak balita tidak ada tuh pelanggan lain direstonya pesan makan lama bgtt astaga 1 jam 5 menit baru keluar dong makanannya padahal sudah dikomplain cuma bilang iya sabar saja bu ditunggu saja bu pesan jus jeruk ternyata es sirup huh zonk haduhh kapookk lah tidak mau pesan makan direstonya lagi memperbaiki makan diluar jika menginap di sini
Nuraisyah Agustika,2025-09-02,4,pengalaman saya menginap di hotel ini kurang puas dari segi layanan namun di hotel ini terdapat fasilitas yang sangat lengkap kita dapat memarkir kendaraan di depan kamar akses ke pantai langsung sarapan dengan pemandangan laut langsung untuk pelayanan yang kurang memuaskan adalah dari awal pelanggan tidak diinformasikan bahwa tidak dapat mengakses kolam renang kolam renang hanya dapat diakses dengan tipe kamar eksekutif dan cek masuk tidak seperti biasanya yaitu pukul 15.00 untuk harga terdaftar kisaran 1 jtan minum hanya tersedia 2 botol kamar selain pantai bersih dan pasir putih terdapat akses spot antara lain jetski perahu pisang dll harga masih pada anggaran sekitar 200rban
Dwi Kusuma Anggrareni,2025-08-02,3,pengalaman pertama nginap di sini kurang nyaman pada saat masuk kamar mau nyalain tv tidak bisa karena sinyal buruk sekalinya bisa gambarnya ungu kamar mandi tidak bersih udara menggenang dekat pintu kamar mandi karena WC wastafel bocor menyebabkan bau menyakitkan lampu kamar mandi tidak terang terang sprei juga agak kuning di ruangan tidak disediakan tisu malam hari banyak banget nyamuk dan semut rangrang merah masuk dari pintu luar anak saya sampai bentol2 saat paginya pintu kamar tidak benar2 rapat untuk sarapan makanannya lumayan enak masukan saja untuk bisa meningkatkan kebersihan kamar tempat resto terimakasih
Ade Kevin,2025-09-02,4,area luas banyak kamar berstandar hotel bintang 3 jika dapat kamar yang lumayan jauh dari lobi utama tenang ada fasilitas kendaraan untuk mengirim ke depan kamar fasilitas terawat dan berfungsi baik pemanas air pun berfungsi dengan baik
Haifani Azmi Rahman,2025-12-26,5,cocok buat liburan keluarga di musim libur panjang ini bernilai setiap sen dirawat ya penginapan nya
Ali Fikrie,2025-12-12,5,nginep di sini enak banget pantai pasir langsung depan kamar banyak patung2 tapi tidak serem restonya beuh menghadap laut mantap sepoi sepoi
Nururrokhman Santoso,2025-08-02,3,Hal baik tentang tempat ini adalah pantai pribadi mereka saya sudah beberapa kali kesini karena anak saya suka sekali pantai disini saya pesan kamar perdana jika berbicara gede luas banget viewnya bagus balkon juga lega tapi setiap kali disini ada saja cobaannya mulai dari kunci suka tidak lengkap wastafel bocor mandi netes keran bunyi karena bocor keset tidak ada tapi emg tolong menurunkan harapan Anda untuk membuat kamarnya tapi untuk pantainya sih bagus banget
Suryani Anwari,2025-09-02,4,tempatnya luas ada beberapa pondok standar dan ada yang bentuknya kaya villa pantainya luas parkir luas sayangnya akses ke kolam hanya untuk tipe kamar tertentu saja untuk pondok2 biasa tidak bisa akses ke kolam
Siti Ulfa Alfiani,2025-09-02,5,kamarnya sudah cukup lama dan perlu banyak perbaikan dari properti sampai drainase di kamar mandi karena saat ini mau memeriksa keluar kamar mandi menggenang alias mampet tapi melihatya bagus banget buka pintu langsung pantai pantainya juga bersih area sarapannya juga melihatya kuep variasi makanannya kurang tapi pasti akan kembali lagi untuk mencoba tipe villa terbarunya juni 2024
ezha Lazuardy,2025-12-19,5,pokok nya mantap saya dri citra raya cikupa non tol tidak sampai 3 jam saat datng ke hotel patra beeh mantep
Rafandul R.,2025-10-02,5,Dah lama banget baru menginap di sini lagi ngepas nginepnya di villa bangunannya sepertinya masih baru bersih kamar mandi juga bersih pantainya lebih pribadi jadi tidak terlalu banyak sayang untuk sarapan kurang beragam tapi puas walo cuma nginep 1 malam
Ricky Pramudya (pmdya),2025-11-02,5,Ada beberapa titik yang bagus untuk foto terkesan dengan keramahan staf baik di restoran dan pengendara mobil yang menjemput ke kamar
Muhammad Alfian Fernando,2025-09-02,4,berkumpul perusahaan disini 1 malem dpt fasilitas kamar villa 1 villa untuk 5 orang dengan 5 kasur kamar mandi lumayan air heather berfungsi handuk bersih ac dingin ada yang kebagian kamar ac nya tidak dingin si pemanas air lemari pendingin kecil ada kopi teh gula siap untuk makanannya masih enak untuk bahasa standar orang orang sejauh pelayanannya bagus xixixi
Robii 427,2025-11-02,5,liburanku kali ini sangat menarik aku baru tahu kalau dianyer ada pantai swasta dan view persis banget kaya di bali kita menikmati indahnya pantai selat sunda untuk harga kamar menurutku itu lah harga segtu dengan berbagai macam fasilitas dikamar namun sayang kolam renang untuk yang menginap di patra manapun belum ada cuman ada buat khusus jenis eksekutif suite ajaa
Septiyan Dwi Suryana Putra,2025-11-02,5,kurang informasi saat menginap di hotel ini ada fasilitas kolam renang tapi ternyata tidak bisa digunakan bebas jatuhnya kolam pribadi buat kamar tipe yang tarif tertinggi lokasi nya tergolong masih cukup dekat pemandangan bagus restorannya nyaman dengan pemandangan nya keren makanannya standar untuk kamar luas sebenernya tapi emang bangunan lama jadi mungkin perlu di renovasi pantainya tidak berkarang tepi lumayan enaklah buat penyembuhan tip2
Jojo Wijaya,2025-11-02,2,nginep 3 hari 2 malem disini dikasih kamar dulux suite 122 menitusnya kamar banyak nyamuk sampe beli semprot serangga hari ke 2 bisa update kamar premier 202 tapi lebih jelek fasilitasnya tv baru tidak sinyal wifi mati mandi rusak
Muhammad Affan Gusmawan,2025-12-26,3,mohon telepon u layanan pelanggan aktif 24 jam saya telepon jam 11 siang tidak ada yang angkat ayo tingkatkan lg pelayanan
Vani Rahayu Dewi,2025-08-02,5,datang ke sini karena ada acara kantor kamar cukup luas dan bersih suasananya nyaman pelayanannya cepat tanggap dan ramah tempat ini cocok untuk liburan keluarga maupun acara besar kantor restonya di atas tebing dengan pemandangan laut yang indah jadi nilai tambah buat tempat ini sayangnya makanan yang disediakan di resto rasanya agak hambar semoga ke depannya bisa lebih ditingkatkan
Kartika Dewi,2025-08-02,3,Tempatnya cocok untuk perusahaan keluar karena paketnya cukup terjangkau dan tempatnya luas untuk melakukan berbagai kegiatan seperti olahraga permainan dan bbq tidak ada larangan ini adalah dari pihak hotel tapi jika untuk keperluan pribadi hanya satu kamar menurut saya kurang oke karena kamarnya kurang begitu bagus dan suasananya juga kurang privasi pelayanan fungsional saja
R&wid,2025-10-02,4,view tmpt oke bersih cuma 1 yang jelek pelayanannya agak kurang cek masuk jam 2 saat dtng kamar belum siap katanya jam 3 maksimal siap kita balik lg jam 3 trnyata masih bum siap akhir kama siap di jam 4 lewat tidak bsa berkata kata lagi
Andy Luis,2025-07-02,4,Saya ingin pergi ke sini saat akhir pekan panjang 5 8 Juli 2025 hotel nya nyaman dan pantai swasta nya jadi tidak ramai kamar villa nya juga masih rapi banget tambah titik pelayanan oke dan ramag lokasi bagus pantai swasta jadi tidak ramai hanya penghuni dan beberapa pedagang kelapa layangan balon memiliki kran udara di depan setiap unit jadi habis main ke pantai bisa minum dulu villa depan untuk kamar villa unitnya sangat bagus dan nyaman parkir mobil langsung di depan setiap unit kecuali villa minus titik peraturan kolam renang hanya untuk penghuni villa tetapi kenyataannya banyak digunakan oleh penghuni hotel unit lain dan tidak ada pihak yang menjaga atau
Ayu Tyas,2025-08-02,5,Anak anak suka main dipantai berenang dan paksu jg senang bisa mancing di pantai kami sekeluarga menginap di villa yang terbaru dari patra anyer pantai resort semoga kedepannya makin ditambah fasilitas publik baru
Taku Net,2025-07-02,5,hari kerja nyaman tidak ramai pengunjung penjual kelililng bersih cocok untuk keluarga kecil yang suka main pasir pantai swasta berenang aman bisa sewa pelampung ombak masih aman tergantung pasang surut restorannya hanya untuk sarapan naik tangga ke tebing kurang cocok untuk lansia bayi yang naik stroler tapi view tebing pasirnya sangat alami bagus
Dwi Imanti,2025-08-02,4,Pantai bagus banget kondisi kamar bersih tapi kurang terawat bangunan lama menu sarapan tidak sebanding dengan harga 100 ribu per orang
Iqbal Khoziana,2025-09-02,4,acara korporat seminggu yang lalu kamar baik cuman pintu baru sudah harus diperbarui karena susah dikunci dan kurang enak diliat
Siswanto,2025-09-02,3,Kasur depan kamar keramik pecah pintu teras blkg ssh buka pintu dpn dari dalam tidak bisa slot renovasi terkesan tanggung tidak berarti pantai oke istirahat oke parkir oke
Muhammad Khoirudin,2025-12-02,5,Tempat baru nyaman staf baru jg ramah tempat bagus banget next bkl balik lagi kesana
Midin,2025-09-02,5,Tidak sesuai yang di tiktok ini tempatnya lebih baik lagi keren terimakasih sudah banyak menginjak saya dan keluarga menginap
Sheti Alvin,2025-07-02,5,Tinggal di sana bersama keluarga cukup menyenangkan karna melihat yang masya allah sekali sangat memanjakan mata makanan kurang variasi untuk rasa lumayanlah minus di kamar yang saya tempati kamar mandinya agak mampet selebihnya oke lah
dede kusumah,2025-07-02,1,sangat kecewa dengan keamananya dan tidak akan pernah mau untuk kembali lagi ke sini karena kamarku dimasukin orang dari pihak penyewaan atv dengan keadaan dalam kamar ada istri saya sendiri kebetulan saya dan anak2 sedang kepala keptai apapun alasanya itu tidak bisa dibenarkan karena ini menyangkut kenyamanan kita sebagai tamu keamanan dan keselamatan istri saya alhamdullilah tidak terjadi hal yang tidak diinginkan dengan istri saya
d_2004,2025-09-02,4,lokasi pantai swasta hanya bangunannya sudah lama air mandi tidak lancar mungkin ada keraknya di mandi secara umum makanan enak pelayanan ramah
BangSoed Vlog,2025-12-02,5,Masih satu kelompok sama kantor jadi klo acara selalu kesini puas dah pokoknya
Arini Suharti,2025-06-02,4,rekomended untuk yang ingin liburan sambil main pantai sampai puas tapi tidak ramee banget kaya pantai pantai umum dianyer fasilitasnya oke kebersihan oke walaupun bangunan lama cukup oke sesuai ratenya ada kolam renang yang khusus untuk tamu yang nginap di villa lumayan gengges si ditanyain mulu kamarnya kamar mana padahal mau numpang duduk2 saja sama foto tidak berenang kok oiya saya bisa kamar mandi yang pintunya jadi rusak selama memakai kamar mandi tidak berani dikunci semoga segera diperbaiki ya
Helena Siahaan,2025-10-02,5,Pantainya bersih fasilitas cukup oke kamar oke sarapan lumayan
Yusuf Maulana,2025-07-02,4,Saran buat pengembang perbaikan utama di sisi kamar mandinya terutama bagian keran serta perlu pengecatan ulang untuk unit lama terakhir saya buku yang perdana
Jani Jani,2025-07-02,1,baru x ini hotel tanpa fasilitas kolam dengen hrga wah y klo menurut ku hotel bintang ternama saja hrga 1 jeti sudah ada fasilitas semua makann enak di petra jujurli makanan asin semua sumpah untuk pertama dan terakhir x kesini respon resepsi juga cuman wa yang 2 jam baru balas via panggilan juga d angkat malam surem banyak tukang pijet jualan ke depan kamar pantai nyambung dan bohong
Sabina Elsakhi,2025-08-02,4,Harga terjangkau nyaman luas banget pantai swasta bisa buat camp ala ala gratis sarapan pelayanan baik
ismah zahidah,2025-06-02,5,1 minggu yang lalu menginap di kamar villa 06 kamar dan menontonnya juara bgtt ada taman bermain kolam renang infinity gitu pantai jg bagus menontonnya pantai swasta dan pasirnya putih pokoknya tidak kalah kyk dibali banyak pedagang yang keliling tidak terlalu mengganggu sih krna makanan yang dijual jg lebih murah dibanding yang diluar minus ngga ada makan malemnya saja
Hari Agung,2025-12-02,5,bangunan tampak lama tapi di dalamnya oke ac dingin udara panas oke
Dita Nur Fadhila,2025-05-02,2,liburan lebaran saya menginap disni bersama keluarga mesen 3 kamar tapi yang 1 kamar monyet banget di nomor 115 genangan udara mandi gamau turun akhirnya di pindahin ke kamar 129 tapi sama saja gamau turun juga udara kamar mandi baru malah kamar ini serem banget juga punya lantai kotor banget kulkas mati sumpah capek banget karena mau istirhat tapi kamar tidak ada yang bner smua akhirnya di pindahin lg ke kamar 113 dengan amat terpaksa saya terima walaupun kasurnya komplen kasurnya tempat tidur dan di ksh 2 porsi makan malam kembar untuk pantai bagus ya karena privat pantai hanya bisa untuk penghuni hotel jadi sepi dan
Arrie Arrie,2025-09-02,3,Ini cara memesan nya bagaimana ya kok menjual semuanya tidak ada tanggal yang tersedia sampai Juli tahun depan 2026
herman syah,2025-11-02,5,sudah beberapa kali nginsp di sini pantainya bagus
Rima Andini,2025-10-02,3,wifi tidak nyala ada gangguan padahal pesen 5 kamar untuk melihat sih bagus banget
I Gusti Putu Endra Armika,2025-10-02,4,kamarnya seperti tidak terawat dengan baik sayang banget dengan view yang cantik
Putri Fatimah,2025-06-02,5,pantai nya bersih karang nya tidak ada cuma karena penginapan tua jadi agak banyak masalah kamar mandi nya mampet ac nya ada yang kurang dingin tapi lebih oke lah
Nova Nurlailasari (Nova Almira School),2025-04-02,1,pantainya sih bagus bersih cuma tidak ada pedagang sma sekali ada 1 doa tempat makan dan itu pun antriannya rame banget pesen makan bisa smpe 1 jam lebih baru siap makanannya kasian klo bawa bocah sudah kelaparan menunggu makanan harus lebih banyak lagi sih tempat2 makan baru biar tidak antri di 1 tempat
