User Name,Review Time,Rating,Review Text
Khazanah Fadhilah N,2025-12-02,4,hotel strategis di dago dekat dengan itb dan sabuga dilengkapi kolam renang dan mini gym baru bisa dipakai jam 6 6 30 katanya untuk kolam kamar twin bed style minimalis tapi serba ada namun untuk tv hanya ada layanan netflix prime yang terafiliasi israelell tidak dapat diakses tanpa password admin lobby tapi jauh memutar ke belakang searah dengan ruang makan hotel tidak bisa dibawa keluar katanya tapi saya sendiri belum selesai kebiasaan yoghurt sudah diangkat duluan padahal ada teman saya di seberangnya bisa ditanya duduk nasi goreng juga karena belum jadi maksud saya membatalkan ternyata malah diantar seporsi di akhir sarapan jadi
Priscilla Ariani,2025-10-02,4,honest review 8 10 hotel patra bandung letaknya di jl juanda enak banget lokasinya saat di tengah paling rame saat lg ada cfd saja setiap hari minggu pagi buat kamarnya bersih ada 2 bantal tapi untuk air panas rga berfungsi dengan baik jadi udara tidak panas sama sekali kalau ruangan lumayan kedap suara buat kolam renang perlu ditingkatin lg kebersihannya karena di bawah pohon jadi banyak daun jatuh2 tapi viewya ok buat sarapan terbaik sangat variatif dan menginap 2 hari ini sarapannya beda sama hari kemarinnya p s jika pakai pengering rambut perlu hubungi ke room service handuk
Admin Elsa,2025-11-02,5,tempat strategis hotelnya bersih nyaman ac nya dingin dan pelayanan petugas paripurna ada kolam renang yang cocok untuk keluarga untuk sarapan makanan beragam untuk hotel bintang tiga dan enak semua malah ada mie instan tambah telur bagi yang mau mencicipi indomie telur dimasak oleh koki rasanya mantap
Yoga Fauzi tohar,2025-10-02,5,saya sangat puas dengan pengalaman menginap di hotel patraja bandung lokasinya strategis dekat dengan pusat kota namun tetap terasa tenang dan nyaman suasana hotel bersih rapi dan tertata dengan baik sehingga membuat istirahat jadi lebih menyenangkan kamar luas tempat tidur nyaman serta fasilitas lengkap mulai dari ac tv air panas hingga akses wi fi yang lancar kebersihannya juga sangat terjaga membuat betah berlama lama di dalam kamar pelayanan staf ramah dan responsif selalu siap membantu dengan senyum proses cek masuk dan cek keluar juga cepat dan mudah sarapan yang disajikan cukup bervariasi rasanya enak dan cocok dengan selera keluarga kolam renang dan area hotel juga menyenangkan untuk bersantai cocok
Prida Pramudianti,2025-12-02,1,Saya mengantar pesanan toko makanan ke salah satu karyawan di hotel ini ketika pesanan tidak sesuai dia menyalahkan saya dan memberikan rating buruk terhadap saya sudah saya jelaskan itu kesalahan dari resto tapi dia tidak memiliki etika yang baik semoga di pecat deh itu karyawan saya
do pras,2025-12-02,5,hotel nya nyaman bersih lokasinya oke banget pelayanan nya ramah kolam renang nya nyaman besar dan tidak bergabung dengan lokasi sarapan sudah ada perlengkapan ibadah juga di kamar dan harganya sangat terjangkau
Wita Hadhe,2025-10-02,5,Sudah kesekian kali menginap di sini super love kamar bersih pelayanan sopan makanan sarapan ataupun makan malam suprb mereka benar-benar perhatiin rasa ngga asal asalan saat akhir pekan kmrn ada cfd bisa lari pagi deket kafe dua tangan penuh roda kartika sari dkk super dianjurkan
Naja Muddin,2025-12-02,5,keamanan nya atas nama mas agung sangat ramah dan membantu sekali ketika diperlukan penjualan hotel atas nama mba kelana sangat responsif ketika kami membutuhkan informasi untuk pelaksanaan kegiatan di patra hotel bandung mba sofy dan mba indah yang sedang pelatihan di fb sangat rendah hati
Hari Anggono,2025-09-02,4,lokasi yang baik layanan yang baik tidak menarik kamar datang lagi hanya jika gratis dibayar kompeni lokasi strategis sekali persis di depan mie gacoan dan bisa langsung ikut cfd jika berminat staf sangat membantu dan cekatan sarapan sangat lengkap n enak u hotel bintang 3 suasana parkir sangat teduh desainer geblek kok bisa bisanya lobi hotel letaknya di belakang gedung fasilitas n kualitas kamar tidur kamar mandi jauh di bawah hotel sebelah yang selevel
Sri Praptowati,2025-10-02,4,2malem berada di hotel ini semula google map menunjuk arah masuk lewat belakang sehingga pemandangan dibelakang tidak sesuai seram dan sepi terkesan kumuh kebetulan kami mendapat tugas ke itb jadi tidak terlalu jauh untung dibelakang ada pos satpam jadi bisa ditanya dia dia harga lumayan mahal sih dibandingkan tempat lain yang setara
