User Name,Review Time,Rating,Review Text
Muhammad Irfan Hilmi,2025-11-07,5,sangat baik dalam pelayanan nya tapi masih ada kekurangan nya yaitu pintu kamar mandi tidak bisa dikunci
andani danu,2025-09-07,5,Saya tidak nginap cuma berkunjung saja kata adek saya makanannya enak banget
M. ANDRES SAPUTRA,2025-11-07,5,makanan enak enak snack bervariasi kebersihan kamar sangat baik
Abdullah Alfarras,2025-11-07,5,tempatnya nyaman petugasnya ramah dan lokasi mudah untuk akses kemana mana mana mana
Supriyatna,2025-12-07,5,tempat menarik jajanan atm mandiri rumah sakit dekat dengan transmart
NBA 2013,2025-01-07,4,hotel ini dari jalan penampakannya sekilas tidak terlalu besar dan tidak terlalu tinggi dibandingkan gedung gedung lain di sekitarnya hanya terdiri dari 5 atau 6 lantai saja meskipun tidak besar dan tidak tinggi tetapi fasilitas di hotel ini sangat lengkap hotel ini termasuk kelas bintang 3 tetapi fasilitasnya setara dengan bintang 4 kamar tamunya cukup luas kamarnya setara dengan kamar hotel bintang 4 kamarnya cukup bersih dan terawat dengan baik hotel ini sering menjadi tempat diklat atau bengkel atau seminar atau rapat untuk karyawan pertamina dan berbagai anak perusahaan pertamina karena hotel ini memang merupakan salah satu anak perusahaan pertamina pt persero dan namun banyak juga tamu umum
Faathir ahsan,2025-11-07,5,Pelayanan mantap dijamin ramah memperbaiki bintang 5 asli tidak tipu tipu
Eka Fajrin Fahrezy 53_02,2025-11-07,5,stafnya baik dan ramah makanannya enak bikin nagih
Harum Budi,2025-01-07,1,mengecewakan sekali buffet sarapan diubah menjadi layanan kamar karena pengunjungnya sepi kolam renang sedang dimaintenance channel tv sedikit tidak seperti di keterangan daftar channel di meja mungkin karena pengiritan juga tidak bisa beraktivitas apa apa selama menginap di sini kemungkinan hotel tidak bisa bersaing makanya sepi menyesal menginap di sini
Daud Daffa Harkansas,2025-11-07,5,tempat bersih pelayanan baik staf ramah
jeniansah rukmana,2025-11-07,5,pelayanan baik hotelnya nyaman
Reza Travilla,2025-01-07,2,hari ini saya mengalami kejadian tidak menyenangkan dari pihak keamanan hotel ini saya sering ngopi di sini sambil menunggu orang tua berobat cuma dari awal yang biasanya tidak ada masalah dibuat jadi masalah oleh pihak keamanan sepertinya ini org rekrutan baru jadi dari awal sudah merendahkan saya katakan saya benar-benar ngopi kan y padahal tinggal kontak saja melalui ht ke lobby atau tanya pihak pelayanan hotel mereka sudah mengenal saya kok saat sudah selesai dan keluar itu pihak keamanan di pintu keluar nanyakan bon hah baru-baru ini saya direndahkan seperti ini keamanan gempal orgnya semoga patra jasa meninjau kembali kinerja ini sayang org 1 org bernya
farel,2025-11-07,5,sangat ramah pelayanan nya bersih dll
Wahyu Gustian,2025-06-07,3,tempat tidak terlalu ketat penjagaan keamanan tidak ada kemanan yang bagus jadi terlalu berbahaya
jonizar isko,2025-07-07,5,suasana aman nyaman tarif bersahabat posisi yang amat strategis
nena diana,2025-11-07,5,bagus pelayanan oke puas sukses selalu buat patra
Dimas Oktora,2025-11-07,5,pelayanan prima terbaik cepat dan tepat
Muhammad praditya,2025-01-07,5,Sejujurnya lokasi nya bagus deket mana mana mana dan banyak akses ke berbagai tempat dan bisa juga sebelah nya kerumah sakit pertamina tapi saran saya kalau bisa lebih dikembangkan lagi dan dirawat karena lumayan kalau bisa di upgrade seperti menambah fasilitas gym dan toilet nya dibikin lebih modern
Ilham Gunasyah,2025-11-07,5,tempatnya nyaman dan lokasinya strategis
