User Name,Review Time,Rating,Review Text
Krisna Noor,2025-12-26,5,lokasi sangat strategis jalan kaki sudah deket sama malioboro makanan enak dan direfill terus ampe waktu sarapan selesai ada kolam renang area utama anak kamar juga nyaman cek masuk waktu bayar deluxe tapi dikasih tipe kamar perdana Alhamdulillah
Ferdinandus Bagas,2025-12-26,5,lokasi sangat strategis dekat dengan keramaian jl malioboro dan paling kami sukai dekat gudeg mbah lindu pelayanan sangat jempolan dari resepsionis keamanan dan kamar anak masih rambah cirikas jawa banget kamar bersih ac dingin dan makanan cukup bervariasi doa terbaik untuk seluruh staf hotel patra
Siti Rahmawati HB,2025-12-19,5,kamarnya bagus estetik pelayanan juga ramah dan membantu sekali sarapan enak cuma saran agak divariasikan sedikit menu harian setiap hari kemarin variasi sih cuma tidak yang signifikan berubah menu hanya beberapa menu saja selebihnya oke banget
Vera Puspa Dewi,2025-12-26,5,pelayanan sangat ramah kamar bersih luas dan nyaman sarapan nya oke banyak pilihan menu makanan lokasi strategis dianjurkan banget buat liburan bersama keluarga
Mohammad Hafizh,2025-12-26,5,Sejauh ini menurut saya patra malioboro yang terbaik pelayanan kamar makanan layanan dari semua petugasnya sangat baik lokasinya juga mendukung untuk eksplorasi kota jogja dengan lebih mudah sangat mudah menantikan untuk bisa menginap di patra malioboro kembali
a “PramdeLoViennAlkhaFariq” p,2025-12-02,5,masuk geng oke penting bus2 kami bisa masuk hotel tenang senyap meskipun di salah satu geng teramai hahaha kamar oke sih capek habis putar2 mau cek masuk yang kemalaman bisa berbagi peraturan via wa dari travel agent standar sih tapi selama beberapa kali tur tidak pernah dapat macam ini jadi sedikit aneh tak ape sih hotel juga tidak ingin dirugikan dengan tamu yang umum tapi hotel perlu tahu sedikit lah tentang tamu baru dari travel agentnya emang sih kita bukan pejabat atau pegawai bumn atau asn atau dari perusahan besar setidaknya anda tahu siapa tamu akan kita hanya pekerja biasa yang sama kebetulan tawaran saja dari seber
hanifa moeslim Chaniago,2025-12-26,5,kamarnya bagus dengan view kota bersih staf ramah lokasi strategis bngt berada dipus kota bisa jalan kaki ke malioboro terimakasih patra malioboro sukses selalu untuk patra malioboro
Landscape Photography,2025-12-05,4,Saya menginap di sini semalam dan saya mendapatkan kamar dilantai 5 dengan kamar yang bisa merokok kamarnya luas toiletnya besih dan harum secara keseluruhan saya suka dari posisi tempat tidur yang saat serta peletakan kursi dan mejanya saya suka serta ada balkon jika kita ingin melihat keluar sambil merokok dan menikmati kopi hitam segelas sangat suka kasurnya empuk dan nyaman pokoknya alhamdulillah
Slamet Widodo,2025-12-02,5,hotelnya bagus lokasi strategis dekat stasiun kereta api maliboro tugu yogyakarta untuk kamar oke desainnya juga bagus mungkin kurang luas untuk kamar mandinya untuk makanan sarapan pagi ya hotel standar pada umumnya restoranannya bagus keren ada kolam renang tempat duduk2 depan hotel juga ada
adi suwito,2025-12-26,5,patra malioboro kami pilih karena dekat sekali dengan lokasi acara berjalan jhfr2025 dan ternyata kualitas keamanan layanan kamar dan keramahan seluruh kru mulai dari parkir sampai ke dalam hotelnya sangat memuaskan terimakasih patra malioboro salam sukses
Michel Cristian,2025-12-02,1,menginap di sini bersama suami tapi menurut saya pelayanan nya jelek makanan nya biasa saja saya menginap di lantai 1 tapi mas2 hk nya sama sekali gk ramah perawatan nya gk rapi dan berkumis sekelas hotel boleh berkumis sampah tidak di bersihkan padahal penuh layanan oke2 lain bagus semua nya bagus tapi jika bisa walau jarang ketemu tamu jika ketemu tamu minimal tersenyum tingkatkan lagi pelayanan nya ya untuk makanan tingkatkan lagi buat koki nya oh iya tambahan untuk mandi kamar kurang bersih dan beberapa bagian masih basah untung minggu sudah co gk jadi lama tinggal jadi tolong memperbaiki
S.hendarsih Hendarsih,2025-12-26,5,Terimakasih ke hotel patra atas pelayanan nya sangat berkesan dan semoga hotel ini semakin sukses dan yang perlu dilengkapi pemanas air minum
ika iko,2025-12-02,5,tinggal di sini saat baru awal buka kamarnya nyaman ada fasilitas ibadah disediakan di lorongnya disediakan dispenser galon udara fasilitas kolam renangnya juga lumayan luas dan sarapannya kebanyakan enak2 sajiannya stafnya juga ramah
Thea Bong,2025-11-02,5,kamar bersih pelayanan baik tempat juga strategis tinggal jalan ke malioboro cuma kemarin saat menginap hari pertama dikasih kamar yang ada menghubungkan pintu pdhl kita bisa cm sewa 1 kamar akhirnya kamar sebelah org gk dikenal dan suaranya itu tembus banget pdhl pintu menghubungkan pintu ketutup 2 sisi jam 4:30 pagi udah haha hihi ngobrol kenceng banget sambil menyetel lagu akhirnya minta pindah kamar untuk malam kedua yang kamar tanpa menghubungkan pintu baru bisa tdr dengan nyenyak layanan pindah kamarnya juga cepat dan tidak dipersulit oke banget pelayanannya
sun do,2025-12-12,4,lokasi sangat strategis pelayanan cukup baik kamarnya bersih tapi kamarnya kurang harum sprei dan handuk jg kurang harum selebihnya oke
Rahayu. Sripeni,2025-12-19,5,Pelayanan nya memuaskan lokasi dekat kamar oke ini yang ke 2 kalinya di patra malioboro sukses yaa
Pramono Putra,2025-12-02,5,secara keseluruhan sarana layanan dan lokasi sangat bagus hanya saja sekedar saran pengaturan lokasi resto mungkin bisa ditata ulang masalah resto berada di jalan masuk utama dari resepsi menuju kamar angkat
Muslim Budiman,2025-12-19,5,lokasi dekat jalan malioboro jalan kaki tidak sampai 5 menit dekat tempat makan dan tempat oleh oleh dapat kamar tidak merokok ada kolam renang
Esmeralda A,2025-11-02,5,sangat memuaskan dan menyenangkan menginap di hotel patra malioboro tempatnya bersih amenitiesnya lengkap sarapan nya juga enak saya beruntung karena saat check masuk kamar saya di upgrade sama pihak hotel
Ade Chandra Nurlaksono,2025-12-02,5,lokasi dekat dengan stasiun malioboro suasana tenang kamar termasuk yang terang dibandingkan hotel sejenis makanan enak desain juga minimalis berwarna modern recomended
Rika Widya,2025-12-12,5,hotel mewah dekat dengan malioboro hanya jalan 200m an sudah sampai jl malioboro dari mulai resepsionis sampai keamanan semua ramah sekali menu sarapan juga banyak pilihan kamar bagus mewah dan di sediakan juga sajadah sangat puas menginap di sini
Viceyya Deti,2025-09-02,5,1 mudah checkin dikasih awal check masuk karena bawa orangtua check masuk tgl 16 aug25 2nite 2 receptionistnya cantik hunble dan ramah 3 memasuki lobi harumm sekali jadi ud langsung wah nyaman sekali nih 4 lokasi yang mantap akhirnya bolak balik malioboro berjalan apalagi yang bawa orangtua jadi enak saja ke jalan utama malioboro tidak terlalu cape 5 tempat makan tidak usah ditanya ud pasti banyak pilihan sangat diluar saya tidak memesan dengan sarapan jadi tidak bisa berkomentar mengenai rest karena mama papa sukanya gudeg jadi ngegrab terus deh 6 satpam juga baik ramah dan membantu begitu juga
Rani Lia,2025-11-02,5,baru kali pertama menginap di hotel patra selain bagus dengan semua fasilitasnya dan yang bikin saya terkejut dan tambah seneng adalah di dalam kamar ada sejadah dan al quran subhanalloh alhamdulillah karna tidak semua hotel menyediakan hal ini selalu sukses untuk patra dan insyaallah jika kami ke jogya lagi akan menginap di sini jika tidak penuh kamarnya assalamualaikum
Ingkeu Rachmawati,2025-09-02,5,Saya memilih patra hotel karena lokasinya yang dekat dengan malioboro kamarnya cukup luas interior bagus bersih disediakan peralatan sholat untuk muslim dilengkapi pula dengan pembersih udara makanan lumayan enak stafnya ramah dan membantu sejauh ini saya cukup puas
kartika widyanin70,2025-09-02,5,selalu puas dengan kamar tidur malioboro hotel menginap di patra malioboro hotel memberikan pengalaman yang menyenangkan di tengah kota yogyakarta lokasinya sangat strategis hanya beberapa langkah menuju malioboro sehingga mudah jika ingin jalan belanja atau hanya menikmati suasana kota kamar nyaman bersih dan tertata rapi dengan fasilitas lengkap yang membuat istirahat jadi lebih tenang staf hotel ramah dan sigap membantu cocok untuk liburan keluarga perjalanan bisnis maupun tinggal saja menginap secara keseluruhan nyaman strategis dan pelayanan memuaskan malioboro hotel bisa menjadi pilihan tepat saat berkunjung ke jogja
Almuslimah Inayah,2025-08-02,4,kemarin saya menginap 2 malam di sini bisa di lantai 2 di sini kamarnya bagus ac tv cooler dan air purrifier nya berfungsi dengan baik tapi knalpot yang ada di kamar mandi nya tidak nyala mati sehingga bau dari toilet sangat tercium sekali menjadi tidak nyaman secara keseluruhan hotel ini direkomendasikan
muhammad majid,2025-07-02,5,lokasi strategis sangat dekat dengan pusat perbelanjaan malioboro pelayanan super ramah dari keamanan front liner sd room service kamar cukup luas bersih kolam renang sedikit dingin karena semi indoor kami memesan nasi goreng patra keranjang ayam anak2 suka sekali harganya terjangkau terimakasih majid keluarga
I.W.Widiantara,2025-10-02,5,Kondisi hotel sangat bagus layanan luar biasa cuma sedikit masukan waktu itu saya pesan layanan kamar bagus sekali kapanpun Anda perlu bekerja pada kualitas makanan tidak enak terima kasih atas pelayanannya
adityo dwi,2025-12-26,5,Pelayanan sangat baik di saat puncak musim yang membuat parkir mobil sangat penuh tim valet membantu dan sangat responsif
General Manager,2025-11-02,5,tempat nya di jantung malioboro bisa jalan kaki dan hotel nya bersih kamar nya compact sarapan nya enak dan staf nya ramah ramah mbak jeje dan rekan nya saya lupa maafkan sangat baik sekali full senyum dianjurkan hotel kalau ke jogja
Ucup Mubarok,2025-12-26,5,Pelayanan sangat baik saya seharusnya memeriksa masuk jam 2 siang tapi sebelum jam 2 sudah boleh masuk
yusti surya nindita,2025-08-02,5,kamar bersih pelayanan ramah kamar baru cukupan tidak besar dan tidak terlalu sempit juga bersih tidak berisik dikamar ada udara di luar kamar masih disediakan refil dengan 3 variasi
Evi Setiawati Rahayu,2025-08-02,5,agak terkejut sih pertama kali masuk kamarnya msh berantakan bekas dipakai org belum dibersihkan tapi begitu lapor langsung dpt tanggapan cepat dari pihak hotel untuk ganti kamar sumpah super ramah banget pelayanannya tempatnya setiap tempat bagus buat foto2 yang tidak kalah penting dekat banget sama malioboro
kopi pagi photo,2025-09-02,5,hotel berkelas dengan nuansa enak lokasi di dalam malioboro rekomen sekali buat untuk pelancong wisatawan lokal maupun internasional untuk nginap di sini bersih rapi staf nya ramah
Novia Rizka Jayanty,2025-08-02,5,pilih hotel ini karena lokasi strategis dekat dengan stasiun dan malioboro jadi turun kereta jalan kaki cek masuk hotel jalan kaki ke malioboro kamarnya cukup nyaman pelayanan ramah makanan enak kopi nya wajib dicoba yang paling penting lagi musholla nya besar dan bersih sangat nyaman untuk beribadah
Omah Puding,2025-12-02,5,kamarnya oke pelayanan ramah bersih dan semua kebutuhan d kamar sangat lengkap
Dini rinawaki,2025-12-26,5,tempat yang bersih nyaman dan ramah bakal nginap sini lagi trimakasih patra hotel
Ahmad Muqorrobin,2025-12-02,5,Salah satu hotel yang letaknya sangat strategis dekat dengan malioboro makasakannya enak
Iron Ata,2025-12-02,5,lokasi hotelnya strategis berada di daerah malioboro dengan kamar yang baik dan pelayanan ramah sarapan nya cukup banyak pilihan dianjurkan hotel di daerah malioboro jogja tepatnya di sosrowijayan
Febi Haryani,2025-08-02,5,hotelnya di jalan sosrowijayan dari hotel ke area pejalan kaki malioboro cuma jalan sekitar 5 menit saja sekitar hotel banyak yang menjual makanan dan oleh oleh kalau mau berkeliling pun ada becak kamarnya oke dan ada kulkas mini
Yuli Setyawan,2025-10-02,5,menginap di hotel patra sungguh menyenangkan kamarnya bersih amenitisnya lengkap staf nya ramah dan membantu selanjutnya kalau ke jogja lagi nginep sini lagi terima kasih hotel patra malioboropp
