User Name,Review Time,Rating,Review Text
Kevin Paris,2025-12-26,5,1 tahun yang lalu pengalaman di sini sangat berkesan saya kembali lagi tapi kebersiaan menurun daerah tangga banyak barang pertukangan berserakan dan tangga tetap dalam kondisi kotor tidak dipel mulai dari cek masuk sampai cek keluar kolam renang berlumut kiranya patra berbenah dan semakin jaya kedepannya
Nia Syafitri,2025-12-02,4,memesan 2 kamar dengan harga yang sama tapi fasilitas kamar baru berbeda untuk kamar yang 1 iklan kulkas nya yang 1 tidak untuk tv nya yang 1 pakai tv nya yang 1 tidak tetapi secara keseluruhan oke kamarnya nyaman bersih tempat nya oke banged buat staycation hanya untuk fasilitas kolam renang nya semoga ad perbaikan ya karena pada saat berenang lantai nya agak sedikit berlumut dan untuk kamar mandi kolam renang nya lebih diperhatikan lagi sanitasi untuk akses ke hotel ini agak lumayan curam ya jalan nya tapi setelah samapi sangatt terobati dengan view nya dan keramahan pegawainya
Ezria Adyas,2025-11-02,4,hotelnya nyaman lokasi agak pensil jika butuh cemilan baiknya beli dulu di indomaret terdekat lokasi sejuk dan langsung melihat danau toba minusnya udara panasnya g stabil dan perabotan dll sudah tua gantungan tangan sempat jatoh di kamar mandi bahaya jika kena kepala
muhammad hadi syahputra,2025-11-02,5,staycation dengan keluarga kamar luas ada halaman lelarian boat bocil2 di belakang kamar yang lantai dasar lantai 2 ada balkon buat mantau2 saja view danau toba kuep tidak ada obat kolam renang cukup untuk anak2
dewi andriyani,2025-07-02,3,menginap 1 malam bersama keluarga untuk kamar secara keseluruhan baik hanya kamar mandi ada kotak palvonnya kue banyak keluar dari lubang itu untuk sarapan sangat mengecewakan datang ke restoran jam 8 pagi makanan sudah habis waktu ditanya katanya akan memenuhi tapi tidak di isi ulang juga jadi cuma sarapan telur mata sapi doang padahal kita juga membeli paket sarapan lg untuk tambahan tamu rata2 datang pada akhir pekan dengan ekspektasi pagi2 sarapan tidak perlu keluar hotel seharusnya pihak hotel lebih siap klo seperti ini mungkin tamu akan kecewa untuk datang lagi
Tina Hutahaean,2025-08-02,5,bagus kamar bersih view ny menghadap danau toba untuk sarapan nya enak2 pegawai nya ramah hanya hanya jalan sja akses nya jauh kedalam hotel
morris panjaitan,2025-08-02,2,pesan 2 kamar tgl 2 3 juli 2025 tapi sangat mengecewakan pakai pemanas air tapi listrik turun kamar ada kecoa air panas tidak stabil teras hotel kotor dan banyak puntung rokok semoga ditanggapi segera
Faizaan and Mommy,2025-09-02,5,tempatnya indah banget indah matahari terbenam kamarnya bersih dan nampaknya batu direnovasi bisa eksplorasi2 jalan kaki pagi2 makanannya juga enak2
Sitii Aisyahh,2025-08-02,5,Saya berlibur bersama keluarga adik adik saya sangat bahagia main dan berenang di kolamnya luas dan bersih ada taman bermainnya juga untuk kamar bersih luas dan nyaman makanannya banyak varian dan enak pelayanannya ramah saat cek masuk dan cek keluar petugas membantu saya membawa barang bawaan saya yang banyak dengan sigap mantap pokoknya semoga saya dan keluarga dapat kembali ke patra udara dan suasana yang asri tidak akan terlupakan
Afif Dwi,2025-06-02,5,pengalaman menginap yang luar biasa pertama kali menginap di sini pemandangannya indah suasananya tenang dari saat pertama tiba kami disambut dengan senyum hangat dan stafnya ramah kamarnya bersih wangi dan didesain dengan sangat elegan sarapannya sungguh memanjakan lidahnya bervariasi lengkap dan kualitasnya di atas rata rata sempurna untuk menginap
Chelsea Diffia,2025-08-02,5,Nginap disini nyaman banget rasanya dari kamar bisa langsung lihat pemandangan danau toba yang indah banget titik matahari terbenam dari hotel ini saat suasana nyaman dan tenang akan nginap disinilagi deh
king of the king,2025-07-02,5,Anak saya sangat senang berenang dengan adanya permainan yang disediakan kamar yang saya tempati rapi dan bersih tapi saya mendapatkan kamar di lantai dua tapi pemandangan bagus kok untuk pemandangan dari atas untuk pemandangan saya dua khawatir anak2 saat turun tangga saja dan saya salut sama pelayanan sangat menghormati terhadap tamu yang berkunjung dan saya di arahkan saat awal saya datang
Azura Asnim Sitepu,2025-07-02,5,hotel yang paling aku rekomendasikan klau mau nginap di daerah prapat syump terbaik kamar nya bagus wangi rapi pelayanan nya yang terbaik apalagi saat melihat matahari terbenam yang mengarah ke danau toba dari hotel ini teratas suka sekali
Jeanny Hairunnisa,2025-06-02,4,Baru dari sini secara keseluruhan bagus kamar bersih cuma ada catatan sedikit hotelmu bukan hotel murah guys kita pergi kesana bawa barang dan kebetulan bawa bayi dapet kamar di lantai 2 saat mau daftar ada dua orang staf laki laki di lobi depan cuma diem saja sambil berangkat tanpa ada basa bantuin kita permintaan ke resepsionis apakah ada yang bisa bantuin bawa di jawab mohon maaf bapak kebetulan tim kita sedang bekerja hehe setidaknya melihat dan kamarnya yang oke bisa berjalan dengan pelayanannya ya
Akbar Ekaprayoga,2025-06-02,5,hotelnya sangat bagus dengan pemandangan pemandangan yang memanjakan mata fasilitas cukup baik cocok untuk liburan keluarga
