User Name,Review Time,Rating,Review Text
Zeze Alfaeras,2025-12-17,5,dekat banget sama bandara tidak perlu repot jika mau kebandara tinggal jalan kaki pemandangan langsung kepantai enak banget buat joging pagi atau sore dipinggir pantai matahari terbenam oke punya kolam renang bersih bangunan kamarnya terlihat agak tua tapi bersih dan rapi makanannya enak dan beragam staf sangat ramah
Danit Henarusti,2025-12-01,5,sangat berkesan menginap selama 2 malam disini staf hotel ramah menu sarapan enak dan beragam layanan buggy car yang siap antar jemput dari lobi ke kamar lokasi pinggir pantai dan dekat bandara sungguh menjadi pengalaman yang indah kolam renang luas sangat cocok jika membawa keluarga menginap di sini semoga lain kali ke bali lagi bisa tinggal di patra sukses selalu
Bagjoz Mezzo,2025-08-31,1,hotel bintang 5 yang menurut kami kurang layak tiba di lokasi jam 2 saat tidak ada penyambutan petugas didepan untuk menurunkan proses koper cek masuk lama saya sudah pesan di ota traveloka tapi di resepsionis tidak ada data alhasil kita harus menunggu dulu cukup lama 1 jam menunggu tidak kunjung dipanggil jika kita tidak bertanyain mungkin tidak akan di panggil2 setelah drama menunggu 1 jam 10 menit kita bisa kamar dan kecewa lagi ketika ke kamar tidak ada buggi yang mengantar kita jalan ke kamar yang lumayan jauh dari lobi jika saya pribadi tidak masalah tapi kita berlima 1 bayi umur 1 tahun 5 tahun setelah sampai kamar kunci nya pun tidak bisa
iksan surya tirta,2025-10-31,5,best deal banget kolam renang luas ada kolam terpisah untuk anak yang cukup besar belakang hotel langsung view pantai jarak dari lobi ke kamar jauh tapi ada buggy mobil yang siap antar jemput
Nurotus Saniyah,2025-08-31,5,Disarankan sekali resortnya luas akses pantai dekat sekali dengan bandara hotel lama tapi terawat sekali kamar luas dan bersih makanan oke dan staf2nya sangat ramah dan membantu sekali pasti akan kembali
Rosie,2025-10-31,5,resortnya luas banget kamarnya juga luas dan nyaman kolamnya luas akses langsung ke pantai enak buat yang mau liburan santai di hotel saja bisa matahari terbenam di pantai
raka susanti,2025-10-01,4,Saya memberikan materi tentang penyakit menular dan tidak menular hotel patra bali resort villas salah satu resort di bali yang langsung menghadap ke pantai sangat cocok untuk wisatawan yang sangat menyukai pantai saya mencoba spagettinya sangat enak pelayanan ramah dengan tempat parkir yang luas dan dekat bandara saya suka ngurah rai
M. Rizki Trianto,2025-07-01,5,Saya pernah menginap di patra bali tahun 2012 bersama ayah saat dia dinas waktu itu masih bocil tapi vibes nya masih nempel banget resortnya luas bener sampe kudu jalan jauh buat ke kolam tapi saat nyampe liat pantai langsung dari kolam tuh berasa di film sarapan buffet pertama gue yang mewah dan ada minuman dingin yang bikin gue ngerasa kayak tamu kecil vip malemnya duduk di balkon sambil melihat bintang ditemenin suara ombak
Taufiqur Rohman,2025-07-31,5,resort yang luas dengan konsep kamar berbentuk villa memiliki beberapa kolam renang yang memiliki akses ke pantai menu sarapan bervariasi selain itu patra dekat sekali dengan bandara bisa jalan kaki
Tuti Martasyari,2025-10-01,1,Ya beda2 pengalaman orang ya kalau yang saya rasakan pelayanan nya kurang entah kenapa mungkin emang saat sya saja yang monyet disitu salah 1 org yang mendapatkan pelayanan kurang tidak mau kembali kesana lagi
Ayoyoy Bang,2025-08-31,1,Hotel bintang 5 tapi tidak bisa atur parkir sudah tau acara buka lulusan malah tidak mau mengatur lalu lintasnya saya terjebak 1 jam disini mau nganter tamu tidak keluar seharusnya punya keamanan suruh atur lalu lintas sudah tau banyak kendaraan yang akan masuk
Angela Dewi,2025-08-31,1,Hotel patra mungkin kedepannya jika mengadakan acara dipikirkan baik baik untuk lokasi parkirnya jangan sampai mengganggu kegiatan diluar hotel sangat mengganggu sekali macetnya bikin pusing
Gaga Antariksa,2025-03-31,5,Terlampau nyata menginap di Patra Bali Resort dan villa adalah pengalaman yang luar biasa resort ini menawarkan kombinasi sempurna antara kenyamanan modern dan pesona Bali yang khas lokasinya yang strategis di dekat bandara ngurah rai membuatnya sangat ideal bagi wisatawan yang membutuhkan akses mudah namun tetap menawarkan suasana yang tenang dan santai di tepi pantai kamar kamar dan vila vilanya sangat luas dan nyaman dengan desain yang elegan dan fasilitas yang lengkap kolam renang besar dan area pantai pribadi menambah kenyamanan dan memberi kami banyak pilihan untuk bersantai restoran di resort juga menawarkan hidangan yang beragam lezat baik makanan lokal maupun internasional dengan pemandangan laut yang menakjubkan staf di Patra
Tassja Prayogo,2025-07-01,4,Tolong ya untuk hotel sebesar ini bisa bisa bisanya hostest di sarapannya gabisa bahasa inggris pdhl hotel ini isinya 90 wna semua ya conciergenya 10 5 resepsionistnya 4 5 restorannya 3 5 hostestnya doang yang tambang tapi pelayannya dan dapurnya oke
dian sari,2025-05-31,1,saya tidak menginap di sana rencananya mau memberikan kado bulan madu untuk kerabat bulan Agustus menanyakan tentang kamar dan fasilitas dijawab 3 hari kemudian dan hanya diberi website baru tanpa memberikan jawaban sudah terlihat kualitas sdm yang bekerja di sana seperti sudah biasa mengabaikan pelanggan tidak sudi untuk memberikan kado bulan madu kerabat dengan sikap staf yang seperti itu
Rachmat Yudi S.,2025-10-01,5,pelayanan bagus kamar nyaman menu banyak pilihan pemandangan indah
Devi Paramita,2025-03-03,1,hotelnya sih oke tapi pelayanan resepsionis ibu ibu tua paki kacamata kerjanya ogah ogahan tidak ramah ngomongnya ketus padahal saya cek masuk banyak kamar loh tapi kualitas pelayannya tidak baik yang seperti itu sayang banget jika dipertahanin bikin bisnis orang bangkrut saya akan sebbar informasi ini kesemuanya klien saya yang ke bali agar tidak menginap di sini lagi terima kasih
Endah Surianingsih,2025-07-31,5,2 kali ini menginap di patra bali resort villa dan kali ini benar2 puas kamar di upgrade ke suite deuxe deket lobi terimakasih patra bali resort villa
Yan Djwa,2025-07-01,5,puas poll di sini tempat nyaman dan dingin karena saat hujan juga kamarnya juga bagus dan gede dianjurkan
Siswanto,2025-10-31,5,jalan kekamar kurang terang dari pantai tidak ada mandi
Dulmen Saif Siregar,2024-12-31,5,The patra bali resort villas merupakan destinasi liburan mewah yang menawarkan pengalaman tak terlupakan terletak di pantai yang indah resort ini menyediakan villa yang elegan dan nyaman dengan pemandangan laut yang spektakuler fasilitasnya lengkap termasuk kolam renang spa restoran dan pusat kebugaran pelayanan yang ramah dan profesional dari staf membuat tamu merasa terhormat kegiatan seperti yoga surfing dan tur kuliner menambah keseruan lingkungan yang bersih dan asri membuat pilihan villa patra bali resort menjadi ideal bagi mereka yang mencari ketenangan dan kesenangan di bali
Gek In,2024-12-31,1,acara tgl 28 desember 2024 hujan deras dan banjir tolong petugas keamanan perempuan di pos cek di depan diberi pendidikan etika lagi memang situasi lagi sulit karena banjir jadi pekerjaan menambah tapi bukan berarti bisa teriak teriak memberi arahan sudah tahu jalan didepannya banjir besar disuru parkir di lokasi yang jauh dari aula acara dan mau lewat jalan lain yang tidak banjir kami malah diteriaki dan dibentak2 dan ujungnya setelah lewat jalan yang banjirpun disuru putar kembali ke jalan awal oleh petugas jika memang capek jangan orang lain yang menjadi pelampiasan nama juga pekerjaan ya harus profesional
Novinerliana Simarmata,2025-01-31,1,Saya menginap semalam di sini kamar 442 bersama anak2 1 hari stlh co saya baru igt jika ada brg tertinggal di lemari es saya telepon ke hotel tapi kata mrk brg tidak ada di lemari es baru kali ini ada hotel bintang 5 begini mandi saja sudah berkarat bawahnya tidak diperbaiki tidak akan datang lg deh ke sini terima kasih
Jaja Mila,2025-05-01,2,di post satpam depan terlalu mendalam untuk memeriksa supir ojol untuk masuk antar pesanan tanya nama supir nomor telepon supir nama barang yang mau di antar di suruh sebut kan satu persatu berapa harga barang baru ribet sekali pokoknya seolah olah supir itu kayak di introgasi
Luthfatun Mawwaddah,2024-12-31,5,kamarnya luas dan nyaman cocok buat yang mau bulan madu karena kalau cmn tinggal di hotel saja udah enak banget makanannya juga enak kolam renangnya juara saran penerangan dijalan ditambah sih menurutku biar kalau jalan malam tidak bikin takut wkwk
Ein Laily,2024-12-31,5,Suka banget tinggal cation disini walaupun resort tua tapi pelayanannya oke banget aku pesan kamar menghubungkan kamar karena yang 1 belum siap akhirnya kita diupgrade ke kamar kedutaan suite yang gede banget dan itu gratis selain itu kolam renang ada 3 dan main poolnya luas pokoknya anak2 happy banget nginep disini
hana siswanty,2025-03-03,4,lokasi dekat sekali dengan bandara cukup jalan kaki bisa pelayanannya super ramah kamarnya nuansa tahun 90an aroma kamar mandi dan kulkas kurang diperhatikan berbau lembab sarapan terbaiknya roti susu sama croissant nasi goreng asin sekali desember kemarin hotelnya banjir dongss tapi paginya sudah surut kolam renang bagus view pantai
Arief Alfaridzi,2025-12-10,5,Hotel Edaan ini keren lengkap sekali
"Bagusyabli (Sablon kaos, topi, masker)",2025-03-03,5,Halamannya luas dan bersih hotelnya nyaman dan pelayanan bagus banget kamar bersih dan tidak apek jadi betah berlama lama hehe
Suroso 123,2024-12-31,3,hotelnya bagus banget lokasi strategis dekat bandara dan pantai pegawainya ramah tapi sayang terapisnya tua dan tangannya juga gemeteran jadi tidak merasa pijatannya dan tersenyum nya juga terpaksa jadi merasa kehilangan pesan pijat di spa nya
Bayu Indraa,2024-12-31,5,2 minggu lalu ke sini karena penasaran melihat di ig mengejutkan bagus kamarnya view ke pantainya juga bagus ada akses langsung juga ke pantai yang perlu di memperbaiki jalan penerangan dari restoran gym ke kamar terlalu gelap
Deliana Deliana,2023-12-31,5,Lokasinya strategis karena ada di daerah sekitaran bandara ngurah rai bali tempatnya nyaman dan asri karena banyak sekali orang dan daerah hijaunya punya pantai pribadi di kawasan hotel dan daerah kolam luas dan bersebelahan langsung dengan pasir pantainya lokasinya bagus untuk matahari terbenam makanannya enak terutama kue nya ada mobil golf untuk bepergian di daerah perhotelan karena sangat luas kamarnya nyaman sekali dan setiap kamar ada balkon pribadi ballroomnya juga luas dan nyaman layanan nya oke stafnya ramah
Rosi Ana,2025-05-01,5,kamar 431 harap di perbaiki deh keran air panas nya suami saya jadi mandi air dingin malam2 cukup kecewa kaliini saya nginap di hotel di patra harus nya walau hotel kamu perhatikan fungsi2 nya jngn jalan ksi kunci ke tamu padahal saya paling suka nginap di patra
Yeni Heryanto Yeni,2025-07-31,5,tempat penginapan yang asri dengan fasilitas kolam renang luas dan akses pantai
Speedy Gonzales,2025-03-31,3,Hotel bagus hanya pelayanan ibu pakai kacamata ini tidak baik angkuhnya kayak si pemilik hotel saja kecewa dengan layanan wanita berperihat ini
Farida Puspita,2024-12-31,5,pelayanan sangat memuaskan ramah sekali untuk seluruh staf makanannya enak harga bersaing untuk kamar dengan dekorasi gaya lama dan tetap nyaman jika ada masalah staf sangat membantu salah satu hotel yang sangat dekat dengan bandar udara internasional saya suka ngurah rai ditempuh dengan berjalan kaki bisa juga melihat pantai dibelakang hotel sangat menarik sekali
Henoch Hendra Jaya Wibowo,2025-05-01,3,3x komplain air panas tidak ada baru bisa ditangani kamar jauh dari kolam renang pantai dan lobi
Peter Shearer,2024-12-31,1,Pelayanan keamanan depan hotel sungguh tidak menyenangkan saya menginap 3 malam dan setiap kali bolak balik selalu ditanyakan ada keperluan apa bapak menginap di sini dan pertanyaan yang meragukan saya menginap di sini mungkin karena saya hanya masuk menginap dengan menggunakan mobil brio saya berani jamin ketika saya memakai mobil alphard mungkin tidak akan ditanya miskin Anda hotel patra
Suci Ayunda,2023-12-31,4,kami menginap 2 malam di kamar premium tipe ini terdapat ruang tamu dan terdapat kamar mandi mandi resort terdiri dari bangunan bangunan villa yang terdapat beberapa kamar dalam satu bangunan terdiri dari 2 lantai di setiap bangunan resort luas sehingga jika dapat kamar agak belakang agak jauh ke pantai dan restorannya tapi tenang ada buggy yang setiap saat bisa di telepon dan cepat menanggapi ekspektasi nya saya akan cukup berisik suara pesawat karena lokasi sangat dekat dengan bandara ternyata tidak cukup tenang suasananya dan melihat matahari terbenamnya bagus banget ditambah malah ada pemandangan pesawat hehe kekurangannya hanya kemarin toilet agak bau dan bocor
Iska Aditya Nugraha,2023-12-31,5,sangat dekat dengan bandara jika kalian dari bandara bisa lah jalan saja ke hotel ini hotelnya memang model yang bukan tumbuh keatas jadi seperti cottage2 gitu memang patra jasa hotel konsepnya hampir2 mirip di smg cirebon juga seperti ini resepsi sangat ramah setiap orang yang datang dikasih salam minum kamarnya luas sekali cocok buat yang suka salto2 bisa kesana kemari suasananya sepi dan enak buat kalian yang ingin pergi dari hiruk pikuk perkotaan di hotel ini langsung ke pantai ada kolam renang juga yang terawat banyak tempat duduknya dari pantai ini jika berjalan 2km sampai kuta kalau kalian pelari
Bagus Mulyawan,2022-12-31,4,merasakan pengalaman pertama menginap di patra selama 3 hari 2 malam nuansa hotel bergaya tradisional dengan ratusan kamar dengan konsep resort dan villa kami menginap dengan kamar konsep resort 2 lantai menghubungkan tangga diluar kamar dengan tipe deluxe suite 73 sqm 1 perhotelan 8 10 saat proses reservasi operator pemasaran cukup responsif dan ramah ketika tiba cek masuk langsung dibantu oleh petugas yang membantu membawakan koper dari kendaraan disambut oleh resepsi serta ada minuman selamat datang petugas hotel juga memiliki keramahan yang baik serta operator telepon yang cukup responsif saat akan keluar tidak ada petugas yang menawarkan bantuan saat kami akan membawa barang ke kendaraan
Sigit Setyawan,2024-12-31,4,kamarnya luas ada kamar keluarga kamarnya mandi ada kamar mandi mandi mandi mandi mandi mandi dan toilet dan wastafel menginap di sini saat ramadhan buka puasa disediakan makanan yang enak sayang saat sahur hanya buffet makanan biasa buah dan minum saja kelengkapan sarapan yang biasanya lengkap belum tersedia jarak antar kamar agak jauh dari ruang dansa lokasi kegiatan dan sempat nyasar karena berbelok belok jalannya lokasinya dekat bandara dekat pantai juga ada monumen jg di tepi pantainya
Hapsari Proboningrum,2024-12-31,5,Lokasinya deket banget sama bandara sebelah parkir motor bandara hotelnya luas banget dan berupa gedung2 terpisah 1 gedung sekitar 4 kamar bikin tersesat jika tidak terjadi lokasi kamarnya kamarnya luas sepertinya cocok untuk bulan madu soalnya jika sendirian malah kerasa serem karena interiornya agak tua sarapannya banyak yang berbeda dan enak2
ibnu haryanto,2023-12-31,4,hotel yang terletak persis di samping bandara internasional ngurah rai dan tepat berada di depan pantai jerman serasa jadi pantai swasta jika cuaca sedang normal ombak di pantai jerman sangat menyenangkan untuk berenang pelayanan kru hotel sangat ramah dan membantu sajian menu sarapan juga beragam dan enak hotelnya cukup luas jika yang hobi jalan pasti sangat menyenangkan untuk menjelajahi hotel untuk yang tidak suka jalan tenang saja pihak hotel sudah menyiapkan buggy mobil untuk membuat mengantar kolam renang ada 3 tinggal pilih saja mau olahraga air juga ada pilihan jet ski tapi ini mencoba untuk menyediakan dari luar hotel selamat
Puspa Dewi,2025-08-31,5,tempat saya wisuda tempatnya keren spot foto sangat banyak
labalaba hitam666,2024-12-31,1,Sabtu tgl 5 Oktober 2024 jam 11 siang tolong untuk pihak patra untuk mendidik keamanan di pos depan untuk bisa lebih sopan kepada kami tamu lokal atau orang indonesia jangan jika berbicara tidak sopan mungkin saja si keamanan ini lg badmood dan saya yang kena imbasnya seharusnya para petugas ini diberi nama tag atau nama dada sehingga bisa dilaporkan jika orang yang bersangkutan melakukan perbuatan tidak menyenangkan semoga patra resort bisa lebih baik ke depannya dalam mendidik untuk karyawannya terutama pihak keamanan menjadi senyum dan salam baik
Dewi Nugroho,2025-08-31,2,Telefon mau reservasi kamar tapi bagian reservasi jutek banget ngomongnya
Ginaginagina Gina,2023-12-31,5,hotel tua tapi lumayan terawatlah ya sarapannya b hotelnya luaass servicenya bagus lokasinya dkt sekali dengan bandara kamarnya guedee dpnnya pantai lsg tapi bukan swasta paling suka itu view dari ruang makan karena menghadap ke kolam renang dan laut minta kamar yang dkt2 lobby saja jangan yang ujung2 aga ngeri tipe hotel sepi2 gitu tidak ada hingar bingar suka sih ke kuta 5 10 menit pakai mobil ada trek lari di pantainya ati2 ada anjing
Spica Arumning,2025-01-31,5,patung belakang hotelnya sudah jadi dulu jaman G20 masih dibangun selalu bahagia kalau ke sini karena sejak ku kecil klo ke bali diajak kesini terus sama bapak
Dewi Kartika,2022-12-31,4,nyaman deh menginap disini semingguan niatnya ingin pindah pindah hotel eh ternyata nyaman jadi bablas seminggu disini terus sebelah bandara persis pinggir pantai kute banget aman karena sudah ada pemecah ombaknya jadi mau pagi siang sore bolbal ke pantai juga aman hehe tapi lukaun tnyt tidak sengaja kena staf hotel siap ngebantu dengan peralatan p3knya ko jalan pinggir pantainya pun aman buat jalan lari pagi kolam renangnya sore ada 2 tidak menyebutkan kamar2 yang sudah punya sendiri ya jadi bisa memilih mau renang dimana setiap kolam renang ada gazebonya jadi bisa santai mengambil napas dulu klo keape
Micheel Sarah,2024-12-31,2,sebenarnya untuk menjadi adil tempat persahabatan itu sendiri cukup baik akses mudah ke kamar pantai itu hanya oke beragam sarapan tapi keramahan tidak menggambarkan 5 bintang hotel pada saat mau balik k kamar dari lobi dengan 1 ank kecil 2 lansia saya menunggu di titik boogie dari lobi ke kamar saya cukup jarak saya sudah meminta staf untuk membawa kami dan mereka meminta saya untuk menunggu trus keamanan dateng tamu sama lain 1 org ibu saya bertanya ke keamanan bapak yang anter ya dan keamanan nya tidak menjawab malah ngomong tamu sama yang dia anterin sampe tamu yang dateng belak
Wafa Medika,2023-12-31,5,hotel nyaa nyaman dan baguss buat jadi tempat penginapan atau istirahat sejenak kalau lagi berlibur di bali lokasi nya strategis di sebelah persis sama bandara i gusti ngurah rai bali tempat hotel nya nyaman luas dan bersih kamar nyaa luas banget bisa buat 5 orang ada meja makan sofa santai balkon kasur yang cukup sampai 3 orang dewasa dan kamar mandi nyaa yang luas pemandangan lingkungan hotel nyaa jugaa bagus pemandangan pohon palem dan sekali kolam renang nya keren serasa lagi di luar negri di belakang hotel nya juga langsung bertemu dengan pantaii
"Ruri Milandu, SH",2024-12-31,5,Dari lobi mesti naik buggy menuju villa saat check out menunggu buggy ini lama datangnya mohon jumlah buggy dan pengemudinya ditambah kamar 202 honeymoon villa punya kolam renang pribadi tempat tidur nya berkelambu ditambah bak mandi kolam renangnya menghadap pantai jerman yang ada patungnya di tepi laut ada pula floating library yang kebanyakan buku tentang bali lounge untuk melihat matahari terbenam restoran jepang dan sebagainya saya mendengar bulan desember 2023 ini hotel anda ini selesai di renovasi semoga suatu saat saya bisa menikmati hasil renovasi itu
Oka Adnyana,2025-12-03,1,bandara hanya 5 menit jalan kaki
Kiki Zayin,2023-12-31,5,hotel ini menempati tanah yang sangat luas di samping bandara ngurah rai bagusnya kita tidak terganggu suara bising pesawat terbang mendarat modelnya bungalow banyak ruang terbuka di antara unitnya kamar kamar bersih luas dengan fasilitas lengkap area makan dan bar ada di antara lobi dan kolam renang yang berposisi di sisi pantai sangat ramah karena aliran udaranya bagus ada juga ruang makan tertutup dan berac untuk kelompok kecil kolam renang terbesar ada di dekat area makan ada ada kolam lagi 2 kolam dengan ukuran lebih kecil di sayap kiri dan kanan properti staf hotel melayani dengan ramah sabar dan kooperatif sulit menemukan kekurangan hotel ini
