User Name,Review Time,Rating,Review Text
iie tri,2025-12-01,2,dengan harga yang saya bayarkan fasilitas yang diberikan hotel ini kurang sebanding jika dibandingkan dengan hotel lain dengan harga yang sama pelayanan dan kenyamanannya masih kurang kamar sempit slot pintu kamar rusak berisik sekali karena tidak kedap suara sampai jam 1 malam tidak bisa tidur karena kamar sebelah ngobrol ramai sekali kolam renang tidak bisa digunakan karena kotor tanaman sekitar kolam tidak terawat kering ini kunjungan pertama dan terakhir
Andri Mulyana,2025-10-31,2,2x menginap disini dua2nya berisik banget tamu lain teriak2 di kamar maupun di luar kamar sampai pagi entah kenapa pihak hotel gaada yang tegur padahal mereka kamarnya dekat resepsionis
Reina Aurelia Putri,2025-07-31,5,kemarin abis nginap disini ambil kamar eksekutif king bedroom saat masuk kamarnya ternyata puass banget kasurnya bersih wangi rapih kamar mandi nya juga bersih kulkasnya dingin ac nya dingin pemanas air oke pengering rambutnya juga bisa dipakai handuk yang dikasih pun bersih dan wangi apalagi pelayanan nya juga oke bangett pegawai nya ramah dan membantu tapi menurut saya parkir untuk motor kurang dan kolam renang juga kurang bersih tapi gapapa secara keseluruhan saya yang lagi menginap merasa sangat terbantu oleh layanan di hotel ini terima kasih banyak sutra di dago
Thai Kotok,2025-07-31,4,saya sudah menginap di Bandung sejak sekitar tahun 2017 hotel ini dulunya menjadi pilihan utama setiap kali ke Bandung karena lokasi yang strategis dan suasana yang nyaman namun dalam dua kunjungan terakhir kualitasnya sangat menurun dan cukup mengecewakan kamar terasa pengap dan kurang terawat kasur terlalu landai sehingga tidur tidak nyaman beredar dan tangan terlihat kusam dan baunya pun tidak sedap seperti belum benar kering sehingga tercium campuran aroma parfum cuci dan bau apek yang paling mengganggu saya dan keluarga mengalami gatal gatal serta bentol bentol setelah tidur kemungkinan besar berasal dari kondisi kasur yang kurang higienis sebagai
Rachie Lychee,2025-07-01,1,Saran yang perlu manajemen lakuin 1 kamar masing2 kamar perlu pembersihan yang mendetail di setiap sudutnya secara berkala perlu ditambal nat di kamar mandi ada cacing nongol sela2 nat backsplash wastafel plis dibersiin juga item banget seluruh drainase perlu dibersihkan mampet kasur dan bedding set kalian sih perlu di kumpulin semua disatu tempat terus di bom nuklir karena ada kutu kasur deep cleaning gordennya 2 kalau dibuat lebih ramah anak pasti lebih oke contoh ada perosotan anak gt 3 pasang net di atas dekat dinding kolam brp kali anak2 bola utama bolanya
Natalia Sn,2025-07-01,2,kemarin tinggal di hotel sutra minggu ini sabtu minggu karena ada pernikahan di daerah dago atas jadi nyari yang deket lokasi tujuan dan yang aman di kantong walo ini hotel bintang 3 dengan harga 450rb di minggu dan tambah kondisi hotel nya kok jadi merasa terlalu mahal harga itu tanpa sarapan karena resto mrk lagi kosong kondisi kamar kecil dan lembab kotor dan kamar mandi gelap dengan udara hangat bukan panas sebentar tangan berwarna coklat muda kasur nya king sambungan 2 kasur aku tertipu oleh foto di online nya yang mungkin foto masih baru ya tinggal di sini itu benar ketolong karena dekat lokasi tujuan dan untung
Lukman NurHakim,2025-07-31,5,hotelnya rekomen banget betah ngeninap di hotel ini punya pemandangan bagus taman sama kolam dan karyawan nya sangat ramah
Hafidh,2025-12-01,5,kamar kurang kedap suara dari luar terdengar jelas dari dalam tapi lokasi strategis dan adem
Wreko Mikoko,2025-05-01,3,saya bingung dengan hotel ini resepsionis satpam housekeeping ramah dan bekerja dengan baik lokasi strategis saya pesan kamar dengan harga 575rb pada akhir pekan ekspektasi saya cukup tinggi mungkin setara dengan hotel viral bandung dengan harga yang sama tapi ternyata hotel sangat tidak terawat komplain yang saya keluhkan sama dengan pengunjung lain yang sudah lama mengeluhkan hal yang sama berikut keluhan saya lampu kamar remang2 yang bikin sakit mata jika melihat layar hp handuk yang sudah kusam bahkan peringatan hampir sama seperti keset kaki banyak plafon bercak2 seperti genangan air yang akan bocor pintu yang akan bersibuk bunyi
Alfreds Family,2025-05-01,3,sepertinya manajemen hotel perlu diperbaiki lagi terutama fasilitas di kamar lampu kamar terlalu remang2 agak sulit untuk wanita jika dandan kamar tidak kedap suara jadi obrolan suara2 berisik masuk ke kamar apalagi saat tamu kemarin teriak2 depan kamar mau liburan bangun siang jadi susah atas plafon tempat tidur sptnya ada bekas bocor tidak diperbaiki hanya ditutup lakban saja belum lagi tamu bebas merokok bau rokok masuk ke kamar tambahan bunyi seperti token listrik yang terus menerus lumayan mengganggu posisi hotel sebetulnya strategis hanya parkir agak sulit untungnya kami disediakan satpam parkir depan bekas outlet kosong sebaiknya kamar2 lebih diperhatikan lagi fasilitas
Dinata N. Svet Lana,2025-03-03,5,lokasi strategis unik hotel menginap semalam disana suasananya nyaman banget kamar bersih amenities lengkap super thoughtful karena tersedia pengering rambut di kamar mandinya tersedia pilihan kamar yang terhubung cocok untuk menginap bersama keluarga sayangnya waktu aku menginap kamarnya kurang kedap suara jadi di kamar sebelah ada bayi yang menangisnya luar biasa kedengeran ada balkon dan tempat duduk santai untuk menikmati udara bandung yang dingin dan saya suka bagaimana mereka menempatkan lampu ambien sayangnya tidak banyak foto disana tapi pasti akan kembali jika main ke bandung disertakan penglaris foto berikut hotel
Andi Mega,2025-03-03,5,tinggal selama 2 hari dan pengalaman sangat menyenangkan selain lokasi hotel yang strategis di dago kamar bersih dengan balkon dan staf yang ramah ada penghuni berbulu yang sangat lucu bikin betah nama bedulita anabul berkaki tiga yang ramah dan baik berperilaku buat pecinta anabul yang rencana menginap di sutra dago jangan lupa nyapa bedulita ya dan disayang saya pasti akan kembali untuk melihat si gembul bedulita
Novia Ari Saputri,2025-07-01,3,hotelnya sudah mau bangkrut sepertinya restoran tutup banyak tempat dan ruangan umum yang tidak dinyalakan lampunya dan berdebu parah seperti rumah hantu
Laura Angelica,2025-01-31,4,prime location lokal htl tapi worthed dpt kamar di lt3 wlpun lantai atas hrs mlwati tgga lg untuk ke kamar overall kamar baik wlpun diatas pecah ada tas bocor ada netes udara mhn ini sgra di perbaiki ya fasilitas semua staf baik oke karena art hotel jadi ada bbrpa lukisan dan patung yang bkin agak serem area kolam renang kalau mlm agak gelap kalau merokok jam di rsto yang trnyta sudah tidak operasional lg buat yang sensitif agak menakutkan dket tmpt kuliner dan minimart
gemanalage,2024-12-31,3,2x ke hotel ini pertama kalinya menginap hny 1 malam dpt kamar di lt 1 view taman belakang nice room nice interior walau kamar mandi ada bocoran dari atas kedua kalinya menginap 3 malam dengan ekspektasi minimal senyaman kedatangan pertama tapi ternyata keluar sangat mengecewakan kami dpt kamar lt 3 ada balkon view ke dalam hotel dinding kamar ngga terawat lampu remang banget sampai mata tidak nyaman tapi lebih mudah karena tepat di atas tempat tidur lg ada bocoran yang netes ke kasur ganti kamar raya ke lt 4 ada view ke jl luas luas ada menghubungkan pintu kamar jika buka
Eka Mulyati,2025-12-01,5,hotel yang paling nyamana yang pernah aku tinggali dengan harga yang terjangkau
Budi Nurdiyanto,2024-12-31,1,pengalaman mengecewakan berdasarkan review di sosmed kami menjatuhkan pilihan untuk menginap di sini namun diperlakukan kurang mengenakan oleh resepsionis manajemen kami telepon cs sutra untuk memastikan harga yang tidak jauh dari aplikasi telepon mendapat konfirmasi jika tersedia 1 kamar terakhir twin bed seharga 600rb kemudian kami konfirmasi untuk berjalan masuk dan pembayaran langsung kami pendaftaran awalnya resepsionis mengarahkan kamar lainya namun setelah dikonfirmasi ternyata kamar yang 600rb masih tersedia bagi kami kami kami sudah memeriksa masuk hanya berselang 15 menit kami sendiri jika ada perubahan harga menjadi 800rb mengklaim jika kami salah menerima informasi logika jika kami
Haniefa Fithriani,2025-05-31,5,dapet di pola kamar 1 lantai 4 kebersihan kamar cukup oke ac dingin pemanas air nyala diseberang hotel ada yoga mart
