User Name,Review Time,Rating,Review Text
Ricca Rahmasari,2025-12-16,5,hotel akses langsung ke pantai anak anak happy bisa main ombak di tepi pantai kamar tipe deluxe suite view pantai king bed kamar menghadap langsung ke pantai ruang tamu kamar mandi ada bathub ada sewa di area pantai sarapan menuunya lumayan lengkap komplen ditangani dengan cepat mantap pelayanannya dianjurkan
Hana Mutiara,2025-11-30,5,telah di sini hari ini makanannya variasi dan ada anak-anak bagiannya juga viewnya langsung ke pantai stafnya ramah secara keseluruhan layanan baik tapi kekurangannya ada di admin hotel yang lambat respon pada saat saat coba ingin reservasi melalui whatsapp dan kurangnya menjelaskan secara mendetail mengenai yang ditanyakan dan terakhir saya berharap itu hanya perasaan saya bahwa para staf gadis telah memperhatikan saya terlalu lama dari pintu masuk utama saya tidak tahu apa alasan tapi itu tidak masalah semua layanan baik staf ramah sangat puas dan akan kembali di sini lagi lain kali terima kasih apa pengalaman
Maggie Nuansa,2025-09-30,4,sudah dua kali menginap di sini meskipun hotel tua tapi cukup terawat tahun lalu nyaman puas memang ada beberapa masalah kecil seperti ada tai cicak di balkon pegang pintu balkon seret udara kurang hangat sampai harus minta respisiis naikin derajatnya namun apapun yang dikeluhkan sejauh ini selalu ditangani sarapan ada jamu dan makanan tradisionalnya enak view bagus kamar luas dan fungsional tapi kemarin merasa kurang nyaman karena musik dari kafe terdengar sampai dalam kamar hampir seharian paling kenceng saat musik live malam minggu itu jam 22 jam 12 baru kelar padahal tidur anak2 bisa 9an ya terus pagi2 jam8 sudah jedak jeduk
Hadeta Premiesyani,2025-09-30,4,jam 4 sore kamar masih dibersihkan ac netes kamar mandi lobby kotor terlihat jaringan berserakan belum dibersihkan apa karena keterbatasan staf ya untuk kamar view memang sangat cantik karena lokasi dekat pantai alangkah baiknya bila ditambahkan menu seafood di resto room service
boy ferry,2025-12-16,4,Hotel lama yang masih bagus dan view nya cakep view kamar semua menghadap laut hotelnya luas
Sany,2025-10-30,3,pesan kamar via agoda tapi fasilitas yang di dapat tidak sesuai dengan yang ada di tiket pengering rambut mandi di kamar rusak sampai harus mengeluh dulu pada hal sebaiknya sebelum tamu masuk sudah harus di cek dulu untungnya pemandangan hotel bagus jadi bisa hilangin mood buruk
Dian Herdiana,2025-11-30,5,hotel terbaik di pelabuhanratu berdiri sejak tahun 1966 namun masih terawat dengan pemandangan pantai yang indah cocok untuk melepas lelah
febriani wahyu_,2025-07-30,5,mau mengucapkan terima kasih yaa grand inna samudra beach pertama saya permintaan compliment cake ulang tahun di penuhi dong padahal mintanya lewat dm ig saja tapi adminnya ramah banget dan perhatian kedua saat saya pesan di aplikasi minta kamar di lantai atas dan posisi ditengah dan itu pun di penuhi sumpah banget baik deh seneng banget2 dengerin permintaan tamu kamarnya bersih wangi tangan bersih dan compliment lainnya tersedia emang dari luar bangunan terlihat tua ya tapi saat ini saya dalem bersih dan modern cekin juga tidak ribet banget pada checkout nya juga sama saat makanannya enak2 suka banget sama pastry nya juga enak2 dan view
Wisnu Triyanto,2025-11-30,5,Tempat bagus ya apalgi view ya laut ya drive hotel bagus banget tempat sejarah jika kalian ingin apa di sana ada tapi niat kalian selamat mencoba
Umar Yadi,2025-08-30,5,pengalaman yang luar biasa dengan pelayanan dan fasilitas yang terbaik yang dimiliki oleh hotel tersebut insyaallah kami akan kembali ke tempat ini dilain waktu dan kesempatan karena pengalaman kami keluarga mengginap disini cukup memuaskan dari segala aspek
Rio Ferdinan,2025-11-30,5,hotel grand inna samudra pantai pelayanannya sangat baik trimaksih nazwa sudah melayani kami dengan sgt baik dan rekomen buat teman2 yang ingin berkunjung ke daerah pelabuan ratu dan bermalam di hotel grand inna tkz
Aulia Dlvn Khoirunnisa,2025-08-30,5,menginap di grand inna ini sangat memuaskan pelayanan yang ramah dan sangat membantu saya di kamar deuxe yang termasuk dengan makan malam dan sarapan makanannya banyak ragam dan enak enak kamar juga sangat nyaman dengan balkon pemandangan yang cantik mengarah ke pantai
Jerry Choo,2025-11-30,5,walau jauh tapi boleh juga saat sakit atau pagi gila si matahari baru bagus apalagi bisa main di pantai nya pokok nya yang terbaik ingin kesini lagi
Aries Aprizal,2025-09-30,4,untuk hotel bintang empat saya kasih bintang empat jg karena ada beberapa spot hotel yang serem banget kaya tidak keurus dan jalan masuk nya rusak kamar tapi pemandangan laut terbaik dengan balkon
Syaiful Hakim,2025-07-30,1,bagus view saja layanan kurang belum layak menyandang hotel bintang 4 menu sarapan sedikit pilihan ngga seperti bintang 4 lainnya handuk renang tidak ada kamar kurang perawatan lantai terasa kamar kotor mandi kurang bersih ada balkon tapi di luar ac di balkon jadi tidak nyaman untuk bersantai tempat parkir tidak layak
Alrida Tyas,2025-11-30,1,admin ig lambat respon dan tidak bales chat di sangka saya mau tanya minta do'a kali ya nomor yang tercantum di ig tidak guna jika mau memesan nomornya beda lagi pernikahan beda lagi tapi tidak respon sama sekali
