User Name,Review Time,Rating,Review Text
Fathur Rahmi,2025-09-30,3,menginap selama 4 hari namun tidak puas 1 permintaan di aplikasi diabaikan pdahal kita sudah kasih tau kondisi hasil dikasih kamar yang menghubungkan tengah malam suara dari kamar sebelah sangat berisik awalnya saya pikir kedap suara jadi okelah gpp kalau menghubungkan dan sangat mengganggu kenyamanan 2 bau masakan sampai ke kamar sungguh tidak nyaman untuk menginap selama 4 hari 3 layanan pembersihan tiba tiba masuk ke dalam kamar tidak ada peraturan terkait pembersihan kamar ini mengganggu keamanan karena tiba tiba ada yang masuk 4 menit selimut seprai alas bantal karna gatal tapi tidak diganti sekali yang dirubah jalan tata letak nya saja saja keluar 5
Deni Hakim,2025-11-30,1,Saya tidak menghabiskan 3 malam di hotel ini dengan tipe kamar junior suite untuk kegiatan bisnis tidak rekomen hotelnya hotel bintang 4 tapi rasa bintang 2 ac kamar bocor netes dimana2 lupa bawa kamar akses minta tolong tap masuk aksesnya disuruh lewat lift barang staf saja katanya punya acara 2 hari berturut-turut di lt 1 tapi eskalatornya dimatiin disuruh olahraga emang pesertanya saran untuk semua karyawannya di didik lg keramahan terhadap semua tamunya
Atika Novela,2025-11-30,1,pelayanan satpamnya kurang sopan dalam bertaya ke tamu hari ini terjadi pukul 23 20 minggu tgl 09 nov 2025 satpam kama diak kamar bara diak bara urang di kamar diak pantas ka bertanya seperti itu sekelas hotel truntum pelayananya tidak ada kata sapaan sebelum bertanya tidak ada maaf kata mengganggu mlmnya saya nginap 2 hari lo kamar 218 di truntum ini hotel yang saya pilih karna deket tadi tempat kerja saya hanya gara saya keluar kah saat mlm hari cari pakaian dan saya biasa saja badan saya mkn kecil jadi harus di curigai
Fajar Yudhatama,2025-09-30,1,cek masuk 2 mlm 28 29 Agustus dari awal sudah merasa tidak enak 1 kamar yang sudah di buku habis dikarenakan ada acara 2 kamar 506 internet tidak stabil ac panas hanya keluar angin 3 ac sudah diperbaiki tapi masih panas kami tidak disarankan pindah kamar 4 tangan robek lebih bagus tangan hotel tingkat bawahnya 5 sprei ada lebih kecewa menginap di sini dan tidak ada kompensasi
M. Asyraf Shariffuddin,2025-06-30,4,Kami memiliki satu malam yang menyenangkan masuk hotel ini sebelum terbang kembali ke Malaysia semua yang baik tentang layanan hotel counter ini sangat baik sangat menyambut kami memesan untuk 2 menghubungkan kamar untuk kita dan ibu saya menjadi tradisional ibu saya hanya tidak menyukai fakta bahwa toilet tidak memiliki sarapan bidet juga baik mereka memiliki berbagai pilihan untuk memilih dari apa yang mereka disajikan dan saya melihat banyak orang Malaysia juga saya kira hotel ini adalah salah satu pilihan hotel terbaik untuk orang yang bepergian ke padang tapi hanya tidak mengharapkan banyak untuk kolam renang karena itu cukup kecil
Reza Putri Ramadhani,2025-08-30,1,Pelayanan manager bapak b mb ng terhadap tamu sangat tidak patut untuk disebut sebagai manager kesalahan terhadap update sistem dari hotel yang bermasalah sehingga kami sebagai tamu menunggu dari jam 8 malam 11 malam untuk checkin tidak ada terucap perkataan maaf dari bapak manager karena kesalahan sistem mereka dan hanya melempar kesalahan kepada tamu serta pihak aplikasi yang terkait memberikan alasan yang berubah mengubah penghalang dalam menyelesaikan masalah dan melemparkan kepada resepsionis untuk menyelesaikan masalah sekelas hotel bintang 4 tetapi manager sangat tidak profesional terutama manager yang menghadapi masalah saya tersebut
Emil,2025-07-30,5,Itu pernah sebuah hotel yang cocok untuk kunjungan presiden secara keseluruhan keluarga saya dan saya memiliki tinggal yang layak masuk hotel cek masuk komunikasi lancar kamar yang jelas fasilitas luas yang berfungsi suasana adalah pemandangan yang bagus dari balkon lokasi yang luar biasa strategis karena dekat dengan pantai dan pusat kota
Moses Heryanto - TX TRAVEL Bogor,2025-10-30,3,gedung besar hotel besar lobby representatif kelas aula pertemuan berbagai besar sarapan layanan staf yang baik ruang luas tapi sayang fasilitas itu buruk gelap tua handuk tempat tidur lama lembaran furnitur kamar tanggal
Elvina Roza,2025-08-30,1,Hal yang paling mengganggu adanya musik live dari magrib hingga malam sangatlah mengganggu karena suaranya sampai kekamar dan kita yang mau istirahat jdi tidak bisa ditelpn berkali2 untuk dikecilkan suaranya tpi tidak ada perubahan bahkan terdengar lebih kuat lgi kita ke hotel kalau malam untuk istirahat dan mencari kenyamanan tolong dikondisikan lh2 hal yang mengganggu konsumen tolong perhatikan istilahnya
Larisa Yeni,2025-06-30,2,baru kali ini hotel bintang 4 ngasi kartu akses cuma 1 saat komplen ke resepsionis bukan dikasi malah bilangnya memang ini yang kami tunggu komplen dari pelanggan krna manajemen kami tidak mendengar klo ftont kantor yang ngomong trus pelanggan malah disuruh lewat angkat barang malah menambah pekerjaan pelanggan yaa buat komplen
dicky rachmawan,2025-08-30,5,bagus dan enak makanannya lokasinya sangat strategis dekat dengan pantai supermarket cafe hingga toko alat tulis kantor
Iman Suhadha,2025-06-30,5,bagus mengesankan menginap semalam di sini hotel pertama setelah sekian lama menginjakan kaki di padang semoga kesan akan lebih baik lagi beberapa hari dinas di padang kamar bersih dan luas lengkap kulkas mini buruk agak keras ac dingin udara di luar juga lebih terbuka dan banyak di bandingkan beberapa hotel tertutup dan pengap dekat dengan kuliner dan dekat tempat meseum wifi ngebut banget makanan oke saran banyak makanan khas padang karena rindu sekali khas padang setelah dari bukittinggi saya rasa saya akan ke hotel ini kembali untuk menginap terima kasih hoteltrumpadang melihat Anda lagi hotel truntum
Bilal Ahmad,2025-08-30,2,Aku sudah mencoba untuk menelepon resepsi berkali-kali tidak ada yang menjawab Aku telah mencoba untuk menelepon layanan kamar berkali-kali tidak ada yang menjawab 1 makanan tidak enak 2 Aku mendapat overcharged dengan 20k 3 Aku memesan makanan penutup tapi tidak mendapat apa-apa dan tanpa penjelasan
Agus Kurniawan,2025-07-30,5,dianjurkan untuk liburan keluarga dan acara kedinasan lokasi strategis dekat taman kota dan tempat hiburan parkir luas mudah untuk cari makanan minuman menu sarapan banyak pilihanya
Nanda,2025-06-30,3,Hotel Truntum padang sebelumnya dikenal sebagai hotel inna muara dan pernah era kolonial properti sayangnya kurang dari harapan yang terkait dengan peringkat 4 bintang kondisi kamar menunjukkan kurangnya pemeliharaan yang tepat dinding kotor dengan tanda-tanda terlihat kain tua dan berwarna perabot tua dan pencahayaan yang salah menyusun kesan pertama yang tidak mengundang ini adalah elemen dasar yang harus ditangani masuk setiap hotel apalagi satu mengklaim status premium kolam renang itu sendiri yang layak tetapi daerah sekitarnya kurang dipelihara dengan rusak dan tua kursi dek mengurangi keseluruhan
Jiří Pfeifr,2025-05-30,3,dinding kotor lembaran tempat tidur dan perabot kolam renang yang sangat tua bagus tapi daerah tidak benar-benar kursi dek rusak dan lama tidak sesuai dengan harga saya membayar untuk jujur di sisi lain mereka memiliki sarapan yang sangat baik dan karyawan sangat baik
magnus prawira william,2025-10-30,5,Truntum Pandak Hotel adalah hotel terbaik yang saya tinggal ketika saya pergi ke Pandak terutama ketika saya makan di restoran makanan luar biasa dan layanan yang diberikan oleh Nona Khaila adalah begitu baik dan hebat
Marisa Utari,2025-09-30,1,resepsionis tidak menyerah terimakan pesan yang di sampaikan tamu kepada rumah melewatkan sehingga membuat barang tamu yang ketinggalan hilang
ichank rusman,2025-08-30,5,Alhamdulillah ada hotel yang menyediakan T4 ibadah masjid di jumatan dengan berkah jumat yang di nanti2 sebagian jamaah
M N A Rahman,2025-05-30,3,Hotel dulu adalah sebuah hotel kolonial Belanda dan dengan mudah Anda dapat menemukan sejarah hotel dan beberapa tempat masuk padang dari lukisan di lobi awalnya hotel seharusnya mendapatkan 4 bintang dari kamar yang luas dan lezat dan beragam sarapan namun kami memutuskan untuk menurunkan ke 3 bintang karena faktor penting yang tercantum di bawah 1 kebersihan toilet tidak sampai standar sebagai hotel 4 bintang tidak ada bidet masuk toilet 2 AC tidak berfungsi dengan baik kita merasakan panas meskipun suhu diatur untuk 16 derajat Celcius
