User Name,Review Time,Rating,Review Text
Daniel Burgers,2025-10-01,5,Saya ingin mengucapkan terima kasih tulus kepada seluruh tim di Hotel Vasaka untuk memberikan pengalaman luar biasa selama tinggal saya saya menghabiskan hampir sebulan di hotel dan tidak bisa lebih bahagia dengan pilihan saya staf secara konsisten menunjukkan profesionalisme kebaikan dan rasa hormat keramahan benar-benar luar biasa kamar itu sangat baik dan memiliki semua yang saya butuhkan itu dibersihkan dengan baik setiap pagi dan layanan kamar yang cepat dan dapat diandalkan sarapan adalah fantastis menawarkan berbagai pilihan lezat dengan layanan yang cermat setiap hari khusus terima kasih untuk Miss Nancy Miss Tottie dan Sir Devian untuk mereka
Eduardo Bayu,2025-12-01,4,tinggal di sini untuk fasilitas kamar mandi seperti sabun dan sampo dan sabun batangan kurang untuk asumsi 2 dewasa 1 anak karena hanya 1 dengan logika mandi sakit dan pagi pasti kurang wifi di kamar juga jauh membutuhkan perbaikan TV juga terganggu lebih baik di memperbaiki staf keamanan supandi ramah gercep baik dan menyapa cust tapi ada juga keamanan yang tinggi besar sekitar 180 cm kurang gercep sarapannya juara ada rombongan atlet tapi bisa dibandrol dengan tidak ada yang menunggu makanan semua nya di layan dengan baik buat staf restoran gk banyak staf nya tapi ramah banget cepat mengisi cepat rasa nya enak semua variasi banyak membuat restoran top foto kolam renang nya
Biran Andrianto,2025-12-10,2,lokasi besar sangat dekat dengan kereta cepat whoosh ini adalah nilai untuk uang hotel Anda mendapatkan apa yang Anda bayar makanan adalah suasana biasa keren Anda dapat melihat pemandangan selatan kota jakarta hal yang buruk adalah kamar Anda tidak dapat mengharapkan untuk mendapatkan non-merokok kamar di tempat memeriksa pengalaman buruk saya tinggal di kamar merokok dengan lembaran kotor dan tempat dengan bed bug
Hening Probowati,2025-12-17,5,makanan nya enak 2 kamarnya juga oke kebetulan di kamar 12 pemandangan nya perkotaan keren banget terima kasih untuk dinda kantor depan yang sudah mengandalkan review sngt ramah
Iwanda A. BigHams,2025-12-24,4,hotelnya sebagai grup dafam sangat baik mungkin untuk kualitas sinyal hp perlu di perkuat agar komunikasi dengan sopir bisa berjalan lancar mungkin pasang wifi lebih baik jika tidak mau memasang antena sinyal hp
Elsa Juliana,2025-12-01,4,Halo vasaka hotel saya senang menginap di sini pemandangan yang indah langsung menghadap ke jalanan dan lrt namun kurang keamanan untuk jendela kamar karena bisa di buka walaupun sudah ada pemberitahuan dengan stiker akan ada denda jika dibuka saya yang membawa toodler jadi jadi adalah semoga kedepanya mungkin di ubah jendelanya jika tidak bisa dibuka saya jg mendapatkan mis komunikasi perkara parkir resepsionis info beliau jika keluar tinggal saja disebutkan tidak platnya namun ternyata harus ttp menggunakan karcis parkir yang entah kemana karcisnya akhirnya kami di denda 50rb nge drop makanan dan mobil online pickup jg biaya parkir belum kena
August Tiara,2025-12-01,5,seneng banget nginep di sini semuanya ramah2 mulai dari karyawan kantor depan restoran terutama kak toti yang baik banget bantuin aku sampai keamanan pun smuanya sangat ramah2 dan membantu dan terutama lagi buat kak abel yang sudah sangat membantu aku slama berada di hotel kmrin bener2 membantu banget aku suka banget kamarnya di sini punya pemandangan yang bisa dilihat lrt dengan kaca yang besar kamarnya juga bersih udara kamar mandi jg deras dan asiknya lagi ada lounge dan billiard makanannya juga enak2 banget dan satu lagi kalian jg bisa pesan coklat yang bisa di bentuk lucu2 di sini dan rasanya jg enak enak
Afrilia Nabila,2025-12-01,5,Dari awal datang sudah disambut sama staf yang ramah banget bikin hati langsung adem kamarnya baru bersih nyaman dan wangi pemandangan dari kamar juga kuep banget bikin betah duduk lama di jendela makanan minumannya wah semua enak dari sarapan sampai minuman di resto tidak ada yang terlepas selama nginap di sini sama sekali tidak ada kendala pelayanannya mulus dan cepat pokoknya puas banget dan ya pasti akan tinggal lagi lain kali
Schaldea,2025-12-01,5,dekat dengan st lrt cawang cukup jalan kaki sekitar 8 menit jalan masuk bagian depannya gatau dari mana karena jalan kaki jadi diserahkan lewat belakang samping hk menara datang ke salah satu ruang pertemuan ruangannya cepat bersih dan cukup luas istirahat kopi dan makan siangnya enak dan banyak pilihan stafnya juga sangat ramah
Dewi Wahyuningsih,2025-12-01,5,pelayanan ramah udara mineral tetap diisi setiap hari meskipun masih ada komplain cepat diisi misalnya kamar non merokok yang sudah disteril dan masih bau rokok kemudian sudah tidak bau lagi dapat coklat gratis dari mas tirta terima kasih untuk penjelasannya terkait bau rokok setelah steril
