User Name,Review Time,Rating,Review Text
W K,2025-12-05,5,Layana sangat baik dan ramah sekali dari kantor depan ke staf restoran karena sakit beberapa hari di hotel staf restoran sangat membantu di bikinin air jahe dan sup herbal sangat membantu hari terakhir karena tidak bisa kebawah sarapan juga di antar ke kamar sangat baik sekali pelayanannya
Didimusrasdalima Rasdalima,2025-12-05,3,Hotel terlihat bagus tapi tidak punya cukup untuk lahan parkir hanya bisa 2 atau 3 mobil saja menyusahkan dalam menunggu atau menjemput tamu
VITA LESMANA,2025-08-05,5,staf hotel sangat ramah dan membantu petugas kebersihan bernama nuarta bekerja dengan sangat teliti perfeksionis dan sopan kamar selalu bersih rapi dan nyaman setiap hari terlihat bahwa dia sangat peduli terhadap pekerjaannya terima kasih atas pelayanan yang baik terutama dari pak nuarta
Ferdi Emor15,2025-09-05,2,Tolong di pikirkan untuk tempat parkir keamanan ada yang tidak ramah 1 org bikin sopir pusing pindah2 mobil sana sini klo memang mobil gede gaboleh parkir bilang dari awal jangan suru parkir terus suru pindah sana sini
Bob Firdauz,2025-11-05,5,kamar nyaman makanan enak pelayanan sangat baik cuma tempat parkirnya sempit
Agus Sutejo,2025-03-05,5,sungguh luar biasa stafnya sangat ramah dan sopan kamarnya sangat bersih dan wangi kamar mandinya juga sangat bersih dan rapi lokasi hotel mudah dijangkau dengan mobil atau motor dan lokasinya juga dekat dengan berbagai pusat keramaian kuta legiun denpasar pastinya fairfield legiun akan menjadi hotel favorit saya untuk liburan di bali
yan adhitya wesda wardhana,2025-10-05,5,lokasi tidak terlalu strategis parkir terbatas tapi gratis valley dan overall bagus
Arifien M.,2025-01-05,3,kamar nyaman sarapan pagi oke lah walau tidak wow banget pelayanan petugas sarapan pagi tidak konsisten sih di hari kedua tidak ditawarin kopi dan di rempat minum kopi tidak ada kopi yang ada laki-laki di itu proses cek outnya lama karena mereka akan memeriksa detail kekurangan dan kerusakan di kamar dulu seperti halnya saat tinggal di villa jadi jika ada kerusakan atau kekurangan mereka akan dikenakan biaya ribet kan jika jam puncak banyak tamu gw tinggal saja di keburu jemputan dan menunggu karena apa jemputan mobil tidak bisa menunggu lama di lobi yang hanya berkapasitas tamu 1 mobil saja tapi diminta menunggu untuk membuat check out kamarnya saat memeriksa keluar tidak sin
Galih Sasono,2025-11-05,5,hotel nyaman pelayanan baik makanan enak
jessica melianti,2025-11-05,5,hotelnya nyaman lengkap rekomendasi untuk selanjutnya
Salman Alfarizi,2025-01-05,1,hari pertama menginap layanan petugas hotel sangat buruk khususnya di restoran saat sarapan saya di pengguna oleh wna di meja dekat kolam yang pada saat itu saya sudah lebih dulu duduk di sana dan makanan saya sudah di meja petugas hotel hanya bilang emang bule disini suka melihat dan sebelumnya juga petugas hotel sudah info bahwa tidak ada sistem pemesanan tempat di restoran dan gratis mau duduk dimana akhirnya saya harus pindah meja dari meja saya sebelumnya hahaha jadi lucu mobil bintang 1 kapok mana sudah memesanan 2 malam lol layanan ke wna daripada wni
Oktaviani Darsono,2024-01-05,5,Pelayananya yang terbaik sangat luar biasa mulai dari kantor depan sampai housekeeping ramah sekali termasuk minuman yang nikmat lemon lemon grass gingger walaupun parkir kecil namun tidak masalah karena petugas lembah selalu ada untuk bantu parkirkan mobil untuk kamar nyaman sekali ac air panas wifi semua berfungsi baik sarapannya menu enak banyak variasi petugas hotel pun sigap mengambil piring dan gelas kosong dan kemudian pak agung supervisor resto menawarkan apakah ingin diambilkan atau berkenan dibuatkan menu lain sangat membantu mendatangi setiap meja kemarin dapat kamar kolam view cantik sekali panjang nya udara walaupun bukan poll hotel yang besar tapi untuk pela
Gresna Simanjuntak,2023-01-05,5,Salah satu hotel yang dianjurkan jika mau menginap di bali semua staf sangat hangat menyambut dari awal check masuk sampai check keluar sangat membantu kamar sangat luas bersih lengkap sama setrika ohh ya terima kasih untuk pelayanan untuk staf resto aku sangat berterima kasih karena selalu menyapa dan memberikan apa yang saya minta terimkasih buat mba dan mas nya yang sarapan nya untuk mengambil karna buru buru ngejar kapal ke pelabuhan mereka begitu manis semua sarapan nya saya suka banget sempat di sapa chef nya juga apakah nya sarapan enak atau ada permintaan harus kembali untuk
denny yuen,2022-01-05,4,pengalaman pertama menginap di hotel ini lokasinya lumayan strategis parkir kendaraan tidak terlalu luas checkin lumayan cepat dan diberikan selamat datang minum es teh waktu itu yang menginap disini tidak terlalu banyak tamu hanya beberapa kamar saja yang dibuka untuk kamar cukup luas bersih dan nyaman aminities lengkap dan saluran tv lumayan banyak wifi lancar ada balkon kebetulan dapat kamar sudut kolam renang view kamar mandi lumayan luas dan udara panas berjalan normal hanya saja tempat tidur tutup dan bantal tutup tidak terlalu wangi untuk sarapan cukup enak
Lucy Sumardi,2025-01-05,5,Pelayanan hotelnya bagus banget stafnya ramah dan membantu kamar nyaman dan bersih jika lokasinya dekat pantai lebih oke lagi
Febryanto,2024-01-05,5,Hotel nyaman yang ada di legion bali fasilitas lengkap sekali ada kolam renang di tengah gedung dan restoran di sebelahnya untuk parkir memang membutuhkan usaha karena tidak terlalu luas tapi bisa menggunakan jasa pihak hotel untuk mencari parkir
Nyonya Suka Dolan,2021-01-05,5,luar biasa dalam pelayanan keramahan dan kenyamanan seluruh staf hotel memperlakukan setiap tamu dengan baik bahkan ibu lily wijaya sebagai gm pun turut menyapa setiap tamu saat sarapan pagi kami juga bersyukur mendapatkan kamar deuxe dengan pemandangan kolam renang sebagai upgrade dari kamar yang kami pesan sebelumnya meskipun tidak berada di lokasi yang prestisius hotel ini tetap mudah dicapai dan sekalipun lahan parkir terbatas mereka menyediakan jasa valet untuk kendaraan tamu selama pandemi hotel ini tetap buka meskipun tamu jauh berkurang karenanya sarapan tidak buffet lagi tapi menu la carte yang dihidangkan tidak mengecewakan secara keseluruhan saya dan suami cukup tinggal puas di hotel ini ig
Jenniana Sindunata,2022-01-05,4,lokasi strategis di tengah kota interior kamar dan lainnya bagus kolam renangnya bagus lebih bagus dari perkiraan amenitiesnya keren pakai s merk sensasial botani baik hand wash sabun dan shampoonya yang mana produk ini semuanya herbal selamat datang cakenya unik disajikan dalam rantang susun air mineral di sediakan galon dalam kamar dan teh juga ada yang heboh adalah istirahat cepatnya bener2 amazing untuk kelas bintang empat selain berbagaiinya banyak prasmanan juga ada yang ala carte dan kita boleh mengambil keduanya prasmanan dan alacarte soal rasa enak menu masakan balinya benar2 bali asli chef nya top dech
Tuhu Nugraha Dewanto (Tuhu),2023-01-05,5,kamarnya sangat luas terus kasurnya nyaman dan yang penting ada meja kerja yang sangat baik koneksi internet juga kencang kolam renangnya sangat luas dan menyenangkan properti dipelihara dengan baik cuma parkir agak sempit akan sedikit repot jika bawa mobil sendiri urusan parkiriran sepertinya
Made Ariawan,2024-01-05,4,Hotel nyaman dengan staf sarapan sdri riska yang ramah saat tengah malam anak kurang fit badan dan perlu bantuan dengan cepat hotel membantu dan data langsung terbagikab ke resto unt sarapan khusus pekerjaan yang baik
mrz jreng,2022-01-05,5,parkir mobil terbatas tapi jangan khawatir karena mereka memiliki fasilitas vallet kebersihan dan pelayanan sangat bagus menu makanan saat sarapan sangat enak kamar sangat nyaman dan dilengkapi oleh speaker portabel pilihan bagus untuk kalian saat mencari hotel terjangkau di legion parkir mobil terbatas tapi jangan khawatir karena mereka memiliki fasilitas valet kebersihan dan layanan sangat baik menu makanan di sarapan sangat baik kamar sangat nyaman dan dilengkapi dengan speaker portabel pilihan yang baik untuk Anda ketika mencari hotel terjangkau masuk legion
Armain Yusri,2020-01-05,5,terletak di kawasan legian agak ke utara hotel dengan kamar kamar yang nampak mewah di tambah dengan akses wi fi gratis hotel berkesan modern dan sekaligus mewah ada taman yang menambah kesan nyaman dan syahdu di sekitar situ pun ada pasar pagi tradisional desa adat legian hanya dengan jalan kaki dari tempat Anda menginap di hotel fairfield marriot yang kira kira kira 3 5 menit sudah sampai di pasar tersebut hotel bintang 4 dengan harga terjangkau bintang 3 ada tempat gym pusat kebugaran tersedia kolam renang untuk anak-anak dengan pemandangan alami yaitu pemandangan sungai yaitu 5 7 menit sekira setengah kilometer jalan kaki ke pantai ganda enam jl arjuna cuman parkir mobil
susanto erick,2025-09-05,4,penginapan yang sedikit mewah dengan layanan dan fasilitaa yang baik
Irvan Hariyanto,2025-12-15,5,hotel yang bersih dan nyaman
Dhany Wicaksono,2019-01-05,5,hotel yang bagus walaupun berada agak masuk ke dalam geng kamar sangat bersih dan pelayanan sangat ramah untuk sarapan lumayan banyak pilihan tapi mungkin bisa ditingkatkan wifi masuk ke dalam kamar jadi mudah untuk terkoneksi walaupun jauh dari lobi utama secara keseluruhan ini hotel yang oke dengan harga yang terjangkau di bali dengan lokasi yang juga dekat ke mana mana pasti akan kembali lain kali mengunjungi bali
Yhuma Vega,2025-06-05,5,Saya menginap 2 malam disini kamar bersih staf ramah2
artika sumiati,2023-01-05,5,kebetulan saya dikamar 020 yang menghadap langsung ke kolam renang kamar luas bersih dan kebetulan saya muslim untuk sarapan digantikan waktunya sahur alhamdulillah mereka mau menyediakan menu sahur buat kami dengan porsi yang super banyak terima kasih telah menyambut kami dengan baik sopan dan ramah
Aripin 7th,2024-01-05,5,Recomended banget hotel ini karena ramah sekali staf nya parkir mobil di valley kan gratis kolam renang bersih sarapan juga enak dan bersih kamar bersih luas dan ada balkon
Ira W,2019-01-05,4,hotel baru beroperasi bulan april 2018 masih serba baru dan bersih makanan tidak terlalu bervariasi tapi enak terutama yang barat ada kolam renang wifi gratis lokasi agak tersembunyi di daerah legian tapi cukup dekat dengan keramaian legian
Indri Muktiasih,2024-01-05,5,pertama kali menginap di sini kami mendapat kamar diujung dan lantai paling atas 507 berhubung di atas saya keberatan dengan kamar diujung tersebut akhirnya meminta resepsi untuk mencarikan kami lantai 1 dan dekat dengan lift akhirnya saya juga bisa pindah kelantai yang lebih dekat 133 dan itu benar2 tidak bisa lift serta tangga luar biasa sekali layanan yang diberikan terima kasih
Rafie Nugraha,2022-01-05,5,Saat mau cek masuk dikasih selamat datang minum 1 gelas kecil ada deposit 300rb kamarnya lumayan dan diberi ulang tahun gratis tanpa tambahan biaya sarapannya tidak banyak variasi tapi bisa meminta yang lain jika ada bahannya
Verania Ronald,2022-01-05,5,kami di lantai 1 enak bisa langsung ke kolam kamar bersih dan baru staf hotel dan karyawan restoran ramah dan baik di berikan kebijakan membawa sarapan ke kamar anak di bawah usia 11 tahun sarapan gratis diijinkan cek keluar jam 13 00 karena anak masih sekolah online kami menginap dua hari
Wily wiland,2022-01-05,3,Tempatnya bagus dan nyaman pelayanannya juga ramah tapi setiap habis dibersihkan kamarnya kunci kamar tidak bisa dipakai harus minta ganti ke resepsionis makan malam nya dan sarapan nya enak mantap tempat pertemuan nya agak kecil tapi cukup untuk 20 orang
Charles S.,2020-01-05,5,lokasi tidak jauh dari jalan dewi sri banyak tempat kuliner di sekitaran hotel sate bayi bawah pohon hanya sekitar 1 km krisna dan agung pie susu enak hotel sangat bagus dan terawat staf sangat ramah dan selalu menyapa setiap bertemu kamar sangat bersih dan nyaman minta kamar dengan pemandangan kolam renang sangat menyenangkan tinggal di hotel ini
Tama Pratama89,2022-01-05,5,berhari dan berkali-kali menginap di sini belum dan tidak pernah menemukan rasa kecewa pelayanan dari semua staf mulai dari penangkal resepsi resto bar layanan pembersihan sangat ramah sekali melayani sarapan dengan sabar dan ramah fasilitas kolam renang dan gym yang bagus makanan yang saat di lidah pengalaman yang sangat sempurna menginap di sini dan sangat merekomendasikan sekali
Dj Cholik,2025-03-05,5,Terima kasih pa ady atas pelayanan hotel nya yang sempurna bagus dan sangat nyaman
carlos daniel,2020-01-05,1,singkat cerita menginap 4 hari 3 malam semua baik saja namun pada saat sarapan di perlakukan tidak baik dengan mendahulukan orang luar bule dalam hal memesan makanan kami yang dulu memesan namun orang bule itu yang di dahulukan ini adalah bentuk diskriminasi di negara sendiri kemudian kami menanyakan bahwa ada barang yang tertinggal berupa parfum dan celana di tanggapi oleh pihak hotel dengan menghubungi kami oleh asst front office manager dan di janjikan akan di hub jika ada kabar malah kami di alamat email namun sampai saat ini tidak ada satu pun pihak hotel yang menghubungi kami review ini saya agar menulis menjadi agar menjadi pertimbangan pihak
Beiby Def,2022-01-05,1,ini adalah hotel terburuk yang pernah saya ketahui hari pertama tinggal di sini tidur malemnya gateel ternyata paginya saat d cek saya menemukan bed bug sama semut gatal staf nya cm katakan maaf dan kasih pindah kamar kasih compliment buah piring sbg permintaan maaf yang buah yang diberikan tidak segar seperti bau dan alarm api bunyi berkali-kali di pagi hari selama 2hari berturut turut begitu keras sangat mengganggu
Fran Sanjaya,2020-01-05,5,pertama kali menginap bersama keluarga besar 4 kamar untuk 4 mlm lewat perjalanan dan begitu cek masuk lsng bisa ug kelas kamar ke deluxe superior dengan view kolam renang kejutan menyambut untuk kita
Lulu Lusiana,2023-01-05,5,belum pernah mendapatkan layanan se sempurna ini dari sebuah hotel sangat sangat kagum dengan fasilitas layanan dan semua yang diberikan fairfield legion ini semua fasilitasnya bersih kolam renang nya terutama harga yang ditawarkan juga sangat murah untuk kualitas yang didapatkan semua staf nya terlatih dan ramah sop juara baru fairfield memang tidak mengecewakan
Indra Raphael,2019-01-05,5,Salah satu pengalaman menginap terbaik di bali sangat baik layanan fairfield marriott staffnya tidak akan membiarkan kita repot sedikitpun merasa kaya di rumah banget dan sangat tenang padahal masih dalam jarak tempuh jalan kaki ke area2 keramaian
Jenia Jenia,2020-01-05,5,hotelnya nyaman pelayannya ramah semua harga terjangkau makanannya enak semua sudah dua kali menginap disini walaupun tempat kurang strategis tapi dengan google map tidak terlalu sulit untuk dijangkau tempat parkir benar benar sedikit jadi harus berpikir berpikir jika mau bawa mobil kesini intinya hotelnya bagus aku suka
Luluk Indahyani,2023-01-05,5,disarankan pelayanan nya sangat bagus sekali semua pegawai hotelnya masyaallah ramah sekali terutama saat sarapan kita benar benar dilayani makanannya juga enak enak
J.O.S 2014,2023-01-05,5,kamar bersih dari tempat tidur sampai kamar mandi di bersihkan setiap pagi staf nya dari fo sangat baik ada layanan walet buat mbl soalnya parkir terbatas suka itu
Nanang Cahyana,2023-01-05,5,tempatnya nyaman bersih pegawainya murah senyum respon cepat suka menawarkan bantuan setiap sarapan suka ditawari kopi atau teh namun klo kamar lantai lembab tutup pintu depan nyalain ac atau buka pintu depan saja tempat yang baik
Kristina Basuki,2019-01-05,4,kamarnya luas bersih dan nyaman di atas semua senang tinggal di hotel ini hanya parkirnya saja yang terbatas jadi kalau membawa mobil pribadi disarankan langsung valet
Har Yati,2022-01-05,5,untuk kamar baru bersih sekali benar2 di bersihkan sampai ruangan itu di pel lantainya cuma suara di lorong dari luar kamar kedengeran sih ac nya agak sulit untuk mengendalikan kembali ke suhu 24 25
Disi hanafiah,2020-01-05,5,hotel bersih keramahan nya keren kamar besar makanan juga enak2 saat sarapan kalau bisa teman2 yang jaga restoran di breafing jangan cuman ramah ke bule saja tapi dengan lokal pun lebih ramah dan berbasa basi juga
kevin sinaga (zwikwak),2024-01-05,5,dekat sama bandara kolam berenang bagus ada speaker bluetooth kamar mandi bisa udara panas sama udara dingin pemandangan bagus
James Teja Kusuma,2021-01-05,1,kamar sangat kecil koridor antar kamar sangat sempit parkiriran tidak ada daann harganya mahal kalau bawa anak kecil umur 6 tahun maka sarapannya akan di hitung dewasa
Tohadi Warma,2025-01-05,2,Saya kena pinalti 15 jt gara2 bau asap rokok di kamar cuma buat beli bay segar sama handuk saja
2 or 3 Witnesses,2024-01-05,5,hotel mantap tergolong budget medium rasa bintang 5 makanan kurang variasinya saja lokasi agak susah parkirannya
Mark Sapta,2023-01-05,5,hotelnya nyaman tenang sebab tidak pada jalan utama dan cenderung lengang dipinggir sungai model hotelnya memanjang dan kebetulan dapat kamar di ujung belakang yang murah dekat pasar desa adat legian
Tanto Gunawan,2022-01-05,5,Hotel bagus kamar bersih staf dan pelayanannya sangat luar biasa ramah dan baik sarapan nya ala carte rasanya sangat enak
Franky Wen,2022-01-05,5,lokasi cukup strategis dekat jalan sunset dan legian punya kamar tipe junior suite yang baik dengan jacuzzi nya staf cukup ramah kamar sangat bersih harga cukup sangat bersahabat
Deva M,2023-01-05,1,mengecewakan hotel sekelas ini pegawainya masih suka mengambil kembalian atau memberi tip yang di berikan ke ojol apakah layak perilaku bereksperimen itu untuk hotel sekelas ini saya tidak mempermasalahkan ini tapi saya benar-benar kecewa dengan sikap pegawai yang bereksperimen itu
Jeff Arsya,2023-01-05,1,Ada staf oknum yang suka tips nilep yang di kasih tamu untu driver ojol tong manajemen hotel di pelatihan lagi sama seperti ini tidak jujur ingat karma makan hasil keringat orang bos
Manaek Pasaribu,2023-01-05,1,pelayanan sangat buruk kepada pelanggan bonvoy repeater tidak membantu sama sekali hak anggota tidak saya dapat sama sekali sangat buruk layanan untuk pelanggan bonvoy repeater tidak membantu sama sekali saya tidak mendapatkan anggota manfaat sama sekali
Lena Manaloe,2022-01-05,5,beli voucher beli sekarang tinggal nanti di traveloka dan sudah lewat wkt tinggal lebih dari 2 bulan tetiba di telefon fairfield diinfokan msh bisa digunakan rasanya tuh senneg banget karena saat saat sangat jadwal pengen ke bali tinggal disana bener2 tidak mengecewakan karena kamar bersih harum pegawai ramah lokasi strategis banget dan deket pasar makanan enak hanya kurang variasi mungkin karena msh corona jadi terbatas pilihannya karena tinggal di beberapa hotel yang lain pun kurang banyak pilihan lain x kalau ke bali mw tinggal lagi di sini
Lydia Puspasari,2021-01-05,5,Sangat menyenangkan tinggal di hotel fairfield legian pelayanan bagus staf ramah bu lily sangat rendah hati dan baik makanannya jg enak rasa rumah2 klo ke bali pasti akan kembali ke hotel ini sangat dianjurkan
Indah Puspitasari,2021-01-05,5,tempat menginap terbaik jika liburan d bali kamar nyaman bersih staf ramah care tidak membedakan wisatawan lokal dan internasional sarapan beraneka ragam dan enak rumah menjaga oke dalam merawat kamar
Samann Adtya,2020-01-05,5,Tempat ini sangat bagus sekali stafnya ramah ramah kolam renangnya luas dan ada kolam renangnya kusus anak anak kamarnya luas parkiriran tidak perlu repot repot karena sudah ada bilboy yang mengantar ke restoran parkirannya mudah di jangkau dan barnya juga dekat dengan kolam renangnya
Tjahjo Bawono,2023-01-05,5,Hotel bagus servicenya oke petugasnya ramah ramah dan responsif sistim parkirnya menggunakan valet sarapan oke
Budiartha Putu,2023-01-05,4,hotelnya bagus pelayanan ramah makanan enak namun parkirnya sempit saya kira ada ruang bawah tanah ternyata tidak
Saman Aditya,2020-01-05,5,Tempat ini bagus staf staf nya ramah servicenya memuaskan kolam renangnya luas dan ada untuk anak anak restoranannya mudah di akses mau pesan taksi juga mudah mau ke pantai dobel enam juga dekat kamarnya luas dan bersih fiunya bagus daerahnya bersih lobynya luas dan bersih
Yessie Setiawan,2019-01-05,5,nyaman banget tinggal disini semua pelayannya ramah bahkan sampai chefnya juga begitu bahagia tinggal dsini dan pasti akan kembali makanannya enak dengan harga yang terjangkau juga
Agus Waluyo,2021-01-05,5,menu baru ayam betutu bungkus tebu naknan kalau menggunakan jasa vallet mohon berhati2 saja hp holder saya pernah patah waktu pakai jasa vallet
wilson purba,2024-01-05,5,fasilitas lengkap kamar juga bersih dan nyaman yang paling luar biasa adalah pelayanannya ditambah makanan yang lezat wajib dicoba
Siti Nurjannah,2023-01-05,1,mana jemen hotel tolong di benai staf anda sering mengambil uang tip yang saya kasih ke ojek onlen setiap saya ngasih tip ke drever selalu di ambil tolong di benai kariawan yang tidak jujur terlalu sering staf anda melakukan ini
Rendy Anggadiputra,2019-01-05,5,hotel bintang 4 harga bintang 3 suasana nyaman staf nya semua ramah pakir pakai free valley karena tidak tersedia parkir di area hotel akses ke seminyak dekat
FF 74,2023-01-05,5,htl bintan 4 yang bersih pelayanan oke fasilitas oke cuma kamar saja tidak kedap suara jadi suara tetangga terdegar sama kita
tesseract corp,2019-01-05,5,Pelayanan sangat memuaskan sarapan terbaik terima kasih telah menjaga dan mengantarkan ponsel saya yang tinggal ke bandara
Saiful Wahdi,2023-01-05,1,Wahai menenjemen hotel taukah kamu bahwa salah satu staf mu sering mengambil hasil keringat orang lain yaitu driver ojek online yang sering dikasih tip sama tamu hotel tapi malah di colong sama staf mu
Rizky Hadyanto R,2024-01-05,4,kamar bersih pelayanan pun bagus cm lokasi nya saja yang agak kurang walau dekat tempat2 wisata
PAYU INDONESIA,2020-01-05,5,bersih rapi hotel baru deket tmpt makan enk2 deket bandara kolam kalau malam lagi gelap perlu lebih banyak pencahayaan fb servis lama perlu perbaikan
Ps Abraham Renpy Soeharto,2020-01-05,5,sambutan hangat dengan komunikasi yang sangat cair akrab membuat betah serasa merasa di rumah kebersihan kamar dan kesejukan lokasi sangat apik
Yoshino Milyard,2023-01-05,5,Secara umum baik kamar sarapan crew baik parkir kecil tapi petugas sangat membantu kolam renang juga nyaman
Ina,2020-01-05,5,hotel bersih nyaman servisnya luar biasa ramah desainnya juga bagus untuk foto foto saat disini dikasi salam minum
Sylvia Vinna Lestari,2022-01-05,5,Lokasinya di legi suasananya sepi kolamnya besar tapi sayang lahan parkirnya sempit sekali untuk keramahan stafnya bagus dan ramah
Desak Putu Harum Sari,2020-01-05,4,hotel yang menarik dibawah marriot hotelnya bagus kolamnya cukup luas nyaman bagus deh pokoknya
Dri Septiyono,2020-01-05,5,mantap nih hotel managernya baik banget semua tamu di sapa satu2 ramah pookonya yang kurang view
Ajikne Desak Mirah Sinta,2020-01-05,4,didepannya ad pengecoran parafet jakon ashfri sri rama memakai readymix beton pt harapan jaya beton dtm 16 hjb benoa ajikne desak mirah sinta
YULIYANTO YANTO,2025-05-05,5,tempat nyaman dan jauh dari kemacetan akses jalan luas
sutraman,2020-01-05,4,semuanya ramah banget hotel bagus dan harga terjangkau cuma parkir yang harus lembah
Iqbal Hamzah,2025-01-05,5,Salah satu hotel terbaik di Legan Bali wajib menginap di sini
Yudi Asmara,2023-01-05,5,Terimakasih untuk manajemen yang telah merespon cepat keluhan kami kalia luar biasa semoga hotel kalian maju
Aviandra nurdea putri,2022-01-05,5,bagus banget makanannya super enak sarapan inggrisnya enak enak pkoknya makanannya enak dan kamarnya juga nyaman banget
yul afian,2025-01-05,5,sarapannya komplit enak lagi suasana di hotel nyaman
Veel Plezier Tour,2023-01-05,3,sabar belum rekomendasi buat bus medium apalagi bus besar perlu disediakan patkir bus atau tempat putar arah
Andre,2023-01-05,3,lokasi tidak strategis mushalla tidak ada menu sarapan seperti
david christiansopamena,2019-01-05,5,tempat yang nyaman untuk beristirahat staf hotel seluruhnya ramah dan memberi pelayanan sepenuh hati
rhiezma wati,2020-01-05,4,tempat yang nyaman makanan enak petugas hotel yang ramah lain kali bakal kesini lagi
Selvia Yunita,2019-01-05,5,pelayanan nya bagus kamar nya nyaman banget bersih juga makanan nya juga variasi enk2 juaraa pokok nya
Martinus Jayadi,2019-01-05,4,kamar bersih hotel bagus suasana sepi hanya kurang di sarapan pagi yang kurang variasi
ilham syah,2024-01-05,5,nyaman bersih staf ramah menu sarapan enak terima kasih
Ch Bram,2022-01-05,5,keren banget sih dapet upgrade yang ada jacuzy nya ugh murah dan asik pelayanan ramah dan baik banget
rujito nur,2022-01-05,5,Terimakasih atas pelayanan yang sangat luar biasa tim fairfield pasti akan kembali menginap di sini
Randy,2023-01-05,1,tolong di pecat pegawai yang sering mengambil uang kembali tips untuk pengemudi online tolong memecat karyawan yang sering mengambil uang kembali untuk pengemudi online
Irmawan S Putra,2023-01-05,5,hotelnya nyaman dan suasananya tenang pegawainya ramah2
Yuliany Tara,2021-01-05,5,staf hotelnya nyaman nya ramah super duper dianjurkan cari makan juga mudah
Amran dan Endra,2023-01-05,1,Ya urusan sama sopir ojol mah brabeh apalagi kalau sudah viral solidaritas sesama sopir ojol b1 saja
Yoseph Nong,2019-01-05,5,Saya dari perdana jaya trevel saya sudah 2 kali ke hotel ini antar mobil ks tamu hotelnya bagus
Agus Rahmanto,2019-01-05,4,kamarnya cukup nyaman hotel dikengkapi dengan fasilitas kokam renang
Tamba Budiarsana,2019-01-05,4,lokasi strategis kamar oke makanan di restoranannya mantap jivva dan air kolamnya adem
I Dewa Made Dwi Astika,2025-08-05,5,suasana sangat baik
Elizabeth Prima,2023-01-05,5,disini ketemu sama abang yang kebetulan ada acara disini dan oke tempatnya makanannya juga oke pelayanannya ramah terima kasih
