User Name,Review Time,Rating,Review Text
Nany Tan Elias,2026-01-06,5,Tidak seperti review yang buruk yang saya baca menginap di sini sangat menyenangkan kami cek masuk pagi karena datang dengan mobil dari luar kota dsambut dengan sangat ramah oleh petugas fo minta kamar yang d atas dpt lantai 25 shg bisa dapat pemandangan kota yang baik sayang tidak ada minuman selamat datang mgkn karena terlalu pagi kamar bersih ac super dingin kamar layanan kamar bagus 24 jam semua rumah menjaga dan pegawai sangat membantu fasilitas yang kurang jg bisa minta serta kirimkan k kamar kpn2 mw tinggal di sini lagi tq
R Mayadevi,2025-11-20,4,pertama kali tiba di hotel ini dikejutkan oleh gedungnya yang jadi satu dengan bank mayapada jadi lobiya terletak di lt 2 gedung kamarnya cukup banyak kami dapat kamar di lt 22 lobi bersih dan nyaman harga cukup terjangkau proses cek masuk berjalan mulus permintaan kami untuk kamar menghubungkan kamar bisa terwujud karena pihak hotel sudah memblokir kamar sebelumnya kamarnya cukup luas bersih nyaman dengan fasilitas yang lengkap ac pusat super dingin saluran televisi belum bisa netflix mandi air panas selamat datang minum kulkas bantal ganda ada fasilitas dan pengering rambut di kamar mandi karena ac pusat yang terlalu dingin dan tidak bisa diset
Toyo Nathan,2026-01-06,5,Pelayanan baik sopan ramah harga terjangkau dengan fasilitas yang baik menu sarapan bervariatif espreso es krim diracik dengan mantab ada mesin es krim shg tamu bisa mengambil sepuaasnya koki nya ramah
Trihadi N,2025-12-30,5,lokasi memang lumayan jauh dari pusat kota tapi dekat pintu tol serta mall membuat salah satu pertimbangan untuk tinggal di sini kami sskeluarga menyukai terutama pelayanan saat makan pagi jempol 5 buat semua tim restoran harapan bisa tinggal lagi ini fairfield surabaya atau lokasi lain
Maret Leriyanto,2025-11-20,5,menginap di sini sangat menyenangkan kamar bersih dan terang restonya oke deket kolam renang fasilitas mantapp ada gym kolam renang dan fasilitas kamar juga lengkap sayangnya lantai kamar tidak memakai karpet jadi dingin banget klo tidak memakai sendal dan bapak yulius beliau sangat ramah dan memberikan informasi2 tentang kuliner surabaya mantap poknya
Thio Arief,2025-12-20,1,hotel bintang 4 yang tidak layak parkir gelap dan tidak terawat awal chreck masuk dapat kamar 1 bau lembab dan kotor lalu di pindah ke kamar 917 remote tv rusak udara tidak panas dan wastafel bocor sarapan sangat biasa bibir gelas retak di sajikan saat saya di tawarkan teh oleh staf resto kucing tembok berserakan juga tidak ada yang membersihkan padahal saya 3 hari di hotel tersebut sanitizer di gym tidak bangunan sangat tidak terawat staf hotel banyak yang magang kelebihannya cuma lokasi yang strategis jika harga berfungsi 800k sangat mengecewakan
Miftahur Rohman Habibie,2025-11-20,4,kebetulan dapat kamar yang kamar mandi tidak bisa dikunci dan gantungan mandi rusak jadi harus dipegangi ketika mandi tangan juga cuma 2 biasanya ada tambahan tangan kecil untuk di kamar mandi secara keseluruhan oke
Benz Spencer Hoky,2025-10-20,4,Parkiran nya sumpek hotel agak kurang bersih kirain expectnya bakal bersih banget karena nama marriott tapi ini dia mengambil dari berbagi gedung dengan mayapada siap siap yang mbl nya besar susa banget ke parkiran sisa nya cukup oke lah lah untuk harga sgini masi banyak pilihan yang lain yang lebi bersih menurut saya
Ri Rin,2025-11-20,5,hotel bersih dan nyaman pelayanannya baik stafnya ramah2 sarapan jg lumayan enak banyak pilihan secara keseluruhan bagus dianjurkan untuk menginap saat ada di kota surabaya
Hells Shire,2025-09-20,3,beberapa staf terlihat acuh dan sepertinya memilih sama pelanggan ya terutama keamanan loby yang perawakannya kurus giliran yang mobilnya mahal saja di rajakan yang mobil biasa dianggap angin untung makanan enak
apoo mech,2025-11-20,1,pesan kamar ada beberapa item rusak harus telepon dlu buat perbaikan lama pula nunggunya seperti tidak siap untuk menyewakan kamar hotel sekelas marriot perlu perbaikan manajemen dan tata kelolanya
agtifa primadani,2025-08-20,5,Dua kali menginap di sini untuk perjalanan bisnis dengan twin bed bantal empuk fasilitas dasar di kamar mandi sprei dan handuk bersih udara hangat dan ac berfungsi dengan baik sarapan standar hotel seperti stasiun telur salad counter bubur ayam roti jam ada juga jamu tradisional selain espresso enak layanan baik dan staf ramah
Lilly Po,2025-11-20,3,Nginap di sini coba saja karna masih grup marriot tapi mengecewakan ya ada harga ada rupa lah menurut saya tidak cukup bersih layanan nya oke lah tapi mengecewakan masalah parkir baru kali ini nginap d hotel bayar parkir ternyata harus daftar parkir gratis yang tidak ditawarkan diinfokan saat memeriksa masuk layanan lain nya oke
try yanuar wahyu,2025-07-20,5,mengesankan 1 dateng hari sabtu 21 juni skitar pk 15 30 ketika parkir ke b1 langsung d sambut staf keamanan yang ramah dn dengan cekatan memandu kami parkir tambah memastikan kondisi mobil sesuai dengan ketentuan parkir tidak rem tangan 2 staf fo juga ramah dn langsung memberikan informasi detail tentang fasilitas kamar dn hotel setelah itu kami langsung diberikan minuman selamat datang 3 kamar hotel bersih dan semua peralatan berfungsi dengan baik dn normal 4 kolam renang bersih dan juga nyaman untuk bermain anak kami yang yang 3 th dn juga tersedia fasilitas menggambar saya memberi peringatan kepada anak kami 5 staf bar yang juga ramah dan cekatan membantu sayawasi anak kami saat sedang usia
Kurnia Dewi Cahyaningtyas,2025-07-20,5,hotel ini menawarkan pengalaman menginap yang nyaman dengan pelayanan yang ramah dan fasilitas memadai berikut ulasan saya setelah menginap satu malam 21 22 Juni 2025 di sini 1 saat memasuki area disambut dengan mesin parkir untungnya di sini bisa menggunakan kartu e uang dan lumayan banyak jenisnya sehingga bagi orang yang tidak berkas ini sangat membantu dan tidak perlu menyimpan karcis parkir karena sudah terdata dengan nomor e uangnya parkir baru gratis juga bagi yang menginap dengan menyerahkan e uang yang digunakan untuk dikesekan dataanya di resepsi agar bisa mendapatkan karcis berbarcode bebas parkir saat kita keluar dari hotel minusnya kemiringan jalan masuknya sangat miring khawatir
siska jelita,2025-10-20,5,overall pelayanan best banget masih sama seperti dulu dan selalu konsisten terutama untuk tim kantor depan n bell boy yang sangat membantu kebersihan juga 10 10 makanannya rasanya juaraa pelayan nyaa ramahh pol lupa nama mas nya tapii yang inget kmrin ktemu pak suyono wkwk good job yaa fairfield sangat dianjurkan untuk tinggal akan merindukan hotel ini seperti biasa
Miss Inge,2025-10-20,4,fnb nya bagus d sini mulai dari runner menu dan sejenisnya layanan sp d resto oke aman klo resepsionisnya kurang ya mnrt saya masak d depan tamu saling lempar meja kerja sangat aneh
Rizka Virli,2025-12-23,1,Check masuk tertera jam 3 jam 4 belum siap kamarnya padahal pesen 3 kamar tigatiganya belum siap receptionistnya juga lama sekali
