User Name,Review Time,Rating,Review Text
黄merissadian,2025-12-29,4,Ruang yang bersih dan luas bagus keramahan tapi harus cek kalau jie expo ada acara musik dah pasti tidak bisa tidur di bawah jam 12 malem musik jedam jedum kaca getar sampe kayak mau pecah manajemen kudu mikirin gimana biar lebih tenang pakai peredam atau apa bawa anak dan lansia sangat tidak disarankan jika ada acara musik disana strategis letak
Mustika Nurdiati,2025-12-05,5,pesan kamar yang biasa tapi waktu cek masuk diupgrade ke suite senang sekali kamarnya luas di lantai yang cukup tinggi jadi pemandangan ke jiexpo nya bagus ada kolam renang di lantai bawah tapi menurutku terlalu terekspos orang yang berlalu lalang jadi kurang nyaman menu sarapannya banyak tapi rasanya biasa saja secara keseluruhan hotelnya nyaman dan sangat puas dengan kamarnya yang indah
Danu Dwi,2025-12-22,5,layanan pelayanan nya bagus hotelnya bagus banget kebersihannya juga oke dibantu pak rizki housekeepingingg gercep ada kolam renangnya lagi best buat liburan masuk express kemayoran
karyn sem,2025-12-05,5,Hotel ini uda kaya rumah kedua kalau saat ada acara di jiexpo semua kru ramah juga cepat tanggap penuh senyum makanannya juga oke dan rumah menjaganya jg satset kebetulan yang saya sempat ketemu namanya merry b cekatan handal dan ramah sukses selalu hotel kesayangan
Ronny Ramadhan,2025-12-05,5,Salah satu rekomendasi hotel yang dekat dengan jiexpo akses ke area jiexpo sangat mudah tinggal berjalan kaki lewat pintu belakang hotel yang terhubung dengan area jiexpo saya tinggal di kamar dengan tipe standar dan itu sangat nyaman dan luas menu sarapan beragam dan enak enak
Chandra Kristanto,2025-12-22,5,sangat masuk disambut sama resepsionis bu daftar klo tidak salah sikap pelayanan bintang 5 dpt kamar 300an ac central luas free breakfast ditggu kedtangan saya lg klo ke jakarta terima kasih
Shadiqa Imanina,2026-01-02,5,Tempat yang bagus untuk menginap selama di Jakarta 5 bintang buat layananenya semua ramah dan sangat membantu banyaj dibantu sama kak helen sangan dianjurkan untuk menginap di sini
Cece Cece,2025-11-05,5,Hotel ini sangat aman sekali 2 bulan yang lalu kehilangan dompet di hotel ini liburan di malam hari aku mencoba bertanya ke kepastian dn respsion ternyata mereka yang menemukan dan di simpenin selama 2 bulan itu sangat aman2 kalian sukses terus liburan di hotel terimakasih banyak ya
anisa jasni,2025-12-22,5,Selama ada pameran di Jiexpo staf nya sangat membantu resepsionis nama kak lesti sangat ramah karena datang sedikit lebih awal kami dibantu cek masuk lebih awal ini membantu sekali karena perjalanan dari pulau yang berbeda langsung bisa istirahat barang yang dititipkan juga aman banget terus untuk fasilitas hotel kayak cuci pakaian dan layanan mandiri untuk setrika jg ada membantu sekali kamarnya bersih dan enak saya nginap 5 hari di sini sangat menyenangkan beberapa kali kejutan dari staf pembersihan lucu lucu dapat kasih tangan jadi saya tip sedikit pekerjaan baik liburan inn hihi
Nur Aliyah Santoso,2025-11-05,5,Pertama kali menginap di sini karena ada konser di Jiexpo Theatre lokasinya deket banget tinggal jalan kaki udah sampai dan fasilitasnya juga oke nyaman poll
EfixDS174,2025-08-05,5,lokasi hotel berada di taman ji expo dekat gerbang g fasilitas kamar bagus ada teko listrik pengering rambut smart tv kulkas mini teh kopi teh gula kremer air mineral mencuci tangan sabun sampo tubuh mencuci tangan sandal hanger kamar cukup luas menu sarapan banyak pilihan dan rasanya enak parkir gratis untuk tamu hotel udara panas mengalir lancar dan begitu kran diputar langsung panas staf depan kantor restoran rumah menjaga sangat ramah sangat memuaskan hotel pilihan terbaik bagi kalian yang akan mengunjungi atau berkegiatan di prj salam buat manajemen hotel yang memberikan layanan yang terbaik
