User Name,Review Time,Rating,Review Text
Akhmad Arie,2025-12-15,5,lokasi nya juara nyebrang ke sarinah 200m ke sabang 800m ke grand indonesia pelayanan front desk nya ramah dan helpful menu dan rasa sarapan sni parkir tertutup muat 8 mobil terbuka pun ada didepan satpam pa ci tidak membamtu parkir tapi ketika co dipandu sampai keluar hotel
Fajar Asri,2025-12-05,5,staff ramah selalu mengucapkan salam perlengkapan sholat lengkap al qur an sudah tersedia tanpa diminta adzan selalu berkumandang di 5 waktu sholat menu sarapannya enak berasa bumbunya belum lagi lokasinya yang super strategis sukses dan berkah selalu dafam
wilanda ayu,2025-09-05,5,lokasi bener2 strategis jalan kaki tidak sampai 5 menit sudah sampai stasiun mrt bundaran hi klo hari minggu beneran jalan depan hotel sudah mulai cfd tepat sebrangan banget sama sarinah fasilitas kamar juga cukup oke tersedia mini kulkas udara hangat berfungsi segitu kamar bersih sarapan juga udah oke harga lumayan bervariasi dan ada mesin kopiinya seneng banget nemu hotel gini layanan jangan ditanya ramah dan membantu minususnya cm kamarnya agak sempit tapi dengan kelebihan lainnya masih bisa dimaklumi banget cm catatan saja gabisa bawa barang banyak2
Shela Azizah,2025-11-05,2,sebenarnya kamar bagus lokasi strategis staf lain termasuk satpam shift pagi pun ramah namun saya benar2 mengalami pengalaman tidak menyenangkan dengan satpam shift malam tersebut saya baru sampai hotel pukul 02:00 pagi karena penerbangan tertunda minta tolong resepsionis dibuka kan pintu sudah lintas cek nama pemesan nomor kamar resepsionis pun sudah meminta satpam untuk mengantar saya dengan memberikan kunci cadangan namun satpam yang mengantar saya tidak ingin membuka kan pintu dengan alasan prosedur berkali-kali dia mengetuk pintu kamar hingga teman saya bangun saya tegur dia malah nyolot dan tetap tidak membuka pintu dengan alasan takut salah kamar
Ali Akbar,2025-12-22,5,Hotel sangat strategis untuk perjalanan di jakpus sangat dianjurkan bwt mereka yang cari bersih syari anggaran rendah di kelas baru
Lia Perdana,2025-08-05,4,cek masuk lancar pk 14 00 tapi petugasnya yang perempuan tidak melihat nama jutek syekale tinggi ekspektasi klo hotel syariah petugas akan ramah2 lokasi sih yang yang oke oke sangat sangat2 strategis di downtown dekat kemana2 kamar luas tapi exhaus kamar mandi berisik saluran pembuangan kamar mandi bau kebersihan okelah 7 5 10 pilihan menu sarapan kebanyakan karbo protein minim hewani ekstradisi incl bf tergolong mahal pdhl kamarnya sendiri lumayan murah untuk di daerah se strategis itu petugas saat keluar cek jg lancar jam 10 30 yang laki2 ramah mungkin akan kembali jika lg di daerah tham
inu,2025-09-05,1,gatau apa bedanya kamar deluxe sama superior bener2 dari segala sesuatu sisi sama luasnya pun sama sama beda diharga saja jelas lebih mahal deluxe jadi jangan mau ke tipu enak ambil superior saja sekalian dan makannya bener2 tamplate ayam nasgor gitu saja pelayanan bagus ramah tapi sistemnya perlu diubah lokasi oke banget
Carund,2025-11-05,4,semua bagus dan relate juga sama ulasan pengunjung lainnya disini hanya saran saja untuk lantai kamar mandi perlu diperhatikan pemeliharaan nya karena sangat licin kasihan jika ada orang yang uda cukup tua yang nginap disitu dengan kondisi lantai kamar mandi yang begitu licin saya yang masih muda saja sangat takut kepleset dan harus ekstra hati hati jika masuk ke kamar mandi nya saya kira itu saja
Ranty Purnama Sari,2025-09-05,5,hotel yang strategis dekat kmna2 ke sarinah tinggal nyebrang saja acara cfd didpn hotel harga jg terjangkau rekomendasi dehh masa lalu akan menginap dsni lg kalau ke jakarta
Ann Qanita,2025-12-08,5,kamar nyaman makanan banyak pilihan pelayanan ramah sangat deket banget sama sarinah dan total buah
