User Name,Review Time,Rating,Review Text
Achmad Zulkifli,2025-12-15,3,secara keseluruhan jika di titik 7 10 masih ada beberapa poin minus yang harus menjadi perhatian 1 pemenas air minum rusak apakah harus mengadu dulu baru akan diganti apakah tidak ada daftar pemeriksaan pemeliharaan rutin yang dijalankan untuk menilai kondisi kamar beserta fasilitas nya 2 sarapan standar jumlah potongan buah sangat sedikit dan tidak diletakan setiap jenis buah per piring hanya disajikan satu piring 3 jenis buah jumlah yang sedikit dan cepat lambat dilakukan mengisi kembali kita mau sarapan cepat karena mau bekerja cuma gedek ngguin buah belum di isi 3 kondisi suhu udara panas sangat dingin tidak stabil dalam pengaturan penanganan udara sangat panas
Tri Josih Pebriani,2025-12-15,1,benar2 pengalaman menginap yang buruk pelayanannya tidak ramah terutama di ruang makan yang pagi2 konfirmasi nomor kamar padahal teman2 sarapan sekali bilang udah datang berkali-kali ada yang sudah menyebutkan nomor kamar bilang sudah ada yang sarapan padahal belum ada yang sarapan benar2 kacau jauh dari pusat kota makanannya juga tidak enak
MFA Channel,2025-12-05,4,secara keseluruman sih masih rekomen tapi ada beberapa yang kurang maksimal kebersihan halaman hotel tlg jadi perhatian
Crz 13 chanel,2025-10-05,3,Hotel ini sangat bagus asri pemandangan nya permohonan subur hijau dengan viuw kolam renang yang baik tapi sayang kamar nya cukup kamar mandi ya bau lama atau karena terlalu banyak kamu membutuhkan renovasi besar besaran pada kamar baru banyak serangga yang seharusnya bisa di perbaiki satu lagi masalah utama kurang ramah petugas hotelnya membutuhkan di tata ulang
Imma Wasis,2025-08-05,5,kamar lumayan bersih dan nyaman kamar mandi bersih layanan baik petugas cukup ramah lokasinya agak jauh di pinggir kota membuat hotel ini cocok untuk persinggahan semisal perjalanan dari palembang menuju bengkulu
Fikri Solo,2025-12-22,5,hotel bersih makanan enak pelayanan ramah
Games And Toys,2025-11-05,5,hotel bagus dengan layanan memuaskan untuk yang mengunjungi kota lubuklinggau bisa untuk menginap di sini
Achmad Rifani,2025-07-05,5,kamar bersih kolam renang bersih makanan enak dan bervariasi secara umum pelayanan agk lambat terkesan kekurangan staf
Indri Js,2025-04-05,2,untuk bintang 4 dirasa masih belum cocok yang ramah hanya staf pembersihan dan juga keamanan yang lainnya kebanyakkan prengat prengut seperti bukan orang perhotelan dan menurut saya kurang profesional mengeluh tapi tidak ada permintaan maaf untuk makanannya enak kamar juga tidak buruk untuk yang lain sepertinya masih perlu perbaikan dan juga ditren ulang karyawannya diturunin saja bintangnya biar ekspetasi pengunjung tidak terlalu tinggi maaf untuk mengatakan
Faridilla Ainun (fainun),2025-06-05,5,Lokasinya agak jauh dari kota kalau menuju palembang atau sekayu mungkin cocok istirahat di sini atau yang merasa sangat lelah dari perjalanan bisa istirahat di sini fasilitas lumayan ada kolam renang
Pawon Mertua,2025-01-05,4,sudah beberapa kali menginap di sini baru sekali ini playanan kurang memuas kan 2 malam menginap di sini sarapan hri pertama pelayannya dengan sedikit lansang mengambil piring n cangkir di atas meja mkn tanpa bertanya dahulu sudah selesai belum padahal aku belum selesai mkn n udara dicangkir masih ada utama bawa saja siangnya jam 1 ketika kembali ke kamar istirahat salat wktu mau masuk kamar kunci kamar tidak bisa membuka kamar katanya harus diupgrade masuk kamar perlengkapan mandi yang aku bawa dari rmh sikat gigi pasta gi2 dan sabun 2 botol kecil hilang ketika di tnya ke petugas kebersihan2 yang bwa troli petugasnya langsung mencari
Amiin Fauzi,2025-08-05,5,nyaman bersih alternatif tempat liburan tempat nya serasa di puncak bogor
akhmad akbar,2025-03-05,5,kenyamanan luar biasa cocok untuk menginap pilihan yang paling tepat ketika di lubuklinggau pelayaanan baik kamar super nyaman dan sangat bersih dan terawat terima kasih untuk pelayaanan baiknya untuk manajemen famvida salam terbaik akbar
ECU-LAB Asep Mc Gyver,2025-12-05,5,Setiap kali ke lubuklinggau nginep nya pasti di sini nyaman asri
Alfredo Lukman,2025-01-05,1,manajemen kurang profesional furnitur kamar bagus sayangnya lantai kotor layanan pembersihan tidak profesional 2 malam menginap keduanya sangat tidak nyaman akibat listrik padam sampai 1 jam lebih orang tidak hidup berhasil terjebak di kamar tengah malam lokasi jauh dari kota makanan standar
Nayya Family Channel,2025-04-05,5,hotel yang sangat nyaman berada di dalam kota bersih dan nyaman banget nginap bersama keluarga
Rinno Wardana,2025-01-05,5,Salah satu hotel terbaik di Lubuklinggau kamarnya nyaman tempatnya asri dan dingin ada kolam renang dan fasilitas pendukung lainnya menu makan bervariasi banyak pilihannya
