User Name,Review Time,Rating,Review Text
kcx project2,2025-12-19,5,sudah 2x menginap di sini pelayanan staf masih sama baiknya selalu tanggap dan ramah kepada tamu menu sarapan variatif dan enak fasilitas gym n kolam renang ada walau di gedung berbeda cuma ada yang sedikit mengganggu ketika masuk kamar posisi listrik mati begitu buka pintu pasti aroma pembuangan saluran udara tercium sangat menyengat kamar saya dilantai 10 nomor 5 mohon untuk diperbaiki jika saya sih aman saja yang penting aroma itu sendiri setelah ac dinyalakan tapi saya yakin tamu tamu berikutnya nanti suatu saat akan komplain masalah aroma menyengat ini
Layla Nugraha,2025-12-19,5,hotel yang layaknya dekat dengan pusat belanja tanah abang dan thamrin kota harga oke fasilitas oke staf ramah cepat dan tanggap dalam melayani permintaan saya minta dibawain besi tidak sampai 5 menit langsung datang ramah mas nya sampai nanya ada yang bisa membantu lagi tidak 5 bintang top terima kasih mas evan kamar bersih juga cukup luas lah sesuai harga direkomendasikan pokoknya
ashary muh,2025-12-19,5,menu makanan enak banyak pilihan dan berubah rotasi menu disetiap harinya jadi tidak membosankan kamar tidur oke trimakasih banyak mbak salsa atas pelayan ramah dan sangat membantu saat di restoran kalau ke jakarta jangan lupa nginap di hotel ibis gaya jakarta tanah abang
Ruru Kim,2025-12-19,5,Suka banget sama pelayanan para stafnya ramah dan responsif terutama sama miss astrid cekatan dan teliti sekali saat bantu bereskan kamar dan bersih pekerjaannya peka juga dengan hal yang cust butuhin terima kasih miss astrid dan staf lain
Nurul Huda Mulyawati,2025-12-02,5,selama menginap di ibis style jakarta tanah abang nyaman sekali dengan pelayanannya lokasinya yang strategis proses cek masuk yang cepat dibantu mba nabila tim hotel sungguh murah senyum dan ramah tidak segan untuk sigap membantu di kamar tidur yang luas lantai dan perlengkapan tidur yang bersih oia di kamar hotel hening sekali cocok untuk istirahat kamar mandi yang wangi dan lantainya cepat kering sarapan yang enak sertu menu yang beragam tentu saja ada anak-anak menu pojoknya nugget homemade enakk oia terima kasih juga untuk mba dhipta karena sudah menemani putri saya saya saya mengingatkan saya ucapkan terima kasih untuk pengalaman menyenangkan menginap
Mutiarasari Syah,2025-12-19,5,kolam renangnya besar keren dan nyaman lalu saya di antar dan didampingi oleh ka septi baik sekali membantu anak2 dan rendah hati sekali sukses gaya ibis
Candra Halim Ong,2025-12-26,3,kamar terlalu sempit untuk ukuran hotel berbintang 4 makanan kurang variasi untung tertolong oleh pelayanan yang sangat baik staf juga ramah sangat banyak membantu
niko saputra,2025-12-02,5,sarapannya enak menu nya jga banyak pelayanannya sgt ramah dan cekatan kamarnya nyaman bersih dan housekeepingnya mas rizal sangat peka sekali dan membantu saya memindahkan koper saya sangat puas dengan pelayanannya yang sgt baik sukses sll mas rizal
Krisna Vidya,2025-12-02,5,sarapannya variatif ada menu untuk anak anak di anak sudut enak enak semuanya terutama mac n keju kami sekeluarga dibantu oleh mba hanifah untuk mengatur meja ber 6 terima kasih mba hanifah
Metanucci Hubbia,2025-12-02,5,sudah ke beberapa kali menginap di ibis style tanah abang layanan nya luar biasa baiknya terutama kak dhipta yang siap nemenin anak anak main di anak sudut kamar bersih tidak ada bau aneh atau tidak enak sarapan lengkap banget jenisnya anak sudutnya bener bener bikin anak betah ambiance nya keluarga ramah banget dan di kamar ada guling jarang banget hotel ada gulingnya
