User Name,Review Time,Rating,Review Text
AR,2025-12-22,4,saya sarankan banget untuk bintang 3 kamar nyaman luas ada balkon linen bersih cermin besar air minum tak terbatas tinggal isi ulang di dispenser staf ramah lokasi strategis mudah dijangkau gym ada fungsi kurangnya cuma satu wastafel dan mandi drainnya mampet sudah info ke layanan pembersihan tapi gaada perbaikan apa apa selama 3 malem jadi jika mandi aga geli udara menggenang kena kaki sama toilet bocor tiap hari setelah dibersihin kran toiletnya dimatiin sama staf harus kita nyalain lagi setiap hari
NeviraDanisya 660,2025-09-05,2,waktu itu saya sarapan tapi jujur banget masakannya makanan warteg nyata cuma nasi ayam saja dan sayur tidak ada pilihan lauk lainnya bahkan untuk dessert cuma roti tawar ya huhu mungkin emg gini kaki anda pertama kali menginap di sini kamarnya oke semua oke cuma sarapan nya agak kurang
Cahar 03,2025-10-05,2,Pelayanan kurang bagus terutama untuk waktu datang mau cek masuk pura pura tidak diliat cuy kita didiemin dong padahal fonya berdua pakai kacamata bening tidak pakai nama tag lampu kamar bermasalah telepon tidak berfungsi waktu mau mengeluh kacau lah
Naomi Andriyani,2025-11-05,5,lokasi sangat strategis kamar bersih pelayanan sangat ramah untuk sarapan banyak variasi memuaskan
Herman Wibowo,2025-09-05,4,Saya suka hotel ini letak strategis harga masuk anggaran saya menginap sudah 5 kali ac kamar dingin skli kasur bantal guling nyaman udara mereka yang utama buat saya cuma sabun yang terlalu sedikit keluarnya harus dikesek berkala kopi dengan variasi menu baik bu novi memberikan pelayanan yang baik jika ada roti gandum lebih baik
Apriyanto,2025-09-05,1,Saya baru sampai hari ini 30 Agustus 2025 lg menunggu cek masuk mau duduk di sofa dan sofa membuat ada tumpahan kopi ternyata akhirnya celana saya basah sampai ke dalamnya sama samperin karyawan nya cuma minta maap berdoa trus saya suruh beresin biar tidak ada ad orang lain yang kena berselang 10 15 menit tidak ada ad yang beresin juga itu sofa fatal banget lg mau jalan jalan di bali satu hari sudah membuat suasana buruk tumpahan kopiinya karamel lagi adu bau panjang banget
AreumdaunByAsrie,2025-08-05,4,Sesampainy di bali iseng tinggal di kota dpt di lantai paling atas kebetulan hari ini angin lg kenceng dilantai 5 lumayan agak horor sebenernya aku pesen kamar tanpa sarapan lalu iseng tanya ke fo ternyata bisa beli sarapan di hotel dan kebetulan saat ini itu lahi promo oiyaa u bbrp barang layout kamar mungkin bisa mencoba di upgrade selama menginap di ibis meskipun 1 mlm ngga ada keluhan apapun staf juga ramah
Gusti Ngurah,2025-07-05,5,Hotel Kota yang benar benar berada di tengah kota denpasar dekat dengan mall kamar nyaman staf ramah dan ada taman bermain dan kursi pijat di samping area lobi makanan tastenya enak terima kasih atas pelayanannya
Febrina Rizka,2025-08-05,5,kamar bersih semua fasilitas di kamar berfungsi dengan baik tapi ada kurangnya sedikit di tv nya masih tv kabel mungkin sebagai masukan agar nantinya tv nya diganti ke tv internet sisanya sudah oke
Amel Sukma,2025-12-15,5,kamar nyaman ac dingin air lancar toilet bersih saran disediakan tisu di kamar
Abdullah Daqo,2025-08-05,3,Saya menginap dua hari dua malam di sini hari pertama masih biasa saja di hari kedua setelah saya membersihkan malah bau bangkai tikus yang entah dari mana asalnya itu saja sih kurangnya trus untuk udara usahakan langsung sedia masuk saja di kamarnya ngga semua orang ingin untuk harus mengambil udara ke koridor
Nur Alikha,2025-08-05,5,pelayanan baik ramah kamar nyaman untuk harga terjangkau banget dengan fasilitas lengkap makanan enak halal terbaik buat pengunjung baru datang ke bali rekomendasi banget nih buat kalian
SUNARTI andrie,2025-12-29,3,sarapannya membosankan air dispenser yang disediakan selalu habis
Melky Anawaru,2025-11-05,5,kamar bersih dan nyaman stafnya juga ramah ramah dan makanannya sangat bervariasi
melki sedek,2025-11-05,5,sangat strategis kemana2 juga mudah karna terletak di pusat kota denpasar staf ramah dan makanan sangat bervariasi
Firman Hanafy,2025-12-05,5,untuk urusan pekerjaan di sekitar Denpasar oke sekali istri juara nilai untuk uang
Rosalia Asririn Solo,2025-11-05,5,Saya suka dengan lokasi yang berada di tengah kota dan dan staf yang ramah serta pelayanan yang bagus
Lalu Irfi,2025-08-05,5,bagus banget staf nya ramah dan kebetulan waktu menginap saat ada acara jepang dan menurut ku meriah dan benar buat berkesan
Galang Fahri,2025-07-05,2,untuk fasilitas sangat kurang lampu toilet kurang terang tidak di sediani kopi sachet tv kesalahan untuk sekelas hotel bintang kamar termasuk kecil kalah sama penginapan pinggir jalan
