User Name,Review Time,Rating,Review Text
Irma Rachmawati (Irma R),2025-12-15,5,tempatnya ditengah komplek golf asri pemandangannya seger ac nya dingin banget semaleman tidak ku nyalakan tapi engsel kamar mandi bagian lemari nyaris lepas mohon segera memperbaiki area toiletnya unik ya pintunya di slide dan kacanya besar banget sebesar harapan dan cita cita kasur enak cuman untuk bertiga dengan anak cukup sempit kalau ditambah tambahan kasur masih cukup luas kamarnya tangan bersih bagus tv ukuran nya 32 tapi bagus pakai tv kabel mnc wifi bagus saya tidak mengambil paket sarapan jadi tidak bisa meninjau makanannya
FAAHIMAH (2290331024),2025-12-29,1,pelitt minta tambahan tangan 1 saja tidak boleh pdhl memang buku untuk 2 orang dewasa 1 anak tangannya jg hanya tangan besar tidak ada tangan kecil pelayanan resepsionis nya tidak ramah dari cek masuk tidak ada senyumnya saat cek masuk sudah konfirmasi sarapan dapat untuk 2 orang dewasa 1 anak perkamar dan usia anak di bawah 17 tahun eh saat sarapan dilarang sama mba2 yang nyatet di resto katanya anak2 di bawah 12 tahun masa informasi seperti ini yang seharusnya sudah sop tidak sama antara resepsionis awal dan resto toh dari jg sudah diinfo saat buku sarapan yaitu untuk 3 termasuk di bawah 17 thn konfirmasi anak lg ke
Ari Kusuma,2025-12-29,4,Lokasinya di pinggir jalan di kawasan perumahan elit di bogor suasananya sejuk tersedia kolam renang untuk orang dewasa dan anak anak berukuran kecil taman bermain dalam ruangan dan mini zoo di hotel novotel yang bisa diantar jemput menggunakan shuttle yang tersedia
SonyC T,2025-12-29,5,Hotel yang sangat baik untuk keluarga terutama anak anak untuk liburan ada ruang bioskop anak kegiatan kolam renang yang cocok untuk anak2 makanan juga cukup enak malam hari ada paket makan semua yang bisa Anda makan 125rb saja
Arie Noviyanto,2025-12-05,5,ibis styles Bogor berlokasi di area yang tenang dan eksklusif tepatnya di tengah perumahan golf estate Bogor raya letaknya yang berdekatan dengan lapangan golf membuat hotel ini sangat cocok bagi para eksekutif yang berencana bermain golf bersama kolega atau klien suasananya tenang hijau dan terasa premium akses menuju tempat hiburan dan area pertemuan juga sangat mudah hotel ini cukup dekat dengan mall sumarecon bogor serta arena permainan aqua game bogor sehingga cocok bagi perusahaan atau komunitas yang ingin mengadakan kegiatan outing atau pertemuan sambil menikmati fasilitas hiburan modern saat saya menginap pada bulan November 2025 keluar tol menuju ciawi sedang ditutup karena proses pengecongan
rossy yulianti,2025-12-05,5,menyegarkan sebentar sebelum anak2 ujian akhir semester menginap di hotel ibis bogor raya sangat menyenangkan suasana sekitar hotel sangat tenang hotelnya juga anak-anak ramah kami menginap di kamar tipe keluarga dapat harga murah 1 3 akhir pekan sarapan gratis untuk 2dws 2anak dibawah 16tahun kamar bersih wangi staf ramah membantu sarapan cukup bervariasi ada mini taman bermain naik kuda gratis naik sepeda gratis gokart listrik berbayar 90ribu disediakan shuttle bus antar jemput dari ibis ke novotel untuk kegiatan anak-anak di novotel minizoo terbang Fox golf mini pelangi slider
Levin Natalia,2025-12-05,5,pertama kali mencoba menginap di sini yang yang tidak jauh banget kebersihan lobi oke resepsi nya lumayan ramah tapi kalau pengalaman aq saat ini datang cek masuk karyawan cewe nya agak kaya takut menjawab jika ditanya ntah kenapa untuk untuk kamar hotel nya bersih dan konsep kamar mandi serta toilet nya bagus karena di pisah saya suka pintu kamar mandi nya pun tipe pintu slide jadi tidak makan tempat dan lebih estetik saja kamar jadi terlihat lebih luas di dalam kamar dilengkapi dengan kopi pemanas air lemari es brangkas pelengkapan mandi serta teko udara biar bisa mengisi udara di dispenser dengan setiap lorong kamar sarapan waktu makanan nya super beragam dari nasi aneka
cay ningrum,2025-12-22,5,lokasi agak jauh dari jalan utama tapi ada di dalam kawasan perumahan elit yang dekat dengan lapangan golf suasana tenang harus ada kendaraan untuk keluar masuk area hotel ke area komersial akses lebih dekat dari keluar Bogor selatan tapi kemaren jalannya lagi ditutup ada perbaikan jadi harus muter dari keluar Bogor baranangsiang agak jauh yang saya suka di hotel ini ada penekanan jarang ada hotel menyediakan penekanan
siti badriyah,2025-10-05,5,liburan yang sangat menyenangkan suka banget sama layout kamar terutama kamar mandi kompak banget tapi tetap estetik tanpa mengurangi fungsi pemandangan bagus golf banyak pemandangan aktivitas anak sayang sekali waktu ke sini anak kamar lagi tidak bisa dipakai karena ada lagi acara tapi secara keseluruhan bernilai harga buat yang mau main ke area bogor raya cari hotel anggaran yang anak-anak hotel ramah ini rekomendasi sih menurutku terlalu menikmati saat sampai tidak sadar gaada foto hotel membuat review dengan tepat huhu maaf
Lucy Indrawati Witojo,2025-12-05,5,Proses cek masuk mudah semua staf sangat ramah terima kasih ibis style bogor raya sudah meng upgrade kamar saya sangat menyenangkan dan nyaman hotelnya sangat ramah anak ada kolam renang yang bersih dan nyaman untuk anak ada klub anak juga kebersihan juga terjaga sarapan cukup lengkap dan rasanya enak
