User Name,Review Time,Rating,Review Text
senggo praduto,2025-12-02,5,langganan tiap akhir tahun hotelnya mantap banget buat yang ada acara di sunter kamar buat kerja oke pelayanan ramah dan solutif sat set nama mas rizqi semoga sehat selalu mas rizqi tulus melayani kami
Andika Purnomo,2025-11-02,5,pertama kali menginap di sini hotelnya nyaman bersih tenang dan staf2nya sangat membantu dan ramah makananya juga enak dan variatif ini termasuk hotel ibis yang makananya enak dan variasinya banyak dibandingkan dengan hotel2 ibis lainya yang pernah saya kunjungi terima kasih chef nano chef sanjaya dan seluruh staf terimakasih atas pelayananya selama saya tinggal di sini bertemu lagi lain kali
Aprilia MP,2025-10-02,1,ketinggalan 3 barang dikamar dan tidak ada informasi sekali lagi ketika saya sudah cek keluar pada hari tersebut sehingga saya harus berbicara duluan ke pihak hotel untuk menanyakan tentang barang ketinggalan dan ternyata jawaban yang saya dapat tidak sesuai
tobias sunarga,2025-11-02,5,layak sih dengan harga kamar bersih dan wangi yang paling gong sarapannya enak enakk dan bervariasi staf ramah dan gercep semua akan datang di sini lagi jika ada acara sekitaran sunter
Mommy Bapontar,2025-07-02,1,menginap ke 4x kesni tapi saya sungguh kecewa 3x tinggal di sini selalu upgrade ke kamar keluarga dengan alasan ada xbox skg tinggal di sini karena permintaan anak ingin di sini karena ada xbox ternyata xbox cuma 1 dan jam siapa cepat memesan dia dapat padahal manfaat dari kamar keluarga dikamar mendapatkan xbox sayangnya karena sudah tidak ada jadi agak menyesal memperbaiki ambil kamar lain atau di mercure alam sutra itu jadi keluarga kamar teman tema cuma 2 jadi ya wajar xbox nya cuma 2 ini kamar keluarga lebih dari 1 tapi xbox cuma satu seppele tapi setidaknya tolong diinfokan lebih awal
aileen,2025-11-02,4,Wah memuaskan sekali untuk menginap pertama saya di sini ada resepsi baru saya melihat nama saya mba evelin sangat membantu sekali menyambut saya saat baru masuk dan staf resto juga sangat ramah serta menu sarapan sangat mantap pekerjaan bagus ibis sunter
Berton Deviano,2025-12-02,5,sangat hangat dan membantu layanan dan hotel terima kasih buat mas rizqi dari tim resepsi sudah dibantu dengan pelayanan yang ramah
synthya emily,2025-11-02,5,Salah satu rekomendasi hotel dekat RS jec dengan pelayanan yang sangat cepat merespon terutama mba eveline bagian resepsi yang membantu mengarahkan dan pastinya kamar yang bersih
Yelina Ivone,2025-08-02,3,ruang kamar cukup luas tapi bau kamar apek dan lembab seperti tidak ada ventilasi yang baik walau secara ruangan besar dan kasur jg king size bed sangat tidak menyenangkan linen kasur entah kenapa kusam dan lembab jadi ketika tidur baju saya jadi lembab basah
Rais Business,2025-12-26,5,Ada lapangan bulutangkis nya mantap yang hobi nya tepok bulu tidak usah jauh2
intan adew,2025-11-02,5,hotel yang strategis dekat dengan pelabuhan tanjung priok kamar nyaman pelayanan ramah permintaan sesuatu langsung di layanin banget tidak perlu menginap di sini
Ikhsan Nur Rochiem,2025-09-02,5,Lokasinya strategis mudah dijangkau baik kendaraan pribadi atau umum kamarnya bersih toilet bersih area hotel juga bersih parkir ada basement staf ramah dan profesional sarapan variatif mbak yang buat omelete dan telur rebus servicenya luar biasa joss
Elrazak Rizki,2025-11-02,5,hotel nya enak mas rizki saangat sopan cepat tanggap dan baik dalam melayani tamu
cresentia selvina,2025-11-02,5,hotel yang bagus nyaman kamar yang bersih dan staf yang ramah sarapan sanga enak dan variatif
Dewi Putri,2025-07-02,5,puas menginap di sini kamar bersih dan wangi bawah kolong dan kamar mandi sangat diperhatikan kebersiaan anak anak senang ada tempat bermain dan kolam renang juga ada anak kegiatan membuat liburan anak anak makin meriah sarapannya juara makanan minuman saat kosong sedikit langsung direfill meskipun pengunjung tidak banyak tapi variasi makanan banyak dan maksimum pelayanan restonya terimakasih untuk semua staf yang sudah bertugas semoga kami bisa menginap kembali di ibis sunter
Maretta Fitria,2025-07-02,5,kamar deluxe lumayan luas sayangnya di kamar saya tidak ada tangan saya sudah memesan beberapa kali katanya lagi di keringin mungkin karena musim tinggi jadi rame kolam renang bersih sarapan cukup banyak macamnya hanya saja kegiatan anak-anak tidak di info padahal sangat ingin ikut semua oke
Khairul Iskandar,2025-08-02,5,hotel yang bersih kantor depan yang sangat membantu saya tiba sblm jam cek masuk tapi diizinkan titip tas barang sehingga saya bisa menyelesaikan urusan diluar tanpa repot dengan barang bawaan terimakasih lokasi mudah dicapai karena berada di ditepi jalan besar pokoknya sesuai dengan yang ada di aplikasi kebetulan maaf promosi sedikit saya pemesanan lewat aplikasi traveloka
Khairi RM,2025-08-02,5,hotel yang letaknya sangat strategis di kawasan sunter petugas hotel sangat ramah dan pelayanan nya cepat desain interior kamar dan resto sangat kuep penuh warna warni
Lia Siti Latifah,2025-10-02,5,hotel yang cocok buat konseran di jis staf ramah kamarnya nyaman banyak menu varian sarapannya
Ga Liong,2025-07-02,5,hotel yang bagus dan nyaman pelayanan juga oke sarapan paginya enak banyak menu dan rasanya enak terdapat kolam renang gym mushola dan lainnya secara keseluruhan oke terus jaga dan tingkatkan kemarin nginap 3 hari karna keperluan pekerjaan
Lia,2025-11-02,5,pelayanan baik staf ramah suasana tenang kamar bersih dan nyaman
