User Name,Review Time,Rating,Review Text
zilka widya,2025-12-30,3,ibis aku mw kasih masukan resepsionis cewek sombong beberapa x nelusuri hotel karena sering dinas keluar kota sangat dasar untuk sapa senyum dan kasih penjelasan tidak rugi juga karena itu adalah garda terdepan dan mood pelanggan di awal ini enggak haha sombong banget tidak ada senyum sdktpun boleh contoh ibis di bogor pajajaran sepanjang jalan ketemu sama kryawan hotel yaallahh ramahh banget semua sapa pelanggan pagi ibu siangg ibu ekspektasi aku ketinggian aku kira emang ibis semua ayam sama lauk yang kedua sarapannya ya ampunn hari rame tauu loo masa saja cuman ada semur 1 macem doang ya elah
Bramanti Kusuma Yuwono,2025-12-05,1,menginap di saat kota medan terkena banjir lift tidak bisa digunakan karena basement banjir oke dimaklumi meskipun harus naik tangga manual ke lantai 9 sampai kamar mau mandi tanganku tidak ada alasannya kondisi banjir jadi banyak barang belum masuk oke dimaklumi juga pesan room service untuk 1 porsi nasi goreng di jam 8 malam jam 9 makanan belum diantar telepon ulang katanya akan diantar telepon ulang katanya akan diantar jam 10 juga belum diantar telepon katanya akan diantar telepon ulang katanya akan diantar setengah jam kemudian masih belum diantar telepon ulang katanya akan diantar telepon ulang katanya akan diantar lagi katanya saya akan diantar kembali saya tunggu hasil
Alala Muliba,2025-12-22,5,rekomendasi kalau menginap di medan hotelnya tidak terlalu besar tapi berhasil memaksimalkan setiap sudut ruangan kamarnya rapi bersih dan saat ukurannya kamar mandi juga oke dan bersih ac dan pemanas air nyala dan stabil makanan sarapan juga enak pelayanan ramah lokasinya juga di pusat kota jadi dekat jika mau kemana mana cuman kalau parkir mobil mesti hati hati karena mepet ruangannya secara keseluruhan oke monggo dicoba
dedy cahyadi,2025-12-15,3,kamarnya enak luas nyaman tapi makanannya kurang variatif selada tidak segar rasa cenderung rata alat fitness sepertinya tidak pernah di pemeliharaan
Novanta Br Sitepu,2025-12-22,3,Jika anak lebih dari 5 tahun sudah dikenakan uang tunai untuk sarapan baru ini bertemu hotel seperti ini kami membawa 2 anak satu anak usia 5 tahun sarapan gratis tapi satu lagi anak usia 8 tahun sudah kena kasus hati hati
Jimmy Saragih,2025-12-05,4,kamar 1005 mampet saluran udara kamar mandinya wastafel juga mampet akhirnya saya buka sendiri tutupnya parkiriran juga cukup terbatas ya selain itu sudah oke sih teruskan pekerjaan baik guys
bambang priantomo,2025-12-15,1,Saya ingin 8 hari kamar 201 cukup nyaman sayangnya layanan resepsionis saat check out tidak profesional tidak ada inisiatif untuk mengembalikan uang deposit terima kunci kamar sudah gitu saja tanpa ucapan apapun jika saya lupa uang deposit akan tertinggal kemudian saya teringat tapi memang tanda terima tidak bertemu harus berdebat panjang agar uang deposit saya dikembalikan padahal bisa memastikan dengan kartu identitas saya memberikan kembali uang deposit dan saya akan menandatangani menerima kembali uang tsb kok repot mengembalian uang deposit hak pelanggan seharusnya justru inisiatif mengembalikannya
Valensia Manik,2025-12-22,5,kamar nyaman pelayanan resepsi ramah sarapan bervariasi dan sangat enak wifi kencang terutama kamar juga bersih dan nyaman ac dingin
Tri Ardiani,2025-11-05,5,Hotel yang nyaman bersih sarapan enak staf ramah2 dan cepat tanggap mau mau lagi nginap disini karna anak2 saya happy kolam renang indoor dan lengkap ada anak-anak sudut nya
Mita Sartika,2025-11-05,2,Tidak dianjurkan saya memesan cek masuk jam 2 siang tapi kamarnya siap jam 15:30 saya menunggu 1 setengah jam dan tidak diberi kelonggaran waktu cek keluar sebagai gantinya fasilitas kamar juga kurang memadai untuk menu sarapan juga variannya sangat kurang dan untuk anak anak hitungan diatas 5 tahun dikenakan biaya cukup 1 kali saja menginap di hotel ini
Metha Feriska F,2025-12-05,5,Longstay 10 hari kamar bagus banget interior oke banget wifi kenceng banget keren dan oke pelayanan juga oke banget2 tapi saat di pelayanan restoran agak kurang variasi sarapan juga agak kurang dan bosenin intinya saya akan tetap memilih menginap di ibis tapi mgkn akan ingat akan apakah kamar dengan sarapan
Adi SMM The Hill Resort Sibolangit,2025-11-05,5,Saya menginap di ibis style medan pattimura dan sangat terkesan dengan pengalaman saya hotel ini memiliki desain modern dan penuh warna yang memberikan suasana yang segar sejak pertama kali masuk kamar bersih nyaman dan dilengkapi dengan fasilitas lengkap sarapan yang disajikan bervariasi dan lezat cocok untuk semua selera lokasinya juga strategis dekat dengan pusat kota dan mudah diakses dari mana saja yang paling berkesan adalah pelayanan stafnya yang sangat ramah dan sigap membantu setiap kebutuhan tamu sangat direkomendasikan bagi siapa pun yang mencari penginapan dengan nilai terbaik dan layanan profesional di medan
RFD,2025-08-05,2,menginap selama 2 malam di ibis gaya pengalamannya ini hotel makin downgrade di awal masuk kamar mandi sudah bau tidak sedap dan sudah dibersihkan pun masih tidak bau sedap seperti keluar bau dari exhaustnya tempat parkir penuh terus sehingga sulit akses jika mau mengambil barang harus bolak balik ke tmpt parkir sementaranya jaraknya 2 gedung dari hotel untuk minum air disediakan di teko dan bisa diisi ulang namun pada saat saat dispenser cuma bisa menginap lagi namun saat saat saat itu sering kosong padahal saat itu sudah di telepon ke layanan kamar baru terkesan kamar layanan kamar kurang tanggap kursi di kamar 319 tidak nyaman ketika duduk agak duduk
Abdurrauf Putra Dirwa,2025-12-15,5,lokasi cukup dekat ke semua tempat wisata pelayanan bagus dan ada fasilitas lembah nya juga sangat membantu
Friska Panjaitan,2025-12-05,5,sangat senang bisa menginap di sini sebelum melanjutkan perjalanan ke dairi lokasi strategis kamar dan fasilitas lainnya nyaman staf ramah dan sangat membantu
Iboen Gultom,2025-12-08,5,Saat baru tiba di hotel mati lampu tapi cepat di atas bahkan saat naik lift kami di dampingi sama karyawan hotel kerenlah makanan sarapan pagi nya enak
