User Name,Review Time,Rating,Review Text
Martin Latifah,2025-12-29,2,masuk kamar cium aroma kamar yang jarang dipakai kecil kamar nya handuk warna sudah tidak putih lg tidak tersedia air mineral didlm kamar harus isi ulang dilorong parkir mobil sempit menu sarapan yang itu itu saja dan kurang enak nginep 3 malam disini kayaknya g akan kembali lg kesini
dewi agustina,2025-12-29,5,liburan 1 minggu di yogya terasa senang banget pokoknya ajak keluarga di hotel ibis gaya tempatnya nyaman enak ramah semua petugasnya mulai dari bagian informasi pelayanan makanan di restorannya pelayanan hotel sampai juga ke keamanan nya yang bernama pak kamto semuanya ramah dan baik lain kali klo ke yogya mau menginap di sini lagi selalu sukses hotel ibis gaya jogya
evita anugraini,2025-12-05,4,jujur dari sisi servicenya bagus menu sarapan juga oke kamar juga rapi cuma sepertinya sprei sarung bantal tidak diganti jika tidak permintaan di kamar mandi sih ada notifikasi jika tidak diganti untuk mengurangi detergen dll tapi lebih baik pakai yang detergen yang ramah lingkungan banyak kok selalu tahu jika ada noda di sprei tertutup selimut dan langsung di ganti sama housekeeper jumat kok menunggu permintaan kan seharusnya jika tamu sebelumnya co langsung ganti saja tidak sih mohon dijadikan evaluasi yaa
dahlia a,2025-12-29,3,perlengkapan kamar tidak lengkap kok bisa kehabisan sabun d kamar mandi padahal saya baru saja memeriksa apa tidak d cek terlebih dahulu saat tamu sblum checkout nya
Ronald,2025-11-05,4,kamar cukup luas hanya sayang hanya ada hujan mandi saja sehingga unthk muslim agak sulit untuk mengambil udara wudhu sarapan rasanya b saja kurang berbumbu namun hntuk variasi cukup tidak banyak tidak sedikit
1d's journey,2025-12-22,5,Pelayanan yang cukup oke hotelnya juga strategis deket dengan malioboro jadi jalan pun juga bisa ada atm juga di deket situ makanannya juga enaakk kopi oke tempat jufa oke
Sri widaningsih,2025-12-15,5,kamar bersih aminitas lengkap sarapan lumayan enak minus nya tidak dikasih air mineral dalem kamar oiya spray sama selimutnya juga kayaknya sudah lama tidak di ganti baru ya agak kumel
lutfi azhari,2025-12-29,5,tempat strategis dekat ke malioboro jalan kaki ke alun2 10 menit terima kasih pak kamto keamanan pelayanan dan sikapnya baik
Deni Rahadiansyah,2025-12-05,5,ruangannya legaa king bed bersih ada kulkas mini air mineral refill ambil sendiri di galon yang disediakan sarapannya biasa saja cukup lengkap ada minuman jahe hangat jamu beras kencur
A Soulisa,2025-09-05,5,kebetulan saya anggota accor sehingga kemanapun saya pergi saya selalu mencari hotel di grup accor untuk tempat menginap seminggu lalu saya sengaja memilih ibis style untuk menginap 3 malam hotel ini sangat strategis dekat keramaian malioboro tapi cukup ada jarak sehingga tetap terasa tenang semua kebutuhan wisatawan tersedia di jarak sangat dekat dari hotel mart makan cuci masjid oleh dll pelayanan sangat ramah dan cekatan mulai dari resepsi restoran bar di atap dan housekeeping semua hampir sempurna menu untuk sarapannya cukup menyenangkan bervariasi dan enak enak enak atap atas barnya juga menjadi tempat untuk bersantai singkatnya apa yang ditawarkan dan diberikan hotel ini sangat sesuai
Nadia Safitri,2025-12-05,5,pengalaman menginap di ibis jogja sangat menyenangkan pesan kamar superior di upgrade jadi kamar tipe keluarga dengan balkon dan bak mandi pelayanannya bagus banget stafnya ramah2 tidak ada kendala apapun lokasi juga dekat dengan malioboro kamar nyaman bersih
Elin Fitriyani,2025-11-05,5,kamarnya bagus syangnya tidak ada colokan disetiap samping t4 tidur harus colok jauh tpi buat jadi titik jalan ke malioboro itu dekat saat banget
Adi Prasetya,2025-12-22,5,kamar bersih toilet bersih sarapan oke handuk bersih setiap hari diganti kasurnya empuk nyaman sip
Krisna Mulya,2025-12-22,5,pelayanan dan fasilitas oke lokasi cukup strategis dekat dengan stasiun dan jalan malioboro akses parkir agak kecil
Agung Abdilah,2025-12-29,5,dapat kamar pojok kamar bersih kasur nyaman empuk wangi kamar mandi bersih mandi bersih udara hangat lancar
Jimmy Situngkir,2025-11-05,5,pengalaman menginap 4 malam yang menyenangkan kebersihan dan kualitas kamar terjaga dengan baik lokasi hotel dekat dengan malioboro hanya sekitar 300 meter dari malioboro pelayanan selanjutnya dari petugas hotel juga baik kami merasa nyaman dengan pelayanan hotel salah satunya pak kamto petugas keamanan yang membantu kami memarkir mobil menjadi lebih nyaman terima kasih ibis gaya malioboro pasti kami akan kembali
bella rismawanti,2025-12-05,5,hotel bintang 3 yang cukup nyaman dibandingkan hotel sekelasnya harganya terjangkau dengan fasilitas yang cukup lengkap tinggal di sini selama 4 hari 3 malam sangat nyaman semua staf hotel sudah menerapkan layanan keunggulan cuma sedikit masukan untuk menu sarapan berdiri penutup nya lebih divarianikan lagi atau menu baru dibuat berbeda setiap hari seperti hidangan utama tapi secara keseluruhan enak
Ade Akbar,2025-10-05,4,kamar non merokok tapi bau rokok sudah dilakukan penanganan tapi tetap msh tercium untuk 2 orang tapi sikat gigi tersedia cuma 1 di kamar banyak semut sarapannya sangat memuaskan stafnya sopan dan cepat merespons keluhan
jimmy soemitro,2025-11-05,4,untuk ukuran bintang 3 kamarnya luas dan harga juga kemahalan lokasi strategis tapi sayangnya layanan jelek sekali sarapan juga monoton
Vonny Candra,2025-12-05,4,lokasi strategis proses cek masuk lumayan satset pelayanan f b atendant kurang baik pada waktu sarapan masa saya lagi ngunyah makan saya dan masih ada lauk di piring saya mau diangkat piringnya
Aufan Wahid,2025-12-05,5,Pelayanan bagus kasur bersih kamar nyaman ruang pertemuan oke sarapan minum tersedia tangan bersih dan udara panas lobi bersih tq ibis
nnrprtmo,2025-12-05,5,kamar nyaman kasur bersih ada tempat bermain anak dilobby staf ramah toilet bersih pelayanan permintaan cepat
masse oktarudin,2025-12-05,5,Alhamdulillah servis baik makanan enak jarak ke stasiun deket pokoknya mantab dah kami ada pertemuan 2 hari disana makan siang enak sesuai bahasa jawa
Mama Linawati,2025-12-05,5,Sangat luar biasa latihan di kurva di Hpn 30 menit tapi terasa sekali manfaatnya untuk kesehatan tubuh
