User Name,Review Time,Rating,Review Text
CB BAGONG,2025-11-05,4,Ada permintaan view kolam renang yang tidak dipenuhi ada mandi yang mampet sehingga air kecil terdapat selokan mampet di kamar mandi sehingga dipakai mandi menggenang terdapat serangga di sayurnya saat sarapan tangan di kolam renang tidak disediakan sudah telepon lobi sampai selesai renang tidak ada petugas yang ke atas semoga menjadi perbaikan
yanti sriyanti,2025-10-05,3,saya sewa 2 kamar dengan menghubungkan kamar lantai atas untuk akhir pekan jauh2 hari saat masuk kamarnya bersih namun pemandangan di luar kamarnya sangat tidak bagus saya tidak bisa mendeskripsikan di ulasan ini sangat2 kecewa karena saya membawa orangtua dan balita mau minta ganti kamar sudah terlalu lelah diperjalanan masukkan saja untuk ke depannya semoga kepuasan tamu hotel diutamakan sehingga jika kamarnya seperti ini seharusnya diberikan penawaran dulu dengan kondisi demikian apakah saya setuju karena kami memilih hotel di penginapan biasa agar nyaman dan yang utama pemandangannya untuk makanannya enak2 dan banyak variannya semoga masukan ini dapat memajukan pelayanan
Andrew Igor,2025-10-05,5,kamar cukup bersih dan rapi lokasi cukup strategis karena dekat dengan daerah makan seperti warung kelengan mie hok lai dan lain kamar yang tenang karena tidak berada di daerah jalan yang padat kendaraan staf cukup ramah sarapan beragam dan ada sajian teh premium yang berganti ganti setiap harinya
Maya Jawak,2025-11-05,2,akhir pekan kmarin tinggal di sini awal dateng ada 3 staf namun karena hanya 1 yang melayani proses cek masuk maka kita antri disitu tahu setelah lama diri dan tanya ke masmas yang lain staf dengan enteng dia bilang oh cek masuk iya bisa di sini maksudku jika lo tahu disana antri dan lo kosong antriannya ya dipanggil atuh mas pelanggan saya biar cepat astaga niatnya mesen hotel untuk istirahat tapi tidak bisa tidur sama sekali karena ada suara mesin gatau mesin apa dari ac central atau dari mana di lt3 yang berisik banget sudah telepon penerima katanya mau cek dulu ke kamar dulu saya tunggu sampai jam set4
Mama Lena,2025-09-05,5,baru pertama kali menginap di sini hotelnya bersih lobi luas ada kafeenya lift oke kamar bersih kami di kamar keluarga kasur nyaman kamar mandi ac smart tv kulkas kecil oke sarapan 06 00 10 00 menu oke banyak pilihan dengan rasa yang tidak dominan manis cocok untuk kami pelayanan bagus dan ramah cukup banyak pekerjaan penempataninya bisa dijadikan rekomendasi untuk tempat menginap selanjutnya terima kasih questhotelsemarang
prayudi satriavi,2025-12-05,4,hotelnya bersih staf pelayanan baik kamar bersih ac dingin sarapan biasa saja air mandi cukup kencang namun yang keluar sedikit perlu mengganti tipe mandi
afriliean maulid dina,2025-12-22,5,pelayanan yang baik ramah dan hotel sama kamarnya juga bersih makanan nya layaknya enak juga
Shela Anggreana,2025-10-05,5,Tempat baru strategis kamarnya bersih dan rapi makanan layaknya fasilitas baru bagus dan keren harganya pun terjangkau untuk hotel yang berada di tengah kota dan terimakasih buat resepsi devita juga yang sangat membatu pelayanan dan ramah sekali
cindy aulia,2025-12-22,5,Sangat menyenangkan di quest hotel simpang lima saya bisa belajar banyak di sini dan mendapatkan teman2 yang baik mas mbak yang baik juga
Zann,2025-12-05,5,Saya sangat terkesan dengan pengalaman menginap di hotel ini staf nya sangat ramah kamar yang sangat bersih dan rapi lokasinya yang strategis secara keseluruhan pengalaman menginap di sini sangat memuaskan
Yeti Romdonah,2025-09-05,5,menu enak pelayanan bagus kamar baik cuma kendala di bad cover tidak harum seperti bau tidak kering di laundry tapi tadi di konfirmasi sama petugas minta review nya ini proses diganti terima kasih
Zeva Vanya,2025-11-05,5,lokasi strategis dekat tempat kuliner kamar bersih dan sarapan sangat bervariasi proses cek masuk dibantu oleh mb devita yang ramah
Fauzan Zann,2025-12-31,5,Lokasinya cukup strategis kamar nya sangat bersih dan rapi staf nya juga sangat ramah dan fasilitas hotel nya cukup lengkap
Dini Satya,2025-11-05,1,Pelayanannya ramah tapi kamarnya kotor gelas yang dimeja lengket masih ada bekas salinan di bibir gelas wastafel kamar mandi kotor untuk makanan sarapannya selama 7 10
Fenita ari Pradina,2025-10-05,5,di atas semua hotel bagus dekat dengan pusat kota banyak makanan dekat hotel tinggal pilih staf ramah tamah resepsionis atau front office cepat tanggap resto juga pelayanannya ramah berikutnya jika ke semarang pasti kembali lagi ke quest simpang lima
Kelvin Permana Driver,2025-12-15,5,kamar bersih pelayanan memuaskan sarapan lengkap dan enak ada balkonnya jadi bisa santai melihat pemandangan semarang
Titip Cuntik,2025-10-05,5,lokasi bagus tempat luas lobbynya juga luas kamarnya nyaman enak menginap disana ac dingin juga pelayanan oke cek masuk disana sama petugasnya devita ramah dan membantu kapan2 kembali menginap disana lagi
PHOEBE HARTANTO,2025-09-05,5,hotelnya bersih dan pelayanan baik dan ramah lokasi strategis karena ada di pusat kota dekat dengan tempat kuliner jadi bisa sekalian wisata kuliner
Kiku Lovea,2025-08-05,4,pelayanan sgt baik dan ramah cm lokasi emang rada gmna ya byk makanan b disekitarnya kolam renang oke sih bersih tapi untuk kamar monyet dpt yang merokok kamar mo pindah kamar sudah laki-laki krna trlnjur bongkar2 remote tv rusak hrs digepok2 dlu bru nyala sarapannya juga biasa saja tidak ada yang istimewa paling tidak sedkit terhibur dengan stafnya yang ramah2
ulfah annafi,2025-10-05,2,kesan pertama nya udah kurang mulai dari chat yang tidak dibales tempat parkir kecil tidak ada keamanan yang tahan pintu tidak ada sambutan minuman resepsionisnya tidak ramah masuk kamar handuk belum ada mandi buruk sekali dan kamar bau apek
Alifyaayu Myranti,2025-09-05,5,pertama kali menginap di hotel quest simpang lima lokasinya ternyata sangat strategis cukup dekat dengan pusat kota bahkan hanya dengan berjalan kaki saya bisa menikmati soto bokoran yang cukup banyak pengunjung tapi rasanya memang sepadan pelayanan di hotel ini terbilang baik fasilitasnya juga memadai menariknya cukup banyak wisatawan asing yang menginap di sini menambah kesan hotel ini memang menjadi pilihan favorit
Sahabat Sneakers,2025-11-05,5,cukup nyaman tempatnya dan berada di tengah kota dan yang terpenting di sekitaran hotel banyak yang menjual masakan bayi enak tennan mantapp
Bagas Ilham,2025-09-05,5,kamar bersih oke kolam renang nya bagus lokasi agak masuk tapi overall bagus lah banyak org jual makanan jg disekitar jadi oke saja menurutku kaka fo nya kuep dan pelayanan hotel jg terbaik
dhonie7,2025-09-05,4,Sabtu 23 Agustus 2025 menginap semalam di sini pemesanan yang kembar deluxe kamar lumayan rapi bau normal dan lumayan bersih hanya sprei dalam kasur saja yang yang tidak bersih menguning warnanya dekat dengan sungai jadi jika jendela di buka banyak nyamuk masuk menu sarapan lumayan lengkap tidak ada ayam namun rasa masih kurang menurut saya 6 10 saja masih banyak yang bisa di memperbaiki rasanya atau mungkin ini sudah trik dibuat tidak terlalu enak sehingga cust tidak mengambil banyak mungkin yang terbaik y pelayanan staf2 nya ramah ramah semua bagi saya 8 5 10 kebetulan karena saya dekat dengan hotel hanya satu jam karena saya menggunakan motor dan ada parkir yang lumayan pro
caca,2025-12-05,5,Tempat yang bagus makanan cukup enak lokasi agak sulit dicari tapi mudah terlihat karena warna tidak sah
Lia Amalia,2025-11-05,5,hotel paling ternyaman fasilitas oke semua kolam renang nya nyaman buat menyegarkan karyawan nya juga ramah ramah
Kwee Kim Giok,2025-12-08,4,ac nya terlalu dingin makanan cemilan kurang enak udara minum pakai udara isi ulang peringatannya agak kuning untuk kesehatan kurang baik
mas amin,2025-12-22,5,kemarin nginep disini nyaman bgtt bar nya staf resepsi juga ramah saat dateng
Didip 104109,2025-07-05,5,pengalaman sangat mengesankan menginap 3 malam di hotel quest simpang lima semarang pertama lokasi yang sangat strategis dekat dengan pusat kuliner jalan wotgandul kedua kamar yang kita tempati kamar 500 sangat luas bersih mandi tabung besar dan smart tv yang yang besar betah banget ketiga restoran lumayan besar dengan taman luar yang adem dan menu makanan yang enak enak seperti kecap goreng ikan dll kemudian kolam renangnya bikin anak anak betah banget kolamnya bersih luas dan nyaman terakhir dan sangat penting adalah petugas hotel yang ramah ramah selalu sukses ayam quest hotel simpang lima semarang juga tonton video kami tentang hotel ini di saluran youtube kita dolan lakukan
Muhammad Fadli,2025-09-05,5,Hotel sepertinya bangunanmu tapi bersih dan cukup nyaman makanan enak dan cukup beragam lokasi mantap di pusat kota dekat mau ke tempat wisata
gbriellatan,2025-10-05,5,Kakanya semuanya dari awal dateng bener bener ceria dan ramah banget terima kasih sudah bikin mau balik dan nginep lagi kalp kesemarang buat kak devita dan kak ikshan sehat sehat kak
Dini Astuti,2025-07-05,3,untuk kualitas kamar baru yang pertama di WC engga ada rak buat taro sabun sampo jadi hrs taro di lantai charger pot di kamar keluarga cuma ada 1 deket kasur dan 1 di meja padahal kebutuhan buat ngecas gadget dll byk untuk sarapan menu baru sedikit dan makanan dingin ayam goreng nya keras banget akhirnya cm makan mie dan omelet doang mungkin ke depanya bisa lebih di memperbaiki ya karena kita pun memilih quest karena oleh heran tapi ternyata lumayan kurang
Pitra Jati Rinanto,2025-12-05,5,kamar nyaman bersih makanan variatif dan enak dianjurkan buat liburan bersama keluarga
anita handayani,2025-08-05,5,Lokasinya cukup strategis dekat dengan tengah kota fasilitas juga bagus mendapatkan kamar lt 5 ada balkon dan pemandangan ke luar ruangan dianjurkan untuk yang lagi cari penginapan di semarang
Ayu Praw,2025-08-05,5,pengalaman menginap yang sangat menyenangkan pelayanannya semuanya staf topnya ramah2 makanannya enak2 terutama staf yang bernama mas uki sangat ramah dan membantu selanjutnya bakal balik lagi ke sana
Trisnawati,2025-12-05,5,ramah2 mas ikhsan sama keamanan nya selalu baik kamar hotel selalu di bersihin pokonya yang terbaik saja
Rebecca R,2025-11-05,5,Lokasinya strategis di temgah2 untuk ke mana2 makanannya bervariasi fasilitas lengkap
Vanessa P.D.S,2025-09-05,5,kamarnya enak banget dan makanannya lumayan tapi kurang bervariasi tolong ditambahkan makanan khas semarangnya jika bisa
Demen Chicken,2025-07-05,4,untuk segi harga dan kamar sebenarnya sudah oke tapi untuk kamar keluarga kekurangan colokan untuk biaya jadi rebutan untuk sarapan mungkin kurang hangat menyajikan saya minta omelete tapi tidak diantar2 sampai sudah kembali ke kamar katanya mau dianter tapi overall bagus terima kasih
Arif Pratama,2025-09-05,5,pengalaman menginap di quest hotel simpang lima semarang benar benar memuaskan terutama berkat pelayanan kantor depan yang bintang 5 sejak pertama kali tiba saya langsung disambut dengan senyum ramah dan hangat proses cek masuk sangat cepat dan efisien stafnya sangat profesional dan membantu mereka sigap memberikan informasi yang saya butuhkan tentang fasilitas hotel serta rekomendasi tempat makan di sekitar simpang lima sikap mereka yang tanggap dan proaktif membuat saya merasa sangat dihargai sebagai tamu pelayanan yang luar biasa ini jadi nilai tambah utama dan membuat pengalaman saya menginap di sini jadi semakin berkesan
