User Name,Review Time,Rating,Review Text
Florentina Monik,2026-01-05,4,lokasi strategis tengah kota untuk kolam renang kurang luas pelayanan pegawai nya kurang tersenyum dan ramah untuk kamarnya terlihat bersih tapi kolong kamarnya banyak sampah mungkin bisa diperbaiki lebih baik lagi
Thendean Family,2026-01-05,5,Hotel yang cukup oke untuk tempat tinggal keluarga jika ke pky ada tipe kamar keluarga juga kolam renangnya yang kurang besar jika untuk dewasa tapi cukup oke buat anak2
aulia rahma,2025-12-12,5,Pertama kali menginap di sini sejauh ini tempatnya nyaman fasilitas oke area kamar dan toilet nyaman restoran nyaman dan rasa makanan enak layanan baik dan ramah khusus terima kasih mas fadhil untuk rumah menjaga layanan menjaga kamar saya bersih dan bersih setiap hari
Widi Permana Yuda,2025-12-12,5,nyaman banget menginap di best western palangka raya kamar bersih ac dingin kasur empuk stafnya baik baik dan membantu juga lokasinya strategis layak banget buat menginap atau perjalanan kerja
Z Firmansyah (Zacky),2025-11-12,2,untuk hotel kelas bintang 4 ini hotel terparah yang pernah saya singgahi kamar kecil lampu redup lantai kamar seperti tidak di sapu masih ngeres dan rada bau kamar mandinya yang lebih parah saya laundry baju kena luntur parah dan dari pihak hotel tidak ad pertanggungjawaban malah menyalahkan pihak vendor yang melakukan laundry dan membebankan tanggung jawab ke pihak vendor sebanrnya saya tidak ad urusan dengan vendor karena saya nginap dan laundry di hotel ini seharusnya yang bertanggung jawab adalah hotel ini kayaknya tidak layak untuk nginap di sini dengan harga kamar hotel bintang 4 tapi layanan mungkin lebih rendah
Nurul Inayati,2025-12-12,5,hotel nya bersih resto nya kurang menurut selera saya untuk petugas kebersihan baik ramah dan cepat mas fadil
Kuliner Mamamuda,2025-11-12,1,Omg kamar begitu kotor sprei bed cover sudah berwarna kekuningan msh di pakaikan bau apek menyangat di sprei bantal bed cover tidak sesuai nama terbaik barat terburuk barat ganti nama saja saran saya atas ranjang meja tlpon pun lantai berdebu tebal sekali sengaja saya lap pakai tisu omg mereka tidak prnah lap cuma ganti sprei lalu selesai toilet untung msh oke kapok nginap di sini menyesal 2 malam lagi buku sprei bikin gatal2 kaki n badan saya lalu saya panggil ganti terasa baru dan di turuti baru bau lebih wr ada laundry gila
Likejennie Jennie29,2026-01-05,5,sudah bbrp kali menginap d sini untuk kamar kdg bisa yang bersih kdg enggk
bastaniah basran,2025-07-12,5,kamar suite compact dan nyaman sayang lantai drain area lemari sedikit tersumbat jadi udara lambat turun dan agak menggenang selebihnya oke semua staf hotel ramah makanan enak enak kamar bersih segar bebas bau rokok terima kasih
ARABIAN BUTIK,2025-12-12,5,Hotel keren dengan makanan yang terenak keren banget chefnya bikin org nagih pgn nginap di sini lagi
syaaziz 860,2025-10-12,4,oke aza lumayan bagus kamarnya tapi kamar mandi kurang bersih tidak ada bilboy yang bantu bila ada tamu cek masuk dn ingin cek keluar
Daffa Shaga Lim,2025-06-12,4,ini salah satu hotel terbaik yang ada di palangka saya sangat senang rasanya menginap di sini dan mungkin nanti akan kembali menginap di sini saya akan memberikan sedikit ulasan untuk hotel ini 1 kamar kemarin saya n keluarga saya pesan kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar kamar
Dr Kasan Mulyono,2025-08-12,4,menginap seminggu di sini kamar bagus dan bersih wifi bagus ac dingin handuk bagus knalpot oamar mandi tidak bisa dimatikan cukup mengganggu saat tidur
Galon Emak,2025-07-12,5,kamarnya nyaman dan bersih suasananya tenang layanan baik layanan kamar maupun resepsi sangat ramah dan menyenangkan begitu pun pelayanan di restoran untuk sarapan tersedia berbagai jenis makanan dan minuman lokasinya strategis banyak penjual makanam di depan dan di sekitar hotel bintang 4 dengan harga terjangkau direkomendasikan
Nanang Feri,2025-08-12,2,Tolong untuk pihak hotel jangan sembarang membuang limbah karena tidak sedap di cium bau nya kaya bau kotoran bau banget kami sebagai masyarakat masih ada rasa sabar ini sudah 1 minggu lebih sebelum kami melaporkan ke dinas lingkungan
for u,2025-05-12,5,saya menginap di best western batang garing palangkaraya selama perjalanan dinas dan pengalamannya cukup memuaskan lokasinya sangat strategis dekat pusat kota dan hanya sekitar 15 menit dari bandara tjilik riwut jadi cukup praktis membangun hotel tampak modern dengan sentuhan budaya lokal dan dari awal masuk suasananya terasa nyaman kamar saya tipe superior bersih luas dan fasilitasnya lengkap ac dingin tempat tidur empuk dan kamar mandinya bersih dengan udara panas yang berfungsi baik saya juga sempat mencoba dengan fi nya dan cukup lancar untuk bekerja online salah satu hal yang paling saya suka adalah pilihan sarapan di menu resto yvonne cukup beragam dan ada beberapa makanan khas
Fana Sport Fishing,2025-09-12,5,hotel nya bagus tempat hotel nya strategis di tengah kota makanan di restoran nya enak orang nya ramah pelayanan nya baik fitrian
Ninda Arianti,2025-05-12,5,hotel nya bagus bgts murah dan lokasi sangat strategis saya suka sklie pelayanan nya sangat ramah terbaik barat yang terbaik buat kelian yang belum tau kalau best barat batang garing itu adalah salah satu hotel terbaik di kota ini terutama jika kamu cari tempat yang nyaman dan tenang buat istirahat lokasinya strategis tidak jauh dari pusat kota jadi mudah ke mana mana mana mana dari luar hotel ini terlihat modern dan rapi dan kesan itu langsung begitu masuk ke lobi yang luas dan bersih kamarnya nyaman cukup luas dan terasa bersih fasilitasnya lengkap tempat tidur empuk ac dingin dan wi fi kencang kamar mandinya juga dan udara panasnya lancar staf hotel ramah
