User Name,Review Time,Rating,Review Text
Rio Putratama Achmad F,2025-08-09,5,Saya tinggal di Bali sudah 7 tahun dan selama 7 tahun saya sudah rutin menginap di hotel2 khususnya di Bali selatan jelas halaman menjadi salah satu yang terbaik saya datang ke sini untuk merayakan ulang tahun pernikahan saya dengan istri saya sempat req untuk dekorasi handuk dan tebak apa yang mereka berikan lebih ada dekorasi handuk kartu ucapan kue dan ucapan yang tertulis di cermin wah luar biasa usaha kamarnya super bersih super luas dan harum anak2 senang banget disini stafnya semua ramah dan membantu kolam renang laguna terbaik pasti saya akan kembali untuk pasti sihh terima kasih halaman
irene suhapna,2025-08-09,5,stay in room 1207 prepare cake for birthday anak mirror words juga saat kamarnya di bersihkan jg tbtb ada gajah di kasur gemas sekali daann service mbak eka di resto saat sarapan sangat ramah sekali 2 hari sarapan dan permintaan dengan mbak eka sangat berkesan menyenangkan oh iya saat sarapan yang seharusnya bukan area merokok ada salah satu pelanggan yang nge vape setelah komplain 3 kali akhirnya di tegur terimakasih sudah tegas dengan aturan hotel karena saya bawa anak kecil dan sangat tidak nyaman dengan orang yang merokok sangat terima kasih sudah tegas saya melarang merokok yang bukan sedang berada di daerah rokok sekali lagi
Henry Putra,2025-11-09,1,parah banget kapok tidak pernah menginap di sini lagi pengalaman terburuk saya menginap di hotel bintang 5
Dwi Yenuaquarianto,2025-09-09,1,Saya sudah sering menjemput tamu di sini tapi pagi ini perlakuan keamanan kurang mengenakkan saya sudah biasa parkir depan lobi sambil menunggu tamu tapi tadi saya disuru pindah kebawah dengan alasan banyak kendaraan datang klo memang banyak kendaraan datang oke saya maklumi yang baru datang tamunya sudah siap lah ini mobil datang jga markir depan lobi masak yang duluan datang yang disuru parkir dibawah padahal saya sudah bilang kalau tamu saya sudah cek keluar dan jam penjemputan sudah dekat akhirnya saya parkir dibawah baru keluar dari mobil dan sudah dipanggil jalan kaki menuju lobi saya2 klo tamu saya sudah diatas nyusahin orang tidak itu namanya
Riin Vv,2025-11-09,5,Saya pergi membawa barang penjaga didepan ada 3 yang 2 ramah yang satu mukanya marah lalu saya hanya bertanya karena tidak tahu jalan seketika bapak yang satu itu marahin saya seperti saya ini salah besar bertanya waktu itu hati saja sakit lalu menangis karena hati saya tidak sekuat itu
Konsultan Reumatologi,2025-08-09,5,hotel yang tepat bagi sahabat yang mencari berbagai kemudahan untuk berlibur berwisata ambience yang unik asri dan menenangkan dekat ke semua fasilitas yang kita butuhkan pantai toko menengah konferensi dll layanan menu yang sangat baik resto variatif segar dan rasa nya sangat memanjakan lidah siapapun
Blaaa 24,2025-08-09,1,staf sangat amat tidak sopan menerima keluhan dengan cara menutup telepon dan tidak diangkat lagi staf sangat2 tidak membantu kamar juga tidak memuaskan wastafel rusak telepon sudah tidak layak layanan lambat area bermain wajib berhati2 di pasir ada kotoran kucing yang sangat berbahaya untuk anak2 bermain tidak direkomendasikan sama sekali
Iva,2025-02-09,5,pengalaman yang menyenangkan selama kami menginap di sini hal yang paling kami sukai dari hotel ini anak di bawah 11 tahun termasuk menginap tanpa tambahan biaya termasuk sarapan anak klub yang menyenangkan dengan berbagai kegiatan yang terjadwal ditemani dengan bibi yang sangat ramah terhadap anak2 kolam renang yang sangat luas dan terdapat beberapa daerah ada area kolam arus kolam untuk bermain voli bermain bola dll kegiatan olahraga bersama untuk orangtua kamar yang luas interior update rumahannya tidak menyeramkan hehe kamar mandi yang luas terdapat garis pakaian yang dapat ditarik sehingga kami bisa menjemur pakaian renang menggunakan berenang dan adanya bangku mandi dapat memudahkan bagi saya
Lisa Mastarani,2025-05-09,4,Ke dua kalinya menginap di sini setelah sekian lama dari segi tempatnya nya sudah jelas nyaman karena terletak di Nusa dua suasana tenang cenderung sunyi dari beberapa resor di Nusa dua lainnya makanan sarapan nya lumayan banyak jenis saya lebih suka kue nya yang jadi kurang hanya akses pantai harus menggunakannya minubus untuk menuju kesana dan ada setiap 1 jam sebagai orang yang suka pantai dari 7 hari liburan memang vibes nya kurang untuk posisi pantai super duper kotor sayang sekali tidak ada pembersihan dari resort mungkin karena pantai tidak terregasi langsung jadi bisa di bilang pantai umum
roy coastrio //RC//,2025-02-09,3,saya menginap bersama keluarga 24 28 Januari 2025 pengalaman kami ada beberapa hal yang tidak enak 1 hari Sabtu 25 Januari 2025 anak2 pingin renang ya saya antar renang kebetulan ada kolam renang anak-anak eh saat istri saya masuk kamar mandi d sebelah anak-anak klub dapat jackpot ada kotoran manusia yang menjijikkan dalam kondisi setengah kering dan tidak ada petugas kebersihan satupun di lokasi kamar mandi 2 kami menginap bersih 4 malam d hotel ini makanannya itu2 saja pdhl biasanya jika bintang 5 yang lain makanannya ganti2 lho 3 d hari Senin 27 Januari pagi saya sudah pesan untuk membersihkan kamar seperti hari2 sebelumnya sih ya
NITA Ulantari,2025-01-09,5,hotel bintang 5 dkawasan nusa dua kamarnya oke bersih lengkap fasilitas oke kafe station juga oke kolamnya banyak ada yang kolam arus juga dan banyak jga ada bantalan dan larangan jdi saat bget buat anak lbih betah maen air sharian di hotel kolam jga ada yang teduh tidak terlalu panas sarapan lengkap banyak pilihan dan semuanya enak ampe bingung mau yang mana tapi inget ya jam 11 saja makan sudah dekat area sarapannya jdi sbelum itu sudah sarapan sangat dianjurkan untuk yang akan tinggal catiin di bali untuk menginap dkawasan halaman oleh marriot di nusa dua
Christanto Budi Naryoko,2025-01-09,5,hotel yang pertama perlu diceritain adalah setiap hari di sini ada agenda jadi anak dan ibu tidak bosan kemudian dari luar sendiri sangat mewah puas jalan keliling hotel kolam renangnya panjang dan dalamnya saat di 1 4 meter pilih kamar yang premium deluxe karena sudah lama tidak ngajak anak bini liburan dan puas ada bak mandi nya tapi ngga terlalu yang besar kamarnya semua fasilitas yang tepat bintang 5 agak sedikit mengganggu ac nya yang super dingin ac sentral yang ngarah ke muka yang tidak tahan dingin kayak istri saya ya harus krukupan akses kendaraan tentunya sangat bagus di daerah nusa dll duac nama cuman juara sayang hotel pantai ini
Yudistira Yudistira,2025-12-09,4,kue diskon 50 jika malam suasana bagus enak adem
beruang selalu,2025-04-09,5,halaman bali nusa dua resort bali hotel bintang lima yang bersebelahan dengan jw marriott garden dengan konsep apartemen bangunan dan desainnya lahan parkir luas kolam renang juga luas dan teduh
